horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
8,0.1,100,0,complete_rollout,0.004312077396050156
8,0.1,100,0,learned_mean,0.14586707942588975
8,0.1,100,0,learned_occupancy,0.005986049597877736
8,0.1,100,0,occ_plus_mean,0.007365685419091622
8,0.1,100,0,occ_plus_uniform,0.0155455050288521
8,0.1,100,0,oracle_tail,0.0022098884617489244
8,0.1,100,0,tis,0.12386607981988454
8,0.1,100,0,tis_anchored,0.0037914595525032515
8,0.1,100,0,uniform,0.04079388477933884
8,0.1,100,1,complete_rollout,0.005662875859481523
8,0.1,100,1,learned_mean,0.12809862492833232
8,0.1,100,1,learned_occupancy,0.010487713394953803
8,0.1,100,1,occ_plus_mean,0.018833305647164192
8,0.1,100,1,occ_plus_uniform,0.012274929672713182
8,0.1,100,1,oracle_tail,0.004227501825815111
8,0.1,100,1,tis,0.23340419733287715
8,0.1,100,1,tis_anchored,0.01881646190835138
8,0.1,100,1,uniform,0.04365749549465098
8,0.1,100,2,complete_rollout,0.010064322421426733
8,0.1,100,2,learned_mean,0.20335437982546736
8,0.1,100,2,learned_occupancy,0.011442908569041534
8,0.1,100,2,occ_plus_mean,0.005767412688829453
8,0.1,100,2,occ_plus_uniform,0.005375398860443495
8,0.1,100,2,oracle_tail,0.0029179560840064166
8,0.1,100,2,tis,0.19544218001500133
8,0.1,100,2,tis_anchored,0.004674209781144546
8,0.1,100,2,uniform,0.060085746384372335
8,0.1,100,3,complete_rollout,0.0032020288434515105
8,0.1,100,3,learned_mean,0.21694636677003473
8,0.1,100,3,learned_occupancy,0.008301195854866144
8,0.1,100,3,occ_plus_mean,0.009845214864966895
8,0.1,100,3,occ_plus_uniform,0.01894626648170088
8,0.1,100,3,oracle_tail,0.00792718105883624
8,0.1,100,3,tis,0.25884017016217753
8,0.1,100,3,tis_anchored,0.012873732376663142
8,0.1,100,3,uniform,0.06368168566211321
8,0.1,100,4,complete_rollout,0.00897385534970816
8,0.1,100,4,learned_mean,0.08830908983829641
8,0.1,100,4,learned_occupancy,0.011562707744421917
8,0.1,100,4,occ_plus_mean,0.005106353727284531
8,0.1,100,4,occ_plus_uniform,0.018624759092119282
8,0.1,100,4,oracle_tail,0.0026723654652966553
8,0.1,100,4,tis,0.17477202055352262
8,0.1,100,4,tis_anchored,0.005682764658722987
8,0.1,100,4,uniform,0.2104509950514808
8,0.1,100,5,complete_rollout,0.0030841979913541592
8,0.1,100,5,learned_mean,0.10903811581965368
8,0.1,100,5,learned_occupancy,0.014307923216149664
8,0.1,100,5,occ_plus_mean,0.011236532314444127
8,0.1,100,5,occ_plus_uniform,0.013315947508111492
8,0.1,100,5,oracle_tail,0.0033959899809701006
8,0.1,100,5,tis,0.1800469871072241
8,0.1,100,5,tis_anchored,0.010775997855330576
8,0.1,100,5,uniform,0.21878390776142204
8,0.1,100,6,complete_rollout,0.007582477178957254
8,0.1,100,6,learned_mean,0.039205164917328485
8,0.1,100,6,learned_occupancy,0.010667806115347466
8,0.1,100,6,occ_plus_mean,0.010737342681494254
8,0.1,100,6,occ_plus_uniform,0.01541266306914145
8,0.1,100,6,oracle_tail,0.002415990786120482
8,0.1,100,6,tis,0.03823278708744294
8,0.1,100,6,tis_anchored,0.01075544244128318
8,0.1,100,6,uniform,0.09066016583238642
8,0.1,100,7,complete_rollout,0.004114685580238812
8,0.1,100,7,learned_mean,0.2045506030223353
8,0.1,100,7,learned_occupancy,0.014475632076490162
8,0.1,100,7,occ_plus_mean,0.0073592509877667646
8,0.1,100,7,occ_plus_uniform,0.010037467103915315
8,0.1,100,7,oracle_tail,0.0017204155156797052
8,0.1,100,7,tis,0.20068696102628816
8,0.1,100,7,tis_anchored,0.007897992177415068
8,0.1,100,7,uniform,0.11555061371475858
8,0.1,100,8,complete_rollout,0.005287666784483119
8,0.1,100,8,learned_mean,0.10755407963452016
8,0.1,100,8,learned_occupancy,0.00922028316483047
8,0.1,100,8,occ_plus_mean,0.013425993448974455
8,0.1,100,8,occ_plus_uniform,0.01435641292421249
8,0.1,100,8,oracle_tail,0.0053753678792932665
8,0.1,100,8,tis,0.10151292026724684
8,0.1,100,8,tis_anchored,0.013815871443106515
8,0.1,100,8,uniform,0.07586114511146762
8,0.1,100,9,complete_rollout,0.006629789657692657
8,0.1,100,9,learned_mean,0.16828412506625132
8,0.1,100,9,learned_occupancy,0.012589829392591265
8,0.1,100,9,occ_plus_mean,0.008461991002485814
8,0.1,100,9,occ_plus_uniform,0.01709758354869074
8,0.1,100,9,oracle_tail,0.004971968881014441
8,0.1,100,9,tis,0.18816235776375392
8,0.1,100,9,tis_anchored,0.010056387602082585
8,0.1,100,9,uniform,0.12206406319115186
8,0.1,100,10,complete_rollout,0.0061835876507556195
8,0.1,100,10,learned_mean,0.18059926515163796
8,0.1,100,10,learned_occupancy,0.018079971583054622
8,0.1,100,10,occ_plus_mean,0.016384331267468046
8,0.1,100,10,occ_plus_uniform,0.028143087692844685
8,0.1,100,10,oracle_tail,0.003595485154551587
8,0.1,100,10,tis,0.1282215550125914
8,0.1,100,10,tis_anchored,0.02200235811039627
8,0.1,100,10,uniform,0.07150546470230351
8,0.1,100,11,complete_rollout,0.00813095606442784
8,0.1,100,11,learned_mean,0.11285323158047848
8,0.1,100,11,learned_occupancy,0.0328491150217596
8,0.1,100,11,occ_plus_mean,0.021173989728671468
8,0.1,100,11,occ_plus_uniform,0.040273610291918616
8,0.1,100,11,oracle_tail,0.011379035073588267
8,0.1,100,11,tis,0.2954172838638735
8,0.1,100,11,tis_anchored,0.01979717882038707
8,0.1,100,11,uniform,0.10147767874798928
8,0.1,100,12,complete_rollout,0.014276333492410908
8,0.1,100,12,learned_mean,0.08019971834267148
8,0.1,100,12,learned_occupancy,0.014835986224368491
8,0.1,100,12,occ_plus_mean,0.015694173648697168
8,0.1,100,12,occ_plus_uniform,0.015909840138936895
8,0.1,100,12,oracle_tail,0.0029767874123827988
8,0.1,100,12,tis,0.09644181370242694
8,0.1,100,12,tis_anchored,0.017634302081911767
8,0.1,100,12,uniform,0.08093414700014838
8,0.1,100,13,complete_rollout,0.008494293352219488
8,0.1,100,13,learned_mean,0.14695507833437665
8,0.1,100,13,learned_occupancy,0.013966199700158971
8,0.1,100,13,occ_plus_mean,0.01569283509255881
8,0.1,100,13,occ_plus_uniform,0.012932947925716948
8,0.1,100,13,oracle_tail,0.0029844304473437863
8,0.1,100,13,tis,0.26586041468479105
8,0.1,100,13,tis_anchored,0.013153345599937338
8,0.1,100,13,uniform,0.09857687996530894
8,0.1,100,14,complete_rollout,0.008910156615280676
8,0.1,100,14,learned_mean,0.08282676944219318
8,0.1,100,14,learned_occupancy,0.008348589998272333
8,0.1,100,14,occ_plus_mean,0.011281681047927438
8,0.1,100,14,occ_plus_uniform,0.021885303412953364
8,0.1,100,14,oracle_tail,0.010161093513381578
8,0.1,100,14,tis,0.08547941368835255
8,0.1,100,14,tis_anchored,0.008882901359824452
8,0.1,100,14,uniform,0.1159912089403894
8,0.1,100,15,complete_rollout,0.006167302780673514
8,0.1,100,15,learned_mean,0.06078696482269083
8,0.1,100,15,learned_occupancy,0.012993173501082374
8,0.1,100,15,occ_plus_mean,0.010385480024599826
8,0.1,100,15,occ_plus_uniform,0.008636682948431005
8,0.1,100,15,oracle_tail,0.0014077342970166145
8,0.1,100,15,tis,0.2807276048422063
8,0.1,100,15,tis_anchored,0.005447800769390354
8,0.1,100,15,uniform,0.04336647976516434
8,0.1,100,16,complete_rollout,0.00867120908108016
8,0.1,100,16,learned_mean,0.2733037007521432
8,0.1,100,16,learned_occupancy,0.015034825537692455
8,0.1,100,16,occ_plus_mean,0.014249583164011039
8,0.1,100,16,occ_plus_uniform,0.01215053204687957
8,0.1,100,16,oracle_tail,0.003215440878251985
8,0.1,100,16,tis,0.3268280814885785
8,0.1,100,16,tis_anchored,0.01186566972801996
8,0.1,100,16,uniform,0.05904901504882579
8,0.1,100,17,complete_rollout,0.01083494926831335
8,0.1,100,17,learned_mean,0.10141404339512766
8,0.1,100,17,learned_occupancy,0.014976236523695247
8,0.1,100,17,occ_plus_mean,0.009201486624929336
8,0.1,100,17,occ_plus_uniform,0.012262706833626449
8,0.1,100,17,oracle_tail,0.0025796820037227762
8,0.1,100,17,tis,0.1509745857490062
8,0.1,100,17,tis_anchored,0.008817803065867347
8,0.1,100,17,uniform,0.10220959260678296
8,0.1,100,18,complete_rollout,0.011187286979762585
8,0.1,100,18,learned_mean,0.33540503032129465
8,0.1,100,18,learned_occupancy,0.017521772856232645
8,0.1,100,18,occ_plus_mean,0.029173025336907858
8,0.1,100,18,occ_plus_uniform,0.02676732615962533
8,0.1,100,18,oracle_tail,0.0027416730330968595
8,0.1,100,18,tis,0.41609776011679034
8,0.1,100,18,tis_anchored,0.0407745805598615
8,0.1,100,18,uniform,0.09497621084583337
8,0.1,100,19,complete_rollout,0.007329056078452617
8,0.1,100,19,learned_mean,0.13233771704269942
8,0.1,100,19,learned_occupancy,0.03983333985510778
8,0.1,100,19,occ_plus_mean,0.07436771653847418
8,0.1,100,19,occ_plus_uniform,0.0816147335018225
8,0.1,100,19,oracle_tail,0.006902908450459048
8,0.1,100,19,tis,0.10242329387415385
8,0.1,100,19,tis_anchored,0.08372208175481897
8,0.1,100,19,uniform,0.10892486816961179
8,0.1,100,20,complete_rollout,0.00698716361568918
8,0.1,100,20,learned_mean,0.037601006613571616
8,0.1,100,20,learned_occupancy,0.014925949896653239
8,0.1,100,20,occ_plus_mean,0.010788336685188485
8,0.1,100,20,occ_plus_uniform,0.009218602598097918
8,0.1,100,20,oracle_tail,0.002403541987001054
8,0.1,100,20,tis,0.11764525836992477
8,0.1,100,20,tis_anchored,0.008995088388652725
8,0.1,100,20,uniform,0.07085797503949486
8,0.1,100,21,complete_rollout,0.006928113427631635
8,0.1,100,21,learned_mean,0.24111684849836587
8,0.1,100,21,learned_occupancy,0.03291756556899833
8,0.1,100,21,occ_plus_mean,0.018524759913061458
8,0.1,100,21,occ_plus_uniform,0.018166623416986313
8,0.1,100,21,oracle_tail,0.00720015320558251
8,0.1,100,21,tis,0.2667277783424942
8,0.1,100,21,tis_anchored,0.020202125578338264
8,0.1,100,21,uniform,0.20654830086873555
8,0.1,100,22,complete_rollout,0.016322503618014763
8,0.1,100,22,learned_mean,0.29067316148882844
8,0.1,100,22,learned_occupancy,0.016670450786455678
8,0.1,100,22,occ_plus_mean,0.010150818520675375
8,0.1,100,22,occ_plus_uniform,0.019337619822575248
8,0.1,100,22,oracle_tail,0.002989099531729473
8,0.1,100,22,tis,0.2941605131486012
8,0.1,100,22,tis_anchored,0.009932214177706053
8,0.1,100,22,uniform,0.11432114189803193
8,0.1,100,23,complete_rollout,0.003784135734860968
8,0.1,100,23,learned_mean,0.15432154707133386
8,0.1,100,23,learned_occupancy,0.009654818837823188
8,0.1,100,23,occ_plus_mean,0.01457572067420188
8,0.1,100,23,occ_plus_uniform,0.014281073221910186
8,0.1,100,23,oracle_tail,0.007390332517266289
8,0.1,100,23,tis,0.14401381594125312
8,0.1,100,23,tis_anchored,0.014457507018159996
8,0.1,100,23,uniform,0.04284951796491007
8,0.1,100,24,complete_rollout,0.007055120287510242
8,0.1,100,24,learned_mean,0.09769139322785872
8,0.1,100,24,learned_occupancy,0.016168121397461023
8,0.1,100,24,occ_plus_mean,0.012238393830534341
8,0.1,100,24,occ_plus_uniform,0.03641027015299648
8,0.1,100,24,oracle_tail,0.004691922752101655
8,0.1,100,24,tis,0.10313556588374638
8,0.1,100,24,tis_anchored,0.011882601196802055
8,0.1,100,24,uniform,0.07728355120836969
8,0.1,100,25,complete_rollout,0.00730570197934707
8,0.1,100,25,learned_mean,0.4075809318741285
8,0.1,100,25,learned_occupancy,0.01076164589443991
8,0.1,100,25,occ_plus_mean,0.01066440882802206
8,0.1,100,25,occ_plus_uniform,0.008800559816497366
8,0.1,100,25,oracle_tail,0.0018997231748955502
8,0.1,100,25,tis,0.4266256864166951
8,0.1,100,25,tis_anchored,0.009988931823836616
8,0.1,100,25,uniform,0.08599919060429158
8,0.1,100,26,complete_rollout,0.0061363119063050755
8,0.1,100,26,learned_mean,0.024008618879029362
8,0.1,100,26,learned_occupancy,0.007949178828854545
8,0.1,100,26,occ_plus_mean,0.007683791227918005
8,0.1,100,26,occ_plus_uniform,0.00806495561664254
8,0.1,100,26,oracle_tail,0.0026819345706466926
8,0.1,100,26,tis,0.02267151068510962
8,0.1,100,26,tis_anchored,0.006846712163989402
8,0.1,100,26,uniform,0.13941850343314388
8,0.1,100,27,complete_rollout,0.008567882855685865
8,0.1,100,27,learned_mean,0.04246676146031473
8,0.1,100,27,learned_occupancy,0.011733006094202605
8,0.1,100,27,occ_plus_mean,0.006026624398519447
8,0.1,100,27,occ_plus_uniform,0.011938646509693182
8,0.1,100,27,oracle_tail,0.002849126984269926
8,0.1,100,27,tis,0.051665307402657276
8,0.1,100,27,tis_anchored,0.0044381354409175925
8,0.1,100,27,uniform,0.07228979406464207
8,0.1,100,28,complete_rollout,0.009264829366250163
8,0.1,100,28,learned_mean,0.026761946528470932
8,0.1,100,28,learned_occupancy,0.015119650250976308
8,0.1,100,28,occ_plus_mean,0.019645780989814107
8,0.1,100,28,occ_plus_uniform,0.015077965703280252
8,0.1,100,28,oracle_tail,0.00703177495830716
8,0.1,100,28,tis,0.025936947089132262
8,0.1,100,28,tis_anchored,0.017845596514514478
8,0.1,100,28,uniform,0.10735604115749396
8,0.1,100,29,complete_rollout,0.008238595097146731
8,0.1,100,29,learned_mean,0.06798311759585669
8,0.1,100,29,learned_occupancy,0.0146929672552466
8,0.1,100,29,occ_plus_mean,0.00887431112962604
8,0.1,100,29,occ_plus_uniform,0.007829069024653431
8,0.1,100,29,oracle_tail,0.0034952808847870847
8,0.1,100,29,tis,0.07842894645518908
8,0.1,100,29,tis_anchored,0.011865993995982291
8,0.1,100,29,uniform,0.07091103117854387
8,0.1,100,30,complete_rollout,0.006472812724319732
8,0.1,100,30,learned_mean,0.04248541075759166
8,0.1,100,30,learned_occupancy,0.00830912628654209
8,0.1,100,30,occ_plus_mean,0.010556716723920438
8,0.1,100,30,occ_plus_uniform,0.013229342375423878
8,0.1,100,30,oracle_tail,0.0019696723224677695
8,0.1,100,30,tis,0.3787705984142944
8,0.1,100,30,tis_anchored,0.01089310194502247
8,0.1,100,30,uniform,0.04999871962258764
8,0.1,100,31,complete_rollout,0.012049246801049492
8,0.1,100,31,learned_mean,0.16526529423251451
8,0.1,100,31,learned_occupancy,0.009674246989817701
8,0.1,100,31,occ_plus_mean,0.011310309598874376
8,0.1,100,31,occ_plus_uniform,0.011238064591350868
8,0.1,100,31,oracle_tail,0.0047318332409937
8,0.1,100,31,tis,0.15457356423820354
8,0.1,100,31,tis_anchored,0.009449350248407068
8,0.1,100,31,uniform,0.08327065932778192
8,0.1,100,32,complete_rollout,0.0033907685467225775
8,0.1,100,32,learned_mean,0.05922975259273924
8,0.1,100,32,learned_occupancy,0.00895632941169749
8,0.1,100,32,occ_plus_mean,0.011908107318805483
