horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
10,0.1,100,complete_rollout-minus-tis,300,-0.03569956429156767,0.0017754884681142652
10,0.1,100,learned_mean-minus-tis,300,-0.004939602147116348,0.0010843533963968111
10,0.1,100,learned_occupancy-minus-tis,300,-0.022735541278440158,0.0017497027004534996
10,0.1,100,occ_plus_mean-minus-tis,300,-0.029846504025189305,0.0016984646065005425
10,0.1,100,occ_plus_uniform-minus-tis,300,-0.024391663314311942,0.0017866327541395575
10,0.1,100,oracle_tail-minus-tis,300,-0.0424393280470021,0.0017683268344255887
10,0.1,100,tis_anchored-minus-tis,300,-0.030348848998351594,0.0017083838054257213
10,0.1,100,uniform-minus-tis,300,0.032949267538065874,0.002367564851043065
10,0.1,200,complete_rollout-minus-tis,300,-0.022176127964885387,0.001446287632607047
10,0.1,200,learned_mean-minus-tis,300,-0.003651624564943815,0.0006327279056758655
10,0.1,200,learned_occupancy-minus-tis,300,-0.01785272907238941,0.0014567370673666132
10,0.1,200,occ_plus_mean-minus-tis,300,-0.021124425691932333,0.0014296451137107093
10,0.1,200,occ_plus_uniform-minus-tis,300,-0.017222798551985025,0.0014836732448182991
10,0.1,200,oracle_tail-minus-tis,300,-0.02570705619578505,0.0014396660581025716
10,0.1,200,tis_anchored-minus-tis,300,-0.021470649900167085,0.0014311648972280713
10,0.1,200,uniform-minus-tis,300,0.014391845300828232,0.0016567471270736726
10,0.1,400,complete_rollout-minus-tis,300,-0.012981733120263085,0.0011396692992259809
10,0.1,400,learned_mean-minus-tis,300,-0.001461884100796385,0.0002703145364155007
10,0.1,400,learned_occupancy-minus-tis,300,-0.011587206021833933,0.001130865124995202
10,0.1,400,occ_plus_mean-minus-tis,300,-0.013176000423971755,0.0011331553461758832
10,0.1,400,occ_plus_uniform-minus-tis,300,-0.010799727332525724,0.001137199829739649
10,0.1,400,oracle_tail-minus-tis,300,-0.014731801930630374,0.001135553503838896
10,0.1,400,tis_anchored-minus-tis,300,-0.013350995537378917,0.0011336760986729348
10,0.1,400,uniform-minus-tis,300,0.005650220467510694,0.0011711255455676634
