horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
8,0.1,100,0,complete_rollout,0.005204084001287512
8,0.1,100,0,learned_mean,0.024888343508873197
8,0.1,100,0,learned_occupancy,0.018703344268690136
8,0.1,100,0,occ_plus_mean,0.016990077905770118
8,0.1,100,0,occ_plus_uniform,0.016779109879443442
8,0.1,100,0,oracle_tail,0.0015839925710758262
8,0.1,100,0,tis,0.023980979339368706
8,0.1,100,0,tis_anchored,0.016960525346357017
8,0.1,100,0,uniform,0.030458035483313065
8,0.1,100,1,complete_rollout,0.0031669687586939246
8,0.1,100,1,learned_mean,0.018193514221535815
8,0.1,100,1,learned_occupancy,0.013223971188178637
8,0.1,100,1,occ_plus_mean,0.009042519106529064
8,0.1,100,1,occ_plus_uniform,0.010934934989289753
8,0.1,100,1,oracle_tail,0.0031431096317661522
8,0.1,100,1,tis,0.020205636815076897
8,0.1,100,1,tis_anchored,0.009306211424784785
8,0.1,100,1,uniform,0.04808143148181152
8,0.1,100,2,complete_rollout,0.005628113434141595
8,0.1,100,2,learned_mean,0.007692450399500546
8,0.1,100,2,learned_occupancy,0.008279001615688227
8,0.1,100,2,occ_plus_mean,0.004062451295503374
8,0.1,100,2,occ_plus_uniform,0.011798474308216103
8,0.1,100,2,oracle_tail,0.0008954097206368785
8,0.1,100,2,tis,0.019676996084867015
8,0.1,100,2,tis_anchored,0.0035145754068307052
8,0.1,100,2,uniform,0.04802531104063094
8,0.1,100,3,complete_rollout,0.002362423189447464
8,0.1,100,3,learned_mean,0.015479614832699704
8,0.1,100,3,learned_occupancy,0.011786222144162773
8,0.1,100,3,occ_plus_mean,0.008539500311291059
8,0.1,100,3,occ_plus_uniform,0.009154022876097059
8,0.1,100,3,oracle_tail,0.0012610197529274551
8,0.1,100,3,tis,0.014876408579843995
8,0.1,100,3,tis_anchored,0.007428736015209929
8,0.1,100,3,uniform,0.04016566876719952
8,0.1,100,4,complete_rollout,0.0043532963723262735
8,0.1,100,4,learned_mean,0.005401977323761407
8,0.1,100,4,learned_occupancy,0.00665279911712769
8,0.1,100,4,occ_plus_mean,0.006667720596288329
8,0.1,100,4,occ_plus_uniform,0.010008261908426285
8,0.1,100,4,oracle_tail,0.001665886207501254
8,0.1,100,4,tis,0.00924215175830214
8,0.1,100,4,tis_anchored,0.008919466660008417
8,0.1,100,4,uniform,0.04646886251198096
8,0.1,100,5,complete_rollout,0.002246771051451712
8,0.1,100,5,learned_mean,0.04890404083712252
8,0.1,100,5,learned_occupancy,0.009466355562167213
8,0.1,100,5,occ_plus_mean,0.005321544641889776
8,0.1,100,5,occ_plus_uniform,0.01445874280064387
8,0.1,100,5,oracle_tail,0.0013220024682852605
8,0.1,100,5,tis,0.052734122948303486
8,0.1,100,5,tis_anchored,0.004830897006065215
8,0.1,100,5,uniform,0.028146803055396137
8,0.1,100,6,complete_rollout,0.007518829551228945
8,0.1,100,6,learned_mean,0.0266579308002739
8,0.1,100,6,learned_occupancy,0.018467575380945848
8,0.1,100,6,occ_plus_mean,0.008037017867194672
8,0.1,100,6,occ_plus_uniform,0.016068405280153672
8,0.1,100,6,oracle_tail,0.0015626685069595444
8,0.1,100,6,tis,0.03544897737770114
8,0.1,100,6,tis_anchored,0.010249768658927991
8,0.1,100,6,uniform,0.034477085990088696
8,0.1,100,7,complete_rollout,0.003331287222326296
8,0.1,100,7,learned_mean,0.0063869053830623804
8,0.1,100,7,learned_occupancy,0.012384908456561722
8,0.1,100,7,occ_plus_mean,0.006730703240029779
8,0.1,100,7,occ_plus_uniform,0.01670853669756728
8,0.1,100,7,oracle_tail,0.001998706225098882
8,0.1,100,7,tis,0.012148582068006624
8,0.1,100,7,tis_anchored,0.0075734994370539105
8,0.1,100,7,uniform,0.046186945440127795
8,0.1,100,8,complete_rollout,0.003047839962896074
8,0.1,100,8,learned_mean,0.03924921280873597
8,0.1,100,8,learned_occupancy,0.018525925035523815
8,0.1,100,8,occ_plus_mean,0.011493333516451022
8,0.1,100,8,occ_plus_uniform,0.00759233971318299
8,0.1,100,8,oracle_tail,0.0012292447410729931
8,0.1,100,8,tis,0.03873328741911346
8,0.1,100,8,tis_anchored,0.008466188652921147
8,0.1,100,8,uniform,0.023732545431549026
8,0.1,100,9,complete_rollout,0.005023477435779902
8,0.1,100,9,learned_mean,0.015588953969391648
8,0.1,100,9,learned_occupancy,0.010747829925145516
8,0.1,100,9,occ_plus_mean,0.006421693653171672
8,0.1,100,9,occ_plus_uniform,0.014803627921802646
8,0.1,100,9,oracle_tail,0.001068990186910383
8,0.1,100,9,tis,0.04147757546735446
8,0.1,100,9,tis_anchored,0.007518774941406475
8,0.1,100,9,uniform,0.0543878399027438
8,0.1,100,10,complete_rollout,0.004022286285950012
8,0.1,100,10,learned_mean,0.06914391012101453
8,0.1,100,10,learned_occupancy,0.02027260121929471
8,0.1,100,10,occ_plus_mean,0.009948363248299437
8,0.1,100,10,occ_plus_uniform,0.02162479709191065
8,0.1,100,10,oracle_tail,0.0015474742192823903
8,0.1,100,10,tis,0.07169494632142627
8,0.1,100,10,tis_anchored,0.009855147683000404
8,0.1,100,10,uniform,0.06080696526730169
8,0.1,100,11,complete_rollout,0.004099931613056536
8,0.1,100,11,learned_mean,0.011694144667390473
8,0.1,100,11,learned_occupancy,0.009990312577612653
8,0.1,100,11,occ_plus_mean,0.007482201371489232
8,0.1,100,11,occ_plus_uniform,0.01026323112174617
8,0.1,100,11,oracle_tail,0.000907625349839523
8,0.1,100,11,tis,0.014599752626489125
8,0.1,100,11,tis_anchored,0.006698838694907268
8,0.1,100,11,uniform,0.04702051907096145
8,0.1,100,12,complete_rollout,0.00677436489420402
8,0.1,100,12,learned_mean,0.012081228024507042
8,0.1,100,12,learned_occupancy,0.006598701444112813
8,0.1,100,12,occ_plus_mean,0.005197886218076586
8,0.1,100,12,occ_plus_uniform,0.0077371886995556945
8,0.1,100,12,oracle_tail,0.001953357631278861
8,0.1,100,12,tis,0.01243691934780034
8,0.1,100,12,tis_anchored,0.004669259012021963
8,0.1,100,12,uniform,0.05647369837591509
8,0.1,100,13,complete_rollout,0.003964993699319356
8,0.1,100,13,learned_mean,0.017402370503967514
8,0.1,100,13,learned_occupancy,0.015388555976224683
8,0.1,100,13,occ_plus_mean,0.007520457591561155
8,0.1,100,13,occ_plus_uniform,0.019331883286384972
8,0.1,100,13,oracle_tail,0.002278788022830534
8,0.1,100,13,tis,0.022368355402213443
8,0.1,100,13,tis_anchored,0.0071762915109163565
8,0.1,100,13,uniform,0.05578961638332576
8,0.1,100,14,complete_rollout,0.007679927711039454
8,0.1,100,14,learned_mean,0.08392808312742174
8,0.1,100,14,learned_occupancy,0.00541687866618713
8,0.1,100,14,occ_plus_mean,0.004482389705945221
8,0.1,100,14,occ_plus_uniform,0.00863123215720354
8,0.1,100,14,oracle_tail,0.002242181037682407
8,0.1,100,14,tis,0.020499426614971825
8,0.1,100,14,tis_anchored,0.004541007214037808
8,0.1,100,14,uniform,0.05408954890189656
8,0.1,100,15,complete_rollout,0.0030917913370005854
8,0.1,100,15,learned_mean,0.021586825226916705
8,0.1,100,15,learned_occupancy,0.02175507411892824
8,0.1,100,15,occ_plus_mean,0.01043325574856472
8,0.1,100,15,occ_plus_uniform,0.01612726586308794
8,0.1,100,15,oracle_tail,0.0014154413423120064
8,0.1,100,15,tis,0.02930862743322004
8,0.1,100,15,tis_anchored,0.011244803160071032
8,0.1,100,15,uniform,0.031270038061142556
8,0.1,100,16,complete_rollout,0.00542725121777813
8,0.1,100,16,learned_mean,0.01426478781881911
8,0.1,100,16,learned_occupancy,0.011217180273618422
8,0.1,100,16,occ_plus_mean,0.012182656054825946
8,0.1,100,16,occ_plus_uniform,0.012965740533971455
8,0.1,100,16,oracle_tail,0.0020250998963137912
8,0.1,100,16,tis,0.047852329681162264
8,0.1,100,16,tis_anchored,0.011565820913862275
8,0.1,100,16,uniform,0.06904850049065644
8,0.1,100,17,complete_rollout,0.008984906789312809
8,0.1,100,17,learned_mean,0.00918751284674068
8,0.1,100,17,learned_occupancy,0.01237595554204066
8,0.1,100,17,occ_plus_mean,0.00859868275919471
8,0.1,100,17,occ_plus_uniform,0.007942486034580459
8,0.1,100,17,oracle_tail,0.0020274899340124056
8,0.1,100,17,tis,0.010328618710584537
8,0.1,100,17,tis_anchored,0.008053194664583584
8,0.1,100,17,uniform,0.026298013363685514
8,0.1,100,18,complete_rollout,0.003378936852214138
8,0.1,100,18,learned_mean,0.01885956669977205
8,0.1,100,18,learned_occupancy,0.005046626920382878
8,0.1,100,18,occ_plus_mean,0.004426009865501405
8,0.1,100,18,occ_plus_uniform,0.011201950354318178
8,0.1,100,18,oracle_tail,0.0010698283935667986
8,0.1,100,18,tis,0.02049908502007889
8,0.1,100,18,tis_anchored,0.004868160998183394
8,0.1,100,18,uniform,0.051975534736704285
8,0.1,100,19,complete_rollout,0.005664013329263053
8,0.1,100,19,learned_mean,0.04737601688936401
8,0.1,100,19,learned_occupancy,0.00803329368064339
8,0.1,100,19,occ_plus_mean,0.004991271776799119
8,0.1,100,19,occ_plus_uniform,0.010751062372614665
8,0.1,100,19,oracle_tail,0.0010498147617051179
8,0.1,100,19,tis,0.05625530989231105
8,0.1,100,19,tis_anchored,0.004154514506065399
8,0.1,100,19,uniform,0.06010505092505314
8,0.1,100,20,complete_rollout,0.0051712777598223935
8,0.1,100,20,learned_mean,0.02757291738520474
8,0.1,100,20,learned_occupancy,0.010762085212247294
8,0.1,100,20,occ_plus_mean,0.013446113262556465
8,0.1,100,20,occ_plus_uniform,0.007238662066735145
8,0.1,100,20,oracle_tail,0.0015003417840423624
8,0.1,100,20,tis,0.026572339144775817
8,0.1,100,20,tis_anchored,0.013853317101499297
8,0.1,100,20,uniform,0.0365893006151745
8,0.1,100,21,complete_rollout,0.002723236884913129
8,0.1,100,21,learned_mean,0.012287667986886398
8,0.1,100,21,learned_occupancy,0.00884865155030726
8,0.1,100,21,occ_plus_mean,0.003150699599763328
8,0.1,100,21,occ_plus_uniform,0.012965371960718362
8,0.1,100,21,oracle_tail,0.0009528101169988575
8,0.1,100,21,tis,0.022479837224891802
8,0.1,100,21,tis_anchored,0.0031039860402353866
8,0.1,100,21,uniform,0.0444617687638253
8,0.1,100,22,complete_rollout,0.0036506761397445066
8,0.1,100,22,learned_mean,0.02555099855554308
8,0.1,100,22,learned_occupancy,0.04173180856556839
8,0.1,100,22,occ_plus_mean,0.019920788539422783
8,0.1,100,22,occ_plus_uniform,0.016689511187739852
8,0.1,100,22,oracle_tail,0.0016273584842337744
8,0.1,100,22,tis,0.028136401719977243
8,0.1,100,22,tis_anchored,0.0209208526015801
8,0.1,100,22,uniform,0.08887035047592709
8,0.1,100,23,complete_rollout,0.006194317566704552
8,0.1,100,23,learned_mean,0.017255959695681434
8,0.1,100,23,learned_occupancy,0.010616633890245357
8,0.1,100,23,occ_plus_mean,0.006116016660424647
8,0.1,100,23,occ_plus_uniform,0.015676575908828337
8,0.1,100,23,oracle_tail,0.0012366913467437
8,0.1,100,23,tis,0.017465436413641743
8,0.1,100,23,tis_anchored,0.007127487687645253
8,0.1,100,23,uniform,0.07059726100450756
8,0.1,100,24,complete_rollout,0.009372719244077819
8,0.1,100,24,learned_mean,0.007370522253995455
8,0.1,100,24,learned_occupancy,0.014279792225020696
8,0.1,100,24,occ_plus_mean,0.0037909469528079574
8,0.1,100,24,occ_plus_uniform,0.03279603289691889
8,0.1,100,24,oracle_tail,0.00231518901236981
8,0.1,100,24,tis,0.005788771417799234
8,0.1,100,24,tis_anchored,0.00461378400118051
8,0.1,100,24,uniform,0.05333218664977214
8,0.1,100,25,complete_rollout,0.005697492686437857
8,0.1,100,25,learned_mean,0.013363739588424371
8,0.1,100,25,learned_occupancy,0.013137734910982647
8,0.1,100,25,occ_plus_mean,0.01112586722395905
8,0.1,100,25,occ_plus_uniform,0.016919709291517423
8,0.1,100,25,oracle_tail,0.002512524419867576
8,0.1,100,25,tis,0.023797921754233
8,0.1,100,25,tis_anchored,0.01174027903004463
8,0.1,100,25,uniform,0.04973755386022949
8,0.1,100,26,complete_rollout,0.005390155009971675
8,0.1,100,26,learned_mean,0.014597379612709988
8,0.1,100,26,learned_occupancy,0.016377857609886547
8,0.1,100,26,occ_plus_mean,0.00975802163949663
8,0.1,100,26,occ_plus_uniform,0.005792910769961641
8,0.1,100,26,oracle_tail,0.0009883671987009908
8,0.1,100,26,tis,0.01382006973474337
8,0.1,100,26,tis_anchored,0.011163732438851527
8,0.1,100,26,uniform,0.04871494356446308
8,0.1,100,27,complete_rollout,0.0064656947795222
8,0.1,100,27,learned_mean,0.009263210737569038
8,0.1,100,27,learned_occupancy,0.006623469034265762
8,0.1,100,27,occ_plus_mean,0.005819302590671278
8,0.1,100,27,occ_plus_uniform,0.010753500703318559
8,0.1,100,27,oracle_tail,0.0010954235598200654
8,0.1,100,27,tis,0.02019247615921284
8,0.1,100,27,tis_anchored,0.004612070648493355
8,0.1,100,27,uniform,0.07343700801132413
8,0.1,100,28,complete_rollout,0.0030739008824411467
8,0.1,100,28,learned_mean,0.027768423999562787
8,0.1,100,28,learned_occupancy,0.01057560163565275
8,0.1,100,28,occ_plus_mean,0.007495288398750358
8,0.1,100,28,occ_plus_uniform,0.009035716389449697
8,0.1,100,28,oracle_tail,0.003440750389097384
8,0.1,100,28,tis,0.030974066467201408
8,0.1,100,28,tis_anchored,0.007648294672250469
8,0.1,100,28,uniform,0.03157955385233864
8,0.1,100,29,complete_rollout,0.00625284861696852
