horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
8,0.1,100,complete_rollout-minus-tis,300,-0.009022215789409174,0.0012590559729006214
8,0.1,100,learned_mean-minus-tis,300,-0.0009083235168903771,0.0001564902170562245
8,0.1,100,learned_occupancy-minus-tis,300,-0.007669958728708784,0.0012612051564621768
8,0.1,100,occ_plus_mean-minus-tis,300,-0.008243340937147688,0.0012541103380955094
8,0.1,100,occ_plus_uniform-minus-tis,300,-0.007693630150522982,0.0012601495080618134
8,0.1,100,oracle_tail-minus-tis,300,-0.009803083801624712,0.0012559694121241382
8,0.1,100,tis_anchored-minus-tis,300,-0.008313108497138061,0.0012529391084010176
8,0.1,100,uniform-minus-tis,300,0.0031547192673758466,0.0015404212139095547
8,0.1,200,complete_rollout-minus-tis,300,-0.004673135859907232,0.0011457889672344531
8,0.1,200,learned_mean-minus-tis,300,-0.0006465388917087767,8.036746941208296e-05
8,0.1,200,learned_occupancy-minus-tis,300,-0.004195921198883129,0.0011694911514650139
8,0.1,200,occ_plus_mean-minus-tis,300,-0.004689000374192546,0.0011449848583261818
8,0.1,200,occ_plus_uniform-minus-tis,300,-0.0040915106497236816,0.0011429657442193195
8,0.1,200,oracle_tail-minus-tis,300,-0.0050477618491911085,0.0011453354082298407
8,0.1,200,tis_anchored-minus-tis,300,-0.00470345780661955,0.001145691390598932
8,0.1,200,uniform-minus-tis,300,0.0008288671840132868,0.0011397468167858567
8,0.1,400,complete_rollout-minus-tis,300,-0.0020599311473515915,0.00016390556332363082
8,0.1,400,learned_mean-minus-tis,300,-0.0005448320684482412,0.00012145635764677511
8,0.1,400,learned_occupancy-minus-tis,300,-0.00201617002564555,0.00016329244139748036
8,0.1,400,occ_plus_mean-minus-tis,300,-0.002152172983819195,0.00016242970564704236
8,0.1,400,occ_plus_uniform-minus-tis,300,-0.0018398692877046156,0.00016140253898520193
8,0.1,400,oracle_tail-minus-tis,300,-0.0022798078706641636,0.00016267892129171618
8,0.1,400,tis_anchored-minus-tis,300,-0.002170574258306309,0.00016255932261538932
8,0.1,400,uniform-minus-tis,300,0.00042356854194678604,0.0001816938079201778
