horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
8,0.1,100,0,complete_rollout,0.0014104290276141457
8,0.1,100,0,learned_mean,0.010201558964213922
8,0.1,100,0,learned_occupancy,0.001227851452465964
8,0.1,100,0,occ_plus_mean,0.0011959844981842744
8,0.1,100,0,occ_plus_uniform,0.002611984668275266
8,0.1,100,0,oracle_tail,0.00040116295483307404
8,0.1,100,0,tis,0.010495162222625485
8,0.1,100,0,tis_anchored,0.0009247870403687726
8,0.1,100,0,uniform,0.016302954183235473
8,0.1,100,1,complete_rollout,0.0005659467908215929
8,0.1,100,1,learned_mean,0.003988717996679863
8,0.1,100,1,learned_occupancy,0.0006857085795779637
8,0.1,100,1,occ_plus_mean,0.0003593601832114746
8,0.1,100,1,occ_plus_uniform,0.002367356935798575
8,0.1,100,1,oracle_tail,0.00019288241929631513
8,0.1,100,1,tis,0.007178753676743013
8,0.1,100,1,tis_anchored,0.000296062549951613
8,0.1,100,1,uniform,0.023290271257498437
8,0.1,100,2,complete_rollout,0.0033451900689178875
8,0.1,100,2,learned_mean,0.002962670475233711
8,0.1,100,2,learned_occupancy,0.0013942367933628128
8,0.1,100,2,occ_plus_mean,0.0011969613172737184
8,0.1,100,2,occ_plus_uniform,0.002256590300750673
8,0.1,100,2,oracle_tail,0.0006117819964049073
8,0.1,100,2,tis,0.003426668507233434
8,0.1,100,2,tis_anchored,0.0010577149144761703
8,0.1,100,2,uniform,0.006660053732864737
8,0.1,100,3,complete_rollout,0.0005075665128279219
8,0.1,100,3,learned_mean,0.004096569415501858
8,0.1,100,3,learned_occupancy,0.00487985564408285
8,0.1,100,3,occ_plus_mean,0.005985533493100363
8,0.1,100,3,occ_plus_uniform,0.002371859818769416
8,0.1,100,3,oracle_tail,0.0004993475968387807
8,0.1,100,3,tis,0.0060912177553154425
8,0.1,100,3,tis_anchored,0.0043814300417849604
8,0.1,100,3,uniform,0.04592951186617617
8,0.1,100,4,complete_rollout,0.0007932678866288765
8,0.1,100,4,learned_mean,0.003536987065175486
8,0.1,100,4,learned_occupancy,0.0015622528328164305
8,0.1,100,4,occ_plus_mean,0.0009667482168298979
8,0.1,100,4,occ_plus_uniform,0.002057227203811443
8,0.1,100,4,oracle_tail,0.00022780824345265566
8,0.1,100,4,tis,0.003692452506138441
8,0.1,100,4,tis_anchored,0.0009596320052271101
8,0.1,100,4,uniform,0.005339156261620062
8,0.1,100,5,complete_rollout,0.0008342535279398633
8,0.1,100,5,learned_mean,0.0028444035920237205
8,0.1,100,5,learned_occupancy,0.0009322361381612116
8,0.1,100,5,occ_plus_mean,0.00035684592346813633
8,0.1,100,5,occ_plus_uniform,0.0013146273272826353
8,0.1,100,5,oracle_tail,0.0004111783238648327
8,0.1,100,5,tis,0.0027701571202934333
8,0.1,100,5,tis_anchored,0.00023113729086676095
8,0.1,100,5,uniform,0.004750237720056871
8,0.1,100,6,complete_rollout,0.001095240734346659
8,0.1,100,6,learned_mean,0.003007073670525676
8,0.1,100,6,learned_occupancy,0.00042096413175825775
8,0.1,100,6,occ_plus_mean,0.0010421771195889776
8,0.1,100,6,occ_plus_uniform,0.002419706899792432
8,0.1,100,6,oracle_tail,0.00027711034754671743
8,0.1,100,6,tis,0.004883443514276923
8,0.1,100,6,tis_anchored,0.0012925424266429278
8,0.1,100,6,uniform,0.016561561029297983
8,0.1,100,7,complete_rollout,0.0004070948880469249
8,0.1,100,7,learned_mean,0.0059491766360557745
8,0.1,100,7,learned_occupancy,0.001099038487520319
8,0.1,100,7,occ_plus_mean,0.0007025979276715632
8,0.1,100,7,occ_plus_uniform,0.001432124452764929
8,0.1,100,7,oracle_tail,0.00038348547920709185
8,0.1,100,7,tis,0.00748533741923286
8,0.1,100,7,tis_anchored,0.0005579267145970518
8,0.1,100,7,uniform,0.00467968670746499
8,0.1,100,8,complete_rollout,0.0021917496584916
8,0.1,100,8,learned_mean,0.005260172868555629
8,0.1,100,8,learned_occupancy,0.0013441342528235124
8,0.1,100,8,occ_plus_mean,0.0007843563590108778
8,0.1,100,8,occ_plus_uniform,0.0023349664226795163
8,0.1,100,8,oracle_tail,0.00035550200472744836
8,0.1,100,8,tis,0.005551359225615642
8,0.1,100,8,tis_anchored,0.0007955258069880912
8,0.1,100,8,uniform,0.01255210865681248
8,0.1,100,9,complete_rollout,0.0012921090636474825
8,0.1,100,9,learned_mean,0.0022272574086611677
8,0.1,100,9,learned_occupancy,0.00243036700866347
8,0.1,100,9,occ_plus_mean,0.0014602592107174732
8,0.1,100,9,occ_plus_uniform,0.0018664210948599845
8,0.1,100,9,oracle_tail,0.00023395297672828834
8,0.1,100,9,tis,0.0016453117058898242
8,0.1,100,9,tis_anchored,0.0010248510805689474
8,0.1,100,9,uniform,0.012316867307258785
8,0.1,100,10,complete_rollout,0.0003509293103733501
8,0.1,100,10,learned_mean,0.012538440793984938
8,0.1,100,10,learned_occupancy,0.000945382816783422
8,0.1,100,10,occ_plus_mean,0.0008561410240519866
8,0.1,100,10,occ_plus_uniform,0.001193323811377162
8,0.1,100,10,oracle_tail,0.00023671024290004548
8,0.1,100,10,tis,0.015566827260738287
8,0.1,100,10,tis_anchored,0.001003962185375454
8,0.1,100,10,uniform,0.011100970602212682
8,0.1,100,11,complete_rollout,0.0009038077067418792
8,0.1,100,11,learned_mean,0.002941317866782121
8,0.1,100,11,learned_occupancy,0.0011371404144019206
8,0.1,100,11,occ_plus_mean,0.0010366865773913177
8,0.1,100,11,occ_plus_uniform,0.0013946874611093305
8,0.1,100,11,oracle_tail,0.00046445911884413464
8,0.1,100,11,tis,0.0032037092931904367
8,0.1,100,11,tis_anchored,0.0009253745140190266
8,0.1,100,11,uniform,0.01965210363685241
8,0.1,100,12,complete_rollout,0.0010132864485196556
8,0.1,100,12,learned_mean,0.0022100978896317184
8,0.1,100,12,learned_occupancy,0.001962389837320131
8,0.1,100,12,occ_plus_mean,0.0012060370824298397
8,0.1,100,12,occ_plus_uniform,0.005267468103049629
8,0.1,100,12,oracle_tail,0.0009991472340226334
8,0.1,100,12,tis,0.0034670718889394437
8,0.1,100,12,tis_anchored,0.0013659859587371443
8,0.1,100,12,uniform,0.05454378237700775
8,0.1,100,13,complete_rollout,0.0015618512174717294
8,0.1,100,13,learned_mean,0.028831688704779368
8,0.1,100,13,learned_occupancy,0.008763457402276463
8,0.1,100,13,occ_plus_mean,0.010024902274454324
8,0.1,100,13,occ_plus_uniform,0.007948391681291408
8,0.1,100,13,oracle_tail,0.0005994589013699549
8,0.1,100,13,tis,0.02373741404152081
