horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
8,0.1,100,0,complete_rollout,300,2.5845616041402753e-05,1.85494080156218e-06,0.0006330757586615387,0.035296805726709686
8,0.1,100,0,learned_mean,300,0.00028818287585876973,0.00012526456463894087,0.0006894702622878353,0.3935651975428563
8,0.1,100,0,learned_occupancy,300,2.853592650905009e-05,3.5757752215496735e-06,0.0001410045127465113,0.038970905263318284
8,0.1,100,0,occ_plus_mean,300,2.76408941035556e-05,3.4801926777503833e-06,0.0002014573792837826,0.037748578626365964
8,0.1,100,0,occ_plus_uniform,300,4.476818563142111e-05,3.7660099623678816e-06,0.00027733189727745374,0.061138954801395556
8,0.1,100,0,oracle_tail,300,1.3730891725976406e-05,1.0597562991163323e-06,6.559472370882762e-05,0.01875198551777179
8,0.1,100,0,tis,300,0.00029055393884505675,0.00012509025209436772,0.0007996412977983466,0.396803307613775
8,0.1,100,0,tis_anchored,300,2.830260229622024e-05,3.576677206683838e-06,0.0002696076069991271,0.038652259370010884
8,0.1,100,0,uniform,300,0.0007322366857079348,5.185637394870303e-05,0.0039038262026515782,1.0
8,0.1,100,1,complete_rollout,300,7.944735791764433e-05,6.346393563165579e-06,0.0012221592578108116,0.17117525196230546
8,0.1,100,1,learned_mean,300,8.897830732020977e-05,7.834879369128272e-06,-0.0008321160538573894,0.19171039256591507
8,0.1,100,1,learned_occupancy,300,5.836078630754811e-05,4.287698426045678e-06,-0.00023574002512553408,0.12574266234590753
8,0.1,100,1,occ_plus_mean,300,5.219946966561829e-05,4.128974629732405e-06,-0.0005717786429541623,0.11246764658395915
8,0.1,100,1,occ_plus_uniform,300,0.00010226172127782818,6.983149220764626e-06,-9.020246018060027e-05,0.22033049763563892
8,0.1,100,1,oracle_tail,300,3.273869606828403e-05,2.568656387956079e-06,-0.0003552376190111743,0.07053795991825253
8,0.1,100,1,tis,300,5.6923386765019266e-05,4.682865923563452e-06,-0.0007921423421703367,0.12264567793620655
8,0.1,100,1,tis_anchored,300,4.715758748238903e-05,3.5342992602310702e-06,-0.0005916802622775326,0.10160453576820155
8,0.1,100,1,uniform,300,0.0004641287628140279,3.635773928126682e-05,0.0016429148265247927,1.0
8,0.1,100,2,complete_rollout,300,0.0020573866153888744,0.00017933056998888043,-0.005053114232396157,0.10992067415349509
8,0.1,100,2,learned_mean,300,0.014683150585664023,0.0034140864342512697,-0.008328296406457032,0.7844815354592024
8,0.1,100,2,learned_occupancy,300,0.002485490371226365,0.000206824193084222,-0.0020321412761723353,0.13279311489813642
8,0.1,100,2,occ_plus_mean,300,0.0014490076943308877,0.00011922974468658453,-0.002431111296725632,0.07741661262064124
8,0.1,100,2,occ_plus_uniform,300,0.0037460553221207184,0.0002928692899790596,-0.0005865260688607399,0.20014173483186948
8,0.1,100,2,oracle_tail,300,0.0003742116129329188,3.147997439617598e-05,-0.000754792098715289,0.01999312742776757
8,0.1,100,2,tis,300,0.014486557369761698,0.0034466116431198413,-0.008451509817395779,0.7739780847881661
8,0.1,100,2,tis_anchored,300,0.0015556348240034826,0.00012541551964167252,-0.00397544445521434,0.0831134154913299
8,0.1,100,2,uniform,300,0.018717012347612652,0.002023924867063819,0.014176962980585423,1.0
8,0.1,100,3,complete_rollout,300,1.718881635605794e-05,1.6038481418823274e-06,-0.00011352562071381022,0.028395664065767698
8,0.1,100,3,learned_mean,300,0.0006603359033798878,8.915180018748982e-05,0.006626637433382928,1.0908649027675565
8,0.1,100,3,learned_occupancy,300,1.035366423911014e-05,1.0735088882977965e-06,7.239825991660473e-05,0.017104096378335456
8,0.1,100,3,occ_plus_mean,300,1.349077279644669e-05,1.4125857679918057e-06,-0.00011527850054460665,0.022286552161602857
8,0.1,100,3,occ_plus_uniform,300,2.230667418806522e-05,2.4550293833233465e-06,2.8597144151326266e-05,0.03685028762586055
8,0.1,100,3,oracle_tail,300,7.404674141385483e-06,7.242675941010626e-07,-0.00013381274561624857,0.012232409438777663
8,0.1,100,3,tis,300,0.0005772282817937211,8.833694994622214e-05,0.00588138725981899,0.9535723716832958
8,0.1,100,3,tis_anchored,300,1.0441773185316145e-05,1.0983873670407168e-06,-0.00014634618905698282,0.01724965102187976
8,0.1,100,3,uniform,300,0.0006053324309037683,4.8337440765034187e-05,0.004915909492541317,1.0
8,0.1,100,4,complete_rollout,300,0.00011333807241051552,9.474491694042249e-06,0.0007506621661998055,0.3806079403317506
8,0.1,100,4,learned_mean,300,0.0005101464253955487,0.0002746585604183635,-0.00191048004845113,1.7131558364088617
8,0.1,100,4,learned_occupancy,300,9.684736106254605e-05,8.491082670589476e-06,-6.58581891744503e-05,0.3252294117643832
8,0.1,100,4,occ_plus_mean,300,8.374498400317257e-05,8.094492659331158e-06,-0.00024146176411513325,0.2812294685859298
8,0.1,100,4,occ_plus_uniform,300,0.00010977260661864528,8.73172932055358e-06,0.0005384962946828782,0.36863451814002873
8,0.1,100,4,oracle_tail,300,2.5477916333693135e-05,1.7441069597893575e-06,0.0005313922937898148,0.08555904519523055
8,0.1,100,4,tis,300,0.0005029305351417131,0.00027314387031863487,-0.0017436778379661148,1.6889236867987587
8,0.1,100,4,tis_anchored,300,5.647259764186086e-05,5.078948861025369e-06,-0.0008871747219012997,0.1896442970708061
8,0.1,100,4,uniform,300,0.00029778168135884467,2.6313655244163446e-05,0.0015315235722938234,1.0
