horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,learned_occupancy-minus-tis,300,-0.0017662109537807172,0.00010379685851710335
2,0.1,50,oracle_tail-minus-tis,300,-0.0013964268685122984,0.00010367497803519584
2,0.1,50,tis_anchored-minus-tis,300,-0.0017654225600980777,0.00010362736142999039
2,0.1,50,uniform-minus-tis,300,0.0007394252631343959,0.00013208954661088386
2,0.1,100,learned_occupancy-minus-tis,300,-0.0008343924478099088,3.724092662514244e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0006438857534008689,3.89133513623738e-05
2,0.1,100,tis_anchored-minus-tis,300,-0.0008356721391526508,3.718446165368129e-05
2,0.1,100,uniform-minus-tis,300,0.00027614071971645925,4.33547102055854e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0004377674542147809,2.383436441498989e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.0003148298768597192,2.7011810183396533e-05
2,0.1,200,tis_anchored-minus-tis,300,-0.0004404130089230775,2.3796451277801536e-05
2,0.1,200,uniform-minus-tis,300,0.00013780850023680037,2.766454356499285e-05
2,0.1,400,learned_occupancy-minus-tis,300,-0.0002045406766845791,1.4582874591825784e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.00015798735574354774,1.4979105772891639e-05
2,0.1,400,tis_anchored-minus-tis,300,-0.0002063400062414537,1.4584247186060533e-05
2,0.1,400,uniform-minus-tis,300,8.4135684672561e-05,1.65736777483908e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.0007941912973747738,3.5976273583996104e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.0007994749142454109,3.734715800013346e-05
2,0.2,50,tis_anchored-minus-tis,300,-0.0007948252412412394,3.5493196705975016e-05
2,0.2,50,uniform-minus-tis,300,0.00121172945575258,7.433171758038242e-05
2,0.2,100,learned_occupancy-minus-tis,300,-0.00036419677520635354,2.6140092244335495e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.0003707871239329236,2.664475570725063e-05
2,0.2,100,tis_anchored-minus-tis,300,-0.00037012417217450935,2.57661552942988e-05
2,0.2,100,uniform-minus-tis,300,0.0007704918660562645,5.46662402820425e-05
2,0.2,200,learned_occupancy-minus-tis,300,-0.00012810073327140705,8.257134709449268e-06
2,0.2,200,oracle_tail-minus-tis,300,-0.00013660735046655854,7.980985596807605e-06
2,0.2,200,tis_anchored-minus-tis,300,-0.00013332128449454063,8.190229713768457e-06
2,0.2,200,uniform-minus-tis,300,0.0005064936293022766,2.570006527426726e-05
2,0.2,400,learned_occupancy-minus-tis,300,-5.2807240344592025e-05,6.422489995295611e-06
2,0.2,400,oracle_tail-minus-tis,300,-5.734269112078409e-05,6.504822981365984e-06
2,0.2,400,tis_anchored-minus-tis,300,-5.500217006390054e-05,6.442340594277581e-06
2,0.2,400,uniform-minus-tis,300,0.00026513147822090894,1.4075336984361578e-05
4,0.1,50,learned_occupancy-minus-tis,300,-0.00627417215693918,0.00031404188945637665
4,0.1,50,oracle_tail-minus-tis,300,-0.006437604032877832,0.0003179462476478904
4,0.1,50,tis_anchored-minus-tis,300,-0.006279196979495626,0.00031368304990084315
4,0.1,50,uniform-minus-tis,300,0.001032014085183523,0.0003819683266181745
4,0.1,100,learned_occupancy-minus-tis,300,-0.0033364480253037687,0.00021004452861288174
4,0.1,100,oracle_tail-minus-tis,300,-0.0034151088638998592,0.00020859340633246968
4,0.1,100,tis_anchored-minus-tis,300,-0.003360268174011445,0.00020878630189194602
4,0.1,100,uniform-minus-tis,300,-1.7036252397463502e-05,0.0002573705704048619
