horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_occupancy,9.878044825287267e-05
2,0.1,50,0,oracle_tail,0.00024347002341433395
2,0.1,50,0,tis,0.0015704975602818963
2,0.1,50,0,tis_anchored,0.00013479876120730885
2,0.1,50,0,uniform,0.001468601144665593
2,0.1,50,1,learned_occupancy,0.00012126148634652629
2,0.1,50,1,oracle_tail,0.0002871049426482579
2,0.1,50,1,tis,0.0018007271126418904
2,0.1,50,1,tis_anchored,8.836061136138212e-05
2,0.1,50,1,uniform,0.001823755042432594
2,0.1,50,2,learned_occupancy,6.152597888560915e-05
2,0.1,50,2,oracle_tail,5.8223141564924085e-05
2,0.1,50,2,tis,0.0027327594686269367
2,0.1,50,2,tis_anchored,5.572039141307778e-05
2,0.1,50,2,uniform,0.0012971921288906186
2,0.1,50,3,learned_occupancy,0.0001431654263329391
2,0.1,50,3,oracle_tail,0.0008499002028778006
2,0.1,50,3,tis,0.0008016126145734509
2,0.1,50,3,tis_anchored,0.0001922628620087285
2,0.1,50,3,uniform,0.004643078327466413
2,0.1,50,4,learned_occupancy,0.00011823692878238878
2,0.1,50,4,oracle_tail,0.0002391900022793018
2,0.1,50,4,tis,0.001823884112162438
2,0.1,50,4,tis_anchored,0.0001652610211917339
2,0.1,50,4,uniform,0.0012904282180003816
2,0.1,50,5,learned_occupancy,6.537251321185336e-05
2,0.1,50,5,oracle_tail,0.0016779235174330027
2,0.1,50,5,tis,0.0013246435568142706
2,0.1,50,5,tis_anchored,7.917030700974848e-05
2,0.1,50,5,uniform,0.0028633762009606916
2,0.1,50,6,learned_occupancy,0.00011531929831527328
2,0.1,50,6,oracle_tail,3.7265021915861835e-05
2,0.1,50,6,tis,0.0009968289094232287
2,0.1,50,6,tis_anchored,0.00010960141123959106
2,0.1,50,6,uniform,0.0009118445920579285
2,0.1,50,7,learned_occupancy,0.00021322374195532513
2,0.1,50,7,oracle_tail,5.145226270943464e-05
2,0.1,50,7,tis,0.0023179911301426954
2,0.1,50,7,tis_anchored,0.00012185640722953783
2,0.1,50,7,uniform,0.0019218756129601037
2,0.1,50,8,learned_occupancy,6.748770396892852e-05
2,0.1,50,8,oracle_tail,6.6946395848468e-05
2,0.1,50,8,tis,0.0008659544874083851
2,0.1,50,8,tis_anchored,6.594561801892666e-05
2,0.1,50,8,uniform,0.0015402034693844863
2,0.1,50,9,learned_occupancy,7.192945132152775e-05
2,0.1,50,9,oracle_tail,0.0011504191901779014
2,0.1,50,9,tis,0.0066208997191439444
2,0.1,50,9,tis_anchored,9.351401626806041e-05
2,0.1,50,9,uniform,0.0022802264172391245
2,0.1,50,10,learned_occupancy,0.00010686473654151318
2,0.1,50,10,oracle_tail,0.0001359987210887665
2,0.1,50,10,tis,0.0019576861130501653
2,0.1,50,10,tis_anchored,0.0001137596182106967
2,0.1,50,10,uniform,0.002273812063427209
2,0.1,50,11,learned_occupancy,0.00023222387363947396
2,0.1,50,11,oracle_tail,0.0012511509442778897
2,0.1,50,11,tis,0.0025797059399782526
2,0.1,50,11,tis_anchored,0.00014009525411944686
2,0.1,50,11,uniform,0.003912829591524109
2,0.1,50,12,learned_occupancy,0.0002592201211602036
2,0.1,50,12,oracle_tail,0.0012087670880443569
2,0.1,50,12,tis,0.0015486176845963017
2,0.1,50,12,tis_anchored,0.00014786870057306327
2,0.1,50,12,uniform,0.01141042493803504
2,0.1,50,13,learned_occupancy,0.00015005899505567667
2,0.1,50,13,oracle_tail,0.0007589304700086935
2,0.1,50,13,tis,0.002055928278585741
2,0.1,50,13,tis_anchored,0.00011469914646766233
2,0.1,50,13,uniform,0.0024145897083932204
2,0.1,50,14,learned_occupancy,0.00030640214257947513
2,0.1,50,14,oracle_tail,0.0002815299365945074
2,0.1,50,14,tis,0.0017824051565018143
2,0.1,50,14,tis_anchored,0.00018193527775566836
2,0.1,50,14,uniform,0.002220404806807549
2,0.1,50,15,learned_occupancy,9.704735976188914e-05
2,0.1,50,15,oracle_tail,9.412280163451561e-05
2,0.1,50,15,tis,0.002311733673819884
2,0.1,50,15,tis_anchored,9.22216170321786e-05
2,0.1,50,15,uniform,0.003542645725737349
2,0.1,50,16,learned_occupancy,6.194493809658373e-05
2,0.1,50,16,oracle_tail,4.221082787017006e-05
2,0.1,50,16,tis,0.0007108846367293129
2,0.1,50,16,tis_anchored,9.872902293204763e-05
2,0.1,50,16,uniform,0.0011454995256958659
2,0.1,50,17,learned_occupancy,0.00013772617037497857
2,0.1,50,17,oracle_tail,9.150902821465088e-05
2,0.1,50,17,tis,0.0017973664474335476
2,0.1,50,17,tis_anchored,9.904986544421567e-05
2,0.1,50,17,uniform,0.0034587180995107347
2,0.1,50,18,learned_occupancy,0.00016098693638353742
2,0.1,50,18,oracle_tail,0.00013395703537597654
2,0.1,50,18,tis,0.002172143916649993
2,0.1,50,18,tis_anchored,0.00012510502231235162
2,0.1,50,18,uniform,0.0025080496570571544
2,0.1,50,19,learned_occupancy,0.0001229928314583681
2,0.1,50,19,oracle_tail,8.747952315326632e-05
2,0.1,50,19,tis,0.0008859391529452108
2,0.1,50,19,tis_anchored,0.0001689713426216984
2,0.1,50,19,uniform,0.003785594817738323
2,0.1,50,20,learned_occupancy,0.00014006356502840222
2,0.1,50,20,oracle_tail,0.00011306675133767677
2,0.1,50,20,tis,0.001503921896160674
2,0.1,50,20,tis_anchored,9.51100467071941e-05
2,0.1,50,20,uniform,0.0028609662914621742
2,0.1,50,21,learned_occupancy,8.33666878215478e-05
2,0.1,50,21,oracle_tail,0.001224977276468731
2,0.1,50,21,tis,0.0014605453489872234
2,0.1,50,21,tis_anchored,0.00011236127145023492
2,0.1,50,21,uniform,0.0043843392092990305
2,0.1,50,22,learned_occupancy,0.0001853017233032257
2,0.1,50,22,oracle_tail,0.00016747791597795564
2,0.1,50,22,tis,0.0018859900111495805
2,0.1,50,22,tis_anchored,0.00018878063223553917
2,0.1,50,22,uniform,0.0021051310834648016
2,0.1,50,23,learned_occupancy,9.599958850072692e-05
2,0.1,50,23,oracle_tail,0.0012058888010830773
2,0.1,50,23,tis,0.0010714390371753463
2,0.1,50,23,tis_anchored,8.39181539847713e-05
2,0.1,50,23,uniform,0.0017182759416992748
2,0.1,50,24,learned_occupancy,0.0002673541517938023
2,0.1,50,24,oracle_tail,0.0010898935348951783
2,0.1,50,24,tis,0.0029469808574610293
2,0.1,50,24,tis_anchored,0.00013657311485084476
