horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,learned_occupancy,300,0.00015155954033396844,4.028699110600942e-06,0.05703740114761951
2,0.1,50,oracle_tail,300,0.0005213436256023873,3.4463844690479345e-05,0.19620068419126163
2,0.1,50,tis,300,0.0019177704941146856,0.00010371937386517618,0.7217272151977612
2,0.1,50,tis_anchored,300,0.00015234793401660798,4.012300305000647e-06,0.05733410254061576
2,0.1,50,uniform,300,0.0026571957572490814,0.00012447649192176766,1.0
2,0.1,100,learned_occupancy,300,6.227963702740994e-05,1.96628274966729e-06,0.05310279422734097
2,0.1,100,oracle_tail,300,0.0002527863314364499,2.1172378715720293e-05,0.21553851599755336
2,0.1,100,tis,300,0.0008966720848373189,3.72652791129435e-05,0.7645483416924981
2,0.1,100,tis_anchored,300,6.099994568466791e-05,1.979255509340436e-06,0.05201166413584361
2,0.1,100,uniform,300,0.001172812804553778,3.2699090475864966e-05,1.0
2,0.1,200,learned_occupancy,300,2.705679014454697e-05,8.1624439301676e-07,0.04489764352695415
2,0.1,200,oracle_tail,300,0.0001499943674996086,1.287238816095534e-05,0.24889846900060444
2,0.1,200,tis,300,0.0004648242443593278,2.373917306764692e-05,0.7713225816676179
2,0.1,200,tis_anchored,300,2.4411235436250245e-05,7.688906788196333e-07,0.040507648572282846
2,0.1,200,uniform,300,0.0006026327445961282,1.8126798867638696e-05,1.0
2,0.1,400,learned_occupancy,300,1.087357764955928e-05,2.7865698982312943e-07,0.036299715785674355
2,0.1,400,oracle_tail,300,5.742689859059069e-05,6.2129706825545675e-06,0.19171060017911182
2,0.1,400,tis,300,0.00021541425433413845,1.4592262766601125e-05,0.7191263501786949
2,0.1,400,tis_anchored,300,9.07424809268474e-06,2.126545686807968e-07,0.030292939209985263
2,0.1,400,uniform,300,0.00029954993900669946,8.556153452255621e-06,1.0
2,0.2,50,learned_occupancy,300,0.00011607984408615893,3.9907584523395455e-06,0.054703021402815924
2,0.2,50,oracle_tail,300,0.00011079622721552182,1.2351821295589357e-05,0.05221309897886597
2,0.2,50,tis,300,0.0009102711414609325,3.611320480468441e-05,0.4289683719487391
2,0.2,50,tis_anchored,300,0.00011544590021969319,3.918977442964124e-06,0.05440427319921117
2,0.2,50,uniform,300,0.0021220005972135123,6.63973933252016e-05,1.0
2,0.2,100,learned_occupancy,300,5.64586910289331e-05,1.9068402529151602e-06,0.04739857908283842
2,0.2,100,oracle_tail,300,4.986834230236311e-05,6.357239676609921e-06,0.04186580530422335
2,0.2,100,tis,300,0.00042065546623528663,2.60263596892621e-05,0.35315149925746125
2,0.2,100,tis_anchored,300,5.053129406077734e-05,1.791178547660617e-06,0.04242237101229476
2,0.2,100,uniform,300,0.001191147332291551,5.131157289625954e-05,1.0
