horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_occupancy,0.0005493082167885308
2,0.1,50,0,oracle_tail,0.00026635050101095673
2,0.1,50,0,tis,0.002862563813307655
2,0.1,50,0,tis_anchored,0.0005598452501344476
2,0.1,50,0,uniform,0.014062931772282915
2,0.1,50,1,learned_occupancy,0.0009491994336036051
2,0.1,50,1,oracle_tail,0.00040818419769075766
2,0.1,50,1,tis,0.0015406938088599832
2,0.1,50,1,tis_anchored,0.0006298141661297893
2,0.1,50,1,uniform,0.02276214690718304
2,0.1,50,2,learned_occupancy,0.00025212309057949343
2,0.1,50,2,oracle_tail,0.00012159555197478007
2,0.1,50,2,tis,0.00376406104997355
2,0.1,50,2,tis_anchored,0.000549651010034991
2,0.1,50,2,uniform,0.014563142695761975
2,0.1,50,3,learned_occupancy,0.0006770423337127003
2,0.1,50,3,oracle_tail,0.000264231882129059
2,0.1,50,3,tis,0.001063179143519472
2,0.1,50,3,tis_anchored,0.0007714012911952627
2,0.1,50,3,uniform,0.009899523704673296
2,0.1,50,4,learned_occupancy,0.00050465504363891
2,0.1,50,4,oracle_tail,0.0001311221583119211
2,0.1,50,4,tis,0.0036830589703918146
2,0.1,50,4,tis_anchored,0.0007006155367445258
2,0.1,50,4,uniform,0.013326758279729067
2,0.1,50,5,learned_occupancy,0.0005283716139310289
2,0.1,50,5,oracle_tail,0.0003218339341554276
2,0.1,50,5,tis,0.007617318972359353
2,0.1,50,5,tis_anchored,0.0005181565841492119
2,0.1,50,5,uniform,0.007451116004055665
2,0.1,50,6,learned_occupancy,0.0005526845760642372
2,0.1,50,6,oracle_tail,0.00020376038173911887
2,0.1,50,6,tis,0.005025602967776945
2,0.1,50,6,tis_anchored,0.0005800374951648127
2,0.1,50,6,uniform,0.006839239495135086
2,0.1,50,7,learned_occupancy,0.0003997081568731233
2,0.1,50,7,oracle_tail,0.00018818305501385233
2,0.1,50,7,tis,0.0059113348487935475
2,0.1,50,7,tis_anchored,0.0004542149624626315
2,0.1,50,7,uniform,0.012437842877522826
2,0.1,50,8,learned_occupancy,0.0010423451452447605
2,0.1,50,8,oracle_tail,0.00018659326210778882
2,0.1,50,8,tis,0.01209999715499158
2,0.1,50,8,tis_anchored,0.0010314684730342554
2,0.1,50,8,uniform,0.010374172282811015
2,0.1,50,9,learned_occupancy,0.0006667434787047912
2,0.1,50,9,oracle_tail,0.00014110702314271096
2,0.1,50,9,tis,0.001617791537207037
2,0.1,50,9,tis_anchored,0.0007478174170594909
2,0.1,50,9,uniform,0.009624631484894229
2,0.1,50,10,learned_occupancy,0.0007175229445772406
2,0.1,50,10,oracle_tail,0.0001230685237468691
2,0.1,50,10,tis,0.010010736398128954
2,0.1,50,10,tis_anchored,0.0011314397985589123
2,0.1,50,10,uniform,0.010382208655990648
2,0.1,50,11,learned_occupancy,0.0002422638164236246
2,0.1,50,11,oracle_tail,0.00014884673660031476
2,0.1,50,11,tis,0.002198653444315654
2,0.1,50,11,tis_anchored,0.00026254860777481375
2,0.1,50,11,uniform,0.013274850510437267
2,0.1,50,12,learned_occupancy,0.0007833270035730463
2,0.1,50,12,oracle_tail,0.0001585784783346228
2,0.1,50,12,tis,0.0018758851408477372
2,0.1,50,12,tis_anchored,0.00045382045541831603
2,0.1,50,12,uniform,0.013598616882049388
2,0.1,50,13,learned_occupancy,0.0004088744655689083
2,0.1,50,13,oracle_tail,0.00016893339420321555
2,0.1,50,13,tis,0.003435881159624965
2,0.1,50,13,tis_anchored,0.00034347621126967884
2,0.1,50,13,uniform,0.013454515276852411
2,0.1,50,14,learned_occupancy,0.0003243983981090197
2,0.1,50,14,oracle_tail,0.0001245158255897818
2,0.1,50,14,tis,0.010669426896412882
2,0.1,50,14,tis_anchored,0.0003480795560337174
2,0.1,50,14,uniform,0.02028192522284681
2,0.1,50,15,learned_occupancy,0.0006842401426947639
2,0.1,50,15,oracle_tail,0.0002386967725093104
2,0.1,50,15,tis,0.023309558144935856
2,0.1,50,15,tis_anchored,0.0010745858158316443
2,0.1,50,15,uniform,0.016234078890893778
2,0.1,50,16,learned_occupancy,0.0004903349437413858
2,0.1,50,16,oracle_tail,0.00027111517178726854
2,0.1,50,16,tis,0.005631804028240245
2,0.1,50,16,tis_anchored,0.0006642596214042499
2,0.1,50,16,uniform,0.0090494519217938
2,0.1,50,17,learned_occupancy,0.0004111141163654822
2,0.1,50,17,oracle_tail,0.000204137656532563
2,0.1,50,17,tis,0.006041021975609967
2,0.1,50,17,tis_anchored,0.00029769847328357774
2,0.1,50,17,uniform,0.007951173428485073
2,0.1,50,18,learned_occupancy,0.0009110013298997815
2,0.1,50,18,oracle_tail,0.0001976274246000292
2,0.1,50,18,tis,0.0036529513193747005
2,0.1,50,18,tis_anchored,0.0004963906251364463
2,0.1,50,18,uniform,0.012287142673074099
2,0.1,50,19,learned_occupancy,0.0009566515494604828
2,0.1,50,19,oracle_tail,0.0001683192075229018
2,0.1,50,19,tis,0.0031544616652456957
2,0.1,50,19,tis_anchored,0.000786703798825677
2,0.1,50,19,uniform,0.009106813041093806
2,0.1,50,20,learned_occupancy,0.0005738597447111904
2,0.1,50,20,oracle_tail,0.0002717112998204998
2,0.1,50,20,tis,0.001898022605294605
2,0.1,50,20,tis_anchored,0.0005918378418669423
2,0.1,50,20,uniform,0.008331822119257025
2,0.1,50,21,learned_occupancy,0.0015537435922200287
2,0.1,50,21,oracle_tail,0.00011833725839547139
2,0.1,50,21,tis,0.00631674626105398
2,0.1,50,21,tis_anchored,0.0015456568862672916
2,0.1,50,21,uniform,0.011990699603214857
2,0.1,50,22,learned_occupancy,0.00036710417168061546
2,0.1,50,22,oracle_tail,0.00020032550879902077
2,0.1,50,22,tis,0.008076221577503064
2,0.1,50,22,tis_anchored,0.0004312243902394227
2,0.1,50,22,uniform,0.012046965431795946
2,0.1,50,23,learned_occupancy,0.0007493197716093999
2,0.1,50,23,oracle_tail,0.0003851411346023031
2,0.1,50,23,tis,0.005151987275564233
2,0.1,50,23,tis_anchored,0.0008879187962300485
2,0.1,50,23,uniform,0.013420192713520457
2,0.1,50,24,learned_occupancy,0.0005404312271508892
2,0.1,50,24,oracle_tail,0.0002367788958266855
2,0.1,50,24,tis,0.00925749164105339
2,0.1,50,24,tis_anchored,0.0004747719582918657
2,0.1,50,24,uniform,0.011685180043875722
2,0.1,50,25,learned_occupancy,0.0006549613767283615
2,0.1,50,25,oracle_tail,0.0002118992066593004
2,0.1,50,25,tis,0.006237960587095506
2,0.1,50,25,tis_anchored,0.0006565656568361737
2,0.1,50,25,uniform,0.008962814157506226
2,0.1,50,26,learned_occupancy,0.0005823763472415258
2,0.1,50,26,oracle_tail,0.00021083129998095672
2,0.1,50,26,tis,0.005304761869168825
2,0.1,50,26,tis_anchored,0.0005608299000491525
2,0.1,50,26,uniform,0.010535358368605134
2,0.1,50,27,learned_occupancy,0.00038170962319336333
2,0.1,50,27,oracle_tail,0.00022840089960342932
2,0.1,50,27,tis,0.004890590801469533
2,0.1,50,27,tis_anchored,0.0005667666840311397
2,0.1,50,27,uniform,0.008156128167206437
2,0.1,50,28,learned_occupancy,0.001318547229301056
2,0.1,50,28,oracle_tail,0.00024160763761065036
2,0.1,50,28,tis,0.004940178476173385
2,0.1,50,28,tis_anchored,0.0008231733056220606
2,0.1,50,28,uniform,0.006674503939696874
2,0.1,50,29,learned_occupancy,0.0005937835370871716
2,0.1,50,29,oracle_tail,0.000145252295818359
2,0.1,50,29,tis,0.001197708360035778
2,0.1,50,29,tis_anchored,0.0009658080313138155
2,0.1,50,29,uniform,0.006160657659262188
2,0.1,50,30,learned_occupancy,0.0007716459406719198
2,0.1,50,30,oracle_tail,0.0002892484356355867
2,0.1,50,30,tis,0.005753389125764436
2,0.1,50,30,tis_anchored,0.0009466935516737555
