horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,learned_occupancy,300,0.0006060171173491957,1.4656638680324536e-05,0.051824275058431866
2,0.1,50,oracle_tail,300,0.00021202806754885858,5.171295384339656e-06,0.018131832547608157
2,0.1,50,tis,300,0.0062338207182182645,0.00020456626365021035,0.533092598075478
2,0.1,50,tis_anchored,300,0.0006551775245721803,1.4131171995330048e-05,0.0560282857917466
2,0.1,50,uniform,300,0.011693692129140475,0.00021665820874591096,1.0
2,0.1,100,learned_occupancy,300,0.00025590352223170984,6.4107957534555265e-06,0.04243089483859596
2,0.1,100,oracle_tail,300,9.27428249200439e-05,1.718066774488257e-06,0.01537751812440306
2,0.1,100,tis,300,0.002346958034163811,0.00010858844673274262,0.38914481781940413
2,0.1,100,tis_anchored,300,0.00024638035411745057,5.822728439862429e-06,0.040851875756472776
2,0.1,100,uniform,300,0.0060310658826581015,0.00011719970936740221,1.0
2,0.1,200,learned_occupancy,300,0.00011308003727469762,2.5113625578229804e-06,0.03710950584821538
2,0.1,200,oracle_tail,300,4.5683085242468645e-05,8.8132493648201e-07,0.014991830210063443
2,0.1,200,tis,300,0.0009752245996479572,6.52358990813389e-05,0.3200397157284731
2,0.1,200,tis_anchored,300,0.00010145759631000675,2.4040883721018626e-06,0.033295366311791294
2,0.1,200,uniform,300,0.003047198681039179,6.0996739651773006e-05,1.0
2,0.1,400,learned_occupancy,300,4.9307616187261216e-05,9.496386053677548e-07,0.03204057179544036
2,0.1,400,oracle_tail,300,2.3554990499510454e-05,4.793199499122663e-07,0.015306263465956472
2,0.1,400,tis,300,0.0002792481804440379,1.3453761972543167e-05,0.18145820191921666
2,0.1,400,tis_anchored,300,4.144788327585644e-05,8.581788083095125e-07,0.02693324039080613
2,0.1,400,uniform,300,0.0015389118678049965,2.8812521154045545e-05,1.0
2,0.2,50,learned_occupancy,300,0.00021730435546085956,5.439072643010764e-06,0.05157715642425923
