horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,learned_occupancy,300,0.0029474139591726283,0.000363227165315385,-0.0016494731166167983,0.10212621405041804
2,0.1,50,0,oracle_tail,300,0.00037616938481018647,4.098401334232148e-05,0.0015133999885581816,0.01303405481703126
2,0.1,50,0,tis,300,0.012659857534846232,0.0024034969194345994,0.01347701000981456,0.43865684914325237
2,0.1,50,0,tis_anchored,300,0.0022506275594892946,0.00030038340543275084,-0.0025781470583179835,0.07798296237719338
2,0.1,50,0,uniform,300,0.028860503511052887,0.0029555573322635393,0.04205025071739555,1.0
2,0.1,50,1,learned_occupancy,300,0.0004279765811760349,3.420950535116748e-05,-0.0009206276155153595,0.03929232171120808
2,0.1,50,1,oracle_tail,300,0.00016348965227135968,1.5404496743627562e-05,-0.0009040552512396764,0.015009905438862173
2,0.1,50,1,tis,300,0.01236017354614443,0.002412096921671703,-0.008388405627767043,1.1347815201638554
2,0.1,50,1,tis_anchored,300,0.0006336831037415723,5.8506152807392694e-05,-0.0005324561873221364,0.05817813747367013
2,0.1,50,1,uniform,300,0.010892117404555283,0.0013326453275924089,-0.002007044843846418,1.0
2,0.1,50,2,learned_occupancy,300,1.7179963885917468e-08,1.1604019658532791e-08,6.689669034098955e-07,0.15617190463258412
2,0.1,50,2,oracle_tail,300,1.2479602745621208e-08,5.744729905338582e-09,-1.304970689955572e-06,0.113443971290258
2,0.1,50,2,tis,300,2.010813298749883e-07,1.1496977547470681e-07,-1.43100540561103e-05,1.827899900207085
2,0.1,50,2,tis_anchored,300,5.3194170611249846e-08,4.4562466982982174e-08,-3.443999556504984e-06,0.48355369050101327
2,0.1,50,2,uniform,300,1.1000675138294365e-07,6.265141330924733e-08,-2.598342344399818e-06,1.0
2,0.1,50,3,learned_occupancy,300,2.8610811797109737e-05,2.5347896717090637e-06,-0.00030470820525166473,0.0384602594874832
2,0.1,50,3,oracle_tail,300,9.857531736741737e-06,8.216091647427969e-07,-0.0002005350831260048,0.013251047582630536
2,0.1,50,3,tis,300,0.0009102358307467166,0.00029016810827954347,0.0002340206673418684,1.223590106201043
2,0.1,50,3,tis_anchored,300,5.637138492962535e-05,4.781344159153855e-06,-0.0007288735519831913,0.07577758042787196
2,0.1,50,3,uniform,300,0.0007439058440679802,0.0001953022425757527,-1.4746209504487019e-05,1.0
2,0.1,50,4,learned_occupancy,300,0.0017897343209315863,0.0001454585000747374,-0.0035063772989373347,0.056552024795185854
2,0.1,50,4,oracle_tail,300,0.000760822875855428,6.725661974656226e-05,-0.0018867516945602668,0.02404048111326657
2,0.1,50,4,tis,300,0.01017465958461995,0.0011430003232701053,0.0070492960491845835,0.3214988919766029
2,0.1,50,4,tis_anchored,300,0.0019594966173244544,0.00016107976199380706,-0.0017634103512060698,0.06191617381027542
2,0.1,50,4,uniform,300,0.031647572786535176,0.0021320193817477486,0.0034045121798360507,1.0
2,0.1,50,5,learned_occupancy,300,0.0003489838822420478,2.839428628073241e-05,-0.0004375719025592639,0.04563436285450786
2,0.1,50,5,oracle_tail,300,0.00012694168266680548,1.1174499305796934e-05,-0.000371098794948721,0.01659934198382537
2,0.1,50,5,tis,300,0.0007759601185833978,0.00015932470994876373,0.002565094408994473,0.10146728090869764
2,0.1,50,5,tis_anchored,300,0.0003097078964547989,2.727969617596178e-05,-0.0006733281930658471,0.04049849647761689
2,0.1,50,5,uniform,300,0.007647392456309367,0.0006183984684514118,0.004956005098572118,1.0
2,0.1,50,6,learned_occupancy,300,0.0,0.0,0.0,0.0
2,0.1,50,6,oracle_tail,300,0.0,0.0,0.0,0.0
2,0.1,50,6,tis,300,0.0,0.0,0.0,0.0
2,0.1,50,6,tis_anchored,300,0.0,0.0,0.0,0.0
2,0.1,50,6,uniform,300,0.0,0.0,0.0,0.0
2,0.1,50,7,learned_occupancy,300,0.0002746875123425503,2.3512996878251406e-05,0.00041878448604438124,0.042390634609006765
2,0.1,50,7,oracle_tail,300,0.00011562938365136467,9.422290123316734e-06,0.0012758235612447273,0.017844287534691763
2,0.1,50,7,tis,300,0.0016285547973113634,0.0003633441078262922,0.005451858020668721,0.2513236614392579
2,0.1,50,7,tis_anchored,300,0.0002389446617595894,2.130978698745529e-05,0.0004273667145560585,0.03687468630096308
2,0.1,50,7,uniform,300,0.006479910359355349,0.0006747213362472765,0.0047352975073296855,1.0
2,0.1,50,8,learned_occupancy,300,0.002364774307269174,0.0002081824575422141,0.0021758356962512733,0.04454940860747157
2,0.1,50,8,oracle_tail,300,0.0009007526142376696,7.340617420182334e-05,-0.0013555398392304323,0.016969059644538216
2,0.1,50,8,tis,300,0.018971856503544344,0.002561854840082697,0.01488109727142086,0.3574061950946718
2,0.1,50,8,tis_anchored,300,0.002510741570653617,0.0002193254219409122,0.0034316398877857895,0.04729925041683109
2,0.1,50,8,uniform,300,0.053082058352455164,0.0031698630430667995,0.02151229482496549,1.0
2,0.1,50,9,learned_occupancy,300,0.00025931910365868124,2.380255536472571e-05,-0.0009826361718132412,0.037305719965712504
2,0.1,50,9,oracle_tail,300,0.00014474088617112848,1.2425802046697403e-05,-0.0006448199226128193,0.020822465028246768
2,0.1,50,9,tis,300,0.005555819663221771,0.001153379067860178,-0.004562470115933843,0.7992617960339458
2,0.1,50,9,tis_anchored,300,0.0003619721669959481,3.245732970324322e-05,-0.0012811988749537914,0.05207341883730478
2,0.1,50,9,uniform,300,0.006951188822974603,0.0009141107219609394,-0.007659233973782176,1.0
2,0.1,50,10,learned_occupancy,300,0.0008142155022857632,6.280724939370841e-05,-0.00011712010161131992,0.050039862159266126
2,0.1,50,10,oracle_tail,300,0.00032054267718909765,2.4866727759732677e-05,0.000941761615695997,0.019699835409268708
2,0.1,50,10,tis,300,0.005545607544055875,0.0010535889439620527,0.011582698983898248,0.3408206258845565
2,0.1,50,10,tis_anchored,300,0.0006981453207642093,5.585603020179435e-05,-0.00041675704787344205,0.04290644862460084
2,0.1,50,10,uniform,300,0.016271337832512212,0.0013761620234863557,0.03371058048691235,1.0
2,0.1,50,11,learned_occupancy,300,0.0,0.0,0.0,0.0
2,0.1,50,11,oracle_tail,300,0.0,0.0,0.0,0.0
2,0.1,50,11,tis,300,0.0,0.0,0.0,0.0
2,0.1,50,11,tis_anchored,300,0.0,0.0,0.0,0.0
2,0.1,50,11,uniform,300,0.0,0.0,0.0,0.0
2,0.1,50,12,learned_occupancy,300,0.0009072681038062332,7.331130899284783e-05,0.0010719816606486773,0.04142611532389809
2,0.1,50,12,oracle_tail,300,0.000397082437796655,3.597623423496096e-05,0.0003236929791297279,0.0181308951480256
2,0.1,50,12,tis,300,0.02287469278946247,0.003143096999404097,0.012889544237333472,1.0444648693363467
2,0.1,50,12,tis_anchored,300,0.0013040346596804443,0.00011487722107644119,0.0018785386868557952,0.059542587215013196
2,0.1,50,12,uniform,300,0.02190087331898205,0.0019232287953926425,0.0008996289083365764,1.0
2,0.1,50,13,learned_occupancy,300,0.0001831100806719213,1.776312802042791e-05,-0.000421997679178111,0.03289766507853956
2,0.1,50,13,oracle_tail,300,0.00010910069605265531,9.171833406727089e-06,-0.0001287378678454698,0.019601095392484152
2,0.1,50,13,tis,300,0.00570783495089457,0.0016883364302812329,-0.0032461459464773056,1.0254729933440843
2,0.1,50,13,tis_anchored,300,0.0002501987898709968,2.346585026677329e-05,-0.000638328913394149,0.044950862137292
2,0.1,50,13,uniform,300,0.005566050971543606,0.0009453530949669102,-0.004657253924469743,1.0
2,0.1,50,14,learned_occupancy,300,0.00010254691334994338,1.0279056637517356e-05,-0.0008083141818764076,0.04370576773358683
2,0.1,50,14,oracle_tail,300,4.0546989215776324e-05,3.720768582452827e-06,-0.0004801020704154668,0.017281234852125838
2,0.1,50,14,tis,300,0.0027685335677450264,0.0007576215030436232,0.0010001096459833203,1.1799563840754979
2,0.1,50,14,tis_anchored,300,0.00015250787075189596,1.2087029817902719e-05,-0.0006952326196282832,0.06499926091271205
2,0.1,50,14,uniform,300,0.002346301613439879,0.00045194511184834876,0.0011299787521641621,1.0
2,0.1,50,15,learned_occupancy,300,3.7088491899952365e-05,1.736090118373609e-05,2.2971723120151683e-05,0.06186017776622841
2,0.1,50,15,oracle_tail,300,1.1088191834939323e-05,8.738794528307454e-07,2.4014396283940827e-05,0.018494079507618638
2,0.1,50,15,tis,300,0.0005087478126940346,0.0001318052428535843,0.000703500548379955,0.8485443467566088
2,0.1,50,15,tis_anchored,300,4.45242297901554e-05,1.4598782699286065e-05,-0.00018590870106634997,0.07426230155578133
2,0.1,50,15,uniform,300,0.0005995535939148278,0.00010263711685077031,-0.0006103541528651849,1.0
2,0.1,50,16,learned_occupancy,300,0.0005011232633276038,3.664310911872046e-05,-0.0005855365952733967,0.031956714872394786
2,0.1,50,16,oracle_tail,300,0.00019869258406004402,1.4938626339243696e-05,-1.2376862778860447e-05,0.012670659537741723
2,0.1,50,16,tis,300,0.014756702493058311,0.0019367592671013956,0.007999306857182692,0.9410374024466998
2,0.1,50,16,tis_anchored,300,0.0008369067590068963,6.491615122932908e-05,0.0006383496562377659,0.05336968492496284
2,0.1,50,16,uniform,300,0.015681313468190367,0.0017514769516899836,0.008974028029626501,1.0
2,0.1,50,17,learned_occupancy,300,0.0006402926052296722,5.394837077475345e-05,-0.001031894676831194,0.03597574879078959
2,0.1,50,17,oracle_tail,300,0.00032232609558616724,2.723312512276173e-05,-0.001421881470699794,0.018110349157264654
2,0.1,50,17,tis,300,0.01167289218183681,0.001045703091110871,0.006948263286179911,0.6558580145480526
2,0.1,50,17,tis_anchored,300,0.0008371646854414068,8.426356709861071e-05,-0.0012891001644166034,0.04703728603761912
2,0.1,50,17,uniform,300,0.017797895158574106,0.0009716844685369773,0.0009200933904106867,1.0
2,0.1,50,18,learned_occupancy,300,8.384871573639334e-06,1.3460394253704084e-06,9.560121218255964e-05,0.018003505240069367
2,0.1,50,18,oracle_tail,300,2.8007440640899882e-06,2.494514042717239e-07,0.00021082701802181304,0.006013593647928922
2,0.1,50,18,tis,300,0.0005073874927954424,0.0002904095689229376,-0.0007035824453594145,1.0894327128404182
2,0.1,50,18,tis_anchored,300,1.543899901986089e-05,2.6970655323352348e-06,7.151403029493242e-05,0.03314971461570621
2,0.1,50,18,uniform,300,0.0004657355032717521,0.00020574668909367666,-0.0012335595105183721,1.0
2,0.1,50,19,learned_occupancy,300,0.0007270615987902754,7.103805758698949e-05,-0.002572124930701162,0.056216300262550194
2,0.1,50,19,oracle_tail,300,0.00020640096329239656,2.036055851551929e-05,-0.0009741045076530193,0.01595889336781207
2,0.1,50,19,tis,300,0.004313714899856659,0.0006339685725732967,0.0005956412349994245,0.3335358275844373
2,0.1,50,19,tis_anchored,300,0.0007169905969657027,7.286446248257189e-05,-0.0017008878134574512,0.05543761182204272
2,0.1,50,19,uniform,300,0.012933287950196617,0.0011150798912874615,0.005887504758060263,1.0
2,0.1,50,20,learned_occupancy,300,0.0015536417938363065,0.0001465486514868469,0.0016742791563324408,0.14778191106368632
2,0.1,50,20,oracle_tail,300,0.0005850392171521411,4.6526641268507616e-05,0.0024804412408924383,0.05564874342396567
2,0.1,50,20,tis,300,0.010079201925095755,0.0008178109583468719,0.039695225503692505,0.9587304669562556
2,0.1,50,20,tis_anchored,300,0.001742181493611553,0.0001479963379246894,0.004135456949419274,0.1657157470706078
2,0.1,50,20,uniform,300,0.010513071475755701,0.0008537090902508463,0.028984640881627232,1.0
2,0.1,50,21,learned_occupancy,300,0.0021632771585303624,0.0001761068776619919,0.0018236184292897536,0.05690315451078128
2,0.1,50,21,oracle_tail,300,0.0008227758811971836,6.56790266691628e-05,0.0024384609212369794,0.021642415494884652
2,0.1,50,21,tis,300,0.012738264017851312,0.0020160902493504707,-1.8516132674257963e-05,0.33506913469162175
2,0.1,50,21,tis_anchored,300,0.002035630984392785,0.00016902656200855413,0.002909899059513145,0.053545531128581306
2,0.1,50,21,uniform,300,0.038016823094060494,0.0025573492037176478,0.004173044237565954,1.0
2,0.1,50,22,learned_occupancy,300,0.00023143715565474265,2.2256123456846165e-05,-0.0015689862906657448,0.05322141588870637
2,0.1,50,22,oracle_tail,300,0.0001159230098151045,9.450644445257208e-06,-0.0004746044803097386,0.02665771923694068
2,0.1,50,22,tis,300,0.0022778615252752256,0.0005445652648302658,0.0016530773219875017,0.5238182919704041
2,0.1,50,22,tis_anchored,300,0.00024235727300638276,2.278415176647892e-05,-0.0011521532933575266,0.05573261209434989
2,0.1,50,22,uniform,300,0.004348571938384935,0.0006230140112001114,0.001798303238769323,1.0
2,0.1,50,23,learned_occupancy,300,0.00017181215355939198,1.6484072940509813e-05,-0.0013124648466573707,0.03194958932998183
2,0.1,50,23,oracle_tail,300,7.574985260277561e-05,5.9794262609676494e-06,-0.00048710081378685227,0.014086178610343357
2,0.1,50,23,tis,300,0.0032327122860476743,0.0006534640921978343,-0.0020817278752490328,0.6011439110767376
2,0.1,50,23,tis_anchored,300,0.0002116875735045653,2.1370363506621156e-05,-0.001198781128976402,0.03936468346165777
2,0.1,50,23,uniform,300,0.00537760131389738,0.0009163191768978674,-0.007153725217097436,1.0
2,0.1,50,24,learned_occupancy,300,0.0002574700932406931,2.2299352090940704e-05,0.0009802309329571708,0.044366638028291036
2,0.1,50,24,oracle_tail,300,9.562937948476253e-05,9.21131149891369e-06,0.0011952821152133874,0.016478628686805375
2,0.1,50,24,tis,300,0.0008770040340660937,0.0002101717644267018,0.00023276106120000565,0.15112326266331474
2,0.1,50,24,tis_anchored,300,0.0002259063029571393,2.0141034343724376e-05,0.0008203509756808536,0.03892764027641547
2,0.1,50,24,uniform,300,0.005803236501186173,0.0005996929026009486,0.005178728965340498,1.0
