horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,learned_occupancy-minus-tis,300,-0.001344190880703543,6.117645354702266e-05
2,0.1,50,oracle_tail-minus-tis,300,-0.0015238806398813244,6.116553834609893e-05
2,0.1,50,tis_anchored-minus-tis,300,-0.0013426572839041438,6.040683642419486e-05
2,0.1,50,uniform-minus-tis,300,0.0024690430798599582,9.591555556323968e-05
2,0.1,100,learned_occupancy-minus-tis,300,-0.00043678992049146976,2.510402253419184e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0005088133663353919,2.552709669985057e-05
2,0.1,100,tis_anchored-minus-tis,300,-0.00044549394974436864,2.5129819749870218e-05
2,0.1,100,uniform-minus-tis,300,0.0015078634055244189,4.4664504157043876e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0001624095699647089,1.0628487547375612e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.00019213632036080777,1.0612852513571162e-05
2,0.1,200,tis_anchored-minus-tis,300,-0.00017030808527670135,1.063240692938563e-05
2,0.1,200,uniform-minus-tis,300,0.0009024645619923063,2.3636348824511277e-05
2,0.1,400,learned_occupancy-minus-tis,300,-7.399036940612537e-05,5.170105417207434e-06
2,0.1,400,oracle_tail-minus-tis,300,-8.57313576170166e-05,5.177581767355166e-06
2,0.1,400,tis_anchored-minus-tis,300,-7.87005692386484e-05,5.168397787399713e-06
2,0.1,400,uniform-minus-tis,300,0.000470962969522171,1.2902748759215352e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.0005251722867467957,2.6598798668639733e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.0006065068577035983,2.669207892758815e-05
2,0.2,50,tis_anchored-minus-tis,300,-0.000532372406075531,2.6363961947903042e-05
2,0.2,50,uniform-minus-tis,300,0.0016940508598502254,4.930632257113047e-05
2,0.2,100,learned_occupancy-minus-tis,300,-0.0002255222760002013,1.4139508291536797e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.00025417881171620535,1.3997092871450568e-05
2,0.2,100,tis_anchored-minus-tis,300,-0.00023076336613289357,1.4158103912747814e-05
2,0.2,100,uniform-minus-tis,300,0.0008548127394272313,2.6459499934659455e-05
2,0.2,200,learned_occupancy-minus-tis,300,-7.413118616597029e-05,7.93596502263577e-06
2,0.2,200,oracle_tail-minus-tis,300,-8.60136636279329e-05,7.976493633975807e-06
2,0.2,200,tis_anchored-minus-tis,300,-7.760156752400924e-05,7.90675869475963e-06
2,0.2,200,uniform-minus-tis,300,0.0004624128236980879,1.3271262685830489e-05
2,0.2,400,learned_occupancy-minus-tis,300,-2.4539051681768667e-05,2.290928028057031e-06
2,0.2,400,oracle_tail-minus-tis,300,-2.941255854561705e-05,2.3020536963192443e-06
2,0.2,400,tis_anchored-minus-tis,300,-2.6135658515631174e-05,2.2837196426271078e-06
2,0.2,400,uniform-minus-tis,300,0.00025981418249394934,5.9274104559995875e-06
4,0.1,50,learned_occupancy-minus-tis,300,-0.001584076609106276,0.00012865447949146717
4,0.1,50,oracle_tail-minus-tis,300,-0.002449168500376676,0.00012802475588200629
4,0.1,50,tis_anchored-minus-tis,300,-0.0017632093133550587,0.00012770132797003487
4,0.1,50,uniform-minus-tis,300,0.00516536035801097,0.0001870551708365462
4,0.1,100,learned_occupancy-minus-tis,300,-0.000628313745712194,6.438285944427697e-05
4,0.1,100,oracle_tail-minus-tis,300,-0.0009676276896584972,6.52112918082226e-05
4,0.1,100,tis_anchored-minus-tis,300,-0.0007367335380927785,6.380421297386149e-05
4,0.1,100,uniform-minus-tis,300,0.002803044768672569,9.607180689318411e-05
4,0.1,200,learned_occupancy-minus-tis,300,-0.00014281154836017624,1.982345760693107e-05
4,0.1,200,oracle_tail-minus-tis,300,-0.0002750507162916056,1.9781441730075165e-05
4,0.1,200,tis_anchored-minus-tis,300,-0.00019710707114155252,1.9774074901389162e-05
4,0.1,200,uniform-minus-tis,300,0.0016447737708020908,4.5807088020255944e-05
