horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_occupancy,0.0001496768732284638
2,0.1,50,0,oracle_tail,9.665116352756441e-05
2,0.1,50,0,tis,0.0010027394231820776
2,0.1,50,0,tis_anchored,0.00018891777262128098
2,0.1,50,0,uniform,0.004910209809867556
2,0.1,50,1,learned_occupancy,0.00029180616380387143
2,0.1,50,1,oracle_tail,5.866862628349141e-05
2,0.1,50,1,tis,0.0015464410746038218
2,0.1,50,1,tis_anchored,0.00022504914627032518
2,0.1,50,1,uniform,0.006810205758371403
2,0.1,50,2,learned_occupancy,0.00030394815453740475
2,0.1,50,2,oracle_tail,6.650165015121656e-05
2,0.1,50,2,tis,0.002140796575706068
2,0.1,50,2,tis_anchored,0.00033038075647886156
2,0.1,50,2,uniform,0.0021789173614315707
2,0.1,50,3,learned_occupancy,0.00018982477406483312
2,0.1,50,3,oracle_tail,0.0001314678872442638
2,0.1,50,3,tis,0.002275048081718328
2,0.1,50,3,tis_anchored,0.00025723855418787687
2,0.1,50,3,uniform,0.0023257264239408674
2,0.1,50,4,learned_occupancy,0.0001950383845023753
2,0.1,50,4,oracle_tail,3.34767725349924e-05
2,0.1,50,4,tis,0.0012220230605240522
2,0.1,50,4,tis_anchored,0.00012350108771977647
2,0.1,50,4,uniform,0.004447850441422059
2,0.1,50,5,learned_occupancy,0.00041502302833601364
2,0.1,50,5,oracle_tail,0.00013042046212361988
2,0.1,50,5,tis,0.0005931259154914803
2,0.1,50,5,tis_anchored,0.0003555013020443704
2,0.1,50,5,uniform,0.006000103824684235
2,0.1,50,6,learned_occupancy,0.00027474376502394527
2,0.1,50,6,oracle_tail,7.832616005056619e-05
2,0.1,50,6,tis,0.0017187883453326366
2,0.1,50,6,tis_anchored,0.00026323842692872274
2,0.1,50,6,uniform,0.0045678465148805796
2,0.1,50,7,learned_occupancy,0.00026341275602477965
2,0.1,50,7,oracle_tail,7.77222017762797e-05
2,0.1,50,7,tis,0.0011732714641480091
2,0.1,50,7,tis_anchored,0.00030216880199466936
2,0.1,50,7,uniform,0.00272179899412505
2,0.1,50,8,learned_occupancy,0.00023936668180873404
2,0.1,50,8,oracle_tail,6.815911598735123e-05
2,0.1,50,8,tis,0.0025066538805649822
2,0.1,50,8,tis_anchored,0.00011670066480172706
2,0.1,50,8,uniform,0.003898810530089847
2,0.1,50,9,learned_occupancy,0.0003490321405461934
2,0.1,50,9,oracle_tail,0.00017382999127514703
2,0.1,50,9,tis,0.002484471251554361
2,0.1,50,9,tis_anchored,0.0004436411122937373
2,0.1,50,9,uniform,0.0052667820539433335
2,0.1,50,10,learned_occupancy,0.00020509113839551333
2,0.1,50,10,oracle_tail,9.093210355828483e-05
2,0.1,50,10,tis,0.0023158447318421746
2,0.1,50,10,tis_anchored,0.00026517944913152374
2,0.1,50,10,uniform,0.00419083753618947
2,0.1,50,11,learned_occupancy,0.000454893908637058
2,0.1,50,11,oracle_tail,0.00011852408461373618
2,0.1,50,11,tis,0.0017290453447532418
2,0.1,50,11,tis_anchored,0.00041981099249950224
2,0.1,50,11,uniform,0.0047391216131370964
2,0.1,50,12,learned_occupancy,0.0002701494753211909
2,0.1,50,12,oracle_tail,9.515472346854814e-05
2,0.1,50,12,tis,0.0010075593827939577
2,0.1,50,12,tis_anchored,0.0003503655348553657
2,0.1,50,12,uniform,0.0016475720287966486
2,0.1,50,13,learned_occupancy,0.00023238129291526034
2,0.1,50,13,oracle_tail,6.106902585485548e-05
2,0.1,50,13,tis,0.0008075317501253022
2,0.1,50,13,tis_anchored,0.0002693937788081074
2,0.1,50,13,uniform,0.004075421661588745
2,0.1,50,14,learned_occupancy,0.0003245997537500683
2,0.1,50,14,oracle_tail,0.00016020929995365965
2,0.1,50,14,tis,0.0006265460412417305
2,0.1,50,14,tis_anchored,0.0002424923529294819
2,0.1,50,14,uniform,0.004036677156164084
2,0.1,50,15,learned_occupancy,0.0006947854303900709
2,0.1,50,15,oracle_tail,9.742325831803185e-05
2,0.1,50,15,tis,0.0019007264149786545
