horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,learned_occupancy-minus-tis,300,-0.007855585213301085,0.0002415302675689098
2,0.1,50,oracle_tail-minus-tis,300,-0.007058725909149933,0.0002512084703290827
2,0.1,50,tis_anchored-minus-tis,300,-0.007723322716285594,0.00024142754173574454
2,0.1,50,uniform-minus-tis,300,0.004952672914378617,0.0002868310987638545
2,0.1,100,learned_occupancy-minus-tis,300,-0.0030229237139447643,0.00011784360085107623
2,0.1,100,oracle_tail-minus-tis,300,-0.002513678715575569,0.00012671567433804442
2,0.1,100,tis_anchored-minus-tis,300,-0.003015818706824093,0.00011781342254506014
2,0.1,100,uniform-minus-tis,300,0.003561464210429623,0.00016121513256947434
2,0.1,200,learned_occupancy-minus-tis,300,-0.0013095761437951737,7.563301911057438e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.000962754453797433,8.093368700444132e-05
2,0.1,200,tis_anchored-minus-tis,300,-0.0013172907555420376,7.543157195229082e-05
2,0.1,200,uniform-minus-tis,300,0.002012119023570691,9.521724307185865e-05
2,0.1,400,learned_occupancy-minus-tis,300,-0.0005204164628806041,4.2824521667532755e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.0003818054528647237,4.28266925623536e-05
2,0.1,400,tis_anchored-minus-tis,300,-0.0005241357320602461,4.27774243395453e-05
2,0.1,400,uniform-minus-tis,300,0.0012115149524288115,5.17455405320799e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.003128544078849229,0.00011674482906055502
2,0.2,50,oracle_tail-minus-tis,300,-0.0032812203552590345,0.0001164062968621074
2,0.2,50,tis_anchored-minus-tis,300,-0.0031136848975585633,0.00011674822221075158
2,0.2,50,uniform-minus-tis,300,0.0037615682261471998,0.0001544261240155746
2,0.2,100,learned_occupancy-minus-tis,300,-0.0011042154184728952,5.532536399128871e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.0011733575046979582,5.542456322825227e-05
2,0.2,100,tis_anchored-minus-tis,300,-0.0011128679753720822,5.516627184367642e-05
2,0.2,100,uniform-minus-tis,300,0.0025081820733418767,8.457292887640161e-05
2,0.2,200,learned_occupancy-minus-tis,300,-0.0004545230554410118,3.5553466333419e-05
2,0.2,200,oracle_tail-minus-tis,300,-0.0004844729114356257,3.5495472978444636e-05
2,0.2,200,tis_anchored-minus-tis,300,-0.00046332669127622297,3.549776511074303e-05
2,0.2,200,uniform-minus-tis,300,0.0013603027675060234,4.653923402183313e-05
2,0.2,400,learned_occupancy-minus-tis,300,-0.0001355092530130448,1.1424168205386878e-05
2,0.2,400,oracle_tail-minus-tis,300,-0.00014811398028688927,1.1356337850780148e-05
2,0.2,400,tis_anchored-minus-tis,300,-0.0001404792526587285,1.1369235038508142e-05
2,0.2,400,uniform-minus-tis,300,0.0008021039273375216,2.3958903160459272e-05
4,0.1,50,learned_occupancy-minus-tis,300,-0.03689736331574198,0.0013440598150239302
4,0.1,50,oracle_tail-minus-tis,300,-0.03837398538095937,0.001337539063563059
4,0.1,50,tis_anchored-minus-tis,300,-0.036850741465523584,0.0013322438875224675
4,0.1,50,uniform-minus-tis,300,0.02126366457388573,0.0015016484657290453
4,0.1,100,learned_occupancy-minus-tis,300,-0.016167929363820648,0.000985577423890609
4,0.1,100,oracle_tail-minus-tis,300,-0.016932555342381726,0.0009841212563603784
4,0.1,100,tis_anchored-minus-tis,300,-0.0164466837008076,0.0009847092476159124
4,0.1,100,uniform-minus-tis,300,0.011198769828126955,0.0010924087612632681
4,0.1,200,learned_occupancy-minus-tis,300,-0.005780693807595601,0.0004897218598877574
4,0.1,200,oracle_tail-minus-tis,300,-0.00605640274069877,0.0004854635990792708
4,0.1,200,tis_anchored-minus-tis,300,-0.005966361477433939,0.0004884947931819116
4,0.1,200,uniform-minus-tis,300,0.007843333695658929,0.0005230726440046903
4,0.1,400,learned_occupancy-minus-tis,300,-0.0024580238388720887,0.0003374973345298283
4,0.1,400,oracle_tail-minus-tis,300,-0.002608865258471178,0.00033682851936138035
4,0.1,400,tis_anchored-minus-tis,300,-0.002550451696783525,0.00033671819593428487
4,0.1,400,uniform-minus-tis,300,0.004113783244291945,0.00036201308127785354
4,0.2,50,learned_occupancy-minus-tis,300,-0.017094889201761877,0.0006706126875380104
4,0.2,50,oracle_tail-minus-tis,300,-0.018975802851615486,0.000665223459793052
4,0.2,50,tis_anchored-minus-tis,300,-0.017326598979818763,0.0006659404346138889
4,0.2,50,uniform-minus-tis,300,0.01670429007151051,0.0008424089919648061
4,0.2,100,learned_occupancy-minus-tis,300,-0.007094701365899511,0.00036417440252242494
4,0.2,100,oracle_tail-minus-tis,300,-0.007895284194145393,0.00036425343965670854
4,0.2,100,tis_anchored-minus-tis,300,-0.007303652406542498,0.0003632994392101615
4,0.2,100,uniform-minus-tis,300,0.010841228875768523,0.0004748359116773395
4,0.2,200,learned_occupancy-minus-tis,300,-0.003293719255604504,0.00023854133375291877
4,0.2,200,oracle_tail-minus-tis,300,-0.0036381185386580527,0.00023818329906344894
4,0.2,200,tis_anchored-minus-tis,300,-0.0034417330516465835,0.0002381349472239833
4,0.2,200,uniform-minus-tis,300,0.005790527068935889,0.00028906130006165024
4,0.2,400,learned_occupancy-minus-tis,300,-0.0009147815854209591,0.00010509862366894528
4,0.2,400,oracle_tail-minus-tis,300,-0.0010577495532430536,0.00010506700954828899
4,0.2,400,tis_anchored-minus-tis,300,-0.0009854572562157738,0.00010524557614714615
4,0.2,400,uniform-minus-tis,300,0.0038491679348910818,0.00013976257914456955
6,0.1,50,learned_occupancy-minus-tis,300,-0.08905254603460877,0.0037347258778292784
6,0.1,50,oracle_tail-minus-tis,300,-0.0996513695697619,0.0037316373907412877
6,0.1,50,tis_anchored-minus-tis,300,-0.09118691346196385,0.0036889082964383993
6,0.1,50,uniform-minus-tis,300,0.049505394584702676,0.004477476566727418
6,0.1,100,learned_occupancy-minus-tis,300,-0.03751393078430826,0.0024472042339966794
6,0.1,100,oracle_tail-minus-tis,300,-0.041928132881823975,0.002449381557807526
6,0.1,100,tis_anchored-minus-tis,300,-0.03875401046816166,0.0024437868697774513
6,0.1,100,uniform-minus-tis,300,0.02881669929902558,0.0026059593098405743
6,0.1,200,learned_occupancy-minus-tis,300,-0.014484904507126539,0.0015067856759331082
6,0.1,200,oracle_tail-minus-tis,300,-0.016459277346775353,0.0015096284476101103
6,0.1,200,tis_anchored-minus-tis,300,-0.015309680321760671,0.0015080710668319835
6,0.1,200,uniform-minus-tis,300,0.017856217530068507,0.0015570134120835078
6,0.1,400,learned_occupancy-minus-tis,300,-0.006026826103357582,0.0007632085958743483
6,0.1,400,oracle_tail-minus-tis,300,-0.006959889799381214,0.0007642924329211726
6,0.1,400,tis_anchored-minus-tis,300,-0.006456226525955625,0.0007640928996266409
6,0.1,400,uniform-minus-tis,300,0.01069575500086299,0.0007790506106935668
6,0.2,50,learned_occupancy-minus-tis,300,-0.04761883103782304,0.0020828218135920556
6,0.2,50,oracle_tail-minus-tis,300,-0.05466688348430542,0.0020760503719072913
6,0.2,50,tis_anchored-minus-tis,300,-0.0490486449901567,0.002071109594850541
6,0.2,50,uniform-minus-tis,300,0.0388346926804379,0.0023967668096620998
6,0.2,100,learned_occupancy-minus-tis,300,-0.020294787713492177,0.0010911172166524377
6,0.2,100,oracle_tail-minus-tis,300,-0.023458737507630886,0.001093510567741268
6,0.2,100,tis_anchored-minus-tis,300,-0.021359560792423647,0.001089692554813826
6,0.2,100,uniform-minus-tis,300,0.025088708473366222,0.0013490999806003623
6,0.2,200,learned_occupancy-minus-tis,300,-0.009100649350383285,0.0007126478110997498
6,0.2,200,oracle_tail-minus-tis,300,-0.010398577091381882,0.0007129193632767947
6,0.2,200,tis_anchored-minus-tis,300,-0.009645333804093742,0.0007093060088982386
6,0.2,200,uniform-minus-tis,300,0.013960826988403502,0.0008684227294571186
6,0.2,400,learned_occupancy-minus-tis,300,-0.003877250726584789,0.00045244502428176995
6,0.2,400,oracle_tail-minus-tis,300,-0.004467601297500673,0.0004511140495731742
6,0.2,400,tis_anchored-minus-tis,300,-0.004172896920863073,0.00045103556498192325
6,0.2,400,uniform-minus-tis,300,0.008228097517374525,0.0005080986469600353
