horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,learned_occupancy,300,0.0016453192671848495,0.0001291879358268591,-0.0009740827447298014,0.054982517041443545
2,0.1,50,0,oracle_tail,300,0.000899876467381866,7.770915999199555e-05,0.0001400612174898952,0.030071654899947595
2,0.1,50,0,tis,300,0.03039765091618518,0.003233571943077604,0.010798739017379775,1.0158146159551604
2,0.1,50,0,tis_anchored,300,0.0023734422877224777,0.00019387312123585806,-0.0016700297530283822,0.07931459482320802
2,0.1,50,0,uniform,300,0.029924407897599085,0.0024142478328380915,0.009706803397047098,1.0
2,0.1,50,1,learned_occupancy,300,0.0012177529768262387,0.00010040532784338972,-0.0016536777274798401,0.04220196865663781
2,0.1,50,1,oracle_tail,300,0.0006830346010712148,5.4448852828791884e-05,-0.0018168012670137339,0.023670978740641273
2,0.1,50,1,tis,300,0.03632528427548242,0.00374050968142019,0.05974629359677157,1.2588747780627363
2,0.1,50,1,tis_anchored,300,0.0018562697155080795,0.00015985348884320065,-0.0024648321344146774,0.06433015385132256
2,0.1,50,1,uniform,300,0.028855359491261605,0.002754838017006332,-0.007091569318480322,1.0
2,0.1,50,2,learned_occupancy,300,0.0005585259313318293,4.106602572770711e-05,0.002004329176498938,0.04821872844562542
2,0.1,50,2,oracle_tail,300,0.00022849596024495123,1.6657907640701167e-05,0.0004436644278040432,0.019726540953436737
2,0.1,50,2,tis,300,0.010362080979124494,0.0008921955573545428,0.01950395960549698,0.894580431874588
2,0.1,50,2,tis_anchored,300,0.0008284465422125666,8.303678814932072e-05,0.0017643980916013616,0.07152154736201882
2,0.1,50,2,uniform,300,0.01158317420090535,0.0009023632371270273,0.0124835353182168,1.0
2,0.1,50,3,learned_occupancy,300,2.6594821600169413e-06,3.2366305173111477e-07,0.00016552076274575406,0.05144285664999912
2,0.1,50,3,oracle_tail,300,0.00029577528840939746,0.00029410963643802357,0.0010488982985469638,5.721236258324762
2,0.1,50,3,tis,300,9.515141284522988e-05,4.004977834593406e-05,-0.0004618902962659525,1.8405314254903162
2,0.1,50,3,tis_anchored,300,5.180341353412591e-06,1.012939661181715e-06,8.246533081630629e-05,0.1002043035475631
2,0.1,50,3,uniform,300,5.1697793108792816e-05,2.144808205803316e-05,-0.00022044443296396135,1.0
2,0.1,50,4,learned_occupancy,300,0.0007155246842142855,5.2452527487828474e-05,0.003509797412128286,0.040973422995813615
2,0.1,50,4,oracle_tail,300,0.0003130953629094971,2.3930562348396236e-05,0.002292410342682565,0.017928925480195857
2,0.1,50,4,tis,300,0.010463185780244723,0.001272726744017043,0.010756120597508927,0.5991582768783392
2,0.1,50,4,tis_anchored,300,0.0009384882478340391,8.938176174817294e-05,0.005781862127427698,0.053741089306135116
2,0.1,50,4,uniform,300,0.017463141517060778,0.0012088241599991722,0.021079209802558695,1.0
2,0.1,50,5,learned_occupancy,300,0.0007774834257631775,5.763710268963961e-05,0.0011408672642624768,0.04729978219020137
2,0.1,50,5,oracle_tail,300,0.0003245798552814582,2.2774382395736474e-05,0.0016347206877175956,0.019746474264798624
2,0.1,50,5,tis,300,0.007205303069455017,0.0013594882503613717,0.01877644359918185,0.43834923614618976
2,0.1,50,5,tis_anchored,300,0.0009318436363026724,9.085179405001365e-05,0.0028784207663819497,0.05669059888855719
2,0.1,50,5,uniform,300,0.016437357420310512,0.0016490089589695706,0.041087056523023614,1.0
2,0.1,50,6,learned_occupancy,300,0.0008287844215276957,6.268156694007866e-05,-0.00016135221943491744,0.057289098419320075
2,0.1,50,6,oracle_tail,300,0.000322324577365596,2.5077472330963093e-05,0.00042918500416169183,0.02228044344948671
2,0.1,50,6,tis,300,0.010349157853188594,0.001240521378044361,0.012040023400655379,0.715377735642667
