horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_occupancy,0.0003846687370202917
2,0.1,50,0,oracle_tail,0.0005722612904729263
2,0.1,50,0,tis,0.0024432393259190372
2,0.1,50,0,tis_anchored,0.00034866940154684375
2,0.1,50,0,uniform,0.009501770037394074
2,0.1,50,1,learned_occupancy,0.0003968652768364792
2,0.1,50,1,oracle_tail,0.0013655071676992132
2,0.1,50,1,tis,0.001232510570322955
2,0.1,50,1,tis_anchored,0.0006027365851240799
2,0.1,50,1,uniform,0.007938740094467949
2,0.1,50,2,learned_occupancy,0.00030216188351214074
2,0.1,50,2,oracle_tail,0.00022344449076317047
2,0.1,50,2,tis,0.0023584251711688243
2,0.1,50,2,tis_anchored,0.00043236249344198616
2,0.1,50,2,uniform,0.006714575849222834
2,0.1,50,3,learned_occupancy,0.0004886837954748918
2,0.1,50,3,oracle_tail,9.360381011337031e-05
2,0.1,50,3,tis,0.00527899729763115
2,0.1,50,3,tis_anchored,0.0002306772908314066
2,0.1,50,3,uniform,0.008852905057773839
2,0.1,50,4,learned_occupancy,0.0003680708229569741
2,0.1,50,4,oracle_tail,0.010276823509372923
2,0.1,50,4,tis,0.01614148657369586
2,0.1,50,4,tis_anchored,0.00029499327830538445
2,0.1,50,4,uniform,0.018090528765260152
2,0.1,50,5,learned_occupancy,0.0005381014357035408
2,0.1,50,5,oracle_tail,0.0002615784711699371
2,0.1,50,5,tis,0.0007814211463452108
2,0.1,50,5,tis_anchored,0.0007425637226976272
2,0.1,50,5,uniform,0.004309071182776021
2,0.1,50,6,learned_occupancy,0.000286707325708467
2,0.1,50,6,oracle_tail,6.791252265068693e-05
2,0.1,50,6,tis,0.001433626852985517
2,0.1,50,6,tis_anchored,0.0005589566879113061
2,0.1,50,6,uniform,0.008333082810528828
2,0.1,50,7,learned_occupancy,0.00034549858588423893
2,0.1,50,7,oracle_tail,0.00046379379711856874
2,0.1,50,7,tis,0.007345753281779717
2,0.1,50,7,tis_anchored,0.00041022344094326354
2,0.1,50,7,uniform,0.008349027980412009
2,0.1,50,8,learned_occupancy,0.0003693551519938139
2,0.1,50,8,oracle_tail,0.0012416064418538624
2,0.1,50,8,tis,0.0024303717630361583
2,0.1,50,8,tis_anchored,0.00034244327063604277
2,0.1,50,8,uniform,0.013803939358622178
2,0.1,50,9,learned_occupancy,0.0006827493426408149
2,0.1,50,9,oracle_tail,0.00238082222968906
2,0.1,50,9,tis,0.0008594172390331291
2,0.1,50,9,tis_anchored,0.0005898663202599781
2,0.1,50,9,uniform,0.008220102814840027
2,0.1,50,10,learned_occupancy,0.0007691050070089587
2,0.1,50,10,oracle_tail,0.0002465568263478858
2,0.1,50,10,tis,0.0017684555461911955
2,0.1,50,10,tis_anchored,0.0007708309079362661
2,0.1,50,10,uniform,0.008535026661645472
2,0.1,50,11,learned_occupancy,0.000289194641545627
2,0.1,50,11,oracle_tail,0.00012047777553004339
2,0.1,50,11,tis,0.007655332577764343
2,0.1,50,11,tis_anchored,0.00034700693836232737
2,0.1,50,11,uniform,0.006992395700500431
2,0.1,50,12,learned_occupancy,0.00020459676287022324
2,0.1,50,12,oracle_tail,0.00035881466699910433
2,0.1,50,12,tis,0.0018801895742104231
2,0.1,50,12,tis_anchored,0.0001672834836398552
2,0.1,50,12,uniform,0.004055176339036425
2,0.1,50,13,learned_occupancy,0.0003802432688656927
2,0.1,50,13,oracle_tail,0.000105401295817415
2,0.1,50,13,tis,0.0010289559893388173
2,0.1,50,13,tis_anchored,0.0002828143309155547
2,0.1,50,13,uniform,0.005579262234298074
2,0.1,50,14,learned_occupancy,0.000456084022234308
2,0.1,50,14,oracle_tail,0.00024023031236799998
2,0.1,50,14,tis,0.0030059526809190825
2,0.1,50,14,tis_anchored,0.0004224417316036306
2,0.1,50,14,uniform,0.008630140507594601
2,0.1,50,15,learned_occupancy,0.00034602373720433386
2,0.1,50,15,oracle_tail,0.001019611856361919
2,0.1,50,15,tis,0.0052138069799347935
2,0.1,50,15,tis_anchored,0.00041362885910177613
2,0.1,50,15,uniform,0.0038353823798137226
2,0.1,50,16,learned_occupancy,0.0005123892567035272
2,0.1,50,16,oracle_tail,0.00047098031518858006
2,0.1,50,16,tis,0.017800692084026522
2,0.1,50,16,tis_anchored,0.0006740566309131308
2,0.1,50,16,uniform,0.006705900584308382
2,0.1,50,17,learned_occupancy,0.0004466745063134558
2,0.1,50,17,oracle_tail,0.00023466284832311223
2,0.1,50,17,tis,0.0032114172206118017
2,0.1,50,17,tis_anchored,0.0002786334018322298
2,0.1,50,17,uniform,0.005891542736229456
2,0.1,50,18,learned_occupancy,0.00031809141066036075
2,0.1,50,18,oracle_tail,0.00018645865479425858
2,0.1,50,18,tis,0.002025017467454258
2,0.1,50,18,tis_anchored,0.0004010857962243881
2,0.1,50,18,uniform,0.003535155023963205
2,0.1,50,19,learned_occupancy,0.0005110414066275054
2,0.1,50,19,oracle_tail,0.0001440711737402379
2,0.1,50,19,tis,0.003914966547772503
2,0.1,50,19,tis_anchored,0.0004172354025792183
2,0.1,50,19,uniform,0.008312455291699725
2,0.1,50,20,learned_occupancy,0.000286372001296754
2,0.1,50,20,oracle_tail,0.0001375164873073871
2,0.1,50,20,tis,0.003164680232835026
2,0.1,50,20,tis_anchored,0.00019620260789397512
2,0.1,50,20,uniform,0.012430648022827884
2,0.1,50,21,learned_occupancy,0.00048052828285224594
2,0.1,50,21,oracle_tail,0.0003898660629095198
2,0.1,50,21,tis,0.03092378430142406
2,0.1,50,21,tis_anchored,0.0003438077329118819
2,0.1,50,21,uniform,0.011440106577420554
2,0.1,50,22,learned_occupancy,0.00013072371423862488
2,0.1,50,22,oracle_tail,0.00010512731449514661
2,0.1,50,22,tis,0.005711385987550647
2,0.1,50,22,tis_anchored,0.0001914574146096596
2,0.1,50,22,uniform,0.007056461454687703
2,0.1,50,23,learned_occupancy,0.00037601965559665846
2,0.1,50,23,oracle_tail,0.00024915609122686645
2,0.1,50,23,tis,0.006556536151963097
2,0.1,50,23,tis_anchored,0.0003096677571497799
2,0.1,50,23,uniform,0.006567902245716951
2,0.1,50,24,learned_occupancy,0.000531557350523022
2,0.1,50,24,oracle_tail,6.384079321329203e-05
2,0.1,50,24,tis,0.00509216676791136
2,0.1,50,24,tis_anchored,0.00028675793146074215
2,0.1,50,24,uniform,0.00680113850729427
2,0.1,50,25,learned_occupancy,0.00029170004356581387
2,0.1,50,25,oracle_tail,0.0006573630430653852
2,0.1,50,25,tis,0.0019041348657877293
2,0.1,50,25,tis_anchored,0.00029914385431601954
2,0.1,50,25,uniform,0.003680140052554632
2,0.1,50,26,learned_occupancy,0.00037249642578763875
2,0.1,50,26,oracle_tail,0.00019259852861980785
2,0.1,50,26,tis,0.008560840088016887
2,0.1,50,26,tis_anchored,0.0005034930605426303
2,0.1,50,26,uniform,0.009157781483842397
2,0.1,50,27,learned_occupancy,0.00018103764255886586
2,0.1,50,27,oracle_tail,9.202771896356847e-05
2,0.1,50,27,tis,0.002704002053733905
2,0.1,50,27,tis_anchored,0.00037742774532251226
2,0.1,50,27,uniform,0.011779344953557251
2,0.1,50,28,learned_occupancy,0.0004130356065280047
2,0.1,50,28,oracle_tail,0.00014688407494033777
2,0.1,50,28,tis,0.002455236780690581
2,0.1,50,28,tis_anchored,0.00045895173608832227
2,0.1,50,28,uniform,0.007434819689377278
2,0.1,50,29,learned_occupancy,0.000743046369483119
2,0.1,50,29,oracle_tail,0.00026199422366992735
2,0.1,50,29,tis,0.015276413728589879
2,0.1,50,29,tis_anchored,0.0006979145241258007
2,0.1,50,29,uniform,0.01432425603307579
2,0.1,50,30,learned_occupancy,0.00043130492389671605
2,0.1,50,30,oracle_tail,0.0009135952135705189
2,0.1,50,30,tis,0.008920882582895225
2,0.1,50,30,tis_anchored,0.0003024050318649034
2,0.1,50,30,uniform,0.008319698891669487
2,0.1,50,31,learned_occupancy,0.000441114209842435
2,0.1,50,31,oracle_tail,0.0001347089268715211
2,0.1,50,31,tis,0.0054147722419621725
2,0.1,50,31,tis_anchored,0.00047017830383911714
2,0.1,50,31,uniform,0.005741975091246571
2,0.1,50,32,learned_occupancy,0.0005126374749226978
2,0.1,50,32,oracle_tail,0.00015186751063143463
2,0.1,50,32,tis,0.0018488566021942067
2,0.1,50,32,tis_anchored,0.0003746582081616948
