horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,learned_occupancy,300,0.00044232790120506664,1.1786339121566178e-05,0.060601576664316856
2,0.1,50,oracle_tail,300,0.0005794723134718839,4.983701169875083e-05,0.07939118408321916
2,0.1,50,tis,300,0.005059006083933448,0.00021116628610575277,0.6931141901867133
2,0.1,50,tis_anchored,300,0.00047531526700585425,1.206988202899839e-05,0.0651210437205076
2,0.1,50,uniform,300,0.007298950383010681,0.00017135486794438458,1.0
2,0.1,100,learned_occupancy,300,0.00019988752193048447,5.413363718147805e-06,0.05186812175548274
2,0.1,100,oracle_tail,300,0.0002186201185158007,1.7086745466878018e-05,0.05672897845679013
2,0.1,100,tis,300,0.0022139515190389377,0.00011115496381529713,0.5744906227322365
2,0.1,100,tis_anchored,300,0.00019855038479679203,5.434693889504175e-06,0.051521152665144745
2,0.1,100,uniform,300,0.003853764415700194,9.733932695795347e-05,1.0
2,0.1,200,learned_occupancy,300,8.435566249254982e-05,2.1246485657262645e-06,0.04539190815308222
2,0.1,200,oracle_tail,300,7.379652797972047e-05,5.530321864877173e-06,0.039710022079047516
2,0.1,200,tis,300,0.0010986152228756603,7.439507273497711e-05,0.5911664945640634
2,0.1,200,tis_anchored,300,7.941736170151157e-05,2.121339825222157e-06,0.04273460111149626
2,0.1,200,uniform,300,0.001858385468354052,4.340412269041874e-05,1.0
2,0.1,400,learned_occupancy,300,3.653082693233505e-05,9.332341166265613e-07,0.039235775591565034
2,0.1,400,oracle_tail,300,2.4861318618468026e-05,1.4745029111398033e-06,0.02670219100244874
2,0.1,400,tis,300,0.0004082331719731372,3.1510201689689596e-05,0.4384610606882574
2,0.1,400,tis_anchored,300,3.243015723281589e-05,7.444389326654584e-07,0.03483146915734493
2,0.1,400,uniform,300,0.000931059126054042,2.519622098866466e-05,1.0
2,0.2,50,learned_occupancy,300,0.00026192248363421654,5.655253323230521e-06,0.05283318390110009
2,0.2,50,oracle_tail,300,0.00033274038818736744,2.537331568946641e-05,0.06711807965664109
2,0.2,50,tis,300,0.0028955957555249954,0.00016009995707699006,0.5840794609619827
2,0.2,50,tis_anchored,300,0.000258481994679129,5.442525045556305e-06,0.05213919236913335
2,0.2,50,uniform,300,0.004957537371295217,0.00013450842719568118,1.0
2,0.2,100,learned_occupancy,300,0.00011650236370907903,2.601038216091594e-06,0.045503646428387584
2,0.2,100,oracle_tail,300,0.00017918285821906372,1.6764503535626458e-05,0.06998547640448241
2,0.2,100,tis,300,0.0014228658404764746,9.13327618331168e-05,0.5557448111675215
2,0.2,100,tis_anchored,300,0.00010755332163820242,2.24491122478643e-06,0.04200831780756407
2,0.2,100,uniform,300,0.0025602863254580556,5.1744219940744434e-05,1.0
2,0.2,200,learned_occupancy,300,4.992402390821425e-05,9.75358331184982e-07,0.03855805603976587
2,0.2,200,oracle_tail,300,0.00010495743458810597,9.088397917998112e-06,0.08106226878022918
2,0.2,200,tis,300,0.0006214370066765478,4.672958211059528e-05,0.4799573642675906
2,0.2,200,tis_anchored,300,4.48014683271839e-05,9.792405880093721e-07,0.03460172861064441
2,0.2,200,uniform,300,0.0012947754382826348,2.758747285373872e-05,1.0
2,0.2,400,learned_occupancy,300,2.1855218166827496e-05,4.920907630325663e-07,0.03490648973271449
2,0.2,400,oracle_tail,300,5.301865179915985e-05,5.464508387386691e-06,0.08467977809888799
2,0.2,400,tis,300,0.00021572730331752805,1.626971166535739e-05,0.344553087543604
2,0.2,400,tis_anchored,300,1.930382492383205e-05,4.827899191782669e-07,0.030831482045263637
2,0.2,400,uniform,300,0.0006261075901408873,1.2176791783687902e-05,1.0
4,0.1,50,learned_occupancy,300,0.00413841869769673,9.896529010813586e-05,0.1293093364948888
4,0.1,50,oracle_tail,300,0.0036577534276297464,0.0003449709615999887,0.11429043394085511
4,0.1,50,tis,300,0.03132956641071321,0.0013855741793069754,0.9789259476081071
4,0.1,50,tis_anchored,300,0.004017906199676126,0.00010842280743987156,0.12554379407477095
4,0.1,50,uniform,300,0.03200402082227302,0.0008184679932220241,1.0
4,0.1,100,learned_occupancy,300,0.0017009424864263204,4.4275289040231445e-05,0.10329112946140008
4,0.1,100,oracle_tail,300,0.0009712736991455014,0.00011435367295933329,0.05898139308147422
4,0.1,100,tis,300,0.019309058477241545,0.0009350191076577491,1.1725584344364572
4,0.1,100,tis_anchored,300,0.0016140758045379699,4.6941507914920514e-05,0.09801607886068094
4,0.1,100,uniform,300,0.016467459454608473,0.0004195562748123535,1.0
4,0.1,200,learned_occupancy,300,0.0007267266122297172,1.9540126522657212e-05,0.08763199374087616
4,0.1,200,oracle_tail,300,0.0005367770026141526,9.868076364998888e-05,0.06472700757304974
4,0.1,200,tis,300,0.010011815718870535,0.00046514441477019146,1.2072701861281743
4,0.1,200,tis_anchored,300,0.0006225222449147004,1.896293879065697e-05,0.07506655811398458
4,0.1,200,uniform,300,0.008292937102157175,0.00021928884825349988,1.0
4,0.1,400,learned_occupancy,300,0.0003081889046581774,7.393746974794965e-06,0.07865096166686264
4,0.1,400,oracle_tail,300,0.0001642816581701713,6.707167004732667e-06,0.04192529388311947
4,0.1,400,tis,300,0.004225747645129242,0.00023270492813518655,1.0784266111705925
4,0.1,400,tis_anchored,300,0.00024227273480179442,6.350927844338438e-06,0.06182890847078492
4,0.1,400,uniform,300,0.003918437843945958,0.00011449885125287171,1.0
4,0.2,50,learned_occupancy,300,0.0023521380578711225,6.250453514290506e-05,0.1105681652767373
4,0.2,50,oracle_tail,300,0.0008358209211586242,2.527774961571838e-05,0.03928986457370826
4,0.2,50,tis,300,0.018923570985590926,0.0008010866807098797,0.8895500488838783
4,0.2,50,tis_anchored,300,0.0021644373662732226,6.347392888086778e-05,0.10174482218184332
4,0.2,50,uniform,300,0.021273194250660092,0.00047448866833956475,1.0
4,0.2,100,learned_occupancy,300,0.001020699747752905,2.353817609141932e-05,0.09528421561929878
4,0.2,100,oracle_tail,300,0.00042060793280442727,1.2035333125139087e-05,0.0392645310717042
