horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,answer_entropy-minus-tis,300,0.005026433189731616,0.00019205535319019568
2,0.1,50,learned_mean-minus-tis,300,-0.0008210422185712746,8.871995279253911e-05
2,0.1,50,learned_occupancy-minus-tis,300,-0.00202422045925172,0.00022364425377555786
2,0.1,50,mean_influence-minus-tis,300,-0.0021140259537325615,0.00022352687116266426
2,0.1,50,occupancy-minus-tis,300,-0.0021023765575725177,0.00022368176945939677
2,0.1,50,oracle_no_cov-minus-tis,300,-0.001786822926845392,0.0002254718162276075
2,0.1,50,oracle_tail-minus-tis,300,-0.001786822926845392,0.0002254718162276075
2,0.1,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,50,uniform-minus-tis,300,4.7280215647421064e-05,0.00023468742476955958
2,0.1,50,untied_tis-minus-tis,300,-0.000427471256092357,0.00026377663739157086
2,0.1,100,answer_entropy-minus-tis,300,0.003243901369881592,0.0001452538348089382
2,0.1,100,learned_mean-minus-tis,300,-0.00028299613193190446,3.315301937921522e-05
2,0.1,100,learned_occupancy-minus-tis,300,-0.000713830536960904,8.204889422999459e-05
2,0.1,100,mean_influence-minus-tis,300,-0.0007466634939652648,8.21261059201639e-05
2,0.1,100,occupancy-minus-tis,300,-0.0007402258222363486,8.210868314825614e-05
2,0.1,100,oracle_no_cov-minus-tis,300,-0.000591691348475781,8.269459223158999e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.000591691348475781,8.269459223158999e-05
2,0.1,100,tis_no_cov-minus-tis,300,-1.0277817225762264e-12,1.0277817225762264e-12
2,0.1,100,uniform-minus-tis,300,0.0001693462229746899,8.244696756132032e-05
2,0.1,100,untied_tis-minus-tis,300,3.0474198618834816e-05,0.00013448338011934688
2,0.1,200,answer_entropy-minus-tis,300,0.0018809162369709676,7.068957421507386e-05
2,0.1,200,learned_mean-minus-tis,300,-0.00015629751630955607,1.5765630704955902e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.00028528889656744607,1.5237569252529197e-05
2,0.1,200,mean_influence-minus-tis,300,-0.000297440013616427,1.5219086309619031e-05
2,0.1,200,occupancy-minus-tis,300,-0.0002946696386064017,1.5215266907001906e-05
2,0.1,200,oracle_no_cov-minus-tis,300,-0.00024867682160611195,1.597342165084879e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.00024867682160611195,1.597342165084879e-05
2,0.1,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,200,uniform-minus-tis,300,0.00016122020539304524,1.8509883153285463e-05
2,0.1,200,untied_tis-minus-tis,300,3.5213758192111466e-06,2.3222956905693422e-05
2,0.1,400,answer_entropy-minus-tis,300,0.0010635593390555663,3.991765065232083e-05
2,0.1,400,learned_mean-minus-tis,300,-0.00010032242855025547,1.2698235207055546e-05
2,0.1,400,learned_occupancy-minus-tis,300,-0.00014019326951174256,1.2379687230147085e-05
2,0.1,400,mean_influence-minus-tis,300,-0.00014404549242434103,1.2374511593383552e-05
2,0.1,400,occupancy-minus-tis,300,-0.00014271459247740075,1.2374664436715233e-05
2,0.1,400,oracle_no_cov-minus-tis,300,-0.00013115647222034164,1.2698180996084122e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.00013115647222034164,1.2698180996084122e-05
2,0.1,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,400,uniform-minus-tis,300,8.61620349270101e-05,1.3464909998958425e-05
2,0.1,400,untied_tis-minus-tis,300,-1.8475144641882657e-05,1.5925613591165037e-05
2,0.2,50,answer_entropy-minus-tis,300,0.003562675597018547,0.00012012039508918169
2,0.2,50,learned_mean-minus-tis,300,-0.0002658672471971281,2.0393652356914015e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.000968808332263692,0.00013193833557001062
2,0.2,50,mean_influence-minus-tis,300,-0.0010261952879023679,0.00013188183939199892
2,0.2,50,occupancy-minus-tis,300,-0.0010053792521976402,0.0001319748513709806
2,0.2,50,oracle_no_cov-minus-tis,300,-0.0008247805294474462,0.00013363813785048745
2,0.2,50,oracle_tail-minus-tis,300,-0.0008247805294474462,0.00013363813785048745
2,0.2,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,50,uniform-minus-tis,300,0.000754947839901254,0.0001441970733437777
2,0.2,50,untied_tis-minus-tis,300,0.00014611942398317499,0.0001914958101180853
2,0.2,100,answer_entropy-minus-tis,300,0.0023363174769792773,7.263046183823893e-05
2,0.2,100,learned_mean-minus-tis,300,-0.0001302739958101703,1.5463822688030666e-05
2,0.2,100,learned_occupancy-minus-tis,300,-0.00033916768795611387,5.3504958196101926e-05
2,0.2,100,mean_influence-minus-tis,300,-0.00036550340045509263,5.339434703653518e-05
2,0.2,100,occupancy-minus-tis,300,-0.0003537778153597162,5.349209325341615e-05
2,0.2,100,oracle_no_cov-minus-tis,300,-0.0002636734781789612,5.427858322688473e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.0002636734781789612,5.427858322688473e-05
2,0.2,100,tis_no_cov-minus-tis,300,5.176506626414686e-13,5.176506626414686e-13
2,0.2,100,uniform-minus-tis,300,0.0006466551640019055,7.011354960802539e-05
2,0.2,100,untied_tis-minus-tis,300,-5.552321019608403e-05,5.9011789304622666e-05
2,0.2,200,answer_entropy-minus-tis,300,0.0012956836786462101,3.682160016567525e-05
2,0.2,200,learned_mean-minus-tis,300,-5.507165449392529e-05,6.205002314307449e-06
2,0.2,200,learned_occupancy-minus-tis,300,-9.440163274706177e-05,8.261948856489991e-06
2,0.2,200,mean_influence-minus-tis,300,-0.0001057811524967478,8.261977102854027e-06
2,0.2,200,occupancy-minus-tis,300,-9.955054439974778e-05,8.275056694343989e-06
2,0.2,200,oracle_no_cov-minus-tis,300,-5.7947908543447594e-05,9.582502197331782e-06
2,0.2,200,oracle_tail-minus-tis,300,-5.7947908543447594e-05,9.582502197331782e-06
2,0.2,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,200,uniform-minus-tis,300,0.00045815061975245237,2.4087151388497602e-05
2,0.2,200,untied_tis-minus-tis,300,-4.67473057356294e-06,1.0731207079739244e-05
2,0.2,400,answer_entropy-minus-tis,300,0.0007463857499823441,2.1810660554230305e-05
2,0.2,400,learned_mean-minus-tis,300,-1.932176620302345e-05,2.4055377611874803e-06
2,0.2,400,learned_occupancy-minus-tis,300,-3.0358499737991233e-05,3.0169465163100188e-06
2,0.2,400,mean_influence-minus-tis,300,-3.533584158702988e-05,3.035139280153999e-06
2,0.2,400,occupancy-minus-tis,300,-3.2103188191090126e-05,3.02053421081256e-06
2,0.2,400,oracle_no_cov-minus-tis,300,-1.1917658362198894e-05,4.083713085924695e-06
2,0.2,400,oracle_tail-minus-tis,300,-1.1917658362198894e-05,4.083713085924695e-06
2,0.2,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,400,uniform-minus-tis,300,0.00023800374054494284,1.1740225708409356e-05
2,0.2,400,untied_tis-minus-tis,300,-2.609473708551071e-06,4.412819308005216e-06
4,0.1,50,answer_entropy-minus-tis,300,0.01386286306123656,0.0006193692776807671
4,0.1,50,learned_mean-minus-tis,300,-0.0008915726726797527,0.00020434912952376196
4,0.1,50,learned_occupancy-minus-tis,300,-0.0070885478027384995,0.0006469086673748646
4,0.1,50,mean_influence-minus-tis,300,-0.007639564706972066,0.0006463617439319507
4,0.1,50,occupancy-minus-tis,300,-0.0074880225393613034,0.0006467288886311162
4,0.1,50,oracle_no_cov-minus-tis,300,-0.0072160500786421595,0.0006402290404803598
4,0.1,50,oracle_tail-minus-tis,300,-0.00721931949554333,0.0006403388684550334
4,0.1,50,tis_no_cov-minus-tis,300,-1.5815545147978478e-06,4.124979200195677e-06
4,0.1,50,uniform-minus-tis,300,-0.0014724054758951997,0.0006376692080832155
4,0.1,50,untied_tis-minus-tis,300,0.02493154142506574,0.002030340186261254
4,0.1,100,answer_entropy-minus-tis,300,0.009564767468583616,0.0004083168240157426
4,0.1,100,learned_mean-minus-tis,300,-0.00026349006808643066,9.844395126268972e-05
4,0.1,100,learned_occupancy-minus-tis,300,-0.002977026884518388,0.00036359281596276885
4,0.1,100,mean_influence-minus-tis,300,-0.0031897229487077555,0.000364293147500572
4,0.1,100,occupancy-minus-tis,300,-0.0031157461519927517,0.00036433139878734583
4,0.1,100,oracle_no_cov-minus-tis,300,-0.003042769183852909,0.0003642532483617161
4,0.1,100,oracle_tail-minus-tis,300,-0.0030430715674004283,0.0003642865171178462
4,0.1,100,tis_no_cov-minus-tis,300,-1.1706840753432568e-07,4.76076178320511e-06
4,0.1,100,uniform-minus-tis,300,-0.0004072382146609138,0.00037089380479840854
4,0.1,100,untied_tis-minus-tis,300,0.012357728777149989,0.001223702684801902
4,0.1,200,answer_entropy-minus-tis,300,0.006657769954873968,0.00030638611706516525
4,0.1,200,learned_mean-minus-tis,300,-0.0003852521171233319,5.801682346901882e-05
4,0.1,200,learned_occupancy-minus-tis,300,-0.0012040042518176367,8.206751399933878e-05
4,0.1,200,mean_influence-minus-tis,300,-0.0012848937374396003,8.191430381217292e-05
4,0.1,200,occupancy-minus-tis,300,-0.001247765635391821,8.203856434740526e-05
4,0.1,200,oracle_no_cov-minus-tis,300,-0.0012203676206699494,8.311313833086571e-05
4,0.1,200,oracle_tail-minus-tis,300,-0.0012208721805986398,8.309596312295963e-05
4,0.1,200,tis_no_cov-minus-tis,300,3.0152995520816966e-06,1.790290913486515e-06
4,0.1,200,uniform-minus-tis,300,9.264864798935244e-05,8.768376746199117e-05
4,0.1,200,untied_tis-minus-tis,300,0.007585830128926319,0.0009468856971353999
4,0.1,400,answer_entropy-minus-tis,300,0.003741721907970422,0.00017394624173954512
4,0.1,400,learned_mean-minus-tis,300,-0.00023438288354954212,2.4202963212678522e-05
4,0.1,400,learned_occupancy-minus-tis,300,-0.0005236959109264264,4.709998943940956e-05
4,0.1,400,mean_influence-minus-tis,300,-0.0005562689638363797,4.709688556275309e-05
4,0.1,400,occupancy-minus-tis,300,-0.000535779432026263,4.711596996215094e-05
4,0.1,400,oracle_no_cov-minus-tis,300,-0.0005527249204623025,4.7078649060146116e-05
4,0.1,400,oracle_tail-minus-tis,300,-0.0005527731532285131,4.7095328624195824e-05
4,0.1,400,tis_no_cov-minus-tis,300,2.0864125804831056e-06,1.3531271623908478e-06
4,0.1,400,uniform-minus-tis,300,0.00015182111777912717,4.847142413720237e-05
4,0.1,400,untied_tis-minus-tis,300,0.003292799302896046,0.0003654174901529712
4,0.2,50,answer_entropy-minus-tis,300,0.009743434075757135,0.0004673733223912562
4,0.2,50,learned_mean-minus-tis,300,-0.0003980882320696214,8.801843517731975e-05
