horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,answer_entropy,0.008083103930240516
2,0.1,50,0,learned_mean,0.0005604332280008404
2,0.1,50,0,learned_occupancy,0.00011642066956171614
2,0.1,50,0,mean_influence,4.3781762282579384e-05
2,0.1,50,0,occupancy,6.672362050409132e-05
2,0.1,50,0,oracle_no_cov,0.00041187916737512085
2,0.1,50,0,oracle_tail,0.00041187916737512085
2,0.1,50,0,tis,0.0010494999311387967
2,0.1,50,0,tis_no_cov,0.0010494999311387967
2,0.1,50,0,uniform,0.0013856951904801043
2,0.1,50,0,untied_tis,0.0012459426863323097
2,0.1,50,1,answer_entropy,0.014820206549746721
2,0.1,50,1,learned_mean,0.0012807211516404887
2,0.1,50,1,learned_occupancy,0.0001122502045381208
2,0.1,50,1,mean_influence,6.169626802922796e-05
2,0.1,50,1,occupancy,7.865051508892484e-05
2,0.1,50,1,oracle_no_cov,2.7361461564498117e-05
2,0.1,50,1,oracle_tail,2.7361461564498117e-05
2,0.1,50,1,tis,0.0016003916598471481
2,0.1,50,1,tis_no_cov,0.0016003916598471481
2,0.1,50,1,uniform,0.000953589670531646
2,0.1,50,1,untied_tis,0.0018855348856198098
2,0.1,50,2,answer_entropy,0.004863494914413514
2,0.1,50,2,learned_mean,0.0001690790859832532
2,0.1,50,2,learned_occupancy,5.0362168479537386e-05
2,0.1,50,2,mean_influence,3.107243674398908e-05
2,0.1,50,2,occupancy,3.8358931660734164e-05
2,0.1,50,2,oracle_no_cov,3.017224653042679e-05
2,0.1,50,2,oracle_tail,3.017224653042679e-05
2,0.1,50,2,tis,0.0011494170222851189
2,0.1,50,2,tis_no_cov,0.0011494170222851189
2,0.1,50,2,uniform,0.0018018561699342044
2,0.1,50,2,untied_tis,0.0014427500814278536
2,0.1,50,3,answer_entropy,0.0075352102714482125
2,0.1,50,3,learned_mean,0.0004957571394018305
2,0.1,50,3,learned_occupancy,0.000127847516262428
2,0.1,50,3,mean_influence,2.6565989872161006e-05
2,0.1,50,3,occupancy,5.811476065728455e-05
2,0.1,50,3,oracle_no_cov,0.0002015309156805632
2,0.1,50,3,oracle_tail,0.0002015309156805632
2,0.1,50,3,tis,0.0012788557619222653
2,0.1,50,3,tis_no_cov,0.0012788557619222653
2,0.1,50,3,uniform,0.0021970771813616843
2,0.1,50,3,untied_tis,0.0008218474598458654
2,0.1,50,4,answer_entropy,0.005594363639709661
2,0.1,50,4,learned_mean,0.00020012096311608436
2,0.1,50,4,learned_occupancy,7.94045026482416e-05
2,0.1,50,4,mean_influence,3.0116910722982987e-05
2,0.1,50,4,occupancy,5.208552058050812e-05
2,0.1,50,4,oracle_no_cov,1.8958721019668745e-05
2,0.1,50,4,oracle_tail,1.8958721019668745e-05
2,0.1,50,4,tis,0.0012241354625344
2,0.1,50,4,tis_no_cov,0.0012241354625344
2,0.1,50,4,uniform,0.0015852961906813357
2,0.1,50,4,untied_tis,0.003988430892222196
2,0.1,50,5,answer_entropy,0.008776776767417123
2,0.1,50,5,learned_mean,0.0004652104759740709
2,0.1,50,5,learned_occupancy,9.61156406947127e-05
2,0.1,50,5,mean_influence,2.2294842015203744e-05
2,0.1,50,5,occupancy,3.678622960730001e-05
2,0.1,50,5,oracle_no_cov,0.0012994600088777426
2,0.1,50,5,oracle_tail,0.0012994600088777426
2,0.1,50,5,tis,0.0014428369572352128
2,0.1,50,5,tis_no_cov,0.0014428369572352128
2,0.1,50,5,uniform,0.0017984343134759156
2,0.1,50,5,untied_tis,0.0011341426131400033
2,0.1,50,6,answer_entropy,0.004910213854610967
2,0.1,50,6,learned_mean,0.0009966886309764299
2,0.1,50,6,learned_occupancy,0.00010152317006581363
2,0.1,50,6,mean_influence,4.6168117733371964e-05
2,0.1,50,6,occupancy,4.411297975078087e-05
2,0.1,50,6,oracle_no_cov,4.1786300358393684e-05
2,0.1,50,6,oracle_tail,4.1786300358393684e-05
2,0.1,50,6,tis,0.0006904163158844111
2,0.1,50,6,tis_no_cov,0.0006904163158844111
2,0.1,50,6,uniform,0.0008860961010701836
2,0.1,50,6,untied_tis,0.0016237687043120833
2,0.1,50,7,answer_entropy,0.004291747630663453
2,0.1,50,7,learned_mean,0.0012875038517666598
2,0.1,50,7,learned_occupancy,0.00019642990114398807
2,0.1,50,7,mean_influence,5.010766916229884e-05
2,0.1,50,7,occupancy,6.17272935593254e-05
