horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,answer_entropy,300,5.692532004576593e-06,6.007148031909166e-07,7.442563113634707e-06,1.2274111506342644
2,0.1,50,0,learned_mean,300,4.768593876803385e-06,6.083674140452796e-07,1.8781916621463483e-05,1.028193656623999
2,0.1,50,0,learned_occupancy,300,5.745652278772701e-06,6.308964676311366e-07,-4.2455083776868905e-05,1.2388648265768212
2,0.1,50,0,mean_influence,300,1.5116282464342162e-07,1.2168679245461339e-08,1.0286090319004958e-05,0.03259339365673148
2,0.1,50,0,occupancy,300,6.873593489665874e-07,5.7952652450310254e-08,-6.193616971990057e-06,0.14820690138167256
2,0.1,50,0,oracle_no_cov,300,8.465774333443024e-08,6.810282972685602e-09,1.0295215827356152e-05,0.018253715231231628
2,0.1,50,0,oracle_tail,300,8.465774333443024e-08,6.810282972685602e-09,1.0295215827356152e-05,0.018253715231231628
2,0.1,50,0,tis,300,4.52026042886805e-06,5.857005094159338e-07,-3.608937808515715e-05,0.9746485482563643
2,0.1,50,0,tis_no_cov,300,4.52026042886805e-06,5.857005094159338e-07,-3.608937808515715e-05,0.9746485482563643
2,0.1,50,0,uniform,300,4.637836312335095e-06,4.818608716092702e-07,-9.473934852771851e-05,1.0
2,0.1,50,0,untied_tis,300,3.651378776412734e-06,4.960612818295821e-07,-3.4292806841383544e-05,0.7873022095888306
2,0.1,50,1,answer_entropy,300,0.003241212714893653,0.0004592065913723198,0.01572658667067129,11.948320020219555
2,0.1,50,1,learned_mean,300,0.00014979310031796236,1.3843494772555674e-05,0.0012577590628940756,0.552193285925262
2,0.1,50,1,learned_occupancy,300,7.181820790917868e-05,8.76086983354319e-06,0.00043336505195470167,0.2647487242767049
2,0.1,50,1,mean_influence,300,2.955637541185386e-05,2.398301113213777e-06,-0.00011478789030134069,0.10895583323977104
2,0.1,50,1,occupancy,300,1.853926401400955e-05,1.4659935951487047e-06,0.0004236627239467139,0.06834264791102866
2,0.1,50,1,oracle_no_cov,300,1.1486454905375816e-05,8.8734489263776e-07,-0.00018533727247137976,0.04234336070465343
2,0.1,50,1,oracle_tail,300,1.1486454905375816e-05,8.8734489263776e-07,-0.00018533727247137976,0.04234336070465343
2,0.1,50,1,tis,300,0.0004890428872825289,5.2858330608028903e-05,0.00048635745721909687,1.8027946435029136
2,0.1,50,1,tis_no_cov,300,0.0004890428872825289,5.2858330608028903e-05,0.00048635745721909687,1.8027946435029136
2,0.1,50,1,uniform,300,0.0002712693256799875,2.1946575218649086e-05,0.0005160297636999797,1.0
2,0.1,50,1,untied_tis,300,0.0003846989590827267,3.8144664013088166e-05,0.0003292919224438988,1.4181439722991402
