horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,adaptive_neyman-minus-tis,300,0.0008938715202987039,0.00013629093768096096
2,0.1,50,answer_entropy-minus-tis,300,0.006115679175219837,0.0002989712328919513
2,0.1,50,mc_ucb_frozen-minus-tis,300,0.0016415606727003056,0.00016535410424893803
2,0.1,50,mean_influence-minus-tis,300,-0.001860411667127508,0.00010374442214546474
2,0.1,50,occupancy-minus-tis,300,-0.0018453196697430917,0.00010382596992332731
2,0.1,50,oracle_tail-minus-tis,300,-0.0013964268685122984,0.00010367497803519584
2,0.1,50,uniform-minus-tis,300,0.0007394252631343959,0.00013208954661088386
2,0.1,50,untied_tis-minus-tis,300,6.626566811321836e-05,0.00012225697335324127
2,0.1,100,adaptive_neyman-minus-tis,300,0.0013139339661683018,6.996089964877e-05
2,0.1,100,answer_entropy-minus-tis,300,0.0038048077173293776,0.000191966736886606
2,0.1,100,mc_ucb_frozen-minus-tis,300,0.000589128826142013,5.585989032347078e-05
2,0.1,100,mean_influence-minus-tis,300,-0.0008697541376682705,3.7205697859265106e-05
2,0.1,100,occupancy-minus-tis,300,-0.0008612686844280911,3.722887538691828e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0006438857534008689,3.89133513623738e-05
2,0.1,100,uniform-minus-tis,300,0.00027614071971645925,4.33547102055854e-05
2,0.1,100,untied_tis-minus-tis,300,-2.0844072466179077e-06,4.993086590803666e-05
2,0.1,200,adaptive_neyman-minus-tis,300,0.0019300282809647906,6.801954957322238e-05
2,0.1,200,answer_entropy-minus-tis,300,0.002197393191770679,8.76446909407463e-05
2,0.1,200,mc_ucb_frozen-minus-tis,300,0.00017883178788369983,2.865080997670772e-05
2,0.1,200,mean_influence-minus-tis,300,-0.00045123240575228835,2.3756586561445774e-05
2,0.1,200,occupancy-minus-tis,300,-0.0004474584399421014,2.3774758306846908e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.0003148298768597192,2.7011810183396533e-05
2,0.1,200,uniform-minus-tis,300,0.00013780850023680037,2.766454356499285e-05
2,0.1,200,untied_tis-minus-tis,300,-7.933492927697261e-06,3.284699228297633e-05
2,0.1,400,adaptive_neyman-minus-tis,300,0.002280374218474571,6.453311336981046e-05
2,0.1,400,answer_entropy-minus-tis,300,0.00128447678556537,5.275173383582655e-05
2,0.1,400,mc_ucb_frozen-minus-tis,300,9.542442763785137e-05,1.5847697382535335e-05
2,0.1,400,mean_influence-minus-tis,300,-0.00020880071982731698,1.4595047787355734e-05
2,0.1,400,occupancy-minus-tis,300,-0.00020698691491684605,1.4581168946755418e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.00015798735574354774,1.4979105772891639e-05
2,0.1,400,uniform-minus-tis,300,8.4135684672561e-05,1.65736777483908e-05
2,0.1,400,untied_tis-minus-tis,300,1.4878014804851382e-06,2.2687263680997936e-05
2,0.2,50,adaptive_neyman-minus-tis,300,0.0005144336878178566,6.07896280248801e-05
2,0.2,50,answer_entropy-minus-tis,300,0.004051936620495031,0.00017039645939964166
2,0.2,50,mc_ucb_frozen-minus-tis,300,0.0018770317615676025,0.00011732659112147564
2,0.2,50,mean_influence-minus-tis,300,-0.0008589571219833886,3.605199241693316e-05
