horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,adaptive_neyman,0.002131313916331201
2,0.1,50,0,answer_entropy,0.006990922167470274
2,0.1,50,0,mc_ucb_frozen,0.002261311452790969
2,0.1,50,0,mean_influence,3.633497210327204e-05
2,0.1,50,0,occupancy,6.832246745626054e-05
2,0.1,50,0,oracle_tail,0.00024347002341433395
2,0.1,50,0,tis,0.0015704975602818963
2,0.1,50,0,uniform,0.001468601144665593
2,0.1,50,0,untied_tis,0.00124630699150512
2,0.1,50,1,adaptive_neyman,0.002273534983794448
2,0.1,50,1,answer_entropy,0.015518924382573279
2,0.1,50,1,mc_ucb_frozen,0.004549901225906374
2,0.1,50,1,mean_influence,6.090235335219067e-05
2,0.1,50,1,occupancy,7.249396609224364e-05
2,0.1,50,1,oracle_tail,0.0002871049426482579
2,0.1,50,1,tis,0.0018007271126418904
2,0.1,50,1,uniform,0.001823755042432594
2,0.1,50,1,untied_tis,0.0027561967140701765
2,0.1,50,2,adaptive_neyman,0.0021607350027736407
2,0.1,50,2,answer_entropy,0.005095674968241448
2,0.1,50,2,mc_ucb_frozen,0.006387975661696995
2,0.1,50,2,mean_influence,3.627507086828336e-05
2,0.1,50,2,occupancy,4.296598262019491e-05
2,0.1,50,2,oracle_tail,5.8223141564924085e-05
2,0.1,50,2,tis,0.0027327594686269367
2,0.1,50,2,uniform,0.0012971921288906186
2,0.1,50,2,untied_tis,0.0029222588578219967
2,0.1,50,3,adaptive_neyman,0.00028773409517768636
2,0.1,50,3,answer_entropy,0.0091049363088614
2,0.1,50,3,mc_ucb_frozen,0.0031465327221277487
2,0.1,50,3,mean_influence,4.6396960018640383e-05
2,0.1,50,3,occupancy,5.199037836006833e-05
2,0.1,50,3,oracle_tail,0.0008499002028778006
2,0.1,50,3,tis,0.0008016126145734509
2,0.1,50,3,uniform,0.004643078327466413
2,0.1,50,3,untied_tis,0.0038927223485981464
2,0.1,50,4,adaptive_neyman,0.0032811368413204543
2,0.1,50,4,answer_entropy,0.005437253209905675
2,0.1,50,4,mc_ucb_frozen,0.0046129451172396575
2,0.1,50,4,mean_influence,2.5871499091966306e-05
2,0.1,50,4,occupancy,4.8936267000416046e-05
2,0.1,50,4,oracle_tail,0.0002391900022793018
2,0.1,50,4,tis,0.001823884112162438
2,0.1,50,4,uniform,0.0012904282180003816
2,0.1,50,4,untied_tis,0.0019366789701429628
2,0.1,50,5,adaptive_neyman,0.0013226855539261733
2,0.1,50,5,answer_entropy,0.008351632416123867
2,0.1,50,5,mc_ucb_frozen,0.004035178085864971
2,0.1,50,5,mean_influence,2.952799291698533e-05
2,0.1,50,5,occupancy,3.881184708539001e-05
2,0.1,50,5,oracle_tail,0.0016779235174330027
2,0.1,50,5,tis,0.0013246435568142706
2,0.1,50,5,uniform,0.0028633762009606916
2,0.1,50,5,untied_tis,0.00030474583160244835
2,0.1,50,6,adaptive_neyman,0.004057739067472399
2,0.1,50,6,answer_entropy,0.007067668586689652
2,0.1,50,6,mc_ucb_frozen,0.0031341604899250506
2,0.1,50,6,mean_influence,5.331514087700359e-05
2,0.1,50,6,occupancy,4.896792062602765e-05
2,0.1,50,6,oracle_tail,3.7265021915861835e-05
2,0.1,50,6,tis,0.0009968289094232287
2,0.1,50,6,uniform,0.0009118445920579285
2,0.1,50,6,untied_tis,0.001431665694094947
2,0.1,50,7,adaptive_neyman,0.002385262607452392
2,0.1,50,7,answer_entropy,0.004002120131631191
2,0.1,50,7,mc_ucb_frozen,0.005090668784546004
2,0.1,50,7,mean_influence,6.102628767101642e-05
2,0.1,50,7,occupancy,7.824419485272212e-05
2,0.1,50,7,oracle_tail,5.145226270943464e-05
2,0.1,50,7,tis,0.0023179911301426954
2,0.1,50,7,uniform,0.0019218756129601037
2,0.1,50,7,untied_tis,0.00045059806359741143
2,0.1,50,8,adaptive_neyman,0.003915613635478061
2,0.1,50,8,answer_entropy,0.009950011032124924
2,0.1,50,8,mc_ucb_frozen,0.003130579856014775
2,0.1,50,8,mean_influence,4.028959310195458e-05
2,0.1,50,8,occupancy,5.091854016393428e-05
2,0.1,50,8,oracle_tail,6.6946395848468e-05
2,0.1,50,8,tis,0.0008659544874083851
2,0.1,50,8,uniform,0.0015402034693844863
2,0.1,50,8,untied_tis,0.0012085831100694978
2,0.1,50,9,adaptive_neyman,0.0029422971113024954
2,0.1,50,9,answer_entropy,0.0059771375826993
2,0.1,50,9,mc_ucb_frozen,0.00141396976745642
2,0.1,50,9,mean_influence,5.603627668303878e-05
