horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,adaptive_neyman-minus-tis,300,-0.0022706996078488027,0.00024956269066462694
2,0.1,50,answer_entropy-minus-tis,300,0.010554849060539141,0.00046478871108246943
2,0.1,50,mc_ucb_frozen-minus-tis,300,0.007820624088585793,0.0003548353046123336
2,0.1,50,mean_influence-minus-tis,300,-0.006020744850149435,0.00020439078789165875
2,0.1,50,occupancy-minus-tis,300,-0.005885573558366259,0.00020417171753868115
2,0.1,50,oracle_tail-minus-tis,300,-0.006021792650669405,0.0002041486445504085
2,0.1,50,uniform-minus-tis,300,0.005459871410922209,0.0002141838932972269
2,0.1,50,untied_tis-minus-tis,300,-0.00018148892119436557,0.00029260290945144833
2,0.1,100,adaptive_neyman-minus-tis,300,-0.00015904797293516825,0.00012567704013522932
2,0.1,100,answer_entropy-minus-tis,300,0.009998032029002313,0.00038048930428239894
2,0.1,100,mc_ucb_frozen-minus-tis,300,0.004647104670266727,0.00017605304299807484
2,0.1,100,mean_influence-minus-tis,300,-0.0022507934184159127,0.00010843666597938415
2,0.1,100,occupancy-minus-tis,300,-0.0021907818267510922,0.00010819297112384992
2,0.1,100,oracle_tail-minus-tis,300,-0.002254215209243767,0.00010841691032253152
2,0.1,100,uniform-minus-tis,300,0.0036841078484942907,0.0001351096789594772
2,0.1,100,untied_tis-minus-tis,300,-0.0001171424128773695,0.00014960379343254576
2,0.1,200,adaptive_neyman-minus-tis,300,0.0006701757865447283,8.61133435220926e-05
2,0.1,200,answer_entropy-minus-tis,300,0.005410913796630892,0.0001985994169138684
2,0.1,200,mc_ucb_frozen-minus-tis,300,0.0022312622916884164,9.204542094859004e-05
2,0.1,200,mean_influence-minus-tis,300,-0.0009276522008647274,6.523921080103282e-05
2,0.1,200,occupancy-minus-tis,300,-0.0008987575014771398,6.524138497717188e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.0009295415144054886,6.526349158264039e-05
2,0.1,200,uniform-minus-tis,300,0.002071974081391222,7.860508728206357e-05
2,0.1,200,untied_tis-minus-tis,300,-2.4585952481223338e-05,9.428723082730681e-05
2,0.1,400,adaptive_neyman-minus-tis,300,0.001240763541242926,6.59091554844693e-05
2,0.1,400,answer_entropy-minus-tis,300,0.0034807279589722504,0.00013248439323292318
2,0.1,400,mc_ucb_frozen-minus-tis,300,0.0013072501491722718,3.8651867795150036e-05
2,0.1,400,mean_influence-minus-tis,300,-0.0002548103966423323,1.3457451941818687e-05
2,0.1,400,occupancy-minus-tis,300,-0.00024073832422926396,1.352976844572818e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.0002556931899445275,1.3448843107430076e-05
2,0.1,400,uniform-minus-tis,300,0.0012596636873609584,3.0505896818069487e-05
2,0.1,400,untied_tis-minus-tis,300,2.260733516611524e-06,2.0021265749643317e-05
2,0.2,50,adaptive_neyman-minus-tis,300,-0.00019956940248506782,9.009831410486784e-05
2,0.2,50,answer_entropy-minus-tis,300,0.006269988328539803,0.0002544489219905569
2,0.2,50,mc_ucb_frozen-minus-tis,300,0.0041269062728966945,0.00012618862786204727
2,0.2,50,mean_influence-minus-tis,300,-0.0014078845960347481,6.321717537320797e-05
2,0.2,50,occupancy-minus-tis,300,-0.0013619466119295597,6.290525411529242e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.001392576384667251,6.352349787058826e-05
2,0.2,50,uniform-minus-tis,300,0.002727625344829413,9.568697814924397e-05
2,0.2,50,untied_tis-minus-tis,300,0.00019552910024927408,0.00010882016930241893
2,0.2,100,adaptive_neyman-minus-tis,300,0.00042738579808340873,6.564947904065856e-05
2,0.2,100,answer_entropy-minus-tis,300,0.00394385357283216,0.00015733779804294907
2,0.2,100,mc_ucb_frozen-minus-tis,300,0.0022170655880233135,7.259131976553231e-05
2,0.2,100,mean_influence-minus-tis,300,-0.0004968977074865964,3.3766279075701386e-05
2,0.2,100,occupancy-minus-tis,300,-0.00047384762113908147,3.382011446097967e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.0004876650463225824,3.3261867550438666e-05
2,0.2,100,uniform-minus-tis,300,0.0017171972572877336,5.78678682352636e-05
2,0.2,100,untied_tis-minus-tis,300,1.3707907632692223e-05,5.4455963341891975e-05
2,0.2,200,adaptive_neyman-minus-tis,300,0.0006817601510846528,5.5616146840457624e-05
2,0.2,200,answer_entropy-minus-tis,300,0.002346361709287304,9.19794080514068e-05
2,0.2,200,mc_ucb_frozen-minus-tis,300,0.0011468447376576547,4.3543863752678106e-05
2,0.2,200,mean_influence-minus-tis,300,-0.00016974436480923056,1.536612763021609e-05
2,0.2,200,occupancy-minus-tis,300,-0.00015906410458829958,1.5347066923382926e-05
2,0.2,200,oracle_tail-minus-tis,300,-0.00016854640131508261,1.5354521691236376e-05
2,0.2,200,uniform-minus-tis,300,0.0009474233638454228,2.8535829013387906e-05
2,0.2,200,untied_tis-minus-tis,300,-1.5153885674467011e-05,1.862050668141636e-05
2,0.2,400,adaptive_neyman-minus-tis,300,0.0007012227821082558,5.027203704881564e-05
2,0.2,400,answer_entropy-minus-tis,300,0.0012351885917360344,4.62343666051381e-05
2,0.2,400,mc_ucb_frozen-minus-tis,300,0.0005443422540313696,2.540141266295085e-05
2,0.2,400,mean_influence-minus-tis,300,-5.625050951470299e-05,5.778250880332833e-06
2,0.2,400,occupancy-minus-tis,300,-5.051100944338712e-05,5.754900326172364e-06
2,0.2,400,oracle_tail-minus-tis,300,-5.642631069455903e-05,5.779170080565878e-06
2,0.2,400,uniform-minus-tis,300,0.0005043976279122472,1.3474407901382373e-05
2,0.2,400,untied_tis-minus-tis,300,-3.961527418133932e-06,8.659355900272384e-06
4,0.1,50,adaptive_neyman-minus-tis,300,0.009066201382729497,0.0008802317875828724
4,0.1,50,answer_entropy-minus-tis,300,0.04012747418281503,0.0014473451913600318
4,0.1,50,mc_ucb_frozen-minus-tis,300,0.03237698122328069,0.001100360551408953
4,0.1,50,mean_influence-minus-tis,300,-0.0131503693914496,0.0005574792775668069
4,0.1,50,occupancy-minus-tis,300,-0.011802338829260366,0.0005585340154496145
4,0.1,50,oracle_tail-minus-tis,300,-0.013024035717248623,0.000556012058183996
4,0.1,50,uniform-minus-tis,300,0.024266593947211337,0.0008428965871897829
4,0.1,50,untied_tis-minus-tis,300,0.04878314575043713,0.0018326497219717263
4,0.1,100,adaptive_neyman-minus-tis,300,0.013131270093157394,0.0008003896137247395
4,0.1,100,answer_entropy-minus-tis,300,0.025861801644283564,0.0009275625912842042
4,0.1,100,mc_ucb_frozen-minus-tis,300,0.016090260209922148,0.0006058824163857925
4,0.1,100,mean_influence-minus-tis,300,-0.006557514609562343,0.00040422541132783635
4,0.1,100,occupancy-minus-tis,300,-0.005927929640216315,0.00040456302422814427
4,0.1,100,oracle_tail-minus-tis,300,-0.00656481282378657,0.0004046348421550854
4,0.1,100,uniform-minus-tis,300,0.01244707376309262,0.0005648181606926025
4,0.1,100,untied_tis-minus-tis,300,0.023001664155016067,0.0010799554357898793
4,0.1,200,adaptive_neyman-minus-tis,300,0.018228957178729074,0.0008421772885416995
4,0.1,200,answer_entropy-minus-tis,300,0.015515870054646932,0.0005907593337408842
4,0.1,200,mc_ucb_frozen-minus-tis,300,0.007705983686892329,0.00037597393018697534
4,0.1,200,mean_influence-minus-tis,300,-0.003200444493922371,0.00022619058855310702
4,0.1,200,occupancy-minus-tis,300,-0.0028915181598276394,0.00022589127845863807
4,0.1,200,oracle_tail-minus-tis,300,-0.0032040588825371,0.00022640274180108218
4,0.1,200,uniform-minus-tis,300,0.0065395564711521826,0.0002903115135272818
4,0.1,200,untied_tis-minus-tis,300,0.008876728981863752,0.000631006435206466
4,0.1,400,adaptive_neyman-minus-tis,300,0.030084751992434232,0.0012098779306163173
4,0.1,400,answer_entropy-minus-tis,300,0.00921095076697011,0.0003453295199717596
4,0.1,400,mc_ucb_frozen-minus-tis,300,0.004118239476174,0.0002783176080741592
4,0.1,400,mean_influence-minus-tis,300,-0.001589412751477045,0.0001408304969665931
4,0.1,400,occupancy-minus-tis,300,-0.0014275562350835967,0.00014143506447871813
4,0.1,400,oracle_tail-minus-tis,300,-0.0015942811510882807,0.0001408492509906778
4,0.1,400,uniform-minus-tis,300,0.0035204229279670964,0.00018034895247973589
4,0.1,400,untied_tis-minus-tis,300,0.005259144697290842,0.00044007813459919214
4,0.2,50,adaptive_neyman-minus-tis,300,0.006323361665256675,0.0006144273171587787
4,0.2,50,answer_entropy-minus-tis,300,0.021127717501987626,0.0009059655569158303
4,0.2,50,mc_ucb_frozen-minus-tis,300,0.013812802924617793,0.0005738421063867438
4,0.2,50,mean_influence-minus-tis,300,-0.005295698710944982,0.00037151831202986895
4,0.2,50,occupancy-minus-tis,300,-0.004843893196792616,0.00037263639718649195
4,0.2,50,oracle_tail-minus-tis,300,-0.005247054546623426,0.000371411845244261
4,0.2,50,uniform-minus-tis,300,0.008331823975347817,0.00046309733742684616
4,0.2,50,untied_tis-minus-tis,300,0.013100874491065156,0.0009040970044954834
4,0.2,100,adaptive_neyman-minus-tis,300,0.00877441750753965,0.0005240838081547158
4,0.2,100,answer_entropy-minus-tis,300,0.012138458681832125,0.0004937666458018902
4,0.2,100,mc_ucb_frozen-minus-tis,300,0.007852548921227923,0.0004341646650971156
4,0.2,100,mean_influence-minus-tis,300,-0.002627444243609446,0.00027220313229522826
4,0.2,100,occupancy-minus-tis,300,-0.002403437039612333,0.0002718818561259414
4,0.2,100,oracle_tail-minus-tis,300,-0.00262721890215956,0.00027213005207593925
4,0.2,100,uniform-minus-tis,300,0.00422028271336603,0.000321077125383051
4,0.2,100,untied_tis-minus-tis,300,0.006858987272016384,0.0005697047121036721
4,0.2,200,adaptive_neyman-minus-tis,300,0.011347643735871792,0.00048173548907774695
4,0.2,200,answer_entropy-minus-tis,300,0.007008284154630783,0.00023146125393974445
4,0.2,200,mc_ucb_frozen-minus-tis,300,0.004219923980248335,0.00026259985082511313
4,0.2,200,mean_influence-minus-tis,300,-0.0009522760406081351,9.595035760451669e-05
4,0.2,200,occupancy-minus-tis,300,-0.0008502123993061076,9.606789475225188e-05
4,0.2,200,oracle_tail-minus-tis,300,-0.0009545081265939796,9.597639460921315e-05
4,0.2,200,uniform-minus-tis,300,0.002525423370415673,0.00011434168734652541
4,0.2,200,untied_tis-minus-tis,300,0.004129156772186331,0.0004062993532777973
4,0.2,400,adaptive_neyman-minus-tis,300,0.01812843959715491,0.0007005604047128018
4,0.2,400,answer_entropy-minus-tis,300,0.00410043615369238,0.00013450068108354323
4,0.2,400,mc_ucb_frozen-minus-tis,300,0.0030362156269732807,0.0002581386683895639
4,0.2,400,mean_influence-minus-tis,300,-0.0003606570704422728,4.129592508301254e-05
4,0.2,400,occupancy-minus-tis,300,-0.00030826827621272885,4.145234627979897e-05
4,0.2,400,oracle_tail-minus-tis,300,-0.000362024189048521,4.130609226603132e-05
4,0.2,400,uniform-minus-tis,300,0.0014315787010933119,5.7242708022033545e-05
4,0.2,400,untied_tis-minus-tis,300,0.0014384469910318511,0.0001638788463551624
6,0.1,50,adaptive_neyman-minus-tis,300,0.03241905015337616,0.0024903211805082618
6,0.1,50,answer_entropy-minus-tis,300,0.07720956430752007,0.002802795535125529
6,0.1,50,mc_ucb_frozen-minus-tis,300,0.061998395004389195,0.002399489557392751
6,0.1,50,mean_influence-minus-tis,300,-0.031383938558223544,0.001582400077215998
6,0.1,50,occupancy-minus-tis,300,-0.026766235508481746,0.0015788478356833907
6,0.1,50,oracle_tail-minus-tis,300,-0.0315188816331674,0.0015820662483374702
6,0.1,50,uniform-minus-tis,300,0.04163237454788523,0.0019655236112407436
6,0.1,50,untied_tis-minus-tis,300,0.28943973224704034,0.0073453497338915935
6,0.1,100,adaptive_neyman-minus-tis,300,0.04812126192170304,0.0025174031113238495
6,0.1,100,answer_entropy-minus-tis,300,0.05266574315768233,0.0022327189091203813
6,0.1,100,mc_ucb_frozen-minus-tis,300,0.03153116544095016,0.0017052446416765067
6,0.1,100,mean_influence-minus-tis,300,-0.018434078516799294,0.0012210684405812209
6,0.1,100,occupancy-minus-tis,300,-0.016288634023989775,0.0012180057495567711
6,0.1,100,oracle_tail-minus-tis,300,-0.018515079852594468,0.001220873572546218
6,0.1,100,uniform-minus-tis,300,0.019671371105969507,0.0013751871324638165
6,0.1,100,untied_tis-minus-tis,300,0.05973619232374733,0.0029550291796165322
6,0.1,200,adaptive_neyman-minus-tis,300,0.07233682775744825,0.002703447040443251
6,0.1,200,answer_entropy-minus-tis,300,0.029110707512632766,0.0011635528913020723
6,0.1,200,mc_ucb_frozen-minus-tis,300,0.018667749198231876,0.0011270055185567008
6,0.1,200,mean_influence-minus-tis,300,-0.009102012332149337,0.0007203684432964861
6,0.1,200,occupancy-minus-tis,300,-0.00804276165696745,0.0007244987139685891
6,0.1,200,oracle_tail-minus-tis,300,-0.009133819228537374,0.0007201112340565606
6,0.1,200,uniform-minus-tis,300,0.010960917386652082,0.0008704793180238647
6,0.1,200,untied_tis-minus-tis,300,0.0428749914129378,0.002402450642057717
6,0.1,400,adaptive_neyman-minus-tis,300,0.10899408796998761,0.003134706117681089
6,0.1,400,answer_entropy-minus-tis,300,0.017061787461015224,0.0007206345493569707
6,0.1,400,mc_ucb_frozen-minus-tis,300,0.010366031920251793,0.0008161174836678009
6,0.1,400,mean_influence-minus-tis,300,-0.004802952418059809,0.000482637071269463
6,0.1,400,occupancy-minus-tis,300,-0.004300242101196445,0.00048296765087116783
6,0.1,400,oracle_tail-minus-tis,300,-0.00482322782553097,0.00048284429274652967
6,0.1,400,uniform-minus-tis,300,0.0053567234580993075,0.0005354094400025739
6,0.1,400,untied_tis-minus-tis,300,0.0262541854971898,0.0017010511053189297
6,0.2,50,adaptive_neyman-minus-tis,300,0.0218967944785049,0.0018396176951619456
6,0.2,50,answer_entropy-minus-tis,300,0.046496846656122394,0.002018885895786065
6,0.2,50,mc_ucb_frozen-minus-tis,300,0.025084680082600157,0.0015842420203843015
6,0.2,50,mean_influence-minus-tis,300,-0.017143609890324176,0.0012315411581017377
6,0.2,50,occupancy-minus-tis,300,-0.015622052380286891,0.0012262809256604406
6,0.2,50,oracle_tail-minus-tis,300,-0.01719850413005987,0.0012313192237185266
6,0.2,50,uniform-minus-tis,300,0.010390978083327392,0.0013449245021786662
6,0.2,50,untied_tis-minus-tis,300,0.1359604452412916,0.005595321633009133
6,0.2,100,adaptive_neyman-minus-tis,300,0.036469989953878526,0.0017186494300410967
6,0.2,100,answer_entropy-minus-tis,300,0.027494337574513767,0.0011632295044897362
6,0.2,100,mc_ucb_frozen-minus-tis,300,0.014465722133102368,0.0008962419990848278
6,0.2,100,mean_influence-minus-tis,300,-0.00793845304563208,0.0006970062033497669
6,0.2,100,occupancy-minus-tis,300,-0.0072547002497664655,0.0006966709210461663
6,0.2,100,oracle_tail-minus-tis,300,-0.007960170310112117,0.0006971832794870006
