horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,adaptive_neyman,0.009826343261114697
2,0.1,50,0,answer_entropy,0.007495597302917973
2,0.1,50,0,mc_ucb_frozen,0.01701627683133354
2,0.1,50,0,mean_influence,0.00031377335000099465
2,0.1,50,0,occupancy,0.00030801845318088585
2,0.1,50,0,oracle_tail,0.00026635050101095673
2,0.1,50,0,tis,0.002862563813307655
2,0.1,50,0,uniform,0.014062931772282915
2,0.1,50,0,untied_tis,0.0022058302000034728
2,0.1,50,1,adaptive_neyman,0.0020834984319908186
2,0.1,50,1,answer_entropy,0.022405472833082397
2,0.1,50,1,mc_ucb_frozen,0.007658298203518727
2,0.1,50,1,mean_influence,0.00040744646860735746
2,0.1,50,1,occupancy,0.0005428623992129974
2,0.1,50,1,oracle_tail,0.00040818419769075766
2,0.1,50,1,tis,0.0015406938088599832
2,0.1,50,1,uniform,0.02276214690718304
2,0.1,50,1,untied_tis,0.0074960260935540545
2,0.1,50,2,adaptive_neyman,0.0022613160517761725
2,0.1,50,2,answer_entropy,0.019714492706930552
2,0.1,50,2,mc_ucb_frozen,0.013980425369953635
2,0.1,50,2,mean_influence,0.00010517899416509952
2,0.1,50,2,occupancy,0.0003485041030590202
2,0.1,50,2,oracle_tail,0.00012159555197478007
2,0.1,50,2,tis,0.00376406104997355
2,0.1,50,2,uniform,0.014563142695761975
2,0.1,50,2,untied_tis,0.005780722360935166
2,0.1,50,3,adaptive_neyman,0.002990687506856847
2,0.1,50,3,answer_entropy,0.01954790008396826
2,0.1,50,3,mc_ucb_frozen,0.017914074287714556
2,0.1,50,3,mean_influence,0.0002996514607686631
2,0.1,50,3,occupancy,0.00040604839387393314
2,0.1,50,3,oracle_tail,0.000264231882129059
2,0.1,50,3,tis,0.001063179143519472
2,0.1,50,3,uniform,0.009899523704673296
2,0.1,50,3,untied_tis,0.0025713322254257926
2,0.1,50,4,adaptive_neyman,0.0015284631907013357
2,0.1,50,4,answer_entropy,0.026207249573428085
2,0.1,50,4,mc_ucb_frozen,0.01626683054441665
2,0.1,50,4,mean_influence,0.0001467366778114496
2,0.1,50,4,occupancy,0.00032501698025076545
2,0.1,50,4,oracle_tail,0.0001311221583119211
2,0.1,50,4,tis,0.0036830589703918146
2,0.1,50,4,uniform,0.013326758279729067
2,0.1,50,4,untied_tis,0.009547556462528816
2,0.1,50,5,adaptive_neyman,0.005094491914098194
2,0.1,50,5,answer_entropy,0.018473716351176086
2,0.1,50,5,mc_ucb_frozen,0.017321762343301975
2,0.1,50,5,mean_influence,0.00026053778289589246
2,0.1,50,5,occupancy,0.0004035310110997767
2,0.1,50,5,oracle_tail,0.0003218339341554276
2,0.1,50,5,tis,0.007617318972359353
2,0.1,50,5,uniform,0.007451116004055665
2,0.1,50,5,untied_tis,0.0021990923817552027
2,0.1,50,6,adaptive_neyman,0.0018052743317018875
2,0.1,50,6,answer_entropy,0.007199580446020663
2,0.1,50,6,mc_ucb_frozen,0.010118544147394387
2,0.1,50,6,mean_influence,0.00023881227314700862
2,0.1,50,6,occupancy,0.00036345814594835235
2,0.1,50,6,oracle_tail,0.00020376038173911887
2,0.1,50,6,tis,0.005025602967776945
2,0.1,50,6,uniform,0.006839239495135086
2,0.1,50,6,untied_tis,0.006640931700773074
2,0.1,50,7,adaptive_neyman,0.002646535109920706
2,0.1,50,7,answer_entropy,0.02186100185830527
2,0.1,50,7,mc_ucb_frozen,0.022146905545902894
2,0.1,50,7,mean_influence,0.00020767011238571865
2,0.1,50,7,occupancy,0.0003423218129555309
2,0.1,50,7,oracle_tail,0.00018818305501385233
2,0.1,50,7,tis,0.0059113348487935475
