horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,adaptive_neyman,300,0.003963121110369462,0.00015085273809500985,0.3389110185732899
2,0.1,50,answer_entropy,300,0.016788669778757405,0.00046386862287165387,1.435703077637929
2,0.1,50,mc_ucb_frozen,300,0.014054444806804062,0.00026362205851637087,1.2018825749465931
2,0.1,50,mean_influence,300,0.0002130758680688291,3.931767867308251e-06,0.018221436456142694
2,0.1,50,occupancy,300,0.00034824715985200467,7.118602048111104e-06,0.029780770350895325
2,0.1,50,oracle_tail,300,0.00021202806754885858,5.171295384339656e-06,0.018131832547608157
2,0.1,50,tis,300,0.0062338207182182645,0.00020456626365021035,0.533092598075478
2,0.1,50,uniform,300,0.011693692129140475,0.00021665820874591096,1.0
2,0.1,50,untied_tis,300,0.0060523317970238985,0.00019513405166939952,0.5175723569753983
2,0.1,100,adaptive_neyman,300,0.0021879100612286428,8.065902273529378e-05,0.36277336440973423
2,0.1,100,answer_entropy,300,0.012344990063166124,0.00039255205463383056,2.046900216869336
2,0.1,100,mc_ucb_frozen,300,0.006994062704430536,0.00013473507079828114,1.159672741188496
2,0.1,100,mean_influence,300,9.616461574789862e-05,1.7989981038931546e-06,0.015944879001307727
2,0.1,100,occupancy,300,0.0001561762074127194,2.970254767699966e-06,0.025895291222367993
2,0.1,100,oracle_tail,300,9.27428249200439e-05,1.718066774488257e-06,0.01537751812440306
2,0.1,100,tis,300,0.002346958034163811,0.00010858844673274262,0.38914481781940413
2,0.1,100,uniform,300,0.0060310658826581015,0.00011719970936740221,1.0
2,0.1,100,untied_tis,300,0.0022298156212864416,0.00010401241694777345,0.36972164865552487
2,0.1,200,adaptive_neyman,300,0.0016454003861926855,5.971708702363442e-05,0.5399714814892078
2,0.1,200,answer_entropy,300,0.00638613839627885,0.00019936895750005603,2.095740732632833
2,0.1,200,mc_ucb_frozen,300,0.003206486891336373,6.472967929960987e-05,1.0522736542544289
2,0.1,200,mean_influence,300,4.757239878322962e-05,8.885013705791274e-07,0.015611846736231231
2,0.1,200,occupancy,300,7.646709817081724e-05,1.428236303049342e-06,0.025094227904017025
2,0.1,200,oracle_tail,300,4.5683085242468645e-05,8.8132493648201e-07,0.014991830210063443
2,0.1,200,tis,300,0.0009752245996479572,6.52358990813389e-05,0.3200397157284731
2,0.1,200,uniform,300,0.003047198681039179,6.0996739651773006e-05,1.0
2,0.1,200,untied_tis,300,0.0009506386471667337,6.362520321796993e-05,0.3119713371766555
2,0.1,400,adaptive_neyman,300,0.0015200117216869638,6.458768410097927e-05,0.9877184999911719
2,0.1,400,answer_entropy,300,0.003759976139416289,0.00013234859490790876,2.4432693113084336
