horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,adaptive_neyman,300,0.019634209110175996,0.002838321866938718,0.006918841697979234,0.6803141567733412
2,0.1,50,0,answer_entropy,300,0.1625290762169321,0.011776261118918028,0.19090074135311716,5.631539870906526
2,0.1,50,0,mc_ucb_frozen,300,0.029573562535776143,0.003140877222430483,0.04530026331047913,1.0247070888576206
2,0.1,50,0,mean_influence,300,0.0003719436605819784,3.4633758561147895e-05,0.0001130494798553966,0.01288763588062602
2,0.1,50,0,occupancy,300,0.0007750617410535414,7.376947047866981e-05,0.000875606127855782,0.026855447645142822
2,0.1,50,0,oracle_tail,300,0.00037616938481018647,4.098401334232148e-05,0.0015133999885581816,0.01303405481703126
2,0.1,50,0,tis,300,0.012659857534846232,0.0024034969194345994,0.01347701000981456,0.43865684914325237
2,0.1,50,0,uniform,300,0.028860503511052887,0.0029555573322635393,0.04205025071739555,1.0
2,0.1,50,0,untied_tis,300,0.00970435642980217,0.001406855264504053,0.012863513661292236,0.3362504200969894
2,0.1,50,1,adaptive_neyman,300,0.0024397872976885584,0.00017102348345776839,0.025049090345658255,0.22399568486731466
2,0.1,50,1,answer_entropy,300,0.0247362144778261,0.004738055862514716,0.010782257665046285,2.2710198172745515
2,0.1,50,1,mc_ucb_frozen,300,0.014620208250671046,0.0017665329273582567,0.0037250933774506116,1.3422742069009104
2,0.1,50,1,mean_influence,300,0.0001656628334545531,1.5629143005386445e-05,-0.00093132767400995,0.015209424146059046
2,0.1,50,1,occupancy,300,0.0002819935093001213,2.4921092811648657e-05,-0.0006805860093010319,0.025889686901665827
2,0.1,50,1,oracle_tail,300,0.00016348965227135968,1.5404496743627562e-05,-0.0009040552512396764,0.015009905438862173
2,0.1,50,1,tis,300,0.01236017354614443,0.002412096921671703,-0.008388405627767043,1.1347815201638554
2,0.1,50,1,uniform,300,0.010892117404555283,0.0013326453275924089,-0.002007044843846418,1.0
2,0.1,50,1,untied_tis,300,0.0078467607985541,0.0014274438300191906,-0.005193612347208711,0.7204072915402511
2,0.1,50,2,adaptive_neyman,300,9.446396710898745e-10,0.0,3.0734990988934285e-05,0.008587106329515147
2,0.1,50,2,answer_entropy,300,9.234555665982561e-07,9.209721253105532e-07,-2.482056456662181e-05,8.394535380684246
2,0.1,50,2,mc_ucb_frozen,300,9.446396710898745e-10,0.0,3.0734990988934285e-05,0.008587106329515147
2,0.1,50,2,mean_influence,300,3.620302964023558e-07,3.379534276628794e-07,-2.0677234539412392e-05,3.2909825247188236
2,0.1,50,2,occupancy,300,1.4163808364539954e-08,7.03376284438689e-09,-9.518051847123842e-08,0.12875399179123498
2,0.1,50,2,oracle_tail,300,1.2479602745621208e-08,5.744729905338582e-09,-1.304970689955572e-06,0.113443971290258
2,0.1,50,2,tis,300,2.010813298749883e-07,1.1496977547470681e-07,-1.43100540561103e-05,1.827899900207085
2,0.1,50,2,uniform,300,1.1000675138294365e-07,6.265141330924733e-08,-2.598342344399818e-06,1.0
2,0.1,50,2,untied_tis,300,9.446396710898745e-10,0.0,3.0734990988934285e-05,0.008587106329515147
2,0.1,50,3,adaptive_neyman,300,0.00016140970652990544,0.00011892192162259619,0.004971424464759122,0.21697598939033924
2,0.1,50,3,answer_entropy,300,0.004016208449797734,0.002382430806132736,-0.0004427265338678736,5.398812876419239
2,0.1,50,3,mc_ucb_frozen,300,0.0014399426828183815,0.0004172872681451298,-0.001665827666494906,1.9356517955877162
2,0.1,50,3,mean_influence,300,1.0459270963047572e-05,8.326637509257486e-07,-0.00017371571286055968,0.014059939233508392
2,0.1,50,3,occupancy,300,2.2971265159674092e-05,2.22114926977588e-06,-0.00046901494790015856,0.03087926428169707
2,0.1,50,3,oracle_tail,300,9.857531736741737e-06,8.216091647427969e-07,-0.0002005350831260048,0.013251047582630536
2,0.1,50,3,tis,300,0.0009102358307467166,0.00029016810827954347,0.0002340206673418684,1.223590106201043
2,0.1,50,3,uniform,300,0.0007439058440679802,0.0001953022425757527,-1.4746209504487019e-05,1.0
2,0.1,50,3,untied_tis,300,0.0010358048942693684,0.00032271816190248854,-7.543495675114512e-07,1.3923870910936325
2,0.1,50,4,adaptive_neyman,300,0.010621562199507146,0.0013366176597547307,0.05581139031760087,0.33562012073248826
2,0.1,50,4,answer_entropy,300,0.02636934788960862,0.001616176414034137,0.018105836858623343,0.833218650525634
2,0.1,50,4,mc_ucb_frozen,300,0.03867485097488865,0.002481598137076613,-0.008050610148444081,1.2220479351055735
2,0.1,50,4,mean_influence,300,0.0007568720940819056,6.803083076064288e-05,-0.002045642650176205,0.023915644311399625
2,0.1,50,4,occupancy,300,0.0010036132602224178,9.60261245770436e-05,-0.0008364584274855028,0.031712171640834855
2,0.1,50,4,oracle_tail,300,0.000760822875855428,6.725661974656226e-05,-0.0018867516945602668,0.02404048111326657
2,0.1,50,4,tis,300,0.01017465958461995,0.0011430003232701053,0.0070492960491845835,0.3214988919766029
2,0.1,50,4,uniform,300,0.031647572786535176,0.0021320193817477486,0.0034045121798360507,1.0
