horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,adaptive_neyman-minus-tis,300,0.0009460685018469219,9.708456281082082e-05
2,0.1,50,answer_entropy-minus-tis,300,0.01314156332341065,0.00021769734164063116
2,0.1,50,mc_ucb_frozen-minus-tis,300,0.0035713437744198883,0.00011579655878978583
2,0.1,50,mean_influence-minus-tis,300,-0.0015170750048938704,6.102592121609238e-05
2,0.1,50,occupancy-minus-tis,300,-0.0014881717517625365,6.097843597705675e-05
2,0.1,50,oracle_tail-minus-tis,300,-0.0015238806398813244,6.116553834609893e-05
2,0.1,50,uniform-minus-tis,300,0.0024690430798599582,9.591555556323968e-05
2,0.1,50,untied_tis-minus-tis,300,-0.0001321463779725731,8.284248389802659e-05
2,0.1,100,adaptive_neyman-minus-tis,300,0.0012489163477412862,4.551141517820546e-05
2,0.1,100,answer_entropy-minus-tis,300,0.009808968497541839,0.00017621069041911294
2,0.1,100,mc_ucb_frozen-minus-tis,300,0.001966368051997715,5.265717720456736e-05
2,0.1,100,mean_influence-minus-tis,300,-0.0005050434477748048,2.5377986126359452e-05
2,0.1,100,occupancy-minus-tis,300,-0.0004909199895077397,2.537056294517597e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0005088133663353919,2.552709669985057e-05
2,0.1,100,uniform-minus-tis,300,0.0015078634055244189,4.4664504157043876e-05
2,0.1,100,untied_tis-minus-tis,300,3.565524464844889e-05,3.528098400064164e-05
2,0.1,200,adaptive_neyman-minus-tis,300,0.0015207224620817983,3.5659229137068943e-05
2,0.1,200,answer_entropy-minus-tis,300,0.005882914272315004,0.00013420690397957747
2,0.1,200,mc_ucb_frozen-minus-tis,300,0.001007387360675554,2.792317072889957e-05
2,0.1,200,mean_influence-minus-tis,300,-0.00018908331681589475,1.0626663066032806e-05
2,0.1,200,occupancy-minus-tis,300,-0.00018170949853071864,1.0582132378277839e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.00019213632036080777,1.0612852513571162e-05
2,0.1,200,uniform-minus-tis,300,0.0009024645619923063,2.3636348824511277e-05
2,0.1,200,untied_tis-minus-tis,300,1.059693875603883e-05,1.6769569812106497e-05
2,0.1,400,adaptive_neyman-minus-tis,300,0.0016245132133493898,3.302896847838525e-05
2,0.1,400,answer_entropy-minus-tis,300,0.003761715645997154,9.431177725856339e-05
2,0.1,400,mc_ucb_frozen-minus-tis,300,0.0005052898728127677,1.4509679373328213e-05
2,0.1,400,mean_influence-minus-tis,300,-8.376564551313095e-05,5.162099575613488e-06
2,0.1,400,occupancy-minus-tis,300,-8.055660157709793e-05,5.152843634034213e-06
2,0.1,400,oracle_tail-minus-tis,300,-8.57313576170166e-05,5.177581767355166e-06
2,0.1,400,uniform-minus-tis,300,0.000470962969522171,1.2902748759215352e-05
2,0.1,400,untied_tis-minus-tis,300,-6.699936005306175e-06,7.528317276939602e-06
2,0.2,50,adaptive_neyman-minus-tis,300,0.000694569325512075,4.6529535656194545e-05
2,0.2,50,answer_entropy-minus-tis,300,0.008211595732817384,0.00013867210079821366
2,0.2,50,mc_ucb_frozen-minus-tis,300,0.0021914093123020215,5.503745850851188e-05
2,0.2,50,mean_influence-minus-tis,300,-0.0006109236162003942,2.6681289008837645e-05
2,0.2,50,occupancy-minus-tis,300,-0.0005978490049012201,2.6731517586388146e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.0006065068577035983,2.669207892758815e-05
2,0.2,50,uniform-minus-tis,300,0.0016940508598502254,4.930632257113047e-05
2,0.2,50,untied_tis-minus-tis,300,-1.4531323881611508e-05,3.8886159724115295e-05
2,0.2,100,adaptive_neyman-minus-tis,300,0.0010462876192687263,4.4318785206699165e-05
2,0.2,100,answer_entropy-minus-tis,300,0.005357196571902962,0.00011152655328069424
2,0.2,100,mc_ucb_frozen-minus-tis,300,0.001053657776227898,2.9676169513318172e-05
2,0.2,100,mean_influence-minus-tis,300,-0.000255490215448971,1.4169663378028481e-05
2,0.2,100,occupancy-minus-tis,300,-0.0002491112752968716,1.4196188871640903e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.00025417881171620535,1.3997092871450568e-05
2,0.2,100,uniform-minus-tis,300,0.0008548127394272313,2.6459499934659455e-05
2,0.2,100,untied_tis-minus-tis,300,-1.2907279323836305e-05,1.8846357503775206e-05
2,0.2,200,adaptive_neyman-minus-tis,300,0.0011476602668375807,3.2400255137986674e-05
2,0.2,200,answer_entropy-minus-tis,300,0.0032299816696295075,7.257120964714583e-05
2,0.2,200,mc_ucb_frozen-minus-tis,300,0.0005202272065370688,1.475436088240086e-05
2,0.2,200,mean_influence-minus-tis,300,-8.527043237473392e-05,7.998685456858973e-06
