horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,adaptive_neyman,0.0037960638708615887
2,0.1,50,0,answer_entropy,0.01642419124068815
2,0.1,50,0,mc_ucb_frozen,0.006889989687147971
2,0.1,50,0,mean_influence,9.758860392954358e-05
2,0.1,50,0,occupancy,0.00012947356359242188
2,0.1,50,0,oracle_tail,9.665116352756441e-05
2,0.1,50,0,tis,0.0010027394231820776
2,0.1,50,0,uniform,0.004910209809867556
2,0.1,50,0,untied_tis,0.0017127008344387567
2,0.1,50,1,adaptive_neyman,0.0017714286506055536
2,0.1,50,1,answer_entropy,0.01777440751736392
2,0.1,50,1,mc_ucb_frozen,0.006870187732920711
2,0.1,50,1,mean_influence,7.629590221922926e-05
2,0.1,50,1,occupancy,0.00011318843816184374
2,0.1,50,1,oracle_tail,5.866862628349141e-05
2,0.1,50,1,tis,0.0015464410746038218
2,0.1,50,1,uniform,0.006810205758371403
2,0.1,50,1,untied_tis,0.00039513898203061726
2,0.1,50,2,adaptive_neyman,0.0017904041200487663
2,0.1,50,2,answer_entropy,0.011809679679449549
2,0.1,50,2,mc_ucb_frozen,0.007262784204719461
2,0.1,50,2,mean_influence,9.182343025056183e-05
2,0.1,50,2,occupancy,0.000165502732459645
2,0.1,50,2,oracle_tail,6.650165015121656e-05
2,0.1,50,2,tis,0.002140796575706068
2,0.1,50,2,uniform,0.0021789173614315707
2,0.1,50,2,untied_tis,0.002492352686754452
2,0.1,50,3,adaptive_neyman,0.00204479992480771
2,0.1,50,3,answer_entropy,0.012201297634106226
2,0.1,50,3,mc_ucb_frozen,0.004081880712623874
2,0.1,50,3,mean_influence,0.0001282792927475917
2,0.1,50,3,occupancy,0.0001604625982641208
2,0.1,50,3,oracle_tail,0.0001314678872442638
2,0.1,50,3,tis,0.002275048081718328
2,0.1,50,3,uniform,0.0023257264239408674
2,0.1,50,3,untied_tis,0.0033250069328732974
2,0.1,50,4,adaptive_neyman,0.004991206618365891
2,0.1,50,4,answer_entropy,0.014555065687542963
2,0.1,50,4,mc_ucb_frozen,0.0040735852052207425
2,0.1,50,4,mean_influence,7.16068179565306e-05
2,0.1,50,4,occupancy,6.997263618104339e-05
2,0.1,50,4,oracle_tail,3.34767725349924e-05
2,0.1,50,4,tis,0.0012220230605240522
2,0.1,50,4,uniform,0.004447850441422059
2,0.1,50,4,untied_tis,0.003535491033275432
2,0.1,50,5,adaptive_neyman,0.0044525831714203375
2,0.1,50,5,answer_entropy,0.017770699282910016
2,0.1,50,5,mc_ucb_frozen,0.004065030877329652
2,0.1,50,5,mean_influence,0.00012736003105976912
2,0.1,50,5,occupancy,0.00021015202185288635
2,0.1,50,5,oracle_tail,0.00013042046212361988
2,0.1,50,5,tis,0.0005931259154914803
2,0.1,50,5,uniform,0.006000103824684235
2,0.1,50,5,untied_tis,0.0007944318317755581
2,0.1,50,6,adaptive_neyman,0.0018090730879440741
2,0.1,50,6,answer_entropy,0.026774087836046397
2,0.1,50,6,mc_ucb_frozen,0.0036045615902073357
2,0.1,50,6,mean_influence,7.884683892108384e-05
2,0.1,50,6,occupancy,0.00010246615468104924
2,0.1,50,6,oracle_tail,7.832616005056619e-05
2,0.1,50,6,tis,0.0017187883453326366
2,0.1,50,6,uniform,0.0045678465148805796
2,0.1,50,6,untied_tis,0.0007995612966429745
2,0.1,50,7,adaptive_neyman,0.0021892593759160884
2,0.1,50,7,answer_entropy,0.015011032401142274
2,0.1,50,7,mc_ucb_frozen,0.006369593173118722
2,0.1,50,7,mean_influence,9.028856737769829e-05
2,0.1,50,7,occupancy,0.00014602506062460837
2,0.1,50,7,oracle_tail,7.77222017762797e-05
2,0.1,50,7,tis,0.0011732714641480091
2,0.1,50,7,uniform,0.00272179899412505
2,0.1,50,7,untied_tis,0.004118833282907231
2,0.1,50,8,adaptive_neyman,0.0025582773973661186
2,0.1,50,8,answer_entropy,0.009927812092901802
2,0.1,50,8,mc_ucb_frozen,0.00535156319637428
2,0.1,50,8,mean_influence,0.00011079569738970279
2,0.1,50,8,occupancy,0.00015057393403497725
2,0.1,50,8,oracle_tail,6.815911598735123e-05
2,0.1,50,8,tis,0.0025066538805649822
2,0.1,50,8,uniform,0.003898810530089847
2,0.1,50,8,untied_tis,0.0006898673971858616
2,0.1,50,9,adaptive_neyman,0.00394286666441707
2,0.1,50,9,answer_entropy,0.02272929328266754
2,0.1,50,9,mc_ucb_frozen,0.00311844451252039
2,0.1,50,9,mean_influence,0.0002653953500615945
2,0.1,50,9,occupancy,0.0002348201257952418
2,0.1,50,9,oracle_tail,0.00017382999127514703
2,0.1,50,9,tis,0.002484471251554361
2,0.1,50,9,uniform,0.0052667820539433335
2,0.1,50,9,untied_tis,0.000464543634858893
2,0.1,50,10,adaptive_neyman,0.0030348397418771215
2,0.1,50,10,answer_entropy,0.011619459838344358
2,0.1,50,10,mc_ucb_frozen,0.0063208174705288184
2,0.1,50,10,mean_influence,0.00011038967732667247
2,0.1,50,10,occupancy,0.0001184008229944045
2,0.1,50,10,oracle_tail,9.093210355828483e-05
2,0.1,50,10,tis,0.0023158447318421746
2,0.1,50,10,uniform,0.00419083753618947
2,0.1,50,10,untied_tis,0.0009320501531708898
2,0.1,50,11,adaptive_neyman,0.0014938298459941325
2,0.1,50,11,answer_entropy,0.013328895983724049
2,0.1,50,11,mc_ucb_frozen,0.004775037507641669
2,0.1,50,11,mean_influence,0.00015602607507280607
2,0.1,50,11,occupancy,0.0001809732426768891
2,0.1,50,11,oracle_tail,0.00011852408461373618
2,0.1,50,11,tis,0.0017290453447532418
2,0.1,50,11,uniform,0.0047391216131370964
2,0.1,50,11,untied_tis,0.001512024908088222
2,0.1,50,12,adaptive_neyman,0.002942545884543309
2,0.1,50,12,answer_entropy,0.010198025080163577
2,0.1,50,12,mc_ucb_frozen,0.007496041683601024
2,0.1,50,12,mean_influence,7.088881877456031e-05
2,0.1,50,12,occupancy,9.86995596988414e-05
2,0.1,50,12,oracle_tail,9.515472346854814e-05
2,0.1,50,12,tis,0.0010075593827939577
2,0.1,50,12,uniform,0.0016475720287966486
2,0.1,50,12,untied_tis,0.0012732567696568566
2,0.1,50,13,adaptive_neyman,0.0011404524053966203
2,0.1,50,13,answer_entropy,0.015284670624564957
2,0.1,50,13,mc_ucb_frozen,0.0045396932494097516
2,0.1,50,13,mean_influence,0.00011985448801860131
2,0.1,50,13,occupancy,0.00017729359399738096
2,0.1,50,13,oracle_tail,6.106902585485548e-05
2,0.1,50,13,tis,0.0008075317501253022
2,0.1,50,13,uniform,0.004075421661588745
2,0.1,50,13,untied_tis,0.0013360271817784602
2,0.1,50,14,adaptive_neyman,0.0018233968569984819
2,0.1,50,14,answer_entropy,0.015240968106424193
2,0.1,50,14,mc_ucb_frozen,0.005078524066702269
2,0.1,50,14,mean_influence,0.00013692214815785584
2,0.1,50,14,occupancy,0.0002437300683154804
2,0.1,50,14,oracle_tail,0.00016020929995365965
2,0.1,50,14,tis,0.0006265460412417305
2,0.1,50,14,uniform,0.004036677156164084
2,0.1,50,14,untied_tis,0.0020518500475869483
2,0.1,50,15,adaptive_neyman,0.0019439638234533838
2,0.1,50,15,answer_entropy,0.013001507733441848
2,0.1,50,15,mc_ucb_frozen,0.002896959522963845
2,0.1,50,15,mean_influence,0.00011402607076392094
2,0.1,50,15,occupancy,8.823508281904204e-05
2,0.1,50,15,oracle_tail,9.742325831803185e-05
2,0.1,50,15,tis,0.0019007264149786545
2,0.1,50,15,uniform,0.003178505841240848
2,0.1,50,15,untied_tis,0.0008634417627848476
2,0.1,50,16,adaptive_neyman,0.002819533571865925
2,0.1,50,16,answer_entropy,0.011259733392907333
2,0.1,50,16,mc_ucb_frozen,0.00936784405251923
2,0.1,50,16,mean_influence,0.00011600903910852956
2,0.1,50,16,occupancy,0.0001379674644456671
2,0.1,50,16,oracle_tail,0.00018991222426976173
2,0.1,50,16,tis,0.0018903542619230673
2,0.1,50,16,uniform,0.00353065479372801
2,0.1,50,16,untied_tis,0.0005632772783165442
2,0.1,50,17,adaptive_neyman,0.0023053985765718694
2,0.1,50,17,answer_entropy,0.007984295948976056
2,0.1,50,17,mc_ucb_frozen,0.00513233547529138
2,0.1,50,17,mean_influence,9.987566941402161e-05
2,0.1,50,17,occupancy,0.0001621371693607483
2,0.1,50,17,oracle_tail,5.7893138372797225e-05
2,0.1,50,17,tis,0.0009371241234825214
2,0.1,50,17,uniform,0.003348818192322161
2,0.1,50,17,untied_tis,0.0016842941962106654
2,0.1,50,18,adaptive_neyman,0.003910757620120621
2,0.1,50,18,answer_entropy,0.013744933267796008
2,0.1,50,18,mc_ucb_frozen,0.005879001737945808
2,0.1,50,18,mean_influence,8.082535273907864e-05
2,0.1,50,18,occupancy,0.00012436581659069587
2,0.1,50,18,oracle_tail,4.7035234297152046e-05
2,0.1,50,18,tis,0.001469885011043678
2,0.1,50,18,uniform,0.004800848503539122
2,0.1,50,18,untied_tis,0.0015614225390455806
2,0.1,50,19,adaptive_neyman,0.001926028690606908
2,0.1,50,19,answer_entropy,0.015003123158226777
2,0.1,50,19,mc_ucb_frozen,0.006767506898907084
2,0.1,50,19,mean_influence,0.00011419174086860569
2,0.1,50,19,occupancy,0.0002045774726981404
2,0.1,50,19,oracle_tail,0.00011344595636715933
2,0.1,50,19,tis,0.0022211749799498294
2,0.1,50,19,uniform,0.005177258728411495
2,0.1,50,19,untied_tis,0.003845591466325947
2,0.1,50,20,adaptive_neyman,0.0018266244430431653
2,0.1,50,20,answer_entropy,0.011125632542301258
2,0.1,50,20,mc_ucb_frozen,0.005453305722505956
2,0.1,50,20,mean_influence,0.00010961390454674868
2,0.1,50,20,occupancy,0.00011790859706615285
2,0.1,50,20,oracle_tail,0.00015035508650659192
2,0.1,50,20,tis,0.0015044972818508912
2,0.1,50,20,uniform,0.002918717903507396
2,0.1,50,20,untied_tis,0.001833850178333766
2,0.1,50,21,adaptive_neyman,0.0035358871264480163
2,0.1,50,21,answer_entropy,0.013706697308300233
2,0.1,50,21,mc_ucb_frozen,0.0029042499078580954
2,0.1,50,21,mean_influence,0.00013844220981747065
2,0.1,50,21,occupancy,0.0001373219271499135
2,0.1,50,21,oracle_tail,0.00015492447990851803
2,0.1,50,21,tis,0.0006120049595674904
2,0.1,50,21,uniform,0.006165082023564125
2,0.1,50,21,untied_tis,0.0009264817598945861
2,0.1,50,22,adaptive_neyman,0.0009147650208955219
2,0.1,50,22,answer_entropy,0.017790355832761735
2,0.1,50,22,mc_ucb_frozen,0.006835404616867006
2,0.1,50,22,mean_influence,0.00012892404663881937
2,0.1,50,22,occupancy,0.00018341835488037758
2,0.1,50,22,oracle_tail,0.0001027579319487895
2,0.1,50,22,tis,0.001480060236380035
2,0.1,50,22,uniform,0.0038250449389983557
2,0.1,50,22,untied_tis,0.0006707649316716338
2,0.1,50,23,adaptive_neyman,0.0032477868580471823
2,0.1,50,23,answer_entropy,0.014624121296285346
2,0.1,50,23,mc_ucb_frozen,0.00588319943241217
2,0.1,50,23,mean_influence,5.801150296055866e-05
2,0.1,50,23,occupancy,0.00011675008862915526
2,0.1,50,23,oracle_tail,6.698057170310296e-05
2,0.1,50,23,tis,0.0003373479195751177
2,0.1,50,23,uniform,0.004271056051372585
2,0.1,50,23,untied_tis,0.0004756691277961506
2,0.1,50,24,adaptive_neyman,0.0024201290876071516
2,0.1,50,24,answer_entropy,0.009667009946192132
2,0.1,50,24,mc_ucb_frozen,0.005252890610430316
2,0.1,50,24,mean_influence,0.00012430036963402647
2,0.1,50,24,occupancy,0.00015408055396295324
2,0.1,50,24,oracle_tail,0.00013092199244573108
2,0.1,50,24,tis,0.0010543219376827186
2,0.1,50,24,uniform,0.0034675223043937166
2,0.1,50,24,untied_tis,0.0014141858295287036
2,0.1,50,25,adaptive_neyman,0.0014914970147215925
2,0.1,50,25,answer_entropy,0.0126126887948555
2,0.1,50,25,mc_ucb_frozen,0.004221172891378532
2,0.1,50,25,mean_influence,0.00019099598994233049
2,0.1,50,25,occupancy,0.00022470880453147177
2,0.1,50,25,oracle_tail,0.0001381244697060709
2,0.1,50,25,tis,0.0005847671671710408
2,0.1,50,25,uniform,0.0027536356982788895
2,0.1,50,25,untied_tis,0.0030999942757915866
2,0.1,50,26,adaptive_neyman,0.004577921699897076
2,0.1,50,26,answer_entropy,0.011709088133440541
2,0.1,50,26,mc_ucb_frozen,0.00316554388578153
2,0.1,50,26,mean_influence,0.0001123158694814751
2,0.1,50,26,occupancy,0.00012958372982550427
2,0.1,50,26,oracle_tail,8.38254529078286e-05
2,0.1,50,26,tis,0.001439811030486308
2,0.1,50,26,uniform,0.0049998263922516285
2,0.1,50,26,untied_tis,0.0009757216593660136
2,0.1,50,27,adaptive_neyman,0.004173419630716436
2,0.1,50,27,answer_entropy,0.01657800224274562
2,0.1,50,27,mc_ucb_frozen,0.005477515461982135
2,0.1,50,27,mean_influence,0.00017571994210636077
2,0.1,50,27,occupancy,0.00019761952814230618
2,0.1,50,27,oracle_tail,0.00021627449268428326
2,0.1,50,27,tis,0.0007118029729689995
2,0.1,50,27,uniform,0.0028376084015199186
2,0.1,50,27,untied_tis,0.0017600420636939426
2,0.1,50,28,adaptive_neyman,0.0010275452182713313
2,0.1,50,28,answer_entropy,0.01580096970560044
2,0.1,50,28,mc_ucb_frozen,0.008621164529836845
2,0.1,50,28,mean_influence,9.378501932397409e-05
2,0.1,50,28,occupancy,9.567814146451e-05
2,0.1,50,28,oracle_tail,7.505854319563918e-05
2,0.1,50,28,tis,0.0007808898480472809
2,0.1,50,28,uniform,0.003607608881071642
2,0.1,50,28,untied_tis,0.0011285296750736071
2,0.1,50,29,adaptive_neyman,0.0016237070478958362
2,0.1,50,29,answer_entropy,0.008491391258666926
2,0.1,50,29,mc_ucb_frozen,0.005383100459453027
2,0.1,50,29,mean_influence,0.00013706025134643647
2,0.1,50,29,occupancy,0.000182692320885592
2,0.1,50,29,oracle_tail,8.309928908915404e-05
2,0.1,50,29,tis,0.0015160960420013637
2,0.1,50,29,uniform,0.0038375171583329725
2,0.1,50,29,untied_tis,0.0007265757804444691
2,0.1,50,30,adaptive_neyman,0.0007733866839265909
2,0.1,50,30,answer_entropy,0.020358538774101747
2,0.1,50,30,mc_ucb_frozen,0.0033238609126643903
2,0.1,50,30,mean_influence,0.00011146320048754128
2,0.1,50,30,occupancy,0.00010535120815059171
2,0.1,50,30,oracle_tail,9.007775955253979e-05
2,0.1,50,30,tis,0.00045570439523579757
2,0.1,50,30,uniform,0.005897047290181653
2,0.1,50,30,untied_tis,0.0013846941377786894
2,0.1,50,31,adaptive_neyman,0.0011754764055709353
2,0.1,50,31,answer_entropy,0.014090099258727012
2,0.1,50,31,mc_ucb_frozen,0.0049750950320359396
2,0.1,50,31,mean_influence,0.00011125699939693943
2,0.1,50,31,occupancy,0.00016165875969000376
2,0.1,50,31,oracle_tail,0.0001380847062136029
2,0.1,50,31,tis,0.0011946901961087458
2,0.1,50,31,uniform,0.004575252068143105
2,0.1,50,31,untied_tis,0.0012914784563800407
2,0.1,50,32,adaptive_neyman,0.002644674707475126
2,0.1,50,32,answer_entropy,0.01935862908455866
2,0.1,50,32,mc_ucb_frozen,0.005367335084895483
2,0.1,50,32,mean_influence,0.00013832635762751514
2,0.1,50,32,occupancy,0.00019465094689010725
2,0.1,50,32,oracle_tail,0.00014168199056241245
2,0.1,50,32,tis,0.0006430028284869576
2,0.1,50,32,uniform,0.008417755598845715
2,0.1,50,32,untied_tis,0.0004281231847915818
2,0.1,50,33,adaptive_neyman,0.0029613424062103406
2,0.1,50,33,answer_entropy,0.009878886595576192
2,0.1,50,33,mc_ucb_frozen,0.00812162614526137
2,0.1,50,33,mean_influence,0.00016868598855613418
2,0.1,50,33,occupancy,0.0001652019458389011
2,0.1,50,33,oracle_tail,0.00011797845021300369
2,0.1,50,33,tis,0.0011150955731459922
2,0.1,50,33,uniform,0.003674229145070361
2,0.1,50,33,untied_tis,0.003384822782505805
2,0.1,50,34,adaptive_neyman,0.0016566119800093437
2,0.1,50,34,answer_entropy,0.014376883369973711
2,0.1,50,34,mc_ucb_frozen,0.00307019292980393
2,0.1,50,34,mean_influence,0.00012855953924162405
2,0.1,50,34,occupancy,0.00015782278623382819
2,0.1,50,34,oracle_tail,9.639965251443113e-05
2,0.1,50,34,tis,0.00041105770899829756
2,0.1,50,34,uniform,0.0032346468877526412
2,0.1,50,34,untied_tis,0.0009855933467348235
2,0.1,50,35,adaptive_neyman,0.004250051839582333
2,0.1,50,35,answer_entropy,0.01193543010432704
2,0.1,50,35,mc_ucb_frozen,0.0052869122916177095
2,0.1,50,35,mean_influence,0.0001044206254319524
2,0.1,50,35,occupancy,0.00016727817101121808
2,0.1,50,35,oracle_tail,7.032117325119035e-05
2,0.1,50,35,tis,0.0018338588142418914
2,0.1,50,35,uniform,0.002207618728502016
2,0.1,50,35,untied_tis,0.002591908263146623
2,0.1,50,36,adaptive_neyman,0.0024848347908863694
2,0.1,50,36,answer_entropy,0.011215732868146972
2,0.1,50,36,mc_ucb_frozen,0.003121742349152241
2,0.1,50,36,mean_influence,9.081056781998948e-05
2,0.1,50,36,occupancy,9.651836788414773e-05
2,0.1,50,36,oracle_tail,9.179928926039783e-05
2,0.1,50,36,tis,0.0008105272967230868
2,0.1,50,36,uniform,0.0033552829141651978
2,0.1,50,36,untied_tis,0.0004287067743045841
2,0.1,50,37,adaptive_neyman,0.0021657523934900356
2,0.1,50,37,answer_entropy,0.015398817348552545
2,0.1,50,37,mc_ucb_frozen,0.0034123965585993892
2,0.1,50,37,mean_influence,7.5023288994067e-05
2,0.1,50,37,occupancy,7.721623996346582e-05
2,0.1,50,37,oracle_tail,5.671749469260677e-05
2,0.1,50,37,tis,0.0015772415913349372
2,0.1,50,37,uniform,0.0035058888926815554
2,0.1,50,37,untied_tis,0.004344253178709819
2,0.1,50,38,adaptive_neyman,0.0012301385617092314
2,0.1,50,38,answer_entropy,0.016112394244763517
2,0.1,50,38,mc_ucb_frozen,0.009700647050344064
2,0.1,50,38,mean_influence,8.322080008806573e-05
2,0.1,50,38,occupancy,0.00012458323105531932
2,0.1,50,38,oracle_tail,9.906186405715923e-05
2,0.1,50,38,tis,0.004554425144910632
2,0.1,50,38,uniform,0.00429576144864778
2,0.1,50,38,untied_tis,0.0019953614381412388
2,0.1,50,39,adaptive_neyman,0.0011576636610341035
2,0.1,50,39,answer_entropy,0.012183250646358817
2,0.1,50,39,mc_ucb_frozen,0.011697355992412702
2,0.1,50,39,mean_influence,9.15244898949936e-05
2,0.1,50,39,occupancy,0.00017347806783885053
2,0.1,50,39,oracle_tail,9.209113242591078e-05
2,0.1,50,39,tis,0.0020151869250550156
2,0.1,50,39,uniform,0.003395401509341502
2,0.1,50,39,untied_tis,0.0005634458305145563
2,0.1,50,40,adaptive_neyman,0.0020870409318321753
2,0.1,50,40,answer_entropy,0.013709218742031822
2,0.1,50,40,mc_ucb_frozen,0.006511884819136423
2,0.1,50,40,mean_influence,9.200920510903207e-05
2,0.1,50,40,occupancy,0.00014093565898696858
2,0.1,50,40,oracle_tail,7.173490520407161e-05
2,0.1,50,40,tis,0.0012515917170017273
2,0.1,50,40,uniform,0.0016060886617887949
2,0.1,50,40,untied_tis,0.0015382598172745136
2,0.1,50,41,adaptive_neyman,0.0027870522151325944
2,0.1,50,41,answer_entropy,0.018042684902403402
2,0.1,50,41,mc_ucb_frozen,0.005884952123260149
2,0.1,50,41,mean_influence,0.0001234962513204218
2,0.1,50,41,occupancy,0.0001126180172620029
2,0.1,50,41,oracle_tail,0.00011838284040463955
