horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,adaptive_neyman,300,0.0025802868775564175,7.592240055283375e-05,0.6288380366437856
2,0.1,50,answer_entropy,300,0.014775781699120149,0.00022189411496285327,3.6009846945201676
2,0.1,50,mc_ucb_frozen,300,0.005205562150129384,9.653029720961643e-05,1.2686401309045885
2,0.1,50,mean_influence,300,0.00011714337081562549,2.063060859771382e-06,0.028548843909671908
2,0.1,50,occupancy,300,0.00014604662394695957,2.6458512176752215e-06,0.03559281452775256
2,0.1,50,oracle_tail,300,0.00011033773582817157,2.9764010704067535e-06,0.026890252308540454
2,0.1,50,tis,300,0.001634218375709496,6.097455657584762e-05,0.3982730307110537
2,0.1,50,uniform,300,0.004103261455569454,7.935907530967966e-05,1.0
2,0.1,50,untied_tis,300,0.0015020719977369228,5.697218908746578e-05,0.366067825314452
2,0.1,100,adaptive_neyman,300,0.001809504549467887,3.603477108649274e-05,0.8748111597702426
2,0.1,100,answer_entropy,300,0.010369556699268439,0.00017491246991126628,5.013197631947319
2,0.1,100,mc_ucb_frozen,300,0.0025269562537243158,4.770911980884203e-05,1.2216656386187592
2,0.1,100,mean_influence,300,5.5544753951796003e-05,8.999121130896477e-07,0.02685330116357675
2,0.1,100,occupancy,300,6.966821221886116e-05,1.327999101417829e-06,0.03368133534023089
2,0.1,100,oracle_tail,300,5.177483539120885e-05,1.3555231201889781e-06,0.02503072114895538
2,0.1,100,tis,300,0.0005605882017266007,2.535518855692483e-05,0.271018282352578
2,0.1,100,uniform,300,0.0020684516072510197,3.924569439672835e-05,1.0
2,0.1,100,untied_tis,300,0.0005962434463750497,2.5278858406403136e-05,0.2882559322562347
2,0.1,200,adaptive_neyman,300,0.0017370501773621683,3.428295806917806e-05,1.552611876796865
2,0.1,200,answer_entropy,300,0.0060992419875953744,0.00013493834130475635,5.451630397792641
2,0.1,200,mc_ucb_frozen,300,0.001223715075955924,2.5389832382880542e-05,1.0937821978348137
2,0.1,200,mean_influence,300,2.7244398464475044e-05,4.758678244263186e-07,0.02435161469910195
2,0.1,200,occupancy,300,3.4618216749651166e-05,6.379929445007855e-07,0.030942488121245663
2,0.1,200,oracle_tail,300,2.4191394919562045e-05,5.335498160799613e-07,0.02162277610508213
2,0.1,200,tis,300,0.00021632771528036978,1.0658528826602585e-05,0.19335824859974932
2,0.1,200,uniform,300,0.0011187922772726761,2.2157661330348053e-05,1.0
2,0.1,200,untied_tis,300,0.00022692465403640865,1.2633368084031925e-05,0.2028300146919067
2,0.1,400,adaptive_neyman,300,0.0017222174959545004,3.3095074506430675e-05,3.0285153391759336
2,0.1,400,answer_entropy,300,0.0038594199286022634,9.415061037025834e-05,6.786780694975611
2,0.1,400,mc_ucb_frozen,300,0.0006029941554178784,1.3816674772598905e-05,1.0603637771687853
2,0.1,400,mean_influence,300,1.3938637091979669e-05,2.32707724070438e-07,0.02451105992096035
2,0.1,400,occupancy,300,1.714768102801268e-05,3.2690264220299123e-07,0.030154155991691623
2,0.1,400,oracle_tail,300,1.1972924988094015e-05,2.734858319128618e-07,0.02105435989729576
2,0.1,400,tis,300,9.770428260511063e-05,5.172991878383821e-06,0.17181274680336617
2,0.1,400,uniform,300,0.0005686672521272816,1.1870604519528767e-05,1.0
2,0.1,400,untied_tis,300,9.100434659980445e-05,5.36499082188984e-06,0.160030925395077
2,0.2,50,adaptive_neyman,300,0.0013634347999329952,3.8447419952072005e-05,0.5770135743522016
2,0.2,50,answer_entropy,300,0.008880461207238304,0.00014117328581672562,3.758263074505992
2,0.2,50,mc_ucb_frozen,300,0.0028602747867229415,5.074538623763944e-05,1.2104850033148586
2,0.2,50,mean_influence,300,5.7941858220526044e-05,1.228636619310464e-06,0.024521332973221215
2,0.2,50,occupancy,300,7.101646951970026e-05,1.5597810169899704e-06,0.030054584874502414
2,0.2,50,oracle_tail,300,6.235861671732204e-05,2.4798525813613692e-06,0.026390530977711022
2,0.2,50,tis,300,0.0006688654744209203,2.6634502675339643e-05,0.2830677771869716
2,0.2,50,uniform,300,0.0023629163342711455,4.678391778663969e-05,1.0
2,0.2,50,untied_tis,300,0.0006543341505393088,2.6502312102248574e-05,0.27691803600872805
2,0.2,100,adaptive_neyman,300,0.0013297707561507484,4.237384382915456e-05,1.1682118716465202
2,0.2,100,answer_entropy,300,0.005640679708784985,0.00011223230137565449,4.955372171841656
2,0.2,100,mc_ucb_frozen,300,0.0013371409131099203,2.597982972069332e-05,1.1746866003287222
2,0.2,100,mean_influence,300,2.7992921433051027e-05,5.186845249021268e-07,0.024591955409531754
2,0.2,100,occupancy,300,3.437186158515042e-05,6.571526528085376e-07,0.030195893967916162
2,0.2,100,oracle_tail,300,2.9304325165816652e-05,1.9894334079815703e-06,0.02574403173701319
2,0.2,100,tis,300,0.000283483136882022,1.4123475284395245e-05,0.24904169713868407
2,0.2,100,uniform,300,0.0011382958763092531,2.1852586540489067e-05,1.0
2,0.2,100,untied_tis,300,0.00027057585755818576,1.2557076104775309e-05,0.2377025720548912
2,0.2,200,adaptive_neyman,300,0.0012467424209736287,3.202119918035609e-05,2.220398169512948
2,0.2,200,answer_entropy,300,0.003329063823765555,7.165854723091549e-05,5.928928940035776
2,0.2,200,mc_ucb_frozen,300,0.0006193093606731167,1.2807908154989667e-05,1.102965093404734
2,0.2,200,mean_influence,300,1.3811721761314042e-05,2.8458846661040114e-07,0.024598121633411987
2,0.2,200,occupancy,300,1.7168755534460752e-05,3.5865917519596174e-07,0.030576863929729317
2,0.2,200,oracle_tail,300,1.3068490508115039e-05,4.6694267167643704e-07,0.023274456627420514
2,0.2,200,tis,300,9.908215413604796e-05,7.974074077563635e-06,0.1764613363386423
2,0.2,200,uniform,300,0.0005614949778341359,1.0742430225706577e-05,1.0
2,0.2,200,untied_tis,300,8.982333002136122e-05,4.842094812111012e-06,0.15997174252179117
2,0.2,400,adaptive_neyman,300,0.0013051835679317681,3.586977209234127e-05,4.421225583000457
2,0.2,400,answer_entropy,300,0.0018099836995155276,4.693815190625548e-05,6.131203635817001
2,0.2,400,mc_ucb_frozen,300,0.0002884207788688837,5.234879167675419e-06,0.9770068805146719
2,0.2,400,mean_influence,300,6.766537909945387e-06,1.3055887441673496e-07,0.022921212962556194
2,0.2,400,occupancy,300,8.33953722296598e-06,1.6622592134304784e-07,0.028249647196362273
2,0.2,400,oracle_tail,300,5.981803159168549e-06,1.79341009555628e-07,0.0202629743505716
2,0.2,400,tis,300,3.53943617047856e-05,2.3106197385303936e-06,0.11989612902585249
2,0.2,400,uniform,300,0.00029520854419873494,5.746263136781803e-06,1.0
2,0.2,400,untied_tis,300,3.910780724972039e-05,2.5983909888645186e-06,0.13247518751826146
4,0.1,50,adaptive_neyman,300,0.019795405060739135,0.0005071712015271072,2.5192497214321614
4,0.1,50,answer_entropy,300,0.031269171122963624,0.0006314650900745459,3.9794513120207577
4,0.1,50,mc_ucb_frozen,300,0.01013971973980497,0.00021445695478273057,1.2904250280064773
4,0.1,50,mean_influence,300,0.00031836480535067907,6.075392672001658e-06,0.04051649586015369
4,0.1,50,occupancy,300,0.0005506702631334841,1.1664241727029386e-05,0.07008070321083927
4,0.1,50,oracle_tail,300,0.00024313006773330227,5.580908589238594e-06,0.03094179449874991
4,0.1,50,tis,300,0.0026922985681099784,0.00012822669500474478,0.34263367669981987
4,0.1,50,uniform,300,0.007857658926120947,0.00016159971020918,1.0
4,0.1,50,untied_tis,300,0.009575350933766881,0.0003182695889297173,1.218600988385468
4,0.1,100,adaptive_neyman,300,0.018740771219933824,0.0004994563027322922,4.829108310639254
4,0.1,100,answer_entropy,300,0.020802292655682862,0.00047135300894390447,5.360319656272009
4,0.1,100,mc_ucb_frozen,300,0.004698918706642243,0.00010446646806088981,1.2108139580258126
4,0.1,100,mean_influence,300,0.00014854563849947615,2.9225401009359457e-06,0.038277132193152485
4,0.1,100,occupancy,300,0.0002505365374140823,5.8509632532900935e-06,0.0645580729174175
4,0.1,100,oracle_tail,300,0.00011012085057962398,2.5259057217762326e-06,0.02837586076196727
4,0.1,100,tis,300,0.001077748540238121,6.505543887135665e-05,0.2777134607410043
4,0.1,100,uniform,300,0.0038807933089106904,8.315602216321485e-05,1.0
4,0.1,100,untied_tis,300,0.004547041939571635,0.00016643085673729487,1.1716784630428967
4,0.1,200,adaptive_neyman,300,0.023759293740405325,0.0007578297897516202,12.030192569335659
4,0.1,200,answer_entropy,300,0.011814238995451606,0.00034739023221810926,5.981977904239373
4,0.1,200,mc_ucb_frozen,300,0.0022069608755768623,5.008300429575794e-05,1.1174643748365203
4,0.1,200,mean_influence,300,7.493431347252562e-05,1.6593058374646116e-06,0.03794196203704445
4,0.1,200,occupancy,300,0.00013198670697785146,3.06639090012928e-06,0.06682965911717137
4,0.1,200,oracle_tail,300,5.514753463158699e-05,1.4495685705497826e-06,0.02792319791113373
4,0.1,200,tis,300,0.00033019825092319257,1.974454632427163e-05,0.16719135627791837
4,0.1,200,uniform,300,0.001974972021725283,4.2064107407513116e-05,1.0
4,0.1,200,untied_tis,300,0.0019369607019899338,8.826931877348958e-05,0.9807534895091102
4,0.1,400,adaptive_neyman,300,0.027683659172748717,0.0008565978014961439,26.552627638612066
4,0.1,400,answer_entropy,300,0.007209113755933107,0.00020540560961008187,6.914581340970961
4,0.1,400,mc_ucb_frozen,300,0.001022632992208488,2.5039058013802826e-05,0.9808527436214484
4,0.1,400,mean_influence,300,3.7180046146967175e-05,7.079758131207986e-07,0.03566103435844354
4,0.1,400,occupancy,300,6.411481958089369e-05,1.5380907240548822e-06,0.061495372408142186
4,0.1,400,oracle_tail,300,2.7772036925898223e-05,6.160271276066864e-07,0.026637394668731624
4,0.1,400,tis,300,0.0001321207988373577,1.1876705841391797e-05,0.1267229289651742
4,0.1,400,uniform,300,0.0010425958420963181,2.3227195564988492e-05,1.0
4,0.1,400,untied_tis,300,0.0008696566188136888,6.222296843355621e-05,0.8341263063787926
4,0.2,50,adaptive_neyman,300,0.012893129274999167,0.00039535891715698204,2.795774516372343
4,0.2,50,answer_entropy,300,0.020875989471313097,0.00042539842801958045,4.526795483322125
4,0.2,50,mc_ucb_frozen,300,0.006258519837429558,0.00013032254713460692,1.3571112100477614
4,0.2,50,mean_influence,300,0.00019879072247721565,3.825198105735434e-06,0.043106217593795286
4,0.2,50,occupancy,300,0.00031266155399788017,6.515536600475063e-06,0.06779821921212413
4,0.2,50,oracle_tail,300,0.00016697589916144054,3.5136660707622736e-06,0.03620742131463222
4,0.2,50,tis,300,0.0012804139349971203,6.259345147407754e-05,0.2776477745254915
4,0.2,50,uniform,300,0.004611648471468524,9.133865855186685e-05,1.0
4,0.2,50,untied_tis,300,0.00430509774207551,0.0001660938084869947,0.9335268654387708
4,0.2,100,adaptive_neyman,300,0.013676500522462076,0.0003466936074862461,5.5831355718631634
4,0.2,100,answer_entropy,300,0.012359798161595792,0.00028230714385203156,5.045620307893769
4,0.2,100,mc_ucb_frozen,300,0.0028147718659041515,5.7545330616326456e-05,1.1490697423217748
4,0.2,100,mean_influence,300,9.708232332124338e-05,1.7453165538408715e-06,0.03963175900470614
4,0.2,100,occupancy,300,0.0001485314219784299,2.7777569498757667e-06,0.06063474089919478
4,0.2,100,oracle_tail,300,8.018505585024966e-05,1.6160752523621243e-06,0.03273381497804163
4,0.2,100,tis,300,0.00045690010343960643,2.694921754855279e-05,0.18651958635997623
4,0.2,100,uniform,300,0.002449609246708307,5.255173710560699e-05,1.0
4,0.2,100,untied_tis,300,0.002473364746859503,0.000103157309158917,1.0096976692030035
4,0.2,200,adaptive_neyman,300,0.017047910824305467,0.0005937022848343388,14.085783172003081
4,0.2,200,answer_entropy,300,0.007521050616651029,0.0001779449407345137,6.214244625257328
4,0.2,200,mc_ucb_frozen,300,0.0012950913890061734,2.6969804740621768e-05,1.0700652227404204
4,0.2,200,mean_influence,300,4.767859258541611e-05,1.0361402762740432e-06,0.03939428848647827
4,0.2,200,occupancy,300,7.290376387714885e-05,1.6074938513682403e-06,0.06023650762721922
4,0.2,200,oracle_tail,300,3.9522317647505865e-05,9.361970579178174e-07,0.03265519174608181
4,0.2,200,tis,300,0.00013130097407718116,6.240355987516796e-06,0.10848702050266144
4,0.2,200,uniform,300,0.001210292009761297,2.42187900537779e-05,1.0
4,0.2,200,untied_tis,300,0.0009595106764794847,5.355794547626005e-05,0.7927927051825507
4,0.2,400,adaptive_neyman,300,0.01837418030780572,0.0006264049212347785,30.20993227861104
4,0.2,400,answer_entropy,300,0.004447371911467298,0.00012916126164647625,7.312152270876943
4,0.2,400,mc_ucb_frozen,300,0.0006266089003591009,1.3350252975961047e-05,1.0302398326297912
4,0.2,400,mean_influence,300,2.3866286024629838e-05,4.999162459225337e-07,0.03923978498457065
4,0.2,400,occupancy,300,3.696469189236083e-05,7.17612561437715e-07,0.060775545905225846
4,0.2,400,oracle_tail,300,1.9790577917795632e-05,4.7431928893733363e-07,0.0325387042379895
4,0.2,400,tis,300,5.129375470424674e-05,2.3142465952754872e-06,0.08433469302969056
4,0.2,400,uniform,300,0.0006082165341633301,1.2944242446906262e-05,1.0
4,0.2,400,untied_tis,300,0.00025378253064801466,1.7686399448929276e-05,0.4172568754598573
6,0.1,50,adaptive_neyman,300,0.05508773204399895,0.0015559330579904185,4.369949555608351
6,0.1,50,answer_entropy,300,0.059915811999064324,0.0014540160505629907,4.752947095554778
6,0.1,50,mc_ucb_frozen,300,0.01595250150497876,0.0003467468831479073,1.2654655451570296
6,0.1,50,mean_influence,300,0.0006022505863213475,1.4182740120849928e-05,0.04777478731485626
6,0.1,50,occupancy,300,0.0012750487845441143,3.268299600690912e-05,0.10114591148800985
6,0.1,50,oracle_tail,300,0.0004610849990732464,1.1848943256890328e-05,0.03657653187080712
6,0.1,50,tis,300,0.005911860107889317,0.00034108452739207973,0.46897066720146413
6,0.1,50,uniform,300,0.012606033855310728,0.0002720171868338554,1.0
6,0.1,50,untied_tis,300,0.06920688536394631,0.0014856631853368484,5.489980921698899
6,0.1,100,adaptive_neyman,300,0.054892167381141804,0.0015616756442650888,8.753518171467631
6,0.1,100,answer_entropy,300,0.038381767459515374,0.0009970190721241344,6.12064552993652
6,0.1,100,mc_ucb_frozen,300,0.007699199740144169,0.0001875243750291802,1.2277723406903482
6,0.1,100,mean_influence,300,0.0003145832407917321,7.427595588864576e-06,0.05016581137322045
6,0.1,100,occupancy,300,0.0006484269614449409,1.6505275689222433e-05,0.10340304383440735
6,0.1,100,oracle_tail,300,0.00023263252328868265,6.265435186002631e-06,0.03709733313575516
6,0.1,100,tis,300,0.0024220705299812027,0.00016012725355136876,0.3862415970853159
6,0.1,100,uniform,300,0.006270869187210299,0.00014538069159433542,1.0
6,0.1,100,untied_tis,300,0.010314765123160033,0.0004153599039537105,1.6448700834323622
6,0.1,200,adaptive_neyman,300,0.05867709005153749,0.0015826893861478576,18.874929553761426
6,0.1,200,answer_entropy,300,0.022107188789342296,0.0006992676427216883,7.111321141931894
6,0.1,200,mc_ucb_frozen,300,0.003518441541236926,8.730592638024433e-05,1.1317932803338573
6,0.1,200,mean_influence,300,0.00015419930303248947,3.715039266283772e-06,0.04960199933945236
6,0.1,200,occupancy,300,0.00031261443860608853,7.849797007360543e-06,0.10056012493114401
6,0.1,200,oracle_tail,300,0.00011607702740400269,3.16943936192844e-06,0.0373390315221192
6,0.1,200,tis,300,0.0007710826629608627,6.429477560311342e-05,0.24803770825597873
6,0.1,200,uniform,300,0.003108731605297262,7.628210933850784e-05,1.0
6,0.1,200,untied_tis,300,0.0063983691013221695,0.0003076422037130357,2.0581928302911012
6,0.1,400,adaptive_neyman,300,0.061725530373961016,0.0018382017257016383,38.926582340945785
6,0.1,400,answer_entropy,300,0.011283068469794006,0.00034137053031782526,7.11555317851505
6,0.1,400,mc_ucb_frozen,300,0.0017343822634368962,3.9271749750278243e-05,1.0937706582563922
6,0.1,400,mean_influence,300,7.379145324392241e-05,1.6878870841889761e-06,0.04653583474058479
6,0.1,400,occupancy,300,0.00015383848985709076,3.600193933397616e-06,0.09701668995549065
6,0.1,400,oracle_tail,300,5.3454007679810455e-05,1.4189326632463251e-06,0.033710230091104576
6,0.1,400,tis,300,0.0002444057104283356,1.3707255776354746e-05,0.15413199293625507
6,0.1,400,uniform,300,0.0015856909767553277,3.7464183866314344e-05,1.0
6,0.1,400,untied_tis,300,0.002477616412976965,0.00012666845083984725,1.5624837684620698
6,0.2,50,adaptive_neyman,300,0.04014645285420379,0.001137418723554828,4.471429052354446
6,0.2,50,answer_entropy,300,0.04202011353965982,0.0009527034594865137,4.68011351206569
6,0.2,50,mc_ucb_frozen,300,0.01151289660150004,0.0002815174204971832,1.282282659632521
6,0.2,50,mean_influence,300,0.0004094477514758737,7.961884830434929e-06,0.045603445415694235
6,0.2,50,occupancy,300,0.0007291704241943812,1.4936961580913541e-05,0.0812134967614945
6,0.2,50,oracle_tail,300,0.00034132201649975433,7.460001765280372e-06,0.038015741672813685
6,0.2,50,tis,300,0.002551544041943287,0.0001371062132668399,0.284185708733479
6,0.2,50,uniform,300,0.008978438969766174,0.00023007075622655192,1.0
