horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,adaptive_neyman,300,0.0013919633596088095,0.000333781884732992,0.014788124575985606,14.821973564583676
2,0.1,50,0,answer_entropy,300,0.0033216868456836936,0.0009055665743204288,0.02021915345718407,35.370151287879814
2,0.1,50,0,mc_ucb_frozen,300,0.00013511202188982204,1.3723713463928911e-05,0.00047378500294892843,1.4387065599709477
2,0.1,50,0,mean_influence,300,2.774298006033126e-06,2.2304685233319716e-07,0.00011416879427474714,0.02954141818593308
2,0.1,50,0,occupancy,300,3.038708762583273e-06,2.3054930292361247e-07,5.8972430223973584e-05,0.03235692997130023
2,0.1,50,0,oracle_tail,300,1.9300774335298417e-06,1.763137494388475e-07,5.779710030561288e-05,0.02055194664421235
2,0.1,50,0,tis,300,0.00018134797709253237,4.819213710065871e-05,0.0013457190156572591,1.9310385606785259
2,0.1,50,0,uniform,300,9.391214695827231e-05,1.0437571320091988e-05,0.0007959823813464043,1.0
2,0.1,50,0,untied_tis,300,0.00013044571070798414,2.467622555614594e-05,0.0024166212764994348,1.3890185128654835
2,0.1,50,1,adaptive_neyman,300,0.00013860206075850845,6.63597594160386e-06,0.009063194823621579,1.252052816012036
2,0.1,50,1,answer_entropy,300,0.0006578757737920546,0.0003085927597906518,0.0006305129215503898,5.942878559342593
2,0.1,50,1,mc_ucb_frozen,300,0.00011597760490251017,1.6955982539521118e-05,0.0005161624111146905,1.047676246787731
2,0.1,50,1,mean_influence,300,1.6544758359815083e-05,1.5939568635238988e-06,0.0002270150203679777,0.14945601227919342
2,0.1,50,1,occupancy,300,5.538503913124203e-06,4.628345447280096e-07,-5.337819091314256e-05,0.050031719463414594
2,0.1,50,1,oracle_tail,300,2.129443513405618e-06,2.1885229337938043e-07,7.387840732903994e-05,0.01923619124353025
2,0.1,50,1,tis,300,4.776807597492682e-05,1.0368162401761663e-05,0.00034530097051319747,0.43150984705840695
2,0.1,50,1,uniform,300,0.00011069985146471333,2.6223178372762296e-05,-0.0001816151502304305,1.0
2,0.1,50,1,untied_tis,300,9.659360664986122e-05,4.185068889312512e-05,-0.00014912021402715636,0.8725721432485516
2,0.1,50,2,adaptive_neyman,300,4.512669068584071e-05,1.9954268057860217e-06,0.00480208847271626,0.5338148218618601
2,0.1,50,2,answer_entropy,300,0.0005563734316411899,9.161311677337721e-05,0.0008189774645924075,6.581479381411912
2,0.1,50,2,mc_ucb_frozen,300,9.771708545066136e-05,9.07861319762521e-06,-0.00021839494182763098,1.155919651317839
2,0.1,50,2,mean_influence,300,5.0184008698856295e-06,3.6420126080968733e-07,0.00033271345417748013,0.059363909156094005
2,0.1,50,2,occupancy,300,3.990073311990459e-06,2.8351538310146266e-07,0.00031238125324994703,0.0471995673045057
2,0.1,50,2,oracle_tail,300,1.3884529563940808e-06,1.020217973092114e-07,0.0001187722708612382,0.01642435455196444
2,0.1,50,2,tis,300,8.469801786105594e-05,1.25525988246154e-05,-0.00025082671159027217,1.001913870248381
2,0.1,50,2,uniform,300,8.453622649226202e-05,1.1030227909171739e-05,-0.00042236090779358194,1.0
2,0.1,50,2,untied_tis,300,9.777872674007415e-05,1.2802469299845206e-05,0.00048711863659657963,1.1566488214259751
2,0.1,50,3,adaptive_neyman,300,4.7057239095045405e-05,2.9891025920643723e-05,0.002309178853034127,0.4075490416955665
2,0.1,50,3,answer_entropy,300,0.002276955941516712,0.00072031342339926,0.013373358230804593,19.72005221287764
2,0.1,50,3,mc_ucb_frozen,300,3.4104125573589285e-05,9.558001937442539e-06,0.0009510162057036365,0.29536589826930565
2,0.1,50,3,mean_influence,300,1.4855435525322158e-06,2.0416445371623658e-07,7.574340434855386e-05,0.01286586002227396
2,0.1,50,3,occupancy,300,1.799145228153656e-06,2.223304122964954e-07,0.00011256033863758101,0.015581872793773311
2,0.1,50,3,oracle_tail,300,1.1848424949117764e-06,1.567904629582694e-07,3.824275760832811e-05,0.010261575745788292
2,0.1,50,3,tis,300,0.00013330836503654722,7.431591903241817e-05,-0.0003300877190761812,1.1545449215776002
2,0.1,50,3,uniform,300,0.00011546399152177743,5.969531660943446e-05,-0.0003027577303946257,1.0
2,0.1,50,3,untied_tis,300,3.2823751537174534e-05,1.3610522565732517e-05,0.00043665912748067044,0.2842769516675137
2,0.1,50,4,adaptive_neyman,300,0.0005333456527299577,4.461938372520345e-05,0.016559874351000002,0.21615128938888742
2,0.1,50,4,answer_entropy,300,0.008907035059381415,0.002157206129175863,0.015899659736445845,3.609792454223143
2,0.1,50,4,mc_ucb_frozen,300,0.0029003336505617552,0.00034186046698372023,0.0028088948213910647,1.1754307080558848
2,0.1,50,4,mean_influence,300,5.7696461208139453e-05,5.2563289125826035e-06,0.00023640803348655372,0.02338289328783493
2,0.1,50,4,occupancy,300,7.536585083532386e-05,6.228604239508871e-06,0.0003799755139155014,0.030543842910432308
2,0.1,50,4,oracle_tail,300,5.766198901615878e-05,5.161396721510517e-06,0.0002987234058595541,0.023368922594145868
2,0.1,50,4,tis,300,0.0008343715530315764,0.00022438851934099865,0.005016798553798063,0.3381493522897398
2,0.1,50,4,uniform,300,0.0024674645903702743,0.0002647130116059446,0.0013017682265587648,1.0
2,0.1,50,4,untied_tis,300,0.000693928696055918,0.00011908468265929328,0.0014990530918342925,0.281231470864506
2,0.1,50,5,adaptive_neyman,300,0.0011940163060171671,0.0002279639709681309,0.014730358332633614,1.6762270945257192
2,0.1,50,5,answer_entropy,300,0.002022755741787725,0.0003724651426416807,0.022466518854358963,2.8396580205021973
2,0.1,50,5,mc_ucb_frozen,300,0.0014760270684515697,0.00027468169840620465,0.018494934346488672,2.0721296283170836
2,0.1,50,5,mean_influence,300,4.564849848782905e-07,1.5255574911378852e-07,0.00013038388613563655,0.0006408392381587395
2,0.1,50,5,occupancy,300,6.627978159176659e-07,2.3503544198217663e-07,0.00016778741931575044,0.0009304727679470133
2,0.1,50,5,oracle_tail,300,0.0007123237119341569,0.00011705187396989328,0.012959629629629642,1.0
2,0.1,50,5,tis,300,0.0006284492762195572,0.00014229884339265152,0.009647576293838828,0.8822523603954482
2,0.1,50,5,uniform,300,0.0007123237119341569,0.00011705187396989328,0.012959629629629642,1.0
2,0.1,50,5,untied_tis,300,0.0005215191743025985,0.0001261586093555978,0.008392303550901342,0.7321378827703615
2,0.1,50,6,adaptive_neyman,300,0.0005403118626442458,0.00011102527829572174,0.008476877778075539,39.555808681906136
2,0.1,50,6,answer_entropy,300,0.0006012607833206754,0.00011217120776879648,0.0051711193053262435,44.017831473422945
2,0.1,50,6,mc_ucb_frozen,300,1.9965328676202445e-05,2.4194603434728423e-06,-0.0002610979827469221,1.4616460899493984
2,0.1,50,6,mean_influence,300,1.1225404135478802e-06,9.695854578834338e-08,-1.2152886319599284e-05,0.08218030531238536
2,0.1,50,6,occupancy,300,1.7349109568726515e-06,1.4386484601506797e-07,-8.718725240732287e-05,0.12701147362256265
2,0.1,50,6,oracle_tail,300,4.1386911602312507e-07,1.266859616244258e-07,3.4490122551974106e-05,0.030299034140472608
2,0.1,50,6,tis,300,6.481791871525501e-05,1.6201626170297057e-05,0.0009091827585300812,4.745269110532411
2,0.1,50,6,uniform,300,1.3659482150630347e-05,1.653954612847394e-06,-0.00045053049634158126,1.0
2,0.1,50,6,untied_tis,300,8.132589276937024e-05,1.9562551356364502e-05,0.001928410747176293,5.953804973903589
2,0.1,50,7,adaptive_neyman,300,0.0005985754842555778,7.202985009258405e-05,0.008462558827664935,0.13130088009958846
2,0.1,50,7,answer_entropy,300,0.01599060054970715,0.0019350037454145541,0.014956993020489962,3.507627660542542
2,0.1,50,7,mc_ucb_frozen,300,0.004531046943569214,0.00034043885009096776,0.003607197073455497,0.9939104876690316
2,0.1,50,7,mean_influence,300,0.00010173292214721805,9.04708861874028e-06,-0.0006611632351118383,0.022315685430459847
2,0.1,50,7,occupancy,300,0.00014586734352573565,1.1923309364138874e-05,-0.0004940606154862304,0.03199681758857404
2,0.1,50,7,oracle_tail,300,0.00010025758114566746,9.119517505614257e-06,-0.0006161849995674348,0.021992061130691683
2,0.1,50,7,tis,300,0.0020044792493559157,0.00043328883484283634,2.3037816386910493e-05,0.43969373371365505
2,0.1,50,7,uniform,300,0.004558807860248714,0.0005095234264353365,-0.002671252364055109,1.0
2,0.1,50,7,untied_tis,300,0.0015521261480185716,0.00023147329522848738,0.0008995030759781083,0.34046755107899906
2,0.1,50,8,adaptive_neyman,300,0.0021315816978105164,0.0002970891403673596,0.029372453691845102,1.968179011448744
2,0.1,50,8,answer_entropy,300,0.005548547542867513,0.0008608404979756167,0.026034513307106377,5.123207254553986
2,0.1,50,8,mc_ucb_frozen,300,0.0017432698067621096,0.00015608684177704165,0.003952177804322168,1.6096343145025873
2,0.1,50,8,mean_influence,300,3.616817805856483e-05,2.913865808792777e-06,0.0005923536155062211,0.033395599619910135
2,0.1,50,8,occupancy,300,3.4997061167386827e-05,2.8619629777771207e-06,0.0006506201763709996,0.03231425815055091
2,0.1,50,8,oracle_tail,300,2.3085321385299277e-05,1.6159913030805359e-06,0.0005290693723312426,0.021315647938695073
2,0.1,50,8,tis,300,0.0011054826026180148,0.00010678919716469594,0.005394519831625485,1.0207385709069465
2,0.1,50,8,uniform,300,0.0010830222685087442,0.00011712164030354743,0.0072536999694460536,1.0
2,0.1,50,8,untied_tis,300,0.0008255096186483963,0.00012240783677355688,0.00697584792001343,0.7622277423575721
2,0.1,50,9,adaptive_neyman,300,0.0007574187702119156,0.0002442486274464729,0.01288836398465256,3.439534589054929
2,0.1,50,9,answer_entropy,300,0.005154710305084428,0.0008870913682255863,0.024588496789381718,23.40819251935784
2,0.1,50,9,mc_ucb_frozen,300,0.00026184705300456385,2.587236504924218e-05,0.00022902682710100486,1.1890806397619538
2,0.1,50,9,mean_influence,300,2.564251322982027e-05,1.8516673419247525e-06,0.0003182980678271276,0.11644590109588747
2,0.1,50,9,occupancy,300,1.8055952527160252e-05,1.580237938853509e-06,0.0004044717807634964,0.08199436784240977
2,0.1,50,9,oracle_tail,300,3.837942995457775e-06,3.160811299929021e-07,8.119318415116446e-06,0.01742858535180573
2,0.1,50,9,tis,300,0.00013843010733977996,2.3106204038293855e-05,0.0006912209418360654,0.6286286544345127
2,0.1,50,9,uniform,300,0.00022020966808187538,2.0329785432045603e-05,-0.0007241204945688261,1.0
2,0.1,50,9,untied_tis,300,0.00019321156795475096,3.10826828879428e-05,-9.162193666283125e-05,0.8773982070710612
2,0.1,50,10,adaptive_neyman,300,4.832070515720623e-05,8.44079044720264e-06,0.0034041214614086075,0.2143878695510173
2,0.1,50,10,answer_entropy,300,0.0009891742153979,0.00019766703189252636,0.015606149636165563,4.388738781108798
2,0.1,50,10,mc_ucb_frozen,300,0.0002941181330359338,3.674189954588006e-05,0.003911279890673902,1.3049345975550786
2,0.1,50,10,mean_influence,300,7.197640966218078e-06,5.504385862178856e-07,3.598482975342894e-05,0.03193427967411386
2,0.1,50,10,occupancy,300,8.471637913041256e-06,7.348626562854194e-07,0.0001149478135926311,0.03758671149097837
2,0.1,50,10,oracle_tail,300,7.189181422884433e-06,5.580177417371026e-07,6.455324603353112e-05,0.03189674662349354
2,0.1,50,10,tis,300,0.0001012561654509599,5.099852127327726e-05,0.002246574969690123,0.4492503476369325
2,0.1,50,10,uniform,300,0.00022538917550886657,3.711113912887291e-05,0.004074238052249427,1.0
2,0.1,50,10,untied_tis,300,0.00020531137261507588,0.000130464749052088,0.0022145644303534747,0.9109194004172536
2,0.1,50,11,adaptive_neyman,300,0.003309406717584258,0.0005983228803765615,0.017111946175412902,0.22382355068593163
2,0.1,50,11,answer_entropy,300,0.03899318766903514,0.0008811100982225722,0.0622113342268359,2.6372079533993165
2,0.1,50,11,mc_ucb_frozen,300,0.016672185040251808,0.0009518585894846532,0.02618439972620083,1.1275820628435718
2,0.1,50,11,mean_influence,300,0.0003168940096625704,2.5501622578783437e-05,0.0010543204213977948,0.021432343766303055
2,0.1,50,11,occupancy,300,0.0004954420962072301,4.206577015944143e-05,0.0019610464653491934,0.033508002671043674
2,0.1,50,11,oracle_tail,300,0.00031281832813666213,2.5370459974893362e-05,0.0011954395629887537,0.021156695111289828
2,0.1,50,11,tis,300,0.006934258088602296,0.0008004134029863001,0.00914399873631499,0.4689814215088514
2,0.1,50,11,uniform,300,0.01478578419224528,0.0008841857845507823,-0.0006990689504917084,1.0
2,0.1,50,11,untied_tis,300,0.005205848085387955,0.000677713525700884,0.00767252892367633,0.3520846792906847
2,0.1,50,12,adaptive_neyman,300,0.0010012399639582272,0.0001561441824104087,0.012823060177575878,7.42870766011669
2,0.1,50,12,answer_entropy,300,0.0006695097221810258,0.00011081965041364376,0.011837821513368443,4.967432564344072
2,0.1,50,12,mc_ucb_frozen,300,0.00016361214281567638,2.549722707156457e-05,0.0058238426985131025,1.2139215596408515
2,0.1,50,12,mean_influence,300,6.553288763798155e-09,6.0308702825869915e-09,-3.570354466941132e-06,4.862217669191546e-05
2,0.1,50,12,occupancy,300,5.286006674862574e-09,4.74209779871269e-09,-3.2695402657571353e-06,3.921956742691292e-05
2,0.1,50,12,oracle_tail,300,6.125419349401578e-09,5.684265611391951e-09,-4.193388892124912e-06,4.5447596260974826e-05
2,0.1,50,12,tis,300,0.00013933510585112673,3.0843721235410956e-05,0.003978052067917055,1.0337978960282688
2,0.1,50,12,uniform,300,0.00013477983113182565,2.1994791727492116e-05,0.005148325072779266,1.0
2,0.1,50,12,untied_tis,300,0.00013055032841150684,2.743149992998538e-05,0.0039210850150069145,0.9686191718389823
2,0.1,50,13,adaptive_neyman,300,0.0022482508617991696,0.000709405852309805,0.008920954917882709,0.20639848017493348
2,0.1,50,13,answer_entropy,300,0.014116489008741828,0.0012274829418620447,0.043946531823794335,1.2959505214995588
2,0.1,50,13,mc_ucb_frozen,300,0.0163353304133815,0.0013690693202624124,0.050411065747887625,1.4996490951099586
2,0.1,50,13,mean_influence,300,0.00024058546929630573,1.9710137906288913e-05,0.00011058294382434997,0.022086714636102876
2,0.1,50,13,occupancy,300,0.00041737465483479997,3.626607637680611e-05,0.0015322325095234388,0.0383166735906428
2,0.1,50,13,oracle_tail,300,0.00022721590940316005,1.7837474059169628e-05,0.00011401084077349041,0.020859335214420033
2,0.1,50,13,tis,300,0.001201730473670547,0.000318154971212102,0.003185815625700612,0.11032369543806725
2,0.1,50,13,uniform,300,0.010892768492741128,0.0009152454803820783,0.03480644008264453,1.0
2,0.1,50,13,untied_tis,300,0.0009028960264124928,0.00019661169246429718,0.002975307205130336,0.08288949012495556
2,0.1,50,14,adaptive_neyman,300,6.63489852418714e-05,9.777973206252051e-06,0.001953486136450142,0.43333357108029086
2,0.1,50,14,answer_entropy,300,0.0009653252872267087,7.737264449670391e-05,0.0009241060065814058,6.304660914453176
2,0.1,50,14,mc_ucb_frozen,300,0.0002512099979167034,2.7266666474745116e-05,-0.0004294912992602466,1.6406841052878645
2,0.1,50,14,mean_influence,300,1.8246167669465857e-05,1.6277124083243658e-06,0.00035310778762153604,0.11916801690208302
2,0.1,50,14,occupancy,300,1.078839753067398e-05,8.179245672003574e-07,0.00014447282705939128,0.07046038173995271
2,0.1,50,14,oracle_tail,300,3.3465635963369814e-06,2.833505037931482e-07,0.00011701984119112533,0.02185682793431525
2,0.1,50,14,tis,300,9.789438881505594e-05,1.2038027028254759e-05,0.000784193946915357,0.6393605710668767
2,0.1,50,14,uniform,300,0.00015311295886091833,1.3670618887589058e-05,0.00024859056638919296,1.0
2,0.1,50,14,untied_tis,300,0.00010703576854669568,1.4783051505879852e-05,-0.000442058560569798,0.6990640723227266
2,0.1,50,15,adaptive_neyman,300,0.0038357111305776267,0.0004618978107385611,0.018354477734393887,0.3432819661068925
2,0.1,50,15,answer_entropy,300,0.03672080859593164,0.001249901280697037,0.05159696055108634,3.2863766177167757
2,0.1,50,15,mc_ucb_frozen,300,0.0123052466910524,0.000819720175356226,0.012408646047274286,1.1012740880981502
2,0.1,50,15,mean_influence,300,0.00016272527845934964,1.400243625534843e-05,-6.756628643776278e-06,0.01456331084984623
2,0.1,50,15,occupancy,300,0.0002783997285568241,2.1533266162424422e-05,0.00035288823195506934,0.0249157465015411
2,0.1,50,15,oracle_tail,300,0.0001586417200116161,1.5518805643369355e-05,-2.6429149842090623e-05,0.01419784746511025
2,0.1,50,15,tis,300,0.006381970820420535,0.0007469008241609747,0.002858495531890741,0.5711627951870453
2,0.1,50,15,uniform,300,0.011173645892552504,0.0008538429714625029,-0.005985557037722229,1.0
2,0.1,50,15,untied_tis,300,0.0057018988631674355,0.0006507212429980362,0.00502134274060315,0.5102988691424242
2,0.1,50,16,adaptive_neyman,300,0.0036855145723664745,0.0008674678839434226,0.02482093004110064,0.419271144442312
2,0.1,50,16,answer_entropy,300,0.012398504519536547,0.0010538984249935138,0.04120497072475382,1.4104774454714493
2,0.1,50,16,mc_ucb_frozen,300,0.010103503641579126,0.000916642921812415,0.024746607979077753,1.1493937824703637
2,0.1,50,16,mean_influence,300,0.00019887262571524926,1.6266674455995542e-05,0.0003355039026631551,0.022624127986649284
2,0.1,50,16,occupancy,300,0.00026139481990356537,2.0348881916039087e-05,6.165195192925207e-05,0.029736771661138372
2,0.1,50,16,oracle_tail,300,0.0002561810379608474,2.2198033073067946e-05,0.005933770695031397,0.029143641915190192
2,0.1,50,16,tis,300,0.001694560850260204,0.00043929329501052057,0.009516102640687136,0.19277646392794817
2,0.1,50,16,uniform,300,0.008790289103412336,0.0007886897676548817,0.03214433841677019,1.0
2,0.1,50,16,untied_tis,300,0.0019649425683428813,0.0004475588242014917,0.012546449307921563,0.22353560221132007
2,0.1,50,17,adaptive_neyman,300,0.006438463674034913,0.0005001972185072044,0.04588024971666831,4.733530928693876
2,0.1,50,17,answer_entropy,300,0.01084325212889372,0.0019476249240268056,0.04255187636684298,7.97191254285328
2,0.1,50,17,mc_ucb_frozen,300,0.0036630285715474028,0.0003478333787137902,0.02233529406021253,2.6930429235834743
2,0.1,50,17,mean_influence,300,0.00022718756087213284,1.7829599489321698e-05,-0.00040301692532950184,0.1670273221140693
