horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,adaptive_neyman,300,0.0035818438798703085,0.0001127030969527332,0.5283685276492155
2,0.1,50,answer_entropy,300,0.019482975085062557,0.0005209428586792363,2.8739920569328623
2,0.1,50,mc_ucb_frozen,300,0.00897844410337319,0.00016639097843397052,1.324437203458416
2,0.1,50,mean_influence,300,0.00017115483210010867,2.7627967006616224e-06,0.025247562336540894
2,0.1,50,occupancy,300,0.00020549164722147984,3.4188228450804816e-06,0.030312688863077027
2,0.1,50,oracle_tail,300,0.00016059494180302341,4.023846624476157e-06,0.023689841264507402
2,0.1,50,tis,300,0.0015836296283402744,5.747346173981303e-05,0.2336059535621418
2,0.1,50,uniform,300,0.006779063650528971,0.00012294387672053965,1.0
2,0.1,50,untied_tis,300,0.0019371412621100536,9.582968623771691e-05,0.28575351434543594
2,0.1,100,adaptive_neyman,300,0.002671221039654465,6.223905652641056e-05,0.7964591264928763
2,0.1,100,answer_entropy,300,0.010519955146897181,0.0003413949691125709,3.136660786456591
2,0.1,100,mc_ucb_frozen,300,0.00409699366856534,6.801232145353317e-05,1.221571689527607
2,0.1,100,mean_influence,300,8.262135738952839e-05,1.3479647779779352e-06,0.024634627071008566
2,0.1,100,occupancy,300,9.88816321790037e-05,1.651910494242791e-06,0.029482838455654917
2,0.1,100,oracle_tail,300,7.367848563241679e-05,1.4712739641600098e-06,0.02196819410935135
2,0.1,100,tis,300,0.0006722203971510219,4.292312308181333e-05,0.2004312119355174
2,0.1,100,uniform,300,0.003353870840072993,5.395394711250131e-05,1.0
2,0.1,100,untied_tis,300,0.000700491247338337,4.0414317194476356e-05,0.20886053182748435
2,0.1,200,adaptive_neyman,300,0.002637487300788387,6.581533916152861e-05,1.5163055882507113
2,0.1,200,answer_entropy,300,0.004899468271859336,0.00012553142844416346,2.816730574534593
2,0.1,200,mc_ucb_frozen,300,0.0018488794074720204,2.9725086850263415e-05,1.0629306828182596
2,0.1,200,mean_influence,300,4.02769135500098e-05,5.790597059394624e-07,0.02315541351615806
2,0.1,200,occupancy,300,4.864749325772332e-05,7.756423925587325e-07,0.027967704663080385
2,0.1,200,oracle_tail,300,3.522011947202244e-05,8.606387917048575e-07,0.02024823549228915
2,0.1,200,tis,300,0.00028240637972005755,2.3856431181109463e-05,0.16235694162363382
2,0.1,200,uniform,300,0.001739416725246742,3.1409622159679173e-05,1.0
2,0.1,200,untied_tis,300,0.00027681245895532023,2.615374877571962e-05,0.15914096658812654
2,0.1,400,adaptive_neyman,300,0.002768273719060038,6.320704358406947e-05,3.198674982531934
2,0.1,400,answer_entropy,300,0.002287033031219589,6.795091934609009e-05,2.6426127195508076
2,0.1,400,mc_ucb_frozen,300,0.0008372227265742153,1.2319962108395567e-05,0.9673911116020085
2,0.1,400,mean_influence,300,2.043118000277591e-05,3.062772793246328e-07,0.023607746549238067
2,0.1,400,occupancy,300,2.4691211839801273e-05,4.1360287581049417e-07,0.028530112848517683
2,0.1,400,oracle_tail,300,1.695178103970547e-05,2.7632377982951675e-07,0.01958738312173713
2,0.1,400,tis,300,0.0001207736110611792,1.5161514172503496e-05,0.13955105869466142
2,0.1,400,uniform,300,0.0008654438897911382,1.4792594321883569e-05,1.0
2,0.1,400,untied_tis,300,0.00010606191867449676,9.184438238680183e-06,0.1225520451708235
2,0.2,50,adaptive_neyman,300,0.0031060082679817574,7.678364478064164e-05,0.6392875503325864
2,0.2,50,answer_entropy,300,0.013393661203346764,0.00033610899158528264,2.756721850658784
2,0.2,50,mc_ucb_frozen,300,0.006489024487453193,0.00010922276952739431,1.3355896735354356
2,0.2,50,mean_influence,300,0.0001307614204282658,2.2135897448244404e-06,0.026913691442912297
2,0.2,50,occupancy,300,0.00015690671305069217,2.795596900234734e-06,0.03229499072843557
2,0.2,50,oracle_tail,300,0.00012295870141701027,2.4374867723450383e-06,0.025307713386105546
2,0.2,50,tis,300,0.0010259305836068592,6.045739992195521e-05,0.21115998188616603
2,0.2,50,uniform,300,0.004858546465304808,8.121688807029817e-05,1.0
2,0.2,50,untied_tis,300,0.0010326770972415881,5.5475098299555304e-05,0.21254856871617914
2,0.2,100,adaptive_neyman,300,0.002950298865839192,6.671214228890401e-05,1.16116623850555
2,0.2,100,answer_entropy,300,0.0070765098834475355,0.0002065700682937403,2.7851430437278264
2,0.2,100,mc_ucb_frozen,300,0.0028371576583940366,4.642723428458623e-05,1.1166365971901442
2,0.2,100,mean_influence,300,6.150433989078075e-05,1.0521424339038082e-06,0.024206619820677292
2,0.2,100,occupancy,300,7.294075306201633e-05,1.3846530568459746e-06,0.028707715291986995
2,0.2,100,oracle_tail,300,5.754430400683149e-05,1.1237597522123912e-06,0.022648045526745746
2,0.2,100,tis,300,0.00037702501362730704,3.5938984195450405e-05,0.1483879216323387
2,0.2,100,uniform,300,0.00254080662010661,4.314520726913898e-05,1.0
2,0.2,100,untied_tis,300,0.0003935986516642003,3.589331686233154e-05,0.1549109044936624
2,0.2,200,adaptive_neyman,300,0.0029987638144794984,6.842902103973409e-05,2.4011293135659817
2,0.2,200,answer_entropy,300,0.0035023236121308923,0.00011367611498468874,2.804332855450785
2,0.2,200,mc_ucb_frozen,300,0.0013047700464654222,2.1531186299940346e-05,1.0447376985488805
2,0.2,200,mean_influence,300,3.107995508597608e-05,5.406551992066283e-07,0.02488591827769685
2,0.2,200,occupancy,300,3.7223650428358565e-05,6.475247459926235e-07,0.02980521432528301
2,0.2,200,oracle_tail,300,2.8163713570472653e-05,5.094837541851307e-07,0.022550865095281165
2,0.2,200,tis,300,0.00011867068434985727,1.1259417843224065e-05,0.09502037388791032
2,0.2,200,uniform,300,0.001248897257443396,2.390931632078379e-05,1.0
