horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,adaptive_neyman-minus-tis,300,0.0024036222491937522,0.0003526557483266524
2,0.1,50,answer_entropy-minus-tis,300,0.022517179172336796,0.0007433547157509806
2,0.1,50,mc_ucb_frozen-minus-tis,300,0.00855659426590876,0.0003925482656877109
2,0.1,50,mean_influence-minus-tis,300,-0.00818425218991807,0.00024288420709586
2,0.1,50,occupancy-minus-tis,300,-0.008085638925699001,0.0002427176225926913
2,0.1,50,oracle_tail-minus-tis,300,-0.007058725909149933,0.0002512084703290827
2,0.1,50,uniform-minus-tis,300,0.004952672914378617,0.0002868310987638545
2,0.1,50,untied_tis-minus-tis,300,-0.0002658402735323007,0.0003502558089303933
2,0.1,100,adaptive_neyman-minus-tis,300,0.0050760033693479905,0.00021903564259994514
2,0.1,100,answer_entropy-minus-tis,300,0.01716918175442702,0.0006482664982361332
2,0.1,100,mc_ucb_frozen-minus-tis,300,0.004508438714950395,0.00019240133757021752
2,0.1,100,mean_influence-minus-tis,300,-0.0031582812994992676,0.00011759647852751587
2,0.1,100,occupancy-minus-tis,300,-0.0031109628494650444,0.00011799234950189802
2,0.1,100,oracle_tail-minus-tis,300,-0.002513678715575569,0.00012671567433804442
2,0.1,100,uniform-minus-tis,300,0.003561464210429623,0.00016121513256947434
2,0.1,100,untied_tis-minus-tis,300,0.00038743658577906757,0.00018818395305461567
2,0.1,200,adaptive_neyman-minus-tis,300,0.008054525111192977,0.00021751200893551297
2,0.1,200,answer_entropy-minus-tis,300,0.009418342898633253,0.00031736047700957023
2,0.1,200,mc_ucb_frozen-minus-tis,300,0.0022058800054915242,0.00010174963945539147
2,0.1,200,mean_influence-minus-tis,300,-0.0013641317995971459,7.575260237106708e-05
2,0.1,200,occupancy-minus-tis,300,-0.0013411774750155285,7.575901272174997e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.000962754453797433,8.093368700444132e-05
2,0.1,200,uniform-minus-tis,300,0.002012119023570691,9.521724307185865e-05
2,0.1,200,untied_tis-minus-tis,300,1.0836835457217316e-05,9.785145104042628e-05
2,0.1,400,adaptive_neyman-minus-tis,300,0.009708207194309471,0.00021566925359984247
2,0.1,400,answer_entropy-minus-tis,300,0.005286532755313368,0.00020943242489992496
2,0.1,400,mc_ucb_frozen-minus-tis,300,0.0011329775361540596,5.434616659817027e-05
2,0.1,400,mean_influence-minus-tis,300,-0.0005413412849233044,4.2824064894943635e-05
2,0.1,400,occupancy-minus-tis,300,-0.0005305500321345167,4.2829108828853284e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.0003818054528647237,4.28266925623536e-05
2,0.1,400,uniform-minus-tis,300,0.0012115149524288115,5.17455405320799e-05
2,0.1,400,untied_tis-minus-tis,300,-2.3558816917522303e-05,5.769086348415648e-05
2,0.2,50,adaptive_neyman-minus-tis,300,0.001429694358570878,0.00016029977597843443
2,0.2,50,answer_entropy-minus-tis,300,0.014330607029733867,0.0005796667473624222
2,0.2,50,mc_ucb_frozen-minus-tis,300,0.005350915108855581,0.00018085713678160932
2,0.2,50,mean_influence-minus-tis,300,-0.0033104933899526473,0.00011685934615321043
2,0.2,50,occupancy-minus-tis,300,-0.003252181403227361,0.00011686397825251283
2,0.2,50,oracle_tail-minus-tis,300,-0.0032812203552590345,0.0001164062968621074
2,0.2,50,uniform-minus-tis,300,0.0037615682261471998,0.0001544261240155746
2,0.2,50,untied_tis-minus-tis,300,1.178630806256418e-05,0.0001737132578046832
2,0.2,100,adaptive_neyman-minus-tis,300,0.0031912183842947974,0.00014045726943545778
2,0.2,100,answer_entropy-minus-tis,300,0.008409650042565291,0.0003193899603766319
2,0.2,100,mc_ucb_frozen-minus-tis,300,0.0029807163355311927,9.230968860753392e-05
2,0.2,100,mean_influence-minus-tis,300,-0.0011742755400651473,5.5321922072483425e-05
2,0.2,100,occupancy-minus-tis,300,-0.0011460805361353742,5.524217437971831e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.0011733575046979582,5.542456322825227e-05
2,0.2,100,uniform-minus-tis,300,0.0025081820733418767,8.457292887640161e-05
2,0.2,100,untied_tis-minus-tis,300,8.369594665178023e-05,8.404745511811941e-05
2,0.2,200,adaptive_neyman-minus-tis,300,0.004507755286785442,0.0001422156734751635
2,0.2,200,answer_entropy-minus-tis,300,0.004221324932950786,0.0001479055865780341
2,0.2,200,mc_ucb_frozen-minus-tis,300,0.00151135809241378,4.900695116399093e-05
2,0.2,200,mean_influence-minus-tis,300,-0.0004821833242303898,3.5503962700833516e-05
2,0.2,200,occupancy-minus-tis,300,-0.0004696938221097686,3.5426180742406545e-05
2,0.2,200,oracle_tail-minus-tis,300,-0.0004844729114356257,3.5495472978444636e-05
2,0.2,200,uniform-minus-tis,300,0.0013603027675060234,4.653923402183313e-05
2,0.2,200,untied_tis-minus-tis,300,-8.196803305904296e-05,4.01008314645043e-05
2,0.2,400,adaptive_neyman-minus-tis,300,0.005266120330605537,0.00014093751156820926
2,0.2,400,answer_entropy-minus-tis,300,0.002259062197778117,8.226216869793719e-05
2,0.2,400,mc_ucb_frozen-minus-tis,300,0.0007446504848806071,2.16187892784554e-05
2,0.2,400,mean_influence-minus-tis,300,-0.00014719560420664473,1.1351518319031003e-05
2,0.2,400,occupancy-minus-tis,300,-0.0001407026554386067,1.1383798207512442e-05
2,0.2,400,oracle_tail-minus-tis,300,-0.00014811398028688927,1.1356337850780148e-05
2,0.2,400,uniform-minus-tis,300,0.0008021039273375216,2.3958903160459272e-05
2,0.2,400,untied_tis-minus-tis,300,5.127725359368025e-06,1.563933631786242e-05
4,0.1,50,adaptive_neyman-minus-tis,300,0.09226999340137766,0.0027923180290137513
4,0.1,50,answer_entropy-minus-tis,300,0.11263351380641258,0.0032197889354763417
4,0.1,50,mc_ucb_frozen-minus-tis,300,0.04260974391512987,0.0021222958346075933
4,0.1,50,mean_influence-minus-tis,300,-0.03998746362611777,0.001337516863040143
4,0.1,50,occupancy-minus-tis,300,-0.038924329184638326,0.0013382835172376433
4,0.1,50,oracle_tail-minus-tis,300,-0.03837398538095937,0.001337539063563059
4,0.1,50,uniform-minus-tis,300,0.02126366457388573,0.0015016484657290453
4,0.1,50,untied_tis-minus-tis,300,0.09600585776612659,0.0035851761156445575
4,0.1,100,adaptive_neyman-minus-tis,300,0.11290612838309239,0.0025849844724984885
4,0.1,100,answer_entropy-minus-tis,300,0.07325923735838065,0.002567431854603506
4,0.1,100,mc_ucb_frozen-minus-tis,300,0.017789285505834918,0.0012796708903467233
4,0.1,100,mean_influence-minus-tis,300,-0.017455475455288874,0.000985047432266996
4,0.1,100,occupancy-minus-tis,300,-0.01696086341241396,0.0009845691897848981
4,0.1,100,oracle_tail-minus-tis,300,-0.016932555342381726,0.0009841212563603784
4,0.1,100,uniform-minus-tis,300,0.011198769828126955,0.0010924087612632681
4,0.1,100,untied_tis-minus-tis,300,0.040513985289426284,0.0017514705235134917
4,0.1,200,adaptive_neyman-minus-tis,300,0.15850110664714248,0.0030639536631780428
4,0.1,200,answer_entropy-minus-tis,300,0.039342175524024865,0.0014003980976453573
4,0.1,200,mc_ucb_frozen-minus-tis,300,0.010050291409776167,0.000606205612512153
4,0.1,200,mean_influence-minus-tis,300,-0.0063113386493182854,0.0004892780243508352
4,0.1,200,occupancy-minus-tis,300,-0.006093442900561277,0.0004897146875898071
4,0.1,200,oracle_tail-minus-tis,300,-0.00605640274069877,0.0004854635990792708
4,0.1,200,uniform-minus-tis,300,0.007843333695658929,0.0005230726440046903
4,0.1,200,untied_tis-minus-tis,300,0.022177246581433815,0.0010730268780747404
4,0.1,400,adaptive_neyman-minus-tis,300,0.22786884342473135,0.003836032726566294
4,0.1,400,answer_entropy-minus-tis,300,0.02193156373833194,0.0009675071094140973
4,0.1,400,mc_ucb_frozen-minus-tis,300,0.004334275743405514,0.0003706987994465298
4,0.1,400,mean_influence-minus-tis,300,-0.0026915846409986456,0.0003367482568818632
4,0.1,400,occupancy-minus-tis,300,-0.0025733221384494987,0.0003370227966065714
4,0.1,400,oracle_tail-minus-tis,300,-0.002608865258471178,0.00033682851936138035
4,0.1,400,uniform-minus-tis,300,0.004113783244291945,0.00036201308127785354
4,0.1,400,untied_tis-minus-tis,300,0.01410169616948566,0.0008059923380594939
4,0.2,50,adaptive_neyman-minus-tis,300,0.05347520894665878,0.0014984198566452423
4,0.2,50,answer_entropy-minus-tis,300,0.07193171593516261,0.0022302686183757205
4,0.2,50,mc_ucb_frozen-minus-tis,300,0.026714053241803044,0.000984834694558283
4,0.2,50,mean_influence-minus-tis,300,-0.018984704612726205,0.000670305962580152
4,0.2,50,occupancy-minus-tis,300,-0.018346108491279933,0.0006698111666534727
4,0.2,50,oracle_tail-minus-tis,300,-0.018975802851615486,0.000665223459793052
4,0.2,50,uniform-minus-tis,300,0.01670429007151051,0.0008424089919648061
4,0.2,50,untied_tis-minus-tis,300,0.03522208194478485,0.0017553701277939042
4,0.2,100,adaptive_neyman-minus-tis,300,0.06921198731610934,0.0014878724485115566
4,0.2,100,answer_entropy-minus-tis,300,0.04233385727869996,0.0012333542251088425
4,0.2,100,mc_ucb_frozen-minus-tis,300,0.013971389287524092,0.000505655286162278
4,0.2,100,mean_influence-minus-tis,300,-0.007883960151898475,0.0003636944496424946
4,0.2,100,occupancy-minus-tis,300,-0.00756786083913516,0.0003641156420995535
4,0.2,100,oracle_tail-minus-tis,300,-0.007895284194145393,0.00036425343965670854
4,0.2,100,uniform-minus-tis,300,0.010841228875768523,0.0004748359116773395
4,0.2,100,untied_tis-minus-tis,300,0.025178737651045495,0.0010498835219592928
4,0.2,200,adaptive_neyman-minus-tis,300,0.09510324301042881,0.0021084199921377845
4,0.2,200,answer_entropy-minus-tis,300,0.021446668365646893,0.0006653371995391525
4,0.2,200,mc_ucb_frozen-minus-tis,300,0.006729071639934624,0.0002934825484417396
4,0.2,200,mean_influence-minus-tis,300,-0.0036236300647289974,0.00023817591570916009
4,0.2,200,occupancy-minus-tis,300,-0.0034577073182799093,0.00023816296198710137
4,0.2,200,oracle_tail-minus-tis,300,-0.0036381185386580527,0.00023818329906344894
4,0.2,200,uniform-minus-tis,300,0.005790527068935889,0.00028906130006165024
4,0.2,200,untied_tis-minus-tis,300,0.013087061769981765,0.0006582042052586428
4,0.2,400,adaptive_neyman-minus-tis,300,0.12352234011977499,0.002583214899639195
4,0.2,400,answer_entropy-minus-tis,300,0.011462895944147556,0.00034738978833421223
4,0.2,400,mc_ucb_frozen-minus-tis,300,0.003957381032483669,0.00016564298793654813
4,0.2,400,mean_influence-minus-tis,300,-0.0010498468589617443,0.00010501745988448328
4,0.2,400,occupancy-minus-tis,300,-0.0009762161205966622,0.0001050670923249271
4,0.2,400,oracle_tail-minus-tis,300,-0.0010577495532430536,0.00010506700954828899
4,0.2,400,uniform-minus-tis,300,0.0038491679348910818,0.00013976257914456955
