horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,adaptive_neyman,0.0055442460574428
2,0.1,50,0,answer_entropy,0.0259089164327998
2,0.1,50,0,mc_ucb_frozen,0.022195390111759073
2,0.1,50,0,mean_influence,0.0001516442982797917
2,0.1,50,0,occupancy,0.00029928041444780623
2,0.1,50,0,oracle_tail,0.0008735584442399311
2,0.1,50,0,tis,0.005746140098090601
2,0.1,50,0,uniform,0.016476553058303138
2,0.1,50,0,untied_tis,0.009892299157452137
2,0.1,50,1,adaptive_neyman,0.010536769562255455
2,0.1,50,1,answer_entropy,0.018524948464414156
2,0.1,50,1,mc_ucb_frozen,0.02379726645192364
2,0.1,50,1,mean_influence,0.0004587603229192154
2,0.1,50,1,occupancy,0.0007365299305349304
2,0.1,50,1,oracle_tail,0.0021545492416489235
2,0.1,50,1,tis,0.007159238021763699
2,0.1,50,1,uniform,0.00928094696243466
2,0.1,50,1,untied_tis,0.005118673795663553
2,0.1,50,2,adaptive_neyman,0.010207322831429005
2,0.1,50,2,answer_entropy,0.029333032936241423
2,0.1,50,2,mc_ucb_frozen,0.015606763566934457
2,0.1,50,2,mean_influence,0.0002619018474695193
2,0.1,50,2,occupancy,0.0002716487289951322
2,0.1,50,2,oracle_tail,0.00023314186029572913
2,0.1,50,2,tis,0.002153925402257843
2,0.1,50,2,uniform,0.011073997581816422
2,0.1,50,2,untied_tis,0.013538426490937337
2,0.1,50,3,adaptive_neyman,0.012640608906404466
2,0.1,50,3,answer_entropy,0.01343685564662029
2,0.1,50,3,mc_ucb_frozen,0.010746147709106976
2,0.1,50,3,mean_influence,0.00030864765343593226
2,0.1,50,3,occupancy,0.00035500986985297723
2,0.1,50,3,oracle_tail,0.0008128079734382721
2,0.1,50,3,tis,0.005622294480239388
2,0.1,50,3,uniform,0.010685271396520635
2,0.1,50,3,untied_tis,0.002417821401967571
2,0.1,50,4,adaptive_neyman,0.009687318200183516
2,0.1,50,4,answer_entropy,0.02559368394828192
2,0.1,50,4,mc_ucb_frozen,0.015502204869912158
2,0.1,50,4,mean_influence,0.00021432108989085703
2,0.1,50,4,occupancy,0.0004044448824717367
2,0.1,50,4,oracle_tail,0.0002800742048812491
2,0.1,50,4,tis,0.007583399114097922
2,0.1,50,4,uniform,0.014426866677028602
2,0.1,50,4,untied_tis,0.008194298678965142
2,0.1,50,5,adaptive_neyman,0.010444832813701904
2,0.1,50,5,answer_entropy,0.033123615665820935
2,0.1,50,5,mc_ucb_frozen,0.021505808278517537
2,0.1,50,5,mean_influence,0.00020372381376219397
2,0.1,50,5,occupancy,0.000488562682373152
2,0.1,50,5,oracle_tail,0.00014769363226844147
2,0.1,50,5,tis,0.00658729546347268
2,0.1,50,5,uniform,0.015369241210820955
2,0.1,50,5,untied_tis,0.006305463751001202
2,0.1,50,6,adaptive_neyman,0.005761165920886542
2,0.1,50,6,answer_entropy,0.03398983719950853
2,0.1,50,6,mc_ucb_frozen,0.012173761597831356
2,0.1,50,6,mean_influence,0.0002725172000689144
2,0.1,50,6,occupancy,0.0004438456978109197
2,0.1,50,6,oracle_tail,0.0031627050216534586
2,0.1,50,6,tis,0.010279362180419326
2,0.1,50,6,uniform,0.014851928973995794
2,0.1,50,6,untied_tis,0.0062067048793599386
2,0.1,50,7,adaptive_neyman,0.008457981211376302
2,0.1,50,7,answer_entropy,0.017191953310748898
2,0.1,50,7,mc_ucb_frozen,0.013850779042614933
2,0.1,50,7,mean_influence,0.00029317184734986183
2,0.1,50,7,occupancy,0.0005402880607661573
2,0.1,50,7,oracle_tail,0.002215113058127084
2,0.1,50,7,tis,0.006242434254524422
2,0.1,50,7,uniform,0.008916735884680152
2,0.1,50,7,untied_tis,0.009120155368907269
2,0.1,50,8,adaptive_neyman,0.008212327147403485
2,0.1,50,8,answer_entropy,0.05059464211637543
2,0.1,50,8,mc_ucb_frozen,0.02125583034459968
2,0.1,50,8,mean_influence,0.00028288530693550265
2,0.1,50,8,occupancy,0.00028340048549098704
2,0.1,50,8,oracle_tail,0.0021583315559250997
2,0.1,50,8,tis,0.01380880460349577
2,0.1,50,8,uniform,0.013371969951698915
2,0.1,50,8,untied_tis,0.009802740849933642
2,0.1,50,9,adaptive_neyman,0.0058355487372957265
2,0.1,50,9,answer_entropy,0.030533867602071545
2,0.1,50,9,mc_ucb_frozen,0.020739984502479242
2,0.1,50,9,mean_influence,0.00022624217651341842
2,0.1,50,9,occupancy,0.00023343422655086992
2,0.1,50,9,oracle_tail,0.0021733822561157043
2,0.1,50,9,tis,0.011678954225611165
2,0.1,50,9,uniform,0.012894144060531658
2,0.1,50,9,untied_tis,0.008905641960276028
2,0.1,50,10,adaptive_neyman,0.0074922680115007126
2,0.1,50,10,answer_entropy,0.02542180452908887
2,0.1,50,10,mc_ucb_frozen,0.01686843789872625
2,0.1,50,10,mean_influence,0.00031913050733012804
2,0.1,50,10,occupancy,0.0005778143733920301
2,0.1,50,10,oracle_tail,0.0006507749555229024
2,0.1,50,10,tis,0.011169523783883521
2,0.1,50,10,uniform,0.014249884124383312
2,0.1,50,10,untied_tis,0.004900937004046272
2,0.1,50,11,adaptive_neyman,0.012855256839408124
2,0.1,50,11,answer_entropy,0.031987023259147096
2,0.1,50,11,mc_ucb_frozen,0.027329242281782552
2,0.1,50,11,mean_influence,0.0003818345163924207
2,0.1,50,11,occupancy,0.0005507805323040933
2,0.1,50,11,oracle_tail,0.0002649305108062468
2,0.1,50,11,tis,0.0066288846271336755
2,0.1,50,11,uniform,0.00997982192954937
2,0.1,50,11,untied_tis,0.00775788462852595
2,0.1,50,12,adaptive_neyman,0.011628246304439553
2,0.1,50,12,answer_entropy,0.014796630449570618
2,0.1,50,12,mc_ucb_frozen,0.01746672961848095
2,0.1,50,12,mean_influence,0.00013480560882245273
2,0.1,50,12,occupancy,0.0002346206207165941
2,0.1,50,12,oracle_tail,0.0010218560999645822
2,0.1,50,12,tis,0.007684335165395315
2,0.1,50,12,uniform,0.013376643469486771
2,0.1,50,12,untied_tis,0.01833750333559918
2,0.1,50,13,adaptive_neyman,0.006094336517386862
2,0.1,50,13,answer_entropy,0.022183110920016277
2,0.1,50,13,mc_ucb_frozen,0.013005714449412847
2,0.1,50,13,mean_influence,0.00021127766782652905
2,0.1,50,13,occupancy,0.00027894289192097123
2,0.1,50,13,oracle_tail,0.0013895708482005039
2,0.1,50,13,tis,0.0037856719763243014
2,0.1,50,13,uniform,0.010041880266183217
2,0.1,50,13,untied_tis,0.009403026404125412
2,0.1,50,14,adaptive_neyman,0.009006548530545685
2,0.1,50,14,answer_entropy,0.014904177540014505
2,0.1,50,14,mc_ucb_frozen,0.01711225793837095
2,0.1,50,14,mean_influence,0.0002588016909065251
2,0.1,50,14,occupancy,0.0002997990623814303
2,0.1,50,14,oracle_tail,0.0032569391319681286
2,0.1,50,14,tis,0.004294785450572657
2,0.1,50,14,uniform,0.012387563087697414
2,0.1,50,14,untied_tis,0.018551503184170766
2,0.1,50,15,adaptive_neyman,0.013343539235756516
2,0.1,50,15,answer_entropy,0.020710777458506364
2,0.1,50,15,mc_ucb_frozen,0.007497545294666645
2,0.1,50,15,mean_influence,0.00027092790249970313
2,0.1,50,15,occupancy,0.0003906835321928759
2,0.1,50,15,oracle_tail,0.000488536783446232
2,0.1,50,15,tis,0.01561255281159122
2,0.1,50,15,uniform,0.018836710407778512
2,0.1,50,15,untied_tis,0.006593209673017839
2,0.1,50,16,adaptive_neyman,0.008025074362416375
2,0.1,50,16,answer_entropy,0.017693835273920613
2,0.1,50,16,mc_ucb_frozen,0.01363740555903257
2,0.1,50,16,mean_influence,0.0002561415071255968
2,0.1,50,16,occupancy,0.0003623122715251041
2,0.1,50,16,oracle_tail,0.0020646764763396293
2,0.1,50,16,tis,0.012947598691312134
2,0.1,50,16,uniform,0.010147378380264721
2,0.1,50,16,untied_tis,0.008471853433557056
2,0.1,50,17,adaptive_neyman,0.01323110044737762
2,0.1,50,17,answer_entropy,0.024339659681094243
2,0.1,50,17,mc_ucb_frozen,0.011148407080460929
2,0.1,50,17,mean_influence,0.000415074645089624
2,0.1,50,17,occupancy,0.0005055175011249894
2,0.1,50,17,oracle_tail,0.0004547617176421014
2,0.1,50,17,tis,0.008944411703415932
2,0.1,50,17,uniform,0.011077963784505674
2,0.1,50,17,untied_tis,0.020964779633637243
2,0.1,50,18,adaptive_neyman,0.010004880313593872
2,0.1,50,18,answer_entropy,0.021298219714652535
2,0.1,50,18,mc_ucb_frozen,0.01603886431908778
2,0.1,50,18,mean_influence,0.0003243319000222133
2,0.1,50,18,occupancy,0.00034371279140984687
2,0.1,50,18,oracle_tail,0.0003233867002866585
2,0.1,50,18,tis,0.0029479275750473773
2,0.1,50,18,uniform,0.00600198887299029
2,0.1,50,18,untied_tis,0.006552251472035253
2,0.1,50,19,adaptive_neyman,0.004530532175663538
2,0.1,50,19,answer_entropy,0.011904685587059797
2,0.1,50,19,mc_ucb_frozen,0.019808500693939517
2,0.1,50,19,mean_influence,0.0002094150576026592
2,0.1,50,19,occupancy,0.0003327554370678157
2,0.1,50,19,oracle_tail,0.00019023041589636913
2,0.1,50,19,tis,0.004221185145425861
2,0.1,50,19,uniform,0.009014986033527617
2,0.1,50,19,untied_tis,0.006904831921161974
2,0.1,50,20,adaptive_neyman,0.017383879219231936
2,0.1,50,20,answer_entropy,0.02822589103153206
2,0.1,50,20,mc_ucb_frozen,0.026431771666607262
2,0.1,50,20,mean_influence,0.00037667110041665196
2,0.1,50,20,occupancy,0.0005909087435828727
2,0.1,50,20,oracle_tail,0.0021186989797886274
2,0.1,50,20,tis,0.005764932425530888
2,0.1,50,20,uniform,0.012038366696836278
2,0.1,50,20,untied_tis,0.008399832304759793
2,0.1,50,21,adaptive_neyman,0.008087154530297423
2,0.1,50,21,answer_entropy,0.04595102455650441
2,0.1,50,21,mc_ucb_frozen,0.012982326476692228
2,0.1,50,21,mean_influence,0.00041758560874061043
2,0.1,50,21,occupancy,0.000606764178356917
2,0.1,50,21,oracle_tail,0.0003968679615450766
2,0.1,50,21,tis,0.02440460048294732
2,0.1,50,21,uniform,0.020711122201156614
2,0.1,50,21,untied_tis,0.007880065936864352
2,0.1,50,22,adaptive_neyman,0.008361870587349307
2,0.1,50,22,answer_entropy,0.027288463192988593
2,0.1,50,22,mc_ucb_frozen,0.02241525001023459
2,0.1,50,22,mean_influence,0.0003784018120552596
2,0.1,50,22,occupancy,0.0005007303670591277
2,0.1,50,22,oracle_tail,0.0015380296927886782
2,0.1,50,22,tis,0.007142479018804238
2,0.1,50,22,uniform,0.013496192296473291
2,0.1,50,22,untied_tis,0.00835010002790322
2,0.1,50,23,adaptive_neyman,0.007036940168793423
2,0.1,50,23,answer_entropy,0.024594041322470648
2,0.1,50,23,mc_ucb_frozen,0.023091492126055324
2,0.1,50,23,mean_influence,0.0002289409584645359
2,0.1,50,23,occupancy,0.0003877157319758606
2,0.1,50,23,oracle_tail,0.0070471867725417
2,0.1,50,23,tis,0.011984464019193184
2,0.1,50,23,uniform,0.015523729986769716
2,0.1,50,23,untied_tis,0.007890173442990277
2,0.1,50,24,adaptive_neyman,0.022141248151101873
2,0.1,50,24,answer_entropy,0.014845074749637522
2,0.1,50,24,mc_ucb_frozen,0.02037689770354025
2,0.1,50,24,mean_influence,0.0002577639835866565
2,0.1,50,24,occupancy,0.00026861321229921083
2,0.1,50,24,oracle_tail,0.002384242640401483
2,0.1,50,24,tis,0.00510417853318117
2,0.1,50,24,uniform,0.00845132525284247
2,0.1,50,24,untied_tis,0.010188519580011088
2,0.1,50,25,adaptive_neyman,0.011520052594101738
2,0.1,50,25,answer_entropy,0.04802894723696532
2,0.1,50,25,mc_ucb_frozen,0.012196871111544064
2,0.1,50,25,mean_influence,0.0003342783962736242
2,0.1,50,25,occupancy,0.0005977976105323484
2,0.1,50,25,oracle_tail,0.0036201800264778995
2,0.1,50,25,tis,0.0065836036636128985
2,0.1,50,25,uniform,0.014057668012422093
2,0.1,50,25,untied_tis,0.010910095703956853
2,0.1,50,26,adaptive_neyman,0.017340447114124403
2,0.1,50,26,answer_entropy,0.02676258837486479
2,0.1,50,26,mc_ucb_frozen,0.01323241192404853
2,0.1,50,26,mean_influence,0.0001921270304525099
2,0.1,50,26,occupancy,0.0002740136692449856
2,0.1,50,26,oracle_tail,0.0023409605447003634
2,0.1,50,26,tis,0.00722182433079129
2,0.1,50,26,uniform,0.014073620391149658
2,0.1,50,26,untied_tis,0.020147654331337778
2,0.1,50,27,adaptive_neyman,0.009429090701382897
2,0.1,50,27,answer_entropy,0.02670350008757936
2,0.1,50,27,mc_ucb_frozen,0.026092901915509822
2,0.1,50,27,mean_influence,0.00022572485317174645
2,0.1,50,27,occupancy,0.00040823562826200856
2,0.1,50,27,oracle_tail,0.001401296634830221
2,0.1,50,27,tis,0.006967747211792045
2,0.1,50,27,uniform,0.014507422531024983
2,0.1,50,27,untied_tis,0.02119210722251894
2,0.1,50,28,adaptive_neyman,0.006674199583744406
2,0.1,50,28,answer_entropy,0.04269104326393674
2,0.1,50,28,mc_ucb_frozen,0.015021722462739447
2,0.1,50,28,mean_influence,0.00025469642715442457
2,0.1,50,28,occupancy,0.0003548110682106792
2,0.1,50,28,oracle_tail,0.001438575658633172
2,0.1,50,28,tis,0.011973333758288641
2,0.1,50,28,uniform,0.014234660633589101
2,0.1,50,28,untied_tis,0.006824165059698068
2,0.1,50,29,adaptive_neyman,0.014734698462792552
2,0.1,50,29,answer_entropy,0.061086832428856215
2,0.1,50,29,mc_ucb_frozen,0.016920638225363643
2,0.1,50,29,mean_influence,0.00019626300556311726
2,0.1,50,29,occupancy,0.0003221800796186399
