horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,adaptive_neyman,300,0.027026840098231832,0.0015417399747016036,0.1326940409321923,0.9031704216409998
2,0.1,50,0,answer_entropy,300,0.09428362292317777,0.008433810187300031,0.07517657672382154,3.1507264319419463
2,0.1,50,0,mc_ucb_frozen,300,0.044089651314195295,0.0028572826734269492,-0.002737664224244403,1.4733675421438406
2,0.1,50,0,mean_influence,300,0.0008728330674733818,7.193612705599929e-05,0.0006165139451055072,0.029167931090239265
2,0.1,50,0,occupancy,300,0.001048254579107437,8.932191551770942e-05,-6.0797400276506596e-05,0.03503008589825903
2,0.1,50,0,oracle_tail,300,0.000899876467381866,7.770915999199555e-05,0.0001400612174898952,0.030071654899947595
2,0.1,50,0,tis,300,0.03039765091618518,0.003233571943077604,0.010798739017379775,1.0158146159551604
2,0.1,50,0,uniform,300,0.029924407897599085,0.0024142478328380915,0.009706803397047098,1.0
2,0.1,50,0,untied_tis,300,0.02864740855505519,0.002777496166672249,0.02977653720850412,0.9573258275681252
2,0.1,50,1,adaptive_neyman,300,0.048072136515490194,0.004953018312327797,0.1476485909599971,1.6659690734419057
2,0.1,50,1,answer_entropy,300,0.07897730382279096,0.006825599479514509,0.07771913076954354,2.7370064076556733
2,0.1,50,1,mc_ucb_frozen,300,0.04494051013950888,0.003160517733300217,0.01929074599146656,1.5574406603084745
2,0.1,50,1,mean_influence,300,0.0008524617083044291,7.009444760448943e-05,-0.0013634913120288287,0.02954257799361619
2,0.1,50,1,occupancy,300,0.0009219927983684032,8.170391510424477e-05,-0.0017923933014002435,0.03195222012907565
2,0.1,50,1,oracle_tail,300,0.0006830346010712148,5.4448852828791884e-05,-0.0018168012670137339,0.023670978740641273
2,0.1,50,1,tis,300,0.03632528427548242,0.00374050968142019,0.05974629359677157,1.2588747780627363
2,0.1,50,1,uniform,300,0.028855359491261605,0.002754838017006332,-0.007091569318480322,1.0
2,0.1,50,1,untied_tis,300,0.02547375220148612,0.0031978524633979686,0.05087941451437698,0.882808346546521
2,0.1,50,2,adaptive_neyman,300,0.0057832733326316525,0.0006792633614013648,0.032231020294580484,0.49928225478812427
2,0.1,50,2,answer_entropy,300,0.027382946501365826,0.0012654361070392399,0.060074865311621886,2.364027858548959
2,0.1,50,2,mc_ucb_frozen,300,0.014935321802382787,0.0010467737284881743,0.0025823711156073804,1.289398013302384
2,0.1,50,2,mean_influence,300,0.00022587057782849705,1.6674170252327136e-05,0.00034581650386879064,0.019499886120234886
2,0.1,50,2,occupancy,300,0.0003804198602158229,3.012696412414439e-05,0.0012376824825532232,0.03284245351210284
2,0.1,50,2,oracle_tail,300,0.00022849596024495123,1.6657907640701167e-05,0.0004436644278040432,0.019726540953436737
2,0.1,50,2,tis,300,0.010362080979124494,0.0008921955573545428,0.01950395960549698,0.894580431874588
2,0.1,50,2,uniform,300,0.01158317420090535,0.0009023632371270273,0.0124835353182168,1.0
2,0.1,50,2,untied_tis,300,0.011361230038482027,0.000983386951472584,-0.0009474825411506238,0.9808390896507474
2,0.1,50,3,adaptive_neyman,300,0.0005922849146395702,0.0005866806993829149,0.003062736989323543,11.456676949307413
2,0.1,50,3,answer_entropy,300,0.0007022564942448093,0.0004417907351033352,-0.0016931001978503168,13.583877608991568
2,0.1,50,3,mc_ucb_frozen,300,4.3619885128087426e-05,1.913552411836437e-05,0.00010165761502997898,0.8437475277966654
2,0.1,50,3,mean_influence,300,1.2056012789447118e-05,3.720650352941634e-06,6.702116393871378e-05,0.23320169129998353
2,0.1,50,3,occupancy,300,2.097962361199153e-06,2.8535226004185946e-07,0.00015073998302004362,0.040581275041745045
2,0.1,50,3,oracle_tail,300,0.00029577528840939746,0.00029410963643802357,0.0010488982985469638,5.721236258324762
2,0.1,50,3,tis,300,9.515141284522988e-05,4.004977834593406e-05,-0.0004618902962659525,1.8405314254903162
2,0.1,50,3,uniform,300,5.1697793108792816e-05,2.144808205803316e-05,-0.00022044443296396135,1.0
2,0.1,50,3,untied_tis,300,1.6060183239666942e-05,4.680041926373529e-06,0.0005877103558906427,0.31065510293388926
2,0.1,50,4,adaptive_neyman,300,0.0058128689861857985,0.001016292890481939,0.018260125618209257,0.3328650220526967
2,0.1,50,4,answer_entropy,300,0.021213432006429337,0.0015338386201299177,0.017179752354498666,1.2147546296698495
2,0.1,50,4,mc_ucb_frozen,300,0.020582361945828805,0.0014367357644201782,0.006302356487778208,1.1786173710910306
2,0.1,50,4,mean_influence,300,0.00032249362647439946,2.4076621820863973e-05,0.0024727893479956913,0.018467102620644535
2,0.1,50,4,occupancy,300,0.0005627326519412866,4.344489371208163e-05,0.0029096629543507763,0.032224021742681276
2,0.1,50,4,oracle_tail,300,0.0003130953629094971,2.3930562348396236e-05,0.002292410342682565,0.017928925480195857
2,0.1,50,4,tis,300,0.010463185780244723,0.001272726744017043,0.010756120597508927,0.5991582768783392
2,0.1,50,4,uniform,300,0.017463141517060778,0.0012088241599991722,0.021079209802558695,1.0
2,0.1,50,4,untied_tis,300,0.007875735228620064,0.001140738119726929,0.00988191601426913,0.4509918917467279
2,0.1,50,5,adaptive_neyman,300,0.005732071899948009,0.000987973312434505,0.024327643534363955,0.34872222787254614
2,0.1,50,5,answer_entropy,300,0.025381349944983696,0.00281584276060657,0.06281160878972165,1.5441259380064163
2,0.1,50,5,mc_ucb_frozen,300,0.01776654697384656,0.0020710214469733604,0.0518846966330776,1.080863944218531
2,0.1,50,5,mean_influence,300,0.0003810925963955904,2.667126534165698e-05,0.0007555370998754135,0.023184541568993352
2,0.1,50,5,occupancy,300,0.0005907036337115128,4.4951231518328736e-05,0.0008677303282674965,0.03593665445162256
2,0.1,50,5,oracle_tail,300,0.0003245798552814582,2.2774382395736474e-05,0.0016347206877175956,0.019746474264798624
2,0.1,50,5,tis,300,0.007205303069455017,0.0013594882503613717,0.01877644359918185,0.43834923614618976
2,0.1,50,5,uniform,300,0.016437357420310512,0.0016490089589695706,0.041087056523023614,1.0
2,0.1,50,5,untied_tis,300,0.005743714718553797,0.0010193258161277482,0.012217349909596397,0.34943054237274684
2,0.1,50,6,adaptive_neyman,300,0.015326682975931727,0.0019047211537918836,0.048154023216580376,1.059445407807449
2,0.1,50,6,answer_entropy,300,0.03036782783358548,0.0022872922466165477,0.061785154829589926,2.0991532084210496
2,0.1,50,6,mc_ucb_frozen,300,0.016394196140731055,0.0013105072417661007,0.028924520007176414,1.1332364506571424
2,0.1,50,6,mean_influence,300,0.00033078414611616716,2.5610374819962472e-05,8.865164891267651e-05,0.022865204762740083
2,0.1,50,6,occupancy,300,0.0006431994414064792,4.716176298271769e-05,-0.0003729173099279485,0.04446067655816346
2,0.1,50,6,oracle_tail,300,0.000322324577365596,2.5077472330963093e-05,0.00042918500416169183,0.02228044344948671
2,0.1,50,6,tis,300,0.010349157853188594,0.001240521378044361,0.012040023400655379,0.715377735642667
2,0.1,50,6,uniform,300,0.014466703865044556,0.0010047140899242777,0.01707694841851809,1.0
2,0.1,50,6,untied_tis,300,0.011641240783046692,0.0013152254533073077,0.02505883107262465,0.8046919942264843
