horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,learned_occupancy-minus-tis,300,-0.0014018043431863803,0.00014242887554231034
2,0.1,50,oracle_tail-minus-tis,300,-0.0013556030366823069,0.00014229825749925004
2,0.1,50,tis_anchored-minus-tis,300,-0.0013916826612370707,0.0001422892000365214
2,0.1,50,uniform-minus-tis,300,0.0008902302634152029,0.00017251237260628468
2,0.1,100,learned_occupancy-minus-tis,300,-0.0005584163611631116,2.7385885982156685e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0005259442795349672,2.729533457746346e-05
2,0.1,100,tis_anchored-minus-tis,300,-0.0005594328354138797,2.730076608555732e-05
2,0.1,100,uniform-minus-tis,300,0.00034425197178575046,3.571597085454582e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0002778103644062768,1.5924491209491856e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.00025979822354633183,1.5987461038455603e-05
2,0.1,200,tis_anchored-minus-tis,300,-0.00027974731080204713,1.5861628390661618e-05
2,0.1,200,uniform-minus-tis,300,0.0002059464621299873,2.118609926472083e-05
2,0.1,400,learned_occupancy-minus-tis,300,-9.039860733355359e-05,6.958038723919686e-06
2,0.1,400,oracle_tail-minus-tis,300,-7.565316396603841e-05,7.096915448584409e-06
2,0.1,400,tis_anchored-minus-tis,300,-9.204787739925242e-05,6.951917890833239e-06
2,0.1,400,uniform-minus-tis,300,0.00015494443012452507,1.1320510870023924e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.000603768702383271,4.562574709120271e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.0006750318067874974,4.601705326151563e-05
2,0.2,50,tis_anchored-minus-tis,300,-0.0006074461502565668,4.459884990807086e-05
2,0.2,50,uniform-minus-tis,300,0.0015024344478196993,0.00010644120754887202
2,0.2,100,learned_occupancy-minus-tis,300,-0.00023725473133510644,2.8371432358908068e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.00027385089049367827,2.817355643141586e-05
2,0.2,100,tis_anchored-minus-tis,300,-0.0002463144532038772,2.8283857971858883e-05
2,0.2,100,uniform-minus-tis,300,0.0010214352407562576,7.986591500040774e-05
2,0.2,200,learned_occupancy-minus-tis,300,-7.533111288307335e-05,6.351629866304344e-06
2,0.2,200,oracle_tail-minus-tis,300,-9.307077106604191e-05,6.204235142951954e-06
2,0.2,200,tis_anchored-minus-tis,300,-8.278417400439494e-05,6.206284411784832e-06
2,0.2,200,uniform-minus-tis,300,0.0006359085740407177,3.7555515913356e-05
2,0.2,400,learned_occupancy-minus-tis,300,-2.991424366605527e-05,4.233586878565101e-06
2,0.2,400,oracle_tail-minus-tis,300,-3.7438677276311175e-05,4.303213186462931e-06
2,0.2,400,tis_anchored-minus-tis,300,-3.286234399116159e-05,4.246841105253517e-06
2,0.2,400,uniform-minus-tis,300,0.0003234525928364281,1.9738406917514983e-05
4,0.1,50,learned_occupancy-minus-tis,300,-0.003249092672749489,0.0003521658286225952
4,0.1,50,oracle_tail-minus-tis,300,-0.003580830170771918,0.0003542475939915254
4,0.1,50,tis_anchored-minus-tis,300,-0.0032671818790326076,0.0003526597575997353
4,0.1,50,uniform-minus-tis,300,0.0020434712679482945,0.0004862647656361738
4,0.1,100,learned_occupancy-minus-tis,300,-0.0019161292841112121,0.0002501370220372033
4,0.1,100,oracle_tail-minus-tis,300,-0.002067503185490963,0.0002500473872595108
4,0.1,100,tis_anchored-minus-tis,300,-0.001937340640954364,0.0002497655838140785
4,0.1,100,uniform-minus-tis,300,0.0003018368150686267,0.000301912056922554
4,0.1,200,learned_occupancy-minus-tis,300,-0.0010900912557636456,0.00012932543409146166
4,0.1,200,oracle_tail-minus-tis,300,-0.0011423862059944344,0.0001296236096374301
4,0.1,200,tis_anchored-minus-tis,300,-0.0011068458724309365,0.0001292558468606411
4,0.1,200,uniform-minus-tis,300,-0.0001571891490903807,0.00013010218392732652
4,0.1,400,learned_occupancy-minus-tis,300,-0.0004937852799416091,6.44400566012643e-05
4,0.1,400,oracle_tail-minus-tis,300,-0.000517167954051374,6.447938616836824e-05
4,0.1,400,tis_anchored-minus-tis,300,-0.0005044684217573204,6.445680767440055e-05
4,0.1,400,uniform-minus-tis,300,-7.623159275244526e-06,6.580888487797025e-05
4,0.2,50,learned_occupancy-minus-tis,300,-0.0016874550656220697,0.00023684210533215857
4,0.2,50,oracle_tail-minus-tis,300,-0.0025371609791406766,0.00022939236488807904
4,0.2,50,tis_anchored-minus-tis,300,-0.0020279696704876243,0.00022040451285719226
4,0.2,50,uniform-minus-tis,300,0.005732228660158048,0.000533547149365046
4,0.2,100,learned_occupancy-minus-tis,300,-0.0006882500640914356,0.00011063926513447493
4,0.2,100,oracle_tail-minus-tis,300,-0.0010378291936112612,0.00010888213522593286
4,0.2,100,tis_anchored-minus-tis,300,-0.0008589075275645861,0.0001093407187423427
4,0.2,100,uniform-minus-tis,300,0.0033281179463461597,0.00029221947253997045
4,0.2,200,learned_occupancy-minus-tis,300,-0.00037807228798197406,5.778965911544023e-05
4,0.2,200,oracle_tail-minus-tis,300,-0.0005074118958998472,5.876991566040024e-05
4,0.2,200,tis_anchored-minus-tis,300,-0.00045070595055232904,5.8652814597392755e-05
4,0.2,200,uniform-minus-tis,300,0.0021876606994117582,0.00014731660911958833
4,0.2,400,learned_occupancy-minus-tis,300,-9.050400104765282e-05,1.3236522240743282e-05
4,0.2,400,oracle_tail-minus-tis,300,-0.0001449962773041255,1.206423786348549e-05
4,0.2,400,tis_anchored-minus-tis,300,-0.00013008083506514027,1.224022110318111e-05
