horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_occupancy,4.01849646952099e-05
2,0.1,50,0,oracle_tail,0.00023182799226126153
2,0.1,50,0,tis,0.0021285354316814523
2,0.1,50,0,tis_anchored,7.433400483371859e-05
2,0.1,50,0,uniform,0.0015394773960301458
2,0.1,50,1,learned_occupancy,6.367188221456682e-05
2,0.1,50,1,oracle_tail,0.0001986193720174509
2,0.1,50,1,tis,0.0006535416443392723
2,0.1,50,1,tis_anchored,9.343346902224351e-05
2,0.1,50,1,uniform,0.0014581135192923793
2,0.1,50,2,learned_occupancy,9.25672074354423e-05
2,0.1,50,2,oracle_tail,7.970382973818013e-05
2,0.1,50,2,tis,0.0013630200009798995
2,0.1,50,2,tis_anchored,5.392415433632072e-05
2,0.1,50,2,uniform,0.0007802286370561606
2,0.1,50,3,learned_occupancy,0.0001439373767536562
2,0.1,50,3,oracle_tail,0.0002872861154816165
2,0.1,50,3,tis,0.000752568295372538
2,0.1,50,3,tis_anchored,0.00019570635009663866
2,0.1,50,3,uniform,0.0019459281704251403
2,0.1,50,4,learned_occupancy,5.861638715989514e-05
2,0.1,50,4,oracle_tail,0.00013774276206103756
2,0.1,50,4,tis,0.0009812320974056056
2,0.1,50,4,tis_anchored,8.83788675870999e-05
2,0.1,50,4,uniform,0.0012276798174488848
2,0.1,50,5,learned_occupancy,5.530279045338385e-05
2,0.1,50,5,oracle_tail,0.00011839436667985749
2,0.1,50,5,tis,0.0008179470866680353
2,0.1,50,5,tis_anchored,0.00014585238108652507
2,0.1,50,5,uniform,0.0022078731993896016
2,0.1,50,6,learned_occupancy,0.0001172546553367026
2,0.1,50,6,oracle_tail,5.14496898162655e-05
2,0.1,50,6,tis,0.000742204497613803
2,0.1,50,6,tis_anchored,9.653009932782225e-05
2,0.1,50,6,uniform,0.0006150516624556651
2,0.1,50,7,learned_occupancy,0.00015194057386542947
2,0.1,50,7,oracle_tail,3.8875436872335186e-05
2,0.1,50,7,tis,0.002435219667181969
2,0.1,50,7,tis_anchored,0.00013726799923482102
2,0.1,50,7,uniform,0.001650856605644406
2,0.1,50,8,learned_occupancy,8.404389734200667e-05
2,0.1,50,8,oracle_tail,0.00011709289620272336
2,0.1,50,8,tis,0.0012973006106606149
2,0.1,50,8,tis_anchored,7.186786487583559e-05
2,0.1,50,8,uniform,0.0020819201892307844
2,0.1,50,9,learned_occupancy,6.342312102321346e-05
2,0.1,50,9,oracle_tail,0.00021288896578555152
2,0.1,50,9,tis,0.0026191877296292566
