horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,learned_occupancy,300,1.6119467690354895e-05,1.239866709489348e-06,0.00029614061182572297,0.045289646823908326
2,0.1,50,0,oracle_tail,300,5.2862916936375676e-06,4.616836969643863e-07,0.00019459516422405546,0.014852493172355779
2,0.1,50,0,tis,300,0.00020291269426267618,2.9062692313198506e-05,-0.00012279124045850188,0.5701084201895233
2,0.1,50,0,tis_anchored,300,1.9676616973806398e-05,1.7818809010593009e-06,0.00023008871127618846,0.055283899602108486
2,0.1,50,0,uniform,300,0.00035591948316641444,3.0252322228681286e-05,-0.0006295963872672365,1.0
2,0.1,50,1,learned_occupancy,300,2.9719228292790577e-05,3.861747315439035e-06,0.0020075807392489317,0.20888467729833615
2,0.1,50,1,oracle_tail,300,8.16778416735429e-06,8.403844680877431e-07,0.0010127277355542368,0.05740811784315879
2,0.1,50,1,tis,300,0.0002905230988806291,2.9385300612074076e-05,0.008076938866567008,2.041971721456652
2,0.1,50,1,tis_anchored,300,2.803289011915993e-05,3.511022169619165e-06,0.0019281554753005719,0.19703207460810568
2,0.1,50,1,uniform,300,0.00014227576994718752,1.3147075741722445e-05,0.005368252659278829,1.0
2,0.1,50,2,learned_occupancy,300,0.00017002594316504704,1.2913385021233455e-05,-7.12911202863827e-05,0.03406994818667939
2,0.1,50,2,oracle_tail,300,7.186177995267004e-05,5.899671117632144e-06,-0.00015220145970121964,0.01439972673589813
2,0.1,50,2,tis,300,0.005263017895622052,0.0008652682636171513,0.0024196400310425433,1.0546081596227332
2,0.1,50,2,tis_anchored,300,0.00025297214503146927,2.041729524642437e-05,-0.000355605779637142,0.05069078114466884
2,0.1,50,2,uniform,300,0.004990496088618165,0.0007003506469108748,0.0031230714682747504,1.0
2,0.1,50,3,learned_occupancy,300,1.4208882568066284e-05,1.1419598693876847e-06,7.400735710378026e-05,0.06519451848982549
2,0.1,50,3,oracle_tail,300,5.307904161051219e-06,4.261853835522663e-07,0.00014966262739154172,0.024354220278207953
2,0.1,50,3,tis,300,0.00015691852329213052,3.397897561321767e-05,-0.0004244295096071582,0.7199881847962355
2,0.1,50,3,tis_anchored,300,1.4489217124517231e-05,1.1608612131126005e-06,0.00022242541822498446,0.06648077561358787
2,0.1,50,3,uniform,300,0.0002179459699557989,1.749175532870686e-05,-0.0004437999552085007,1.0
2,0.1,50,4,learned_occupancy,300,0.00030481976975050835,3.061246456091771e-05,-0.0016865461740381382,0.18388070201408116
2,0.1,50,4,oracle_tail,300,4.806337884165381e-05,3.8034796815130173e-06,0.00012738345758435575,0.02899394566765071
2,0.1,50,4,tis,300,0.0034893367078115928,0.00023696582335969984,0.014441398660896053,2.104921488265209
2,0.1,50,4,tis_anchored,300,0.00031878442369014966,2.850143734991414e-05,-0.0014383079705349872,0.1923047959365544
2,0.1,50,4,uniform,300,0.0016577039700836358,0.0001169808648086874,0.001579582495919079,1.0
2,0.1,50,5,learned_occupancy,300,0.0006460833326149576,7.155843399411103e-05,0.00149755821218335,0.39996679402951507
2,0.1,50,5,oracle_tail,300,7.033735983814371e-05,5.471847877325382e-06,0.0002931664552279587,0.043543312286201216
2,0.1,50,5,tis,300,0.0018015958063492081,0.000193599062701781,0.0034668611804236993,1.1153027209137907
2,0.1,50,5,tis_anchored,300,0.0005004568412471219,6.0357259698572866e-05,0.0004215720609092224,0.3098147069258032
2,0.1,50,5,uniform,300,0.0016153424290699509,0.0001552534841516702,0.0031340052873377487,1.0
2,0.1,50,6,learned_occupancy,300,1.6367529482564167e-06,1.409900716830187e-07,2.7160191540567997e-05,0.05957505892289194
2,0.1,50,6,oracle_tail,300,4.0422487773791405e-07,3.4069869095510067e-08,1.1532287971132889e-05,0.014713106785595557
2,0.1,50,6,tis,300,1.8976473269089072e-05,1.2602728182336776e-05,0.0005314772358731146,0.6907117621868216
2,0.1,50,6,tis_anchored,300,1.2307358204088533e-06,1.185212103284122e-07,-4.878494742321197e-06,0.044796717242805636
2,0.1,50,6,uniform,300,2.7473794870683515e-05,3.6209070638858383e-06,0.00024885467337646777,1.0
2,0.1,50,7,learned_occupancy,300,5.2847882283623565e-05,7.128574022304905e-06,-0.00024207659000959538,0.2169114137061514
2,0.1,50,7,oracle_tail,300,8.040325140194639e-06,6.74614417839527e-07,-0.0002057949951827475,0.03300110084746328
2,0.1,50,7,tis,300,8.73147311072753e-05,9.41002639639395e-06,-0.00019225303988162635,0.3583788213159968
2,0.1,50,7,tis_anchored,300,5.176533764517096e-05,6.965009718502548e-06,-0.00016520411152188506,0.2124681649366632
2,0.1,50,7,uniform,300,0.00024363808884310842,2.0580687267158327e-05,0.0003520220870559134,1.0
2,0.1,50,8,learned_occupancy,300,0.0011708281042347285,0.00010664970295136017,-0.0006738285839089796,0.45551431616800747
