horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,learned_mean-minus-tis,300,-0.0007622477584881814,0.00012379935518807422
2,0.1,50,learned_occupancy-minus-tis,300,-0.0014018043431863803,0.00014242887554231034
2,0.1,50,mean_influence-minus-tis,300,-0.0014893342635713272,0.00014222336177735048
2,0.1,50,occupancy-minus-tis,300,-0.0014751740294191467,0.0001423161860122891
2,0.1,50,oracle_no_cov-minus-tis,300,-0.0013556030366823069,0.00014229825749925004
2,0.1,50,oracle_tail-minus-tis,300,-0.0013556030366823069,0.00014229825749925004
2,0.1,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,50,uniform-minus-tis,300,0.0008902302634152029,0.00017251237260628468
2,0.1,100,learned_mean-minus-tis,300,-0.00014043457991168545,4.242563856263461e-05
2,0.1,100,learned_occupancy-minus-tis,300,-0.0005584163611631116,2.7385885982156685e-05
2,0.1,100,mean_influence-minus-tis,300,-0.000592639769665711,2.735222022552549e-05
2,0.1,100,occupancy-minus-tis,300,-0.0005849093471019122,2.7385443692450557e-05
2,0.1,100,oracle_no_cov-minus-tis,300,-0.0005259442795349672,2.729533457746346e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0005259442795349672,2.729533457746346e-05
2,0.1,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,100,uniform-minus-tis,300,0.00034425197178575046,3.571597085454582e-05
2,0.1,200,learned_mean-minus-tis,300,-0.00011353674898284377,1.086390585025373e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0002778103644062768,1.5924491209491856e-05
2,0.1,200,mean_influence-minus-tis,300,-0.0002911839298702381,1.586331935965903e-05
2,0.1,200,occupancy-minus-tis,300,-0.00028726345026935837,1.5900323117911215e-05
2,0.1,200,oracle_no_cov-minus-tis,300,-0.00025979822354633183,1.5987461038455603e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.00025979822354633183,1.5987461038455603e-05
2,0.1,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,200,uniform-minus-tis,300,0.0002059464621299873,2.118609926472083e-05
2,0.1,400,learned_mean-minus-tis,300,-3.435087965843522e-05,3.7508125594513606e-06
2,0.1,400,learned_occupancy-minus-tis,300,-9.039860733355359e-05,6.958038723919686e-06
2,0.1,400,mean_influence-minus-tis,300,-9.458405735521388e-05,6.953619407305525e-06
2,0.1,400,occupancy-minus-tis,300,-9.286959797074182e-05,6.9460524453748295e-06
2,0.1,400,oracle_no_cov-minus-tis,300,-7.565316396603841e-05,7.096915448584409e-06
2,0.1,400,oracle_tail-minus-tis,300,-7.565316396603841e-05,7.096915448584409e-06
2,0.1,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,400,uniform-minus-tis,300,0.00015494443012452507,1.1320510870023924e-05
2,0.2,50,learned_mean-minus-tis,300,-0.00021634142757864073,2.038301969939214e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.000603768702383271,4.562574709120271e-05
2,0.2,50,mean_influence-minus-tis,300,-0.0006768423425998266,4.5983589298716355e-05
2,0.2,50,occupancy-minus-tis,300,-0.0006475182508139293,4.531086455275728e-05
2,0.2,50,oracle_no_cov-minus-tis,300,-0.0006750318067874974,4.601705326151563e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.0006750318067874974,4.601705326151563e-05
2,0.2,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,50,uniform-minus-tis,300,0.0015024344478196993,0.00010644120754887202
2,0.2,100,learned_mean-minus-tis,300,-8.84074455665594e-05,9.514035793972967e-06
2,0.2,100,learned_occupancy-minus-tis,300,-0.00023725473133510644,2.8371432358908068e-05
2,0.2,100,mean_influence-minus-tis,300,-0.0002743028372743333,2.8131559251838828e-05
2,0.2,100,occupancy-minus-tis,300,-0.00025671858874255185,2.8330051878707383e-05
2,0.2,100,oracle_no_cov-minus-tis,300,-0.00027385089049367827,2.817355643141586e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.00027385089049367827,2.817355643141586e-05
2,0.2,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,100,uniform-minus-tis,300,0.0010214352407562576,7.986591500040774e-05
2,0.2,200,learned_mean-minus-tis,300,-3.936142956021972e-05,3.7856350977086197e-06
2,0.2,200,learned_occupancy-minus-tis,300,-7.533111288307335e-05,6.351629866304344e-06
2,0.2,200,mean_influence-minus-tis,300,-9.268678214113208e-05,6.2015949486938444e-06
2,0.2,200,occupancy-minus-tis,300,-8.30885527833434e-05,6.2808163869760894e-06
2,0.2,200,oracle_no_cov-minus-tis,300,-9.307077106604191e-05,6.204235142951954e-06
2,0.2,200,oracle_tail-minus-tis,300,-9.307077106604191e-05,6.204235142951954e-06
2,0.2,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,200,uniform-minus-tis,300,0.0006359085740407177,3.7555515913356e-05
2,0.2,400,learned_mean-minus-tis,300,-1.263111129343688e-05,1.4735852203781055e-06
2,0.2,400,learned_occupancy-minus-tis,300,-2.991424366605527e-05,4.233586878565101e-06
2,0.2,400,mean_influence-minus-tis,300,-3.709141905257736e-05,4.299704896708357e-06
2,0.2,400,occupancy-minus-tis,300,-3.2158086515518334e-05,4.219235334802393e-06
2,0.2,400,oracle_no_cov-minus-tis,300,-3.7438677276311175e-05,4.303213186462931e-06
2,0.2,400,oracle_tail-minus-tis,300,-3.7438677276311175e-05,4.303213186462931e-06
2,0.2,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,400,uniform-minus-tis,300,0.0003234525928364281,1.9738406917514983e-05
4,0.1,50,learned_mean-minus-tis,300,-0.0007198212010963156,5.7099178934727004e-05
4,0.1,50,learned_occupancy-minus-tis,300,-0.003249092672749489,0.0003521658286225952
4,0.1,50,mean_influence-minus-tis,300,-0.003663400925179768,0.0003541440604557717
4,0.1,50,occupancy-minus-tis,300,-0.003576325328489142,0.0003540044462000423
4,0.1,50,oracle_no_cov-minus-tis,300,-0.003578608248369943,0.00035421846372698916
4,0.1,50,oracle_tail-minus-tis,300,-0.003580830170771918,0.0003542475939915254
4,0.1,50,tis_no_cov-minus-tis,300,2.7508615500275437e-06,6.682673382613947e-06
4,0.1,50,uniform-minus-tis,300,0.0020434712679482945,0.0004862647656361738
4,0.1,100,learned_mean-minus-tis,300,-0.00024321472187847484,2.443358215800769e-05
4,0.1,100,learned_occupancy-minus-tis,300,-0.0019161292841112121,0.0002501370220372033
4,0.1,100,mean_influence-minus-tis,300,-0.0020762469909994864,0.0002502080786543615
4,0.1,100,occupancy-minus-tis,300,-0.0020340069409933268,0.00025043380290609214
4,0.1,100,oracle_no_cov-minus-tis,300,-0.002065870268417966,0.00024997845255409417
4,0.1,100,oracle_tail-minus-tis,300,-0.002067503185490963,0.0002500473872595108
4,0.1,100,tis_no_cov-minus-tis,300,-6.654695441140123e-07,2.3831642061119497e-06
4,0.1,100,uniform-minus-tis,300,0.0003018368150686267,0.000301912056922554
4,0.1,200,learned_mean-minus-tis,300,-0.00015056051111288712,1.3868135999199658e-05
4,0.1,200,learned_occupancy-minus-tis,300,-0.0010900912557636456,0.00012932543409146166
4,0.1,200,mean_influence-minus-tis,300,-0.0011461084429894926,0.0001295714566233062
4,0.1,200,occupancy-minus-tis,300,-0.0011239880381519358,0.00012947759487216227
4,0.1,200,oracle_no_cov-minus-tis,300,-0.001141732269931607,0.000129631756500753
4,0.1,200,oracle_tail-minus-tis,300,-0.0011423862059944344,0.0001296236096374301
4,0.1,200,tis_no_cov-minus-tis,300,3.5146798697389004e-06,2.45198147053766e-06
4,0.1,200,uniform-minus-tis,300,-0.0001571891490903807,0.00013010218392732652
4,0.1,400,learned_mean-minus-tis,300,-8.971582546336315e-05,2.9043213936388657e-05
4,0.1,400,learned_occupancy-minus-tis,300,-0.0004937852799416091,6.44400566012643e-05
4,0.1,400,mean_influence-minus-tis,300,-0.0005151404698813693,6.448305827979421e-05
4,0.1,400,occupancy-minus-tis,300,-0.0005031997266405809,6.446027506608737e-05
4,0.1,400,oracle_no_cov-minus-tis,300,-0.0005169257902536754,6.447419710142484e-05
4,0.1,400,oracle_tail-minus-tis,300,-0.000517167954051374,6.447938616836824e-05
4,0.1,400,tis_no_cov-minus-tis,300,-2.1390685233505787e-06,3.97790401662089e-06
4,0.1,400,uniform-minus-tis,300,-7.623159275244526e-06,6.580888487797025e-05
4,0.2,50,learned_mean-minus-tis,300,-0.0002410706475378926,2.7280652357846673e-05
4,0.2,50,learned_occupancy-minus-tis,300,-0.0016874550656220697,0.00023684210533215857
4,0.2,50,mean_influence-minus-tis,300,-0.0025251780357655623,0.00022943268369397425
4,0.2,50,occupancy-minus-tis,300,-0.0021623714659250288,0.00023359673888761936
4,0.2,50,oracle_no_cov-minus-tis,300,-0.00253141810122221,0.00022904248619989197
4,0.2,50,oracle_tail-minus-tis,300,-0.0025371609791406766,0.00022939236488807904
4,0.2,50,tis_no_cov-minus-tis,300,-9.140472116299233e-06,9.909996254980326e-06
4,0.2,50,uniform-minus-tis,300,0.005732228660158048,0.000533547149365046
4,0.2,100,learned_mean-minus-tis,300,-9.51873689290483e-05,8.902189655325917e-06
4,0.2,100,learned_occupancy-minus-tis,300,-0.0006882500640914356,0.00011063926513447493
4,0.2,100,mean_influence-minus-tis,300,-0.0010319410937229634,0.00010885903639995883
4,0.2,100,occupancy-minus-tis,300,-0.0008482585278191671,0.00010908986579397797
4,0.2,100,oracle_no_cov-minus-tis,300,-0.0010398599261131087,0.00010897052720842692
4,0.2,100,oracle_tail-minus-tis,300,-0.0010378291936112612,0.00010888213522593286
4,0.2,100,tis_no_cov-minus-tis,300,4.62947706422664e-06,4.280035699342365e-06
4,0.2,100,uniform-minus-tis,300,0.0033281179463461597,0.00029221947253997045
4,0.2,200,learned_mean-minus-tis,300,-3.790035353071542e-05,6.546596614842263e-06
4,0.2,200,learned_occupancy-minus-tis,300,-0.00037807228798197406,5.778965911544023e-05
4,0.2,200,mean_influence-minus-tis,300,-0.0005050124251603977,5.8785324617804446e-05
4,0.2,200,occupancy-minus-tis,300,-0.00043185465864820674,5.865774677399301e-05
4,0.2,200,oracle_no_cov-minus-tis,300,-0.0005106781828003819,5.8582082173051914e-05
4,0.2,200,oracle_tail-minus-tis,300,-0.0005074118958998472,5.876991566040024e-05
4,0.2,200,tis_no_cov-minus-tis,300,-1.6446716120944817e-06,1.9853419426242664e-06
4,0.2,200,uniform-minus-tis,300,0.0021876606994117582,0.00014731660911958833
4,0.2,400,learned_mean-minus-tis,300,-1.6256898954051564e-05,6.9883099720444225e-06
4,0.2,400,learned_occupancy-minus-tis,300,-9.050400104765282e-05,1.3236522240743282e-05
4,0.2,400,mean_influence-minus-tis,300,-0.0001437422459437524,1.2062769411045376e-05
4,0.2,400,occupancy-minus-tis,300,-0.0001014729104510009,1.2797738322888865e-05
4,0.2,400,oracle_no_cov-minus-tis,300,-0.00014504742288781318,1.2055205349057808e-05
4,0.2,400,oracle_tail-minus-tis,300,-0.0001449962773041255,1.206423786348549e-05
4,0.2,400,tis_no_cov-minus-tis,300,-4.001441372750086e-06,3.848421849966488e-06
4,0.2,400,uniform-minus-tis,300,0.0011019721064988712,7.832057933994332e-05
6,0.1,50,learned_mean-minus-tis,300,-0.0009050610839265659,0.00015610729012977651
6,0.1,50,learned_occupancy-minus-tis,300,-0.00627367912419027,0.0005254248347727891
6,0.1,50,mean_influence-minus-tis,300,-0.007646200461059216,0.0005372229193606802
6,0.1,50,occupancy-minus-tis,300,-0.007254378617024281,0.0005365907042626247
6,0.1,50,oracle_no_cov-minus-tis,300,-0.0075690738202160565,0.000536513597810886
6,0.1,50,oracle_tail-minus-tis,300,-0.0075805726030377055,0.000536033995391892
6,0.1,50,tis_no_cov-minus-tis,300,6.532018384978123e-05,4.164822248560192e-05
6,0.1,50,uniform-minus-tis,300,0.006017312249169972,0.0010945520806451639
6,0.1,100,learned_mean-minus-tis,300,-0.00047925239813589887,6.449038323028902e-05
6,0.1,100,learned_occupancy-minus-tis,300,-0.004039583337019238,0.00044891692415442133
6,0.1,100,mean_influence-minus-tis,300,-0.004490740881064905,0.0004495678083137637
6,0.1,100,occupancy-minus-tis,300,-0.00432207286103903,0.0004496729910923145
6,0.1,100,oracle_no_cov-minus-tis,300,-0.004478764509867782,0.00044985412694115634
6,0.1,100,oracle_tail-minus-tis,300,-0.004486925965629402,0.0004499240606924292
6,0.1,100,tis_no_cov-minus-tis,300,1.6302624622175588e-05,2.6389783894778483e-05
6,0.1,100,uniform-minus-tis,300,0.0019617153570745524,0.0008292281326426639
6,0.1,200,learned_mean-minus-tis,300,-0.00020991454496408713,3.834980799213273e-05
6,0.1,200,learned_occupancy-minus-tis,300,-0.0022255923624510507,0.00019806229759218374
6,0.1,200,mean_influence-minus-tis,300,-0.002383674184229608,0.00019752606720174404
6,0.1,200,occupancy-minus-tis,300,-0.002304418313160105,0.00019785165089439548
6,0.1,200,oracle_no_cov-minus-tis,300,-0.0023901447640255246,0.0001963761581848435
6,0.1,200,oracle_tail-minus-tis,300,-0.0023929444439407875,0.00019633978224791203
6,0.1,200,tis_no_cov-minus-tis,300,1.6791812658708768e-05,1.1102504938181643e-05
6,0.1,200,uniform-minus-tis,300,0.0001927056990921272,0.00022619270326998509
6,0.1,400,learned_mean-minus-tis,300,-0.00019789890646324437,3.9736927160060505e-05
6,0.1,400,learned_occupancy-minus-tis,300,-0.0011231146862742058,0.00010649461539547992
6,0.1,400,mean_influence-minus-tis,300,-0.0011863964525168965,0.00010642857645435116
6,0.1,400,occupancy-minus-tis,300,-0.0011459416619883024,0.00010642136901099874
6,0.1,400,oracle_no_cov-minus-tis,300,-0.0011939289253647416,0.00010645073510544394
6,0.1,400,oracle_tail-minus-tis,300,-0.0011948987175310606,0.00010642784657644866
6,0.1,400,tis_no_cov-minus-tis,300,4.997743539961342e-05,3.615133257343494e-05
6,0.1,400,uniform-minus-tis,300,-6.747605474762599e-05,0.00011331612432891901
6,0.2,50,learned_mean-minus-tis,300,-0.00029526996749528123,5.714294087651244e-05
6,0.2,50,learned_occupancy-minus-tis,300,-0.0036165107089468763,0.0005361139676828201
6,0.2,50,mean_influence-minus-tis,300,-0.006781858197277741,0.0005300731713467744
6,0.2,50,occupancy-minus-tis,300,-0.0055103859168816,0.0005294386053454254
6,0.2,50,oracle_no_cov-minus-tis,300,-0.0067765801186404065,0.0005309711649763882
6,0.2,50,oracle_tail-minus-tis,300,-0.006813559883423568,0.0005302016699450938
6,0.2,50,tis_no_cov-minus-tis,300,3.547838946688244e-05,3.517062005314079e-05
6,0.2,50,uniform-minus-tis,300,0.008264038324109078,0.0010463692549765528
6,0.2,100,learned_mean-minus-tis,300,-0.00013746882453317982,2.59103502818972e-05
6,0.2,100,learned_occupancy-minus-tis,300,-0.001194290148610554,0.00018631443806879335
6,0.2,100,mean_influence-minus-tis,300,-0.002294906002343811,0.00018093735614656316
6,0.2,100,occupancy-minus-tis,300,-0.0017291127761856248,0.00018512143586924906
6,0.2,100,oracle_no_cov-minus-tis,300,-0.0022966099753476544,0.00018039559242345352
6,0.2,100,oracle_tail-minus-tis,300,-0.0023081503006078022,0.00018097567147112224
