horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_mean,0.000578670824100239
2,0.1,50,0,learned_occupancy,4.01849646952099e-05
2,0.1,50,0,mean_influence,3.743676397564762e-05
2,0.1,50,0,occupancy,4.2654360674539126e-05
2,0.1,50,0,oracle_no_cov,0.00023182799226126153
2,0.1,50,0,oracle_tail,0.00023182799226126153
2,0.1,50,0,tis,0.0021285354316814523
2,0.1,50,0,tis_no_cov,0.0021285354316814523
2,0.1,50,0,uniform,0.0015394773960301458
2,0.1,50,1,learned_mean,0.00042499735318149754
2,0.1,50,1,learned_occupancy,6.367188221456682e-05
2,0.1,50,1,mean_influence,2.9544562292343672e-05
2,0.1,50,1,occupancy,4.915307958834691e-05
2,0.1,50,1,oracle_no_cov,0.0001986193720174509
2,0.1,50,1,oracle_tail,0.0001986193720174509
2,0.1,50,1,tis,0.0006535416443392723
2,0.1,50,1,tis_no_cov,0.0006535416443392723
2,0.1,50,1,uniform,0.0014581135192923793
2,0.1,50,2,learned_mean,0.00043239546583334306
2,0.1,50,2,learned_occupancy,9.25672074354423e-05
2,0.1,50,2,mean_influence,2.4367294562726274e-05
2,0.1,50,2,occupancy,4.160027243301125e-05
2,0.1,50,2,oracle_no_cov,7.970382973818013e-05
2,0.1,50,2,oracle_tail,7.970382973818013e-05
2,0.1,50,2,tis,0.0013630200009798995
2,0.1,50,2,tis_no_cov,0.0013630200009798995
2,0.1,50,2,uniform,0.0007802286370561606
2,0.1,50,3,learned_mean,0.0005811694716828181
2,0.1,50,3,learned_occupancy,0.0001439373767536562
2,0.1,50,3,mean_influence,7.250210426392875e-05
2,0.1,50,3,occupancy,3.520761616592451e-05
2,0.1,50,3,oracle_no_cov,0.0002872861154816165
2,0.1,50,3,oracle_tail,0.0002872861154816165
2,0.1,50,3,tis,0.000752568295372538
2,0.1,50,3,tis_no_cov,0.000752568295372538
2,0.1,50,3,uniform,0.0019459281704251403
2,0.1,50,4,learned_mean,0.00026870216363909333
2,0.1,50,4,learned_occupancy,5.861638715989514e-05
2,0.1,50,4,mean_influence,1.5926857986756304e-05
2,0.1,50,4,occupancy,4.3520448159769315e-05
2,0.1,50,4,oracle_no_cov,0.00013774276206103756
2,0.1,50,4,oracle_tail,0.00013774276206103756
2,0.1,50,4,tis,0.0009812320974056056
2,0.1,50,4,tis_no_cov,0.0009812320974056056
2,0.1,50,4,uniform,0.0012276798174488848
2,0.1,50,5,learned_mean,0.0007197479445473694
2,0.1,50,5,learned_occupancy,5.530279045338385e-05
2,0.1,50,5,mean_influence,3.3674388925350926e-05
2,0.1,50,5,occupancy,2.9286900353718244e-05
2,0.1,50,5,oracle_no_cov,0.00011839436667985749
2,0.1,50,5,oracle_tail,0.00011839436667985749
2,0.1,50,5,tis,0.0008179470866680353
2,0.1,50,5,tis_no_cov,0.0008179470866680353
2,0.1,50,5,uniform,0.0022078731993896016
2,0.1,50,6,learned_mean,0.0003307627881283289
2,0.1,50,6,learned_occupancy,0.0001172546553367026
2,0.1,50,6,mean_influence,6.600480958995642e-05
2,0.1,50,6,occupancy,4.477320412839512e-05
2,0.1,50,6,oracle_no_cov,5.14496898162655e-05
2,0.1,50,6,oracle_tail,5.14496898162655e-05
2,0.1,50,6,tis,0.000742204497613803
2,0.1,50,6,tis_no_cov,0.000742204497613803
2,0.1,50,6,uniform,0.0006150516624556651
2,0.1,50,7,learned_mean,0.0018410170475562592
2,0.1,50,7,learned_occupancy,0.00015194057386542947
2,0.1,50,7,mean_influence,3.162955319359242e-05
2,0.1,50,7,occupancy,7.004837063027855e-05
2,0.1,50,7,oracle_no_cov,3.8875436872335186e-05
2,0.1,50,7,oracle_tail,3.8875436872335186e-05
2,0.1,50,7,tis,0.002435219667181969
2,0.1,50,7,tis_no_cov,0.002435219667181969
2,0.1,50,7,uniform,0.001650856605644406
2,0.1,50,8,learned_mean,0.0017834615328202249
2,0.1,50,8,learned_occupancy,8.404389734200667e-05
2,0.1,50,8,mean_influence,4.9817427823163066e-05
2,0.1,50,8,occupancy,4.01564707356133e-05
2,0.1,50,8,oracle_no_cov,0.00011709289620272336
2,0.1,50,8,oracle_tail,0.00011709289620272336
2,0.1,50,8,tis,0.0012973006106606149
2,0.1,50,8,tis_no_cov,0.0012973006106606149
2,0.1,50,8,uniform,0.0020819201892307844
2,0.1,50,9,learned_mean,0.000617063623645765
2,0.1,50,9,learned_occupancy,6.342312102321346e-05
2,0.1,50,9,mean_influence,3.237642236771414e-05
2,0.1,50,9,occupancy,1.8273014340838385e-05
2,0.1,50,9,oracle_no_cov,0.00021288896578555152
2,0.1,50,9,oracle_tail,0.00021288896578555152
2,0.1,50,9,tis,0.0026191877296292566
2,0.1,50,9,tis_no_cov,0.0026191877296292566
2,0.1,50,9,uniform,0.0017413340339245513
2,0.1,50,10,learned_mean,0.0004243545771873376
2,0.1,50,10,learned_occupancy,0.00016380134736182457
2,0.1,50,10,mean_influence,9.631201945686142e-05
2,0.1,50,10,occupancy,0.00013394320315359364
2,0.1,50,10,oracle_no_cov,0.00029891165150199413
2,0.1,50,10,oracle_tail,0.00029891165150199413
2,0.1,50,10,tis,0.0018460500679806828
2,0.1,50,10,tis_no_cov,0.0018460500679806828
