horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,learned_mean,300,0.0007733005683912382,7.44370392844678e-05,0.31878448077873306
2,0.1,50,learned_occupancy,300,0.0001337439836930394,3.849037218334803e-06,0.055134456305344644
2,0.1,50,mean_influence,300,4.6214063308092264e-05,1.1877360909785485e-06,0.019051228950981606
2,0.1,50,occupancy,300,6.0374297460273015e-05,1.783467097855279e-06,0.0248886265637872
2,0.1,50,oracle_no_cov,300,0.00017994529019711253,9.681282532373474e-06,0.07418042640703548
2,0.1,50,oracle_tail,300,0.00017994529019711253,9.681282532373474e-06,0.07418042640703548
2,0.1,50,tis,300,0.0015355483268794194,0.00014217571567252095,0.6330125647175902
2,0.1,50,tis_no_cov,300,0.0015355483268794194,0.00014217571567252095,0.6330125647175902
2,0.1,50,uniform,300,0.0024257785902946226,0.00016597565453279231,1.0
2,0.1,100,learned_mean,300,0.0004740264187213612,4.6143567920859146e-05,0.4944403938900409
2,0.1,100,learned_occupancy,300,5.6044637469935034e-05,1.9373515579732055e-06,0.0584582030275995
2,0.1,100,mean_influence,300,2.182122896733557e-05,6.037068711685505e-07,0.02276096145627752
2,0.1,100,occupancy,300,2.9551651531134388e-05,9.093220351517648e-07,0.03082429511538293
2,0.1,100,oracle_no_cov,300,8.851671909807947e-05,5.150314815878583e-06,0.09232869673121505
2,0.1,100,oracle_tail,300,8.851671909807947e-05,5.150314815878583e-06,0.09232869673121505
2,0.1,100,tis,300,0.0006144609986330465,2.7339193359811944e-05,0.6409227971168784
2,0.1,100,tis_no_cov,300,0.0006144609986330465,2.7339193359811944e-05,0.6409227971168784
2,0.1,100,uniform,300,0.0009587129704187971,2.898393137707035e-05,1.0
2,0.1,200,learned_mean,300,0.00018835318501268602,1.3175021371735695e-05,0.3708934342825885
2,0.1,200,learned_occupancy,300,2.4079569589252928e-05,7.423198290726241e-07,0.047415998091049405
2,0.1,200,mean_influence,300,1.0706004125291702e-05,3.068047024358652e-07,0.02108160070245458
2,0.1,200,occupancy,300,1.4626483726171373e-05,4.791416044789976e-07,0.0288015664843295
2,0.1,200,oracle_no_cov,300,4.2091710449197926e-05,2.44457941269598e-06,0.08288439105651364
2,0.1,200,oracle_tail,300,4.2091710449197926e-05,2.44457941269598e-06,0.08288439105651364
2,0.1,200,tis,300,0.00030188993399552974,1.5858787004468792e-05,0.5944629733094484
2,0.1,200,tis_no_cov,300,0.00030188993399552974,1.5858787004468792e-05,0.5944629733094484
2,0.1,200,uniform,300,0.000507836396125517,1.7792635788774935e-05,1.0
2,0.1,400,learned_mean,300,6.555804271467687e-05,6.933635094598996e-06,0.2572382983083759
2,0.1,400,learned_occupancy,300,9.510315039558508e-06,3.092955179849482e-07,0.03731681355710901
2,0.1,400,mean_influence,300,5.3248650178982235e-06,1.565055560892013e-07,0.02089383940102413
2,0.1,400,occupancy,300,7.039324402370275e-06,2.1757892981322204e-07,0.02762107829221332
2,0.1,400,oracle_no_cov,300,2.425575840707369e-05,1.7613377161778468e-06,0.0951753554322915
2,0.1,400,oracle_tail,300,2.425575840707369e-05,1.7613377161778468e-06,0.0951753554322915
2,0.1,400,tis,300,9.990892237311209e-05,6.944022813703251e-06,0.39202514463308213
2,0.1,400,tis_no_cov,300,9.990892237311209e-05,6.944022813703251e-06,0.39202514463308213
2,0.1,400,uniform,300,0.0002548533524976372,8.700195481596078e-06,1.0
2,0.2,50,learned_mean,300,0.0005142661503452995,4.3738062710929176e-05,0.2302984647922336
2,0.2,50,learned_occupancy,300,0.00012683887554066912,5.763625211643511e-06,0.05680093526158771
2,0.2,50,mean_influence,300,5.376523532411345e-05,2.4241907398592116e-06,0.024077126495731203
2,0.2,50,occupancy,300,8.30893271100108e-05,4.6373996959022105e-06,0.03720902972363035
2,0.2,50,oracle_no_cov,300,5.557577113644277e-05,2.6201204072606923e-06,0.02488791992973582
2,0.2,50,oracle_tail,300,5.557577113644277e-05,2.6201204072606923e-06,0.02488791992973582
2,0.2,50,tis,300,0.0007306075779239401,4.5964738548101753e-05,0.3271803976374497
2,0.2,50,tis_no_cov,300,0.0007306075779239401,4.5964738548101753e-05,0.3271803976374497
2,0.2,50,uniform,300,0.002233042025743639,0.00010008622690667912,1.0
2,0.2,100,learned_mean,300,0.00021188859442714198,2.7554016409682513e-05,0.16031140180545242
2,0.2,100,learned_occupancy,300,6.304130865859496e-05,2.772884237066756e-06,0.047696010207782094
2,0.2,100,mean_influence,300,2.5993202719368144e-05,1.1999415765547316e-06,0.019666026746843295
2,0.2,100,occupancy,300,4.357745125114951e-05,2.1455188492921494e-06,0.03296997800220281
2,0.2,100,oracle_no_cov,300,2.6445149500023087e-05,1.3457014954988193e-06,0.020007962197140353
2,0.2,100,oracle_tail,300,2.6445149500023087e-05,1.3457014954988193e-06,0.020007962197140353
2,0.2,100,tis,300,0.0003002960399937014,2.818130774038624e-05,0.22719901115097418
2,0.2,100,tis_no_cov,300,0.0003002960399937014,2.818130774038624e-05,0.22719901115097418
2,0.2,100,uniform,300,0.0013217312807499593,7.924124066312785e-05,1.0
2,0.2,200,learned_mean,300,6.667231277806769e-05,5.355499134621236e-06,0.08986185489925552
2,0.2,200,learned_occupancy,300,3.070262945521405e-05,1.8119092655185451e-06,0.04138142383501722
2,0.2,200,mean_influence,300,1.3346960197155316e-05,6.337158309078152e-07,0.017989215472025068
2,0.2,200,occupancy,300,2.2945189554943995e-05,1.3038079179934842e-06,0.030925840255245588
2,0.2,200,oracle_no_cov,300,1.296297127224549e-05,6.682974136959672e-07,0.0174716699480228
2,0.2,200,oracle_tail,300,1.296297127224549e-05,6.682974136959672e-07,0.0174716699480228
2,0.2,200,tis,300,0.0001060337423382874,6.233384949143312e-06,0.1429137279239945
2,0.2,200,tis_no_cov,300,0.0001060337423382874,6.233384949143312e-06,0.1429137279239945
2,0.2,200,uniform,300,0.0007419423163790051,3.6880514299431e-05,1.0
2,0.2,400,learned_mean,300,3.0293800975404034e-05,4.1806694741919526e-06,0.08268466418728382
2,0.2,400,learned_occupancy,300,1.301066860278564e-05,6.704125760437648e-07,0.035511646925613954
2,0.2,400,mean_influence,300,5.833493216263557e-06,2.5364762200230605e-07,0.01592208346576151
2,0.2,400,occupancy,300,1.0766825753322575e-05,5.412116348884686e-07,0.029387245677730697
2,0.2,400,oracle_no_cov,300,5.4862349925297335e-06,2.553385315631582e-07,0.014974268114395851
2,0.2,400,oracle_tail,300,5.4862349925297335e-06,2.553385315631582e-07,0.014974268114395851
2,0.2,400,tis,300,4.292491226884092e-05,4.321560420248266e-06,0.11716033782288997
2,0.2,400,tis_no_cov,300,4.292491226884092e-05,4.321560420248266e-06,0.11716033782288997
2,0.2,400,uniform,300,0.00036637750510526906,1.9221808645654115e-05,1.0
4,0.1,50,learned_mean,300,0.003107836056998674,0.00034942540484905277,0.5293421943009534
4,0.1,50,learned_occupancy,300,0.0005785645853455003,3.478065665267379e-05,0.09854401632992542
4,0.1,50,mean_influence,300,0.0001642563329152213,3.7246694393539673e-06,0.027976960849453277
4,0.1,50,occupancy,300,0.0002513319296058472,6.094321804091554e-06,0.04280811235710194
4,0.1,50,oracle_no_cov,300,0.000249049009725046,1.8279751096782127e-05,0.042419274015261084
