horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,learned_mean,300,0.00020194901152226178,5.016062907077653e-05,0.002081648812517658,0.5674008338224016
2,0.1,50,0,learned_occupancy,300,1.6119467690354895e-05,1.239866709489348e-06,0.00029614061182572297,0.045289646823908326
2,0.1,50,0,mean_influence,300,1.686225847605633e-05,1.2882281113763253e-06,0.00036742193270803786,0.04737660980523558
2,0.1,50,0,occupancy,300,1.1332482930031352e-05,9.073845711923937e-07,0.00016771319377238673,0.031840018504220836
2,0.1,50,0,oracle_no_cov,300,5.2862916936375676e-06,4.616836969643863e-07,0.00019459516422405546,0.014852493172355779
2,0.1,50,0,oracle_tail,300,5.2862916936375676e-06,4.616836969643863e-07,0.00019459516422405546,0.014852493172355779
2,0.1,50,0,tis,300,0.00020291269426267618,2.9062692313198506e-05,-0.00012279124045850188,0.5701084201895233
2,0.1,50,0,tis_no_cov,300,0.00020291269426267618,2.9062692313198506e-05,-0.00012279124045850188,0.5701084201895233
2,0.1,50,0,uniform,300,0.00035591948316641444,3.0252322228681286e-05,-0.0006295963872672365,1.0
2,0.1,50,1,learned_mean,300,5.4931325092543034e-05,7.2827001560041165e-06,0.0033314090034217967,0.38609051360560853
2,0.1,50,1,learned_occupancy,300,2.9719228292790577e-05,3.861747315439035e-06,0.0020075807392489317,0.20888467729833615
2,0.1,50,1,mean_influence,300,1.4201824043038185e-05,1.5960977310568088e-06,0.0018688569036891325,0.09981899270908795
2,0.1,50,1,occupancy,300,1.060042518858352e-05,9.902156558770033e-07,0.0014493719492268342,0.07450618747323157
2,0.1,50,1,oracle_no_cov,300,8.16778416735429e-06,8.403844680877431e-07,0.0010127277355542368,0.05740811784315879
2,0.1,50,1,oracle_tail,300,8.16778416735429e-06,8.403844680877431e-07,0.0010127277355542368,0.05740811784315879
2,0.1,50,1,tis,300,0.0002905230988806291,2.9385300612074076e-05,0.008076938866567008,2.041971721456652
2,0.1,50,1,tis_no_cov,300,0.0002905230988806291,2.9385300612074076e-05,0.008076938866567008,2.041971721456652
2,0.1,50,1,uniform,300,0.00014227576994718752,1.3147075741722445e-05,0.005368252659278829,1.0
2,0.1,50,2,learned_mean,300,0.00018727619038425968,2.8714386075698036e-05,0.000309422049811538,0.03752656791203201
2,0.1,50,2,learned_occupancy,300,0.00017002594316504704,1.2913385021233455e-05,-7.12911202863827e-05,0.03406994818667939
2,0.1,50,2,mean_influence,300,0.00010559417161951613,8.613317966222083e-06,-0.0004113364517033267,0.02115905307697665
2,0.1,50,2,occupancy,300,0.00012495652593032787,1.0240439529510776e-05,9.152203196603906e-05,0.02503889868089797
2,0.1,50,2,oracle_no_cov,300,7.186177995267004e-05,5.899671117632144e-06,-0.00015220145970121964,0.01439972673589813
2,0.1,50,2,oracle_tail,300,7.186177995267004e-05,5.899671117632144e-06,-0.00015220145970121964,0.01439972673589813
2,0.1,50,2,tis,300,0.005263017895622052,0.0008652682636171513,0.0024196400310425433,1.0546081596227332
2,0.1,50,2,tis_no_cov,300,0.005263017895622052,0.0008652682636171513,0.0024196400310425433,1.0546081596227332
2,0.1,50,2,uniform,300,0.004990496088618165,0.0007003506469108748,0.0031230714682747504,1.0
2,0.1,50,3,learned_mean,300,0.00011809671688213845,3.451569807569502e-05,-0.0008800446156585314,0.5418623565560279
2,0.1,50,3,learned_occupancy,300,1.4208882568066284e-05,1.1419598693876847e-06,7.400735710378026e-05,0.06519451848982549
2,0.1,50,3,mean_influence,300,6.292554196054825e-06,5.049425000370191e-07,9.889558341390048e-05,0.02887208328436173
2,0.1,50,3,occupancy,300,9.832818076791374e-06,8.316059400836545e-07,-3.562786843215019e-05,0.04511585178099666
2,0.1,50,3,oracle_no_cov,300,5.307904161051219e-06,4.261853835522663e-07,0.00014966262739154172,0.024354220278207953
2,0.1,50,3,oracle_tail,300,5.307904161051219e-06,4.261853835522663e-07,0.00014966262739154172,0.024354220278207953
2,0.1,50,3,tis,300,0.00015691852329213052,3.397897561321767e-05,-0.0004244295096071582,0.7199881847962355
2,0.1,50,3,tis_no_cov,300,0.00015691852329213052,3.397897561321767e-05,-0.0004244295096071582,0.7199881847962355
2,0.1,50,3,uniform,300,0.0002179459699557989,1.749175532870686e-05,-0.0004437999552085007,1.0
2,0.1,50,4,learned_mean,300,0.002351848024604221,0.00020180092456251905,0.008597477691862077,1.418738247025833
2,0.1,50,4,learned_occupancy,300,0.00030481976975050835,3.061246456091771e-05,-0.0016865461740381382,0.18388070201408116
2,0.1,50,4,mean_influence,300,6.257477259572573e-05,4.88621462037548e-06,-6.818221280118655e-05,0.037747857111404916
2,0.1,50,4,occupancy,300,9.880266334777484e-05,7.938324651657377e-06,-0.00025949152576595246,0.059602115414364346
2,0.1,50,4,oracle_no_cov,300,4.806337884165381e-05,3.8034796815130173e-06,0.00012738345758435575,0.02899394566765071
2,0.1,50,4,oracle_tail,300,4.806337884165381e-05,3.8034796815130173e-06,0.00012738345758435575,0.02899394566765071
2,0.1,50,4,tis,300,0.0034893367078115928,0.00023696582335969984,0.014441398660896053,2.104921488265209
2,0.1,50,4,tis_no_cov,300,0.0034893367078115928,0.00023696582335969984,0.014441398660896053,2.104921488265209
2,0.1,50,4,uniform,300,0.0016577039700836358,0.0001169808648086874,0.001579582495919079,1.0
2,0.1,50,5,learned_mean,300,0.0020700152396179177,0.00019679104097276352,0.0013463359520095965,1.2814714715379258
2,0.1,50,5,learned_occupancy,300,0.0006460833326149576,7.155843399411103e-05,0.00149755821218335,0.39996679402951507
2,0.1,50,5,mean_influence,300,0.00013950312962382827,1.232808672310919e-05,0.00040479505791555387,0.08636133559876129
2,0.1,50,5,occupancy,300,0.00013752194269345543,1.1054451733127433e-05,-4.804532676588276e-05,0.08513485451665813
