horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,learned_mean-minus-tis,300,-0.000865657245564846,9.76850361307092e-05
2,0.1,50,learned_occupancy-minus-tis,300,-0.0017662109537807172,0.00010379685851710335
2,0.1,50,oracle_no_cov-minus-tis,300,-0.0013964268685122984,0.00010367497803519584
2,0.1,50,oracle_tail-minus-tis,300,-0.0013964268685122984,0.00010367497803519584
2,0.1,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,50,uniform-minus-tis,300,0.0007394252631343959,0.00013208954661088386
2,0.1,100,learned_mean-minus-tis,300,-0.00028863795639636077,4.091056883870438e-05
2,0.1,100,learned_occupancy-minus-tis,300,-0.0008343924478099088,3.724092662514244e-05
2,0.1,100,oracle_no_cov-minus-tis,300,-0.0006438857534008689,3.89133513623738e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0006438857534008689,3.89133513623738e-05
2,0.1,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,100,uniform-minus-tis,300,0.00027614071971645925,4.33547102055854e-05
2,0.1,200,learned_mean-minus-tis,300,-0.00021884347734213878,2.130078199622183e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0004377674542147809,2.383436441498989e-05
2,0.1,200,oracle_no_cov-minus-tis,300,-0.0003148298768597192,2.7011810183396533e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.0003148298768597192,2.7011810183396533e-05
2,0.1,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,200,uniform-minus-tis,300,0.00013780850023680037,2.766454356499285e-05
2,0.1,400,learned_mean-minus-tis,300,-0.00012359417169309904,1.23871734044468e-05
2,0.1,400,learned_occupancy-minus-tis,300,-0.0002045406766845791,1.4582874591825784e-05
2,0.1,400,oracle_no_cov-minus-tis,300,-0.00015798735574354774,1.4979105772891639e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.00015798735574354774,1.4979105772891639e-05
2,0.1,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,400,uniform-minus-tis,300,8.4135684672561e-05,1.65736777483908e-05
2,0.2,50,learned_mean-minus-tis,300,-0.0002908041990755986,2.3473032430593174e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.0007941912973747738,3.5976273583996104e-05
2,0.2,50,oracle_no_cov-minus-tis,300,-0.0007994749142454109,3.734715800013346e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.0007994749142454109,3.734715800013346e-05
2,0.2,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,50,uniform-minus-tis,300,0.00121172945575258,7.433171758038242e-05
2,0.2,100,learned_mean-minus-tis,300,-0.0001487573843313211,1.7454510830280957e-05
2,0.2,100,learned_occupancy-minus-tis,300,-0.00036419677520635354,2.6140092244335495e-05
2,0.2,100,oracle_no_cov-minus-tis,300,-0.0003707871239329236,2.664475570725063e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.0003707871239329236,2.664475570725063e-05
2,0.2,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,100,uniform-minus-tis,300,0.0007704918660562645,5.46662402820425e-05
2,0.2,200,learned_mean-minus-tis,300,-6.631794446039915e-05,6.078515608951956e-06
2,0.2,200,learned_occupancy-minus-tis,300,-0.00012810073327140705,8.257134709449268e-06
2,0.2,200,oracle_no_cov-minus-tis,300,-0.00013660735046655854,7.980985596807605e-06
2,0.2,200,oracle_tail-minus-tis,300,-0.00013660735046655854,7.980985596807605e-06
2,0.2,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,200,uniform-minus-tis,300,0.0005064936293022766,2.570006527426726e-05
2,0.2,400,learned_mean-minus-tis,300,-2.438542659827423e-05,2.7884900700779993e-06
2,0.2,400,learned_occupancy-minus-tis,300,-5.2807240344592025e-05,6.422489995295611e-06
2,0.2,400,oracle_no_cov-minus-tis,300,-5.734269112078409e-05,6.504822981365984e-06
2,0.2,400,oracle_tail-minus-tis,300,-5.734269112078409e-05,6.504822981365984e-06
2,0.2,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,400,uniform-minus-tis,300,0.00026513147822090894,1.4075336984361578e-05
4,0.1,50,learned_mean-minus-tis,300,-0.002332304874776037,0.00019479450098883387
4,0.1,50,learned_occupancy-minus-tis,300,-0.00627417215693918,0.00031404188945637665
4,0.1,50,oracle_no_cov-minus-tis,300,-0.006433591536268913,0.00031802836754703023
4,0.1,50,oracle_tail-minus-tis,300,-0.006437604032877832,0.0003179462476478904
4,0.1,50,tis_no_cov-minus-tis,300,-6.83723697867791e-07,6.641805151811622e-06
4,0.1,50,uniform-minus-tis,300,0.001032014085183523,0.0003819683266181745
4,0.1,100,learned_mean-minus-tis,300,-0.0008358625401714164,7.301505472925481e-05
4,0.1,100,learned_occupancy-minus-tis,300,-0.0033364480253037687,0.00021004452861288174
4,0.1,100,oracle_no_cov-minus-tis,300,-0.0034134209253589313,0.00020849485140607868
4,0.1,100,oracle_tail-minus-tis,300,-0.0034151088638998592,0.00020859340633246968
4,0.1,100,tis_no_cov-minus-tis,300,-1.4850763020337015e-06,3.6009122107050924e-06
4,0.1,100,uniform-minus-tis,300,-1.7036252397463502e-05,0.0002573705704048619
4,0.1,200,learned_mean-minus-tis,300,-0.0005023540229044281,3.992701739206858e-05
4,0.1,200,learned_occupancy-minus-tis,300,-0.001848344405400854,0.00010878762062465517
4,0.1,200,oracle_no_cov-minus-tis,300,-0.0018462662920891116,0.00010869657862361627
4,0.1,200,oracle_tail-minus-tis,300,-0.001847093557359556,0.00010868634837368166
4,0.1,200,tis_no_cov-minus-tis,300,3.0121056119240897e-06,2.577183329414235e-06
4,0.1,200,uniform-minus-tis,300,-0.00018831046960652504,0.00011596852126848778
4,0.1,400,learned_mean-minus-tis,300,-0.0002981945577128827,2.317649467214559e-05
4,0.1,400,learned_occupancy-minus-tis,300,-0.0009003307791246359,5.871995236775469e-05
4,0.1,400,oracle_no_cov-minus-tis,300,-0.0009114101723251786,5.8709863738159585e-05
4,0.1,400,oracle_tail-minus-tis,300,-0.0009115328955778737,5.869097674883028e-05
4,0.1,400,tis_no_cov-minus-tis,300,-6.176045497720292e-07,2.236781861143204e-06
4,0.1,400,uniform-minus-tis,300,-2.204516661597584e-05,6.206566044192899e-05
4,0.2,50,learned_mean-minus-tis,300,-0.0005771259788842697,5.691303614452365e-05
4,0.2,50,learned_occupancy-minus-tis,300,-0.0030477254844706093,0.0001900040539650939
4,0.2,50,oracle_no_cov-minus-tis,300,-0.0037088446299799985,0.00018822452364674678
4,0.2,50,oracle_tail-minus-tis,300,-0.0037116837258224693,0.0001881395058841611
4,0.2,50,tis_no_cov-minus-tis,300,2.0753477042465083e-07,6.298567177851475e-06
4,0.2,50,uniform-minus-tis,300,0.0035923311700192338,0.0003584439838638149
4,0.2,100,learned_mean-minus-tis,300,-0.00018484732340711064,2.3304170646428644e-05
4,0.2,100,learned_occupancy-minus-tis,300,-0.0013910280470538772,0.00010028363328560229
4,0.2,100,oracle_no_cov-minus-tis,300,-0.0016642479948512385,0.00010030636991950976
4,0.2,100,oracle_tail-minus-tis,300,-0.001663881880886733,0.00010022594249008821
4,0.2,100,tis_no_cov-minus-tis,300,1.0236854022767227e-06,2.742294767786651e-06
4,0.2,100,uniform-minus-tis,300,0.002083422782486928,0.0001961113059129756
4,0.2,200,learned_mean-minus-tis,300,-8.213050117785966e-05,1.1921808087473552e-05
4,0.2,200,learned_occupancy-minus-tis,300,-0.000723148069679343,5.777941427355048e-05
4,0.2,200,oracle_no_cov-minus-tis,300,-0.0008296769684849528,5.827516526500848e-05
4,0.2,200,oracle_tail-minus-tis,300,-0.0008276551296799586,5.843695248715418e-05
4,0.2,200,tis_no_cov-minus-tis,300,-7.717567574567047e-07,1.6042527332709531e-06
4,0.2,200,uniform-minus-tis,300,0.0014244440936565792,0.00010741381486251387
4,0.2,400,learned_mean-minus-tis,300,-2.0002548663386245e-05,3.4325122742964734e-06
4,0.2,400,learned_occupancy-minus-tis,300,-0.0002454644113339678,2.2503296394991414e-05
4,0.2,400,oracle_no_cov-minus-tis,300,-0.00029015010860539077,2.203558075183695e-05
4,0.2,400,oracle_tail-minus-tis,300,-0.00029017363432568845,2.2049112325397805e-05
4,0.2,400,tis_no_cov-minus-tis,300,-1.4100923699590283e-06,8.624065385452204e-07
4,0.2,400,uniform-minus-tis,300,0.0007623952668229217,5.295785536452731e-05
6,0.1,50,learned_mean-minus-tis,300,-0.0029660781197417313,0.00030656132196722773
6,0.1,50,learned_occupancy-minus-tis,300,-0.0130634689138725,0.0006640410897397668
6,0.1,50,oracle_no_cov-minus-tis,300,-0.013774758172797481,0.0006804149678926264
6,0.1,50,oracle_tail-minus-tis,300,-0.013805814803262024,0.0006808696071330195
6,0.1,50,tis_no_cov-minus-tis,300,6.24530922112732e-05,6.099528954075293e-05
6,0.1,50,uniform-minus-tis,300,0.0034344922504348546,0.0009822500677953267
6,0.1,100,learned_mean-minus-tis,300,-0.0015328261704765538,0.0001539939806044708
6,0.1,100,learned_occupancy-minus-tis,300,-0.007175426656379887,0.0004340070554179788
6,0.1,100,oracle_no_cov-minus-tis,300,-0.007297241536614198,0.00043956483050244864
6,0.1,100,oracle_tail-minus-tis,300,-0.007305572332455128,0.00043958368624821484
6,0.1,100,tis_no_cov-minus-tis,300,2.574556026534801e-05,4.7032248176604856e-05
6,0.1,100,uniform-minus-tis,300,0.0014236758423364492,0.0006319146989369236
