horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_mean,0.0008861611628099424
2,0.1,50,0,learned_occupancy,9.878044825287267e-05
2,0.1,50,0,oracle_no_cov,0.00024347002341433395
2,0.1,50,0,oracle_tail,0.00024347002341433395
2,0.1,50,0,tis,0.0015704975602818963
2,0.1,50,0,tis_no_cov,0.0015704975602818963
2,0.1,50,0,uniform,0.001468601144665593
2,0.1,50,1,learned_mean,0.0010188862451247177
2,0.1,50,1,learned_occupancy,0.00012126148634652629
2,0.1,50,1,oracle_no_cov,0.0002871049426482579
2,0.1,50,1,oracle_tail,0.0002871049426482579
2,0.1,50,1,tis,0.0018007271126418904
2,0.1,50,1,tis_no_cov,0.0018007271126418904
2,0.1,50,1,uniform,0.001823755042432594
2,0.1,50,2,learned_mean,0.0008489074471127443
2,0.1,50,2,learned_occupancy,6.152597888560915e-05
2,0.1,50,2,oracle_no_cov,5.8223141564924085e-05
2,0.1,50,2,oracle_tail,5.8223141564924085e-05
2,0.1,50,2,tis,0.0027327594686269367
2,0.1,50,2,tis_no_cov,0.0027327594686269367
2,0.1,50,2,uniform,0.0012971921288906186
2,0.1,50,3,learned_mean,0.0005396089854243027
2,0.1,50,3,learned_occupancy,0.0001431654263329391
2,0.1,50,3,oracle_no_cov,0.0008499002028778006
2,0.1,50,3,oracle_tail,0.0008499002028778006
2,0.1,50,3,tis,0.0008016126145734509
2,0.1,50,3,tis_no_cov,0.0008016126145734509
2,0.1,50,3,uniform,0.004643078327466413
2,0.1,50,4,learned_mean,0.0004087725958922742
2,0.1,50,4,learned_occupancy,0.00011823692878238878
2,0.1,50,4,oracle_no_cov,0.0002391900022793018
2,0.1,50,4,oracle_tail,0.0002391900022793018
2,0.1,50,4,tis,0.001823884112162438
2,0.1,50,4,tis_no_cov,0.001823884112162438
2,0.1,50,4,uniform,0.0012904282180003816
2,0.1,50,5,learned_mean,0.0011878267996835357
2,0.1,50,5,learned_occupancy,6.537251321185336e-05
2,0.1,50,5,oracle_no_cov,0.0016779235174330027
2,0.1,50,5,oracle_tail,0.0016779235174330027
2,0.1,50,5,tis,0.0013246435568142706
2,0.1,50,5,tis_no_cov,0.0013246435568142706
2,0.1,50,5,uniform,0.0028633762009606916
2,0.1,50,6,learned_mean,0.0039486521847001904
2,0.1,50,6,learned_occupancy,0.00011531929831527328
2,0.1,50,6,oracle_no_cov,3.7265021915861835e-05
2,0.1,50,6,oracle_tail,3.7265021915861835e-05
2,0.1,50,6,tis,0.0009968289094232287
2,0.1,50,6,tis_no_cov,0.0009968289094232287
2,0.1,50,6,uniform,0.0009118445920579285
