horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,learned_mean,300,0.0010521132485498401,6.336755596549289e-05,0.39594871611531657
2,0.1,50,learned_occupancy,300,0.00015155954033396844,4.028699110600942e-06,0.05703740114761951
2,0.1,50,oracle_no_cov,300,0.0005213436256023873,3.4463844690479345e-05,0.19620068419126163
2,0.1,50,oracle_tail,300,0.0005213436256023873,3.4463844690479345e-05,0.19620068419126163
2,0.1,50,tis,300,0.0019177704941146856,0.00010371937386517618,0.7217272151977612
2,0.1,50,tis_no_cov,300,0.0019177704941146856,0.00010371937386517618,0.7217272151977612
2,0.1,50,uniform,300,0.0026571957572490814,0.00012447649192176766,1.0
2,0.1,100,learned_mean,300,0.000608034128440958,4.2814683638067306e-05,0.5184409021457587
2,0.1,100,learned_occupancy,300,6.227963702740994e-05,1.96628274966729e-06,0.05310279422734097
2,0.1,100,oracle_no_cov,300,0.0002527863314364499,2.1172378715720293e-05,0.21553851599755336
2,0.1,100,oracle_tail,300,0.0002527863314364499,2.1172378715720293e-05,0.21553851599755336
2,0.1,100,tis,300,0.0008966720848373189,3.72652791129435e-05,0.7645483416924981
2,0.1,100,tis_no_cov,300,0.0008966720848373189,3.72652791129435e-05,0.7645483416924981
2,0.1,100,uniform,300,0.001172812804553778,3.2699090475864966e-05,1.0
2,0.1,200,learned_mean,300,0.000245980767017189,1.6011204689841092e-05,0.408176902471571
2,0.1,200,learned_occupancy,300,2.705679014454697e-05,8.1624439301676e-07,0.04489764352695415
2,0.1,200,oracle_no_cov,300,0.0001499943674996086,1.287238816095534e-05,0.24889846900060444
2,0.1,200,oracle_tail,300,0.0001499943674996086,1.287238816095534e-05,0.24889846900060444
2,0.1,200,tis,300,0.0004648242443593278,2.373917306764692e-05,0.7713225816676179
2,0.1,200,tis_no_cov,300,0.0004648242443593278,2.373917306764692e-05,0.7713225816676179
2,0.1,200,uniform,300,0.0006026327445961282,1.8126798867638696e-05,1.0
2,0.1,400,learned_mean,300,9.182008264103938e-05,9.791808050229217e-06,0.3065267946490412
2,0.1,400,learned_occupancy,300,1.087357764955928e-05,2.7865698982312943e-07,0.036299715785674355
2,0.1,400,oracle_no_cov,300,5.742689859059069e-05,6.2129706825545675e-06,0.19171060017911182
2,0.1,400,oracle_tail,300,5.742689859059069e-05,6.2129706825545675e-06,0.19171060017911182
2,0.1,400,tis,300,0.00021541425433413845,1.4592262766601125e-05,0.7191263501786949
2,0.1,400,tis_no_cov,300,0.00021541425433413845,1.4592262766601125e-05,0.7191263501786949
2,0.1,400,uniform,300,0.00029954993900669946,8.556153452255621e-06,1.0
2,0.2,50,learned_mean,300,0.0006194669423853341,3.5222338116008366e-05,0.29192590388465584
2,0.2,50,learned_occupancy,300,0.00011607984408615893,3.9907584523395455e-06,0.054703021402815924
