horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,learned_mean,300,0.00047652222424185875,0.00014334538244094156,0.0031064402540544513,0.5493939630371835
2,0.1,50,0,learned_occupancy,300,3.8940211896133984e-05,2.965107434247163e-06,0.0004515006506102156,0.04489510928721438
2,0.1,50,0,oracle_no_cov,300,1.2428658510485096e-05,1.0720821349379072e-06,0.00030073428841201675,0.014329300097544994
2,0.1,50,0,oracle_tail,300,1.2428658510485096e-05,1.0720821349379072e-06,0.00030073428841201675,0.014329300097544994
2,0.1,50,0,tis,300,0.0007780617542550316,0.00014727340614895904,0.003366367308141573,0.8970461584198359
2,0.1,50,0,tis_no_cov,300,0.0007780617542550316,0.00014727340614895904,0.003366367308141573,0.8970461584198359
2,0.1,50,0,uniform,300,0.0008673597751375497,8.014288357268819e-05,-0.0009742910188436198,1.0
2,0.1,50,1,learned_mean,300,9.482647591234754e-05,1.2534940994521269e-05,0.004128419894410023,0.38048447780987465
2,0.1,50,1,learned_occupancy,300,5.3009086668400125e-05,6.53459223120148e-06,0.0024797517915902375,0.21269518313480157
2,0.1,50,1,oracle_no_cov,300,1.489191569748577e-05,1.5086424768732653e-06,0.0012394927024783524,0.05975275062403483
2,0.1,50,1,oracle_tail,300,1.489191569748577e-05,1.5086424768732653e-06,0.0012394927024783524,0.05975275062403483
2,0.1,50,1,tis,300,0.0004697777732326283,4.644215899031152e-05,0.009671430476441716,1.884949841437984
2,0.1,50,1,tis_no_cov,300,0.0004697777732326283,4.644215899031152e-05,0.009671430476441716,1.884949841437984
2,0.1,50,1,uniform,300,0.00024922560956542266,2.173420503405417e-05,0.006604727709517091,1.0
2,0.1,50,2,learned_mean,300,0.0004570361160764557,0.00018633995841502244,0.0019717021829578443,0.10468716459385748
2,0.1,50,2,learned_occupancy,300,0.00016177977858245442,1.2125171200108714e-05,3.59191014747214e-05,0.037056735152164705
2,0.1,50,2,oracle_no_cov,300,8.223849799680339e-05,6.33631953842143e-06,-3.721425097911513e-05,0.01883727537694802
2,0.1,50,2,oracle_tail,300,8.223849799680339e-05,6.33631953842143e-06,-3.721425097911513e-05,0.01883727537694802
2,0.1,50,2,tis,300,0.004688170066386241,0.0008095848275603719,0.0032104443552610777,1.0738565599521892
2,0.1,50,2,tis_no_cov,300,0.004688170066386241,0.0008095848275603719,0.0032104443552610777,1.0738565599521892
2,0.1,50,2,uniform,300,0.004365732110995318,0.0005901769328155739,0.0036457106750138082,1.0
2,0.1,50,3,learned_mean,300,0.000355927048988675,0.0001079939225028571,-0.001681067506744384,0.6308067894396563
2,0.1,50,3,learned_occupancy,300,3.7668180946648824e-05,3.0671316893037213e-06,0.00010860801322143916,0.06675902928564337
2,0.1,50,3,oracle_no_cov,300,1.3905544126603355e-05,1.096780176507576e-06,0.00021951820816347464,0.024644689609395865
2,0.1,50,3,oracle_tail,300,1.3905544126603355e-05,1.096780176507576e-06,0.00021951820816347464,0.024644689609395865
2,0.1,50,3,tis,300,0.000543391822726309,5.3063141647142756e-05,0.0009428236020700871,0.9630491755984872
2,0.1,50,3,tis_no_cov,300,0.000543391822726309,5.3063141647142756e-05,0.0009428236020700871,0.9630491755984872
2,0.1,50,3,uniform,300,0.0005642409925626259,4.7316895428579346e-05,-0.0007127758235923776,1.0
2,0.1,50,4,learned_mean,300,0.003755780860756416,0.00033832238376665295,0.01240248100578409,1.2184079417273002
2,0.1,50,4,learned_occupancy,300,0.0005944997778506451,6.910610869775156e-05,-0.002901078304838568,0.1928608929921589
2,0.1,50,4,oracle_no_cov,300,7.012341383640108e-05,5.8547875071074274e-06,0.00011553018770987947,0.022748644685859992
2,0.1,50,4,oracle_tail,300,7.012341383640108e-05,5.8547875071074274e-06,0.00011553018770987947,0.022748644685859992
2,0.1,50,4,tis,300,0.005423214145486565,0.00038496765515905776,0.020943330064204693,1.7593377860756956
2,0.1,50,4,tis_no_cov,300,0.005423214145486565,0.00038496765515905776,0.020943330064204693,1.7593377860756956
2,0.1,50,4,uniform,300,0.0030825315004365116,0.00027146997433663447,0.004811190603827803,1.0
2,0.1,50,5,learned_mean,300,0.0013563533884337429,0.00011479142594489714,0.0029107621130143833,0.5279181204576302
2,0.1,50,5,learned_occupancy,300,0.0006016052701718445,6.110484739881735e-05,0.0016236162366779206,0.2341560290959818
2,0.1,50,5,oracle_no_cov,300,0.00010818676738424908,8.13457936652669e-06,0.0005021920699608003,0.04210831438393211
2,0.1,50,5,oracle_tail,300,0.00010818676738424908,8.13457936652669e-06,0.0005021920699608003,0.04210831438393211
2,0.1,50,5,tis,300,0.0016557580120823369,0.00019200891075459237,0.005562647405110938,0.6444520027929794
2,0.1,50,5,tis_no_cov,300,0.0016557580120823369,0.00019200891075459237,0.005562647405110938,0.6444520027929794
2,0.1,50,5,uniform,300,0.002569249540549918,0.00021630328291773272,0.009603949195194627,1.0
2,0.1,50,6,learned_mean,300,2.5488506459464418e-05,1.775947340891634e-05,0.0003101811657687807,0.30341575230082124
2,0.1,50,6,learned_occupancy,300,5.770792306827446e-06,5.118494312999269e-07,7.667725712775223e-05,0.0686956409914586
2,0.1,50,6,oracle_no_cov,300,1.4447059198568343e-06,1.3456449923612695e-07,6.224800120411267e-06,0.017197811657734225
2,0.1,50,6,oracle_tail,300,1.4447059198568343e-06,1.3456449923612695e-07,6.224800120411267e-06,0.017197811657734225
2,0.1,50,6,tis,300,0.0001312489390087195,3.4255394259599885e-05,0.00253500199369404,1.5623903123295055
2,0.1,50,6,tis_no_cov,300,0.0001312489390087195,3.4255394259599885e-05,0.00253500199369404,1.5623903123295055
2,0.1,50,6,uniform,300,8.400521814106034e-05,1.0552429687659323e-05,0.0003927143571351858,1.0
2,0.1,50,7,learned_mean,300,1.2890390861864184e-06,2.7384819502123474e-07,0.0001158918928413614,0.10791269068653493
2,0.1,50,7,learned_occupancy,300,1.0951318245754053e-06,2.608635622195509e-07,2.302424105717756e-05,0.09167962640761661
2,0.1,50,7,oracle_no_cov,300,1.663763531595893e-07,1.633368427893187e-08,1.5153796706888952e-05,0.013928297542304291
2,0.1,50,7,oracle_tail,300,1.663763531595893e-07,1.633368427893187e-08,1.5153796706888952e-05,0.013928297542304291
2,0.1,50,7,tis,300,5.12940991860748e-06,2.2341841251682856e-06,6.104647428032443e-05,0.4294116694232522
2,0.1,50,7,tis_no_cov,300,5.12940991860748e-06,2.2341841251682856e-06,6.104647428032443e-05,0.4294116694232522
2,0.1,50,7,uniform,300,1.1945203830852689e-05,6.50428457199603e-06,-0.00021854731979559079,1.0
2,0.1,50,8,learned_mean,300,0.0003404128071434991,3.168037563098068e-05,-0.0005807024444829141,0.4439534384541857
2,0.1,50,8,learned_occupancy,300,0.00027732733875889654,2.756378949806845e-05,-0.00047587366594456764,0.3616797694907529
2,0.1,50,8,oracle_no_cov,300,2.739945655063084e-05,2.2457557004175364e-06,-0.00024097210659723627,0.0357333293347595
2,0.1,50,8,oracle_tail,300,2.739945655063084e-05,2.2457557004175364e-06,-0.00024097210659723627,0.0357333293347595
2,0.1,50,8,tis,300,0.00031883813368240705,3.0047877970714402e-05,0.0003602379367308465,0.41581656973014713
2,0.1,50,8,tis_no_cov,300,0.00031883813368240705,3.0047877970714402e-05,0.0003602379367308465,0.41581656973014713
2,0.1,50,8,uniform,300,0.0007667759221074901,0.00010096159298585611,-0.0002590793459352773,1.0
2,0.1,50,9,learned_mean,300,0.0005890079015953771,9.718363071693476e-05,-0.0009642206097925476,0.16859392882325905
2,0.1,50,9,learned_occupancy,300,0.00011551261872499797,9.963933164928658e-06,-0.0008445817581717811,0.033063607749168805
2,0.1,50,9,oracle_no_cov,300,5.5505799868828484e-05,4.3663329623702355e-06,-0.00019466580718714507,0.015887632147237016
2,0.1,50,9,oracle_tail,300,5.5505799868828484e-05,4.3663329623702355e-06,-0.00019466580718714507,0.015887632147237016
2,0.1,50,9,tis,300,0.0031954549905085835,0.000463157594879816,-0.0025545703064941364,0.9146470017949252
2,0.1,50,9,tis_no_cov,300,0.0031954549905085835,0.000463157594879816,-0.0025545703064941364,0.9146470017949252
2,0.1,50,9,uniform,300,0.0034936483520284283,0.0003258756933805985,-0.00014474282915429663,1.0
2,0.1,50,10,learned_mean,300,0.00017677633157052949,2.775216380356781e-05,0.0006511717298644952,0.7480950664651159
2,0.1,50,10,learned_occupancy,300,8.59773037907974e-06,7.670070503147875e-07,4.833606595097165e-05,0.03638450703351441
2,0.1,50,10,oracle_no_cov,300,4.9567283825407485e-06,4.088946611701638e-07,-0.0001901728493202374,0.020976247305521802
2,0.1,50,10,oracle_tail,300,4.9567283825407485e-06,4.088946611701638e-07,-0.0001901728493202374,0.020976247305521802
2,0.1,50,10,tis,300,0.0002571002522694567,2.8616589470147978e-05,0.0012149608791793686,1.088015734917432
2,0.1,50,10,tis_no_cov,300,0.0002571002522694567,2.8616589470147978e-05,0.0012149608791793686,1.088015734917432
2,0.1,50,10,uniform,300,0.00023630196146838599,2.1943517947452397e-05,0.0011449810622865435,1.0
2,0.1,50,11,learned_mean,300,0.0003855120954990962,0.00016323806384175386,0.00228621704099741,2.0848828997009803
2,0.1,50,11,learned_occupancy,300,1.2528451884329009e-05,1.1312646755614445e-06,0.0005239197558040509,0.06775495606576969
2,0.1,50,11,oracle_no_cov,300,5.5796553067812765e-06,4.5259061509599537e-07,0.0002381601732318713,0.030175260571977
2,0.1,50,11,oracle_tail,300,5.5796553067812765e-06,4.5259061509599537e-07,0.0002381601732318713,0.030175260571977
2,0.1,50,11,tis,300,0.0002009823288409743,3.4708744078949755e-05,0.002464909395773728,1.0869298925631472
2,0.1,50,11,tis_no_cov,300,0.0002009823288409743,3.4708744078949755e-05,0.002464909395773728,1.0869298925631472
2,0.1,50,11,uniform,300,0.00018490827257223294,2.5453384537440842e-05,0.0018267142243809098,1.0
2,0.1,50,12,learned_mean,300,7.524667987344303e-05,5.034330186516727e-05,0.0008146642046386147,0.1344614182992966
2,0.1,50,12,learned_occupancy,300,2.520149012535363e-07,8.606430907603143e-08,-1.7219059577837647e-05,0.00045033589670801183
2,0.1,50,12,oracle_no_cov,300,7.783704554348395e-08,1.531331425062587e-08,-8.166472903498404e-06,0.00013909025032874056
2,0.1,50,12,oracle_tail,300,7.783704554348395e-08,1.531331425062587e-08,-8.166472903498404e-06,0.00013909025032874056
2,0.1,50,12,tis,300,0.001541322666025887,0.0004363404484860542,0.01034422336436891,2.7542535043308725
2,0.1,50,12,tis_no_cov,300,0.001541322666025887,0.0004363404484860542,0.01034422336436891,2.7542535043308725
2,0.1,50,12,uniform,300,0.0005596153961871207,0.00021699072535203396,0.004973122191869783,1.0
2,0.1,50,13,learned_mean,300,0.001232166507529643,0.00022067525037368282,-0.004452140722540508,1.3656911824997375
2,0.1,50,13,learned_occupancy,300,2.1813003173846293e-05,1.8021727154827729e-06,3.828832541250882e-05,0.024176786105058128
2,0.1,50,13,oracle_no_cov,300,8.577314436575567e-06,7.836691775040445e-07,-4.714360616711488e-05,0.00950680173821974
2,0.1,50,13,oracle_tail,300,8.577314436575567e-06,7.836691775040445e-07,-4.714360616711488e-05,0.00950680173821974
2,0.1,50,13,tis,300,0.001232166507529643,0.00022067525037368282,-0.004452140722540508,1.3656911824997375
2,0.1,50,13,tis_no_cov,300,0.001232166507529643,0.00022067525037368282,-0.004452140722540508,1.3656911824997375
2,0.1,50,13,uniform,300,0.000902229232581195,0.00013615096154612742,-0.004339903700057774,1.0
2,0.1,50,14,learned_mean,300,3.882917634305832e-05,3.8609110053903635e-05,3.404609614676331e-05,1.824804565259471
2,0.1,50,14,learned_occupancy,300,1.0124755295612458e-06,1.4668986748087222e-07,-1.2458911159141106e-05,0.047582002570269843
2,0.1,50,14,oracle_no_cov,300,4.933666911509366e-07,5.181384547809664e-08,-2.6962820408118482e-05,0.02318611608974135
2,0.1,50,14,oracle_tail,300,4.933666911509366e-07,5.181384547809664e-08,-2.6962820408118482e-05,0.02318611608974135
2,0.1,50,14,tis,300,3.882917634305832e-05,3.8609110053903635e-05,3.404609614676331e-05,1.824804565259471
2,0.1,50,14,tis_no_cov,300,3.882917634305832e-05,3.8609110053903635e-05,3.404609614676331e-05,1.824804565259471
2,0.1,50,14,uniform,300,2.1278539676130826e-05,2.108774886468293e-05,0.0001277397898404568,1.0
2,0.1,50,15,learned_mean,300,0.008281929640832367,0.0006279578027444762,0.04785446494875799,1.0058401939389852
2,0.1,50,15,learned_occupancy,300,0.0002082609173787966,2.789678843769506e-05,0.005652177046970911,0.025293284368586643
2,0.1,50,15,oracle_no_cov,300,0.00012492665234420998,1.834242328320715e-05,0.004021977701720435,0.015172339499544382
2,0.1,50,15,oracle_tail,300,0.00012492665234420998,1.834242328320715e-05,0.004021977701720435,0.015172339499544382
2,0.1,50,15,tis,300,0.018159774322509207,0.000978576997409656,0.09566706638062956,2.205504238575622
2,0.1,50,15,tis_no_cov,300,0.018159774322509207,0.000978576997409656,0.09566706638062956,2.205504238575622
2,0.1,50,15,uniform,300,0.008233842404328052,0.000936160399374939,0.04179256626837484,1.0
2,0.1,50,16,learned_mean,300,0.00021314907944192698,4.186257498995719e-05,0.0016578202973818327,0.08025848046528272
2,0.1,50,16,learned_occupancy,300,0.00024777759263764954,2.001587721003834e-05,0.0015188654203425037,0.0932973913399501
2,0.1,50,16,oracle_no_cov,300,8.114145438060722e-05,7.292998437126227e-06,0.0012070950746850418,0.0305527466896937
