horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,learned_mean-minus-tis,300,-0.0026791608428746497,0.00016091091394275275
2,0.1,50,learned_occupancy-minus-tis,300,-0.005627803600869068,0.00020536910032264023
2,0.1,50,oracle_no_cov-minus-tis,300,-0.006021792650669405,0.0002041486445504085
2,0.1,50,oracle_tail-minus-tis,300,-0.006021792650669405,0.0002041486445504085
2,0.1,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,50,uniform-minus-tis,300,0.005459871410922209,0.0002141838932972269
2,0.1,100,learned_mean-minus-tis,300,-0.0005195282414559806,0.00010386809850047004
2,0.1,100,learned_occupancy-minus-tis,300,-0.0020910545119321015,0.0001082392363741673
2,0.1,100,oracle_no_cov-minus-tis,300,-0.002254215209243767,0.00010841691032253152
2,0.1,100,oracle_tail-minus-tis,300,-0.002254215209243767,0.00010841691032253152
2,0.1,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,100,uniform-minus-tis,300,0.0036841078484942907,0.0001351096789594772
2,0.1,200,learned_mean-minus-tis,300,-0.00038406401733181257,3.390147595297342e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0008621445623732595,6.519567784423363e-05
2,0.1,200,oracle_no_cov-minus-tis,300,-0.0009295415144054886,6.526349158264039e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.0009295415144054886,6.526349158264039e-05
2,0.1,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,200,uniform-minus-tis,300,0.002071974081391222,7.860508728206357e-05
2,0.1,400,learned_mean-minus-tis,300,-0.00011535643272616366,1.3166134775997268e-05
2,0.1,400,learned_occupancy-minus-tis,300,-0.00022994056425677668,1.3448908565332067e-05
2,0.1,400,oracle_no_cov-minus-tis,300,-0.0002556931899445275,1.3448843107430076e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.0002556931899445275,1.3448843107430076e-05
2,0.1,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,400,uniform-minus-tis,300,0.0012596636873609584,3.0505896818069487e-05
2,0.2,50,learned_mean-minus-tis,300,-0.0002898538370871767,4.879481789276314e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.00126826021800175,6.289812162388004e-05
2,0.2,50,oracle_no_cov-minus-tis,300,-0.001392576384667251,6.352349787058826e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.001392576384667251,6.352349787058826e-05
2,0.2,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,50,uniform-minus-tis,300,0.002727625344829413,9.568697814924397e-05
2,0.2,100,learned_mean-minus-tis,300,0.00011595453899172436,5.538076627366549e-05
2,0.2,100,learned_occupancy-minus-tis,300,-0.0004421265751627592,3.371697228658157e-05
2,0.2,100,oracle_no_cov-minus-tis,300,-0.0004876650463225824,3.3261867550438666e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.0004876650463225824,3.3261867550438666e-05
2,0.2,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,100,uniform-minus-tis,300,0.0017171972572877336,5.78678682352636e-05
2,0.2,200,learned_mean-minus-tis,300,5.371554356772827e-07,1.5690671305325744e-05
2,0.2,200,learned_occupancy-minus-tis,300,-0.00014666850119299547,1.5351115352231303e-05
2,0.2,200,oracle_no_cov-minus-tis,300,-0.00016854640131508261,1.5354521691236376e-05
2,0.2,200,oracle_tail-minus-tis,300,-0.00016854640131508261,1.5354521691236376e-05
2,0.2,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,200,uniform-minus-tis,300,0.0009474233638454228,2.8535829013387906e-05
2,0.2,400,learned_mean-minus-tis,300,-9.248843576897377e-06,1.9028089519862286e-06
2,0.2,400,learned_occupancy-minus-tis,300,-4.603995710457977e-05,5.72693285630999e-06
2,0.2,400,oracle_no_cov-minus-tis,300,-5.642631069455903e-05,5.779170080565878e-06
2,0.2,400,oracle_tail-minus-tis,300,-5.642631069455903e-05,5.779170080565878e-06
2,0.2,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,400,uniform-minus-tis,300,0.0005043976279122472,1.3474407901382373e-05
4,0.1,50,learned_mean-minus-tis,300,0.0018957481256951048,0.0006827739283865028
4,0.1,50,learned_occupancy-minus-tis,300,-0.009383894166437992,0.000554737790515731
4,0.1,50,oracle_no_cov-minus-tis,300,-0.012997502689757384,0.000555612497648191
4,0.1,50,oracle_tail-minus-tis,300,-0.013024035717248623,0.000556012058183996
4,0.1,50,tis_no_cov-minus-tis,300,-0.00016841960583486706,5.2189564988011275e-05
4,0.1,50,uniform-minus-tis,300,0.024266593947211337,0.0008428965871897829
4,0.1,100,learned_mean-minus-tis,300,0.0013454451392154274,0.0005568742883568605
4,0.1,100,learned_occupancy-minus-tis,300,-0.004980441251792297,0.000407358565495611
4,0.1,100,oracle_no_cov-minus-tis,300,-0.006552819322220221,0.00040488765791979876
4,0.1,100,oracle_tail-minus-tis,300,-0.00656481282378657,0.0004046348421550854
4,0.1,100,tis_no_cov-minus-tis,300,-2.6597821419927536e-05,1.9135296358728897e-05
4,0.1,100,uniform-minus-tis,300,0.01244707376309262,0.0005648181606926025
4,0.1,200,learned_mean-minus-tis,300,-0.0003179783751564367,0.000203030069008339
4,0.1,200,learned_occupancy-minus-tis,300,-0.0026019572951184898,0.0002271628255995857
4,0.1,200,oracle_no_cov-minus-tis,300,-0.003201622488076398,0.0002263721068288837
4,0.1,200,oracle_tail-minus-tis,300,-0.0032040588825371,0.00022640274180108218
4,0.1,200,tis_no_cov-minus-tis,300,-1.8693119792312933e-05,1.6050891775104357e-05
4,0.1,200,uniform-minus-tis,300,0.0065395564711521826,0.0002903115135272818
4,0.1,400,learned_mean-minus-tis,300,-0.00032273980993589505,5.720191379782438e-05
4,0.1,400,learned_occupancy-minus-tis,300,-0.001313738479324507,0.0001417415308479516
4,0.1,400,oracle_no_cov-minus-tis,300,-0.00158971803610412,0.00014093146262397532
4,0.1,400,oracle_tail-minus-tis,300,-0.0015942811510882807,0.0001408492509906778
4,0.1,400,tis_no_cov-minus-tis,300,5.7504453472941986e-06,7.5824350684779224e-06
4,0.1,400,uniform-minus-tis,300,0.0035204229279670964,0.00018034895247973589
4,0.2,50,learned_mean-minus-tis,300,0.0008593051727249116,0.0003004492025089536
4,0.2,50,learned_occupancy-minus-tis,300,-0.004009736451483477,0.00037326934378112517
4,0.2,50,oracle_no_cov-minus-tis,300,-0.005242550488576438,0.00037158559012258173
4,0.2,50,oracle_tail-minus-tis,300,-0.005247054546623426,0.000371411845244261
4,0.2,50,tis_no_cov-minus-tis,300,-1.0376831030442366e-06,1.2835977676484843e-05
4,0.2,50,uniform-minus-tis,300,0.008331823975347817,0.00046309733742684616
4,0.2,100,learned_mean-minus-tis,300,0.0009175608910798205,0.0002680924473270783
4,0.2,100,learned_occupancy-minus-tis,300,-0.002098948646435233,0.0002723519949476691
4,0.2,100,oracle_no_cov-minus-tis,300,-0.002621081411583984,0.0002720285570055817
4,0.2,100,oracle_tail-minus-tis,300,-0.00262721890215956,0.00027213005207593925
4,0.2,100,tis_no_cov-minus-tis,300,8.278449957694535e-06,1.049709346913427e-05
4,0.2,100,uniform-minus-tis,300,0.00422028271336603,0.000321077125383051
4,0.2,200,learned_mean-minus-tis,300,0.00016711186578982008,8.980825961672842e-05
4,0.2,200,learned_occupancy-minus-tis,300,-0.0007518408449292284,9.59968138201472e-05
4,0.2,200,oracle_no_cov-minus-tis,300,-0.0009514335244495935,9.597645159039773e-05
4,0.2,200,oracle_tail-minus-tis,300,-0.0009545081265939796,9.597639460921315e-05
4,0.2,200,tis_no_cov-minus-tis,300,-6.116846975376699e-06,3.1881343011525865e-06
4,0.2,200,uniform-minus-tis,300,0.002525423370415673,0.00011434168734652541
4,0.2,400,learned_mean-minus-tis,300,-2.6415876505290213e-05,7.451622558753811e-06
4,0.2,400,learned_occupancy-minus-tis,300,-0.0002749227373474005,4.13243069214836e-05
4,0.2,400,oracle_no_cov-minus-tis,300,-0.0003611726443257017,4.129495998135665e-05
4,0.2,400,oracle_tail-minus-tis,300,-0.000362024189048521,4.130609226603132e-05
4,0.2,400,tis_no_cov-minus-tis,300,-1.9094566339889525e-07,3.730993452948997e-06
4,0.2,400,uniform-minus-tis,300,0.0014315787010933119,5.7242708022033545e-05
6,0.1,50,learned_mean-minus-tis,300,0.005574036887979789,0.0016117793924661675
6,0.1,50,learned_occupancy-minus-tis,300,-0.018836519296196633,0.0015828852018735897
6,0.1,50,oracle_no_cov-minus-tis,300,-0.031401803014624,0.001576107611930961
6,0.1,50,oracle_tail-minus-tis,300,-0.0315188816331674,0.0015820662483374702
6,0.1,50,tis_no_cov-minus-tis,300,5.0063071432674607e-05,0.00012928920166174082
6,0.1,50,uniform-minus-tis,300,0.04163237454788523,0.0019655236112407436
6,0.1,100,learned_mean-minus-tis,300,0.001929992211002755,0.0012148474754350644
6,0.1,100,learned_occupancy-minus-tis,300,-0.01312713087944888,0.0012109739623735955
6,0.1,100,oracle_no_cov-minus-tis,300,-0.018444255356959694,0.0012214417806730674
6,0.1,100,oracle_tail-minus-tis,300,-0.018515079852594468,0.001220873572546218
6,0.1,100,tis_no_cov-minus-tis,300,-0.00019370035192664296,7.481343357954304e-05
6,0.1,100,uniform-minus-tis,300,0.019671371105969507,0.0013751871324638165
6,0.1,200,learned_mean-minus-tis,300,-0.0004928032245934227,0.0005280995230170735
6,0.1,200,learned_occupancy-minus-tis,300,-0.006799264780395502,0.0007214197373252033
6,0.1,200,oracle_no_cov-minus-tis,300,-0.009095499822134874,0.0007194081487805969
6,0.1,200,oracle_tail-minus-tis,300,-0.009133819228537374,0.0007201112340565606
6,0.1,200,tis_no_cov-minus-tis,300,0.00012030034115672101,6.041015537236e-05
6,0.1,200,uniform-minus-tis,300,0.010960917386652082,0.0008704793180238647
6,0.1,400,learned_mean-minus-tis,300,-0.0006527087425060945,0.0001744630638370827
6,0.1,400,learned_occupancy-minus-tis,300,-0.00390753819648063,0.0004824363628760426
6,0.1,400,oracle_no_cov-minus-tis,300,-0.004805569455440865,0.0004828844180754337
6,0.1,400,oracle_tail-minus-tis,300,-0.00482322782553097,0.00048284429274652967
6,0.1,400,tis_no_cov-minus-tis,300,6.123807467339563e-05,2.7086514205820438e-05
6,0.1,400,uniform-minus-tis,300,0.0053567234580993075,0.0005354094400025739
6,0.2,50,learned_mean-minus-tis,300,0.005400956447070826,0.0010730349689455857
6,0.2,50,learned_occupancy-minus-tis,300,-0.013095500601651568,0.0012265136250030114
