horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_mean,0.0013676161003101654
2,0.1,50,0,learned_occupancy,0.0005493082167885308
2,0.1,50,0,oracle_no_cov,0.00026635050101095673
2,0.1,50,0,oracle_tail,0.00026635050101095673
2,0.1,50,0,tis,0.002862563813307655
2,0.1,50,0,tis_no_cov,0.002862563813307655
2,0.1,50,0,uniform,0.014062931772282915
2,0.1,50,1,learned_mean,0.000739213282351352
2,0.1,50,1,learned_occupancy,0.0009491994336036051
2,0.1,50,1,oracle_no_cov,0.00040818419769075766
2,0.1,50,1,oracle_tail,0.00040818419769075766
2,0.1,50,1,tis,0.0015406938088599832
2,0.1,50,1,tis_no_cov,0.0015406938088599832
2,0.1,50,1,uniform,0.02276214690718304
2,0.1,50,2,learned_mean,0.0017265564154736455
2,0.1,50,2,learned_occupancy,0.00025212309057949343
2,0.1,50,2,oracle_no_cov,0.00012159555197478007
2,0.1,50,2,oracle_tail,0.00012159555197478007
2,0.1,50,2,tis,0.00376406104997355
2,0.1,50,2,tis_no_cov,0.00376406104997355
2,0.1,50,2,uniform,0.014563142695761975
2,0.1,50,3,learned_mean,0.0005924099234250873
2,0.1,50,3,learned_occupancy,0.0006770423337127003
2,0.1,50,3,oracle_no_cov,0.000264231882129059
2,0.1,50,3,oracle_tail,0.000264231882129059
2,0.1,50,3,tis,0.001063179143519472
2,0.1,50,3,tis_no_cov,0.001063179143519472
2,0.1,50,3,uniform,0.009899523704673296
2,0.1,50,4,learned_mean,0.002699116205737385
2,0.1,50,4,learned_occupancy,0.00050465504363891
2,0.1,50,4,oracle_no_cov,0.0001311221583119211
2,0.1,50,4,oracle_tail,0.0001311221583119211
2,0.1,50,4,tis,0.0036830589703918146
2,0.1,50,4,tis_no_cov,0.0036830589703918146
2,0.1,50,4,uniform,0.013326758279729067
2,0.1,50,5,learned_mean,0.012436468441491901
2,0.1,50,5,learned_occupancy,0.0005283716139310289
2,0.1,50,5,oracle_no_cov,0.0003218339341554276
2,0.1,50,5,oracle_tail,0.0003218339341554276
2,0.1,50,5,tis,0.007617318972359353
2,0.1,50,5,tis_no_cov,0.007617318972359353
2,0.1,50,5,uniform,0.007451116004055665
2,0.1,50,6,learned_mean,0.0015739139718915147
2,0.1,50,6,learned_occupancy,0.0005526845760642372
2,0.1,50,6,oracle_no_cov,0.00020376038173911887
2,0.1,50,6,oracle_tail,0.00020376038173911887
2,0.1,50,6,tis,0.005025602967776945
2,0.1,50,6,tis_no_cov,0.005025602967776945
2,0.1,50,6,uniform,0.006839239495135086
2,0.1,50,7,learned_mean,0.005917951026558162
2,0.1,50,7,learned_occupancy,0.0003997081568731233
2,0.1,50,7,oracle_no_cov,0.00018818305501385233
2,0.1,50,7,oracle_tail,0.00018818305501385233
2,0.1,50,7,tis,0.0059113348487935475
2,0.1,50,7,tis_no_cov,0.0059113348487935475
2,0.1,50,7,uniform,0.012437842877522826
2,0.1,50,8,learned_mean,0.007635901822244567
2,0.1,50,8,learned_occupancy,0.0010423451452447605
2,0.1,50,8,oracle_no_cov,0.00018659326210778882
2,0.1,50,8,oracle_tail,0.00018659326210778882
2,0.1,50,8,tis,0.01209999715499158
2,0.1,50,8,tis_no_cov,0.01209999715499158
2,0.1,50,8,uniform,0.010374172282811015
2,0.1,50,9,learned_mean,0.0010669595442844074
2,0.1,50,9,learned_occupancy,0.0006667434787047912
