horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,learned_mean,300,0.007526229006851555,0.0019425530523343106,0.003242260413694913,0.2607795461354022
2,0.1,50,0,learned_occupancy,300,0.0029474139591726283,0.000363227165315385,-0.0016494731166167983,0.10212621405041804
2,0.1,50,0,oracle_no_cov,300,0.00037616938481018647,4.098401334232148e-05,0.0015133999885581816,0.01303405481703126
2,0.1,50,0,oracle_tail,300,0.00037616938481018647,4.098401334232148e-05,0.0015133999885581816,0.01303405481703126
2,0.1,50,0,tis,300,0.012659857534846232,0.0024034969194345994,0.01347701000981456,0.43865684914325237
2,0.1,50,0,tis_no_cov,300,0.012659857534846232,0.0024034969194345994,0.01347701000981456,0.43865684914325237
2,0.1,50,0,uniform,300,0.028860503511052887,0.0029555573322635393,0.04205025071739555,1.0
2,0.1,50,1,learned_mean,300,0.01159314944328742,0.0023869248502033542,-0.007124841995054633,1.0643614104305332
2,0.1,50,1,learned_occupancy,300,0.0004279765811760349,3.420950535116748e-05,-0.0009206276155153595,0.03929232171120808
2,0.1,50,1,oracle_no_cov,300,0.00016348965227135968,1.5404496743627562e-05,-0.0009040552512396764,0.015009905438862173
2,0.1,50,1,oracle_tail,300,0.00016348965227135968,1.5404496743627562e-05,-0.0009040552512396764,0.015009905438862173
2,0.1,50,1,tis,300,0.01236017354614443,0.002412096921671703,-0.008388405627767043,1.1347815201638554
2,0.1,50,1,tis_no_cov,300,0.01236017354614443,0.002412096921671703,-0.008388405627767043,1.1347815201638554
2,0.1,50,1,uniform,300,0.010892117404555283,0.0013326453275924089,-0.002007044843846418,1.0
2,0.1,50,2,learned_mean,300,2.010813298749883e-07,1.1496977547470681e-07,-1.43100540561103e-05,1.827899900207085
2,0.1,50,2,learned_occupancy,300,1.7179963885917468e-08,1.1604019658532791e-08,6.689669034098955e-07,0.15617190463258412
2,0.1,50,2,oracle_no_cov,300,1.2479602745621208e-08,5.744729905338582e-09,-1.304970689955572e-06,0.113443971290258
2,0.1,50,2,oracle_tail,300,1.2479602745621208e-08,5.744729905338582e-09,-1.304970689955572e-06,0.113443971290258
2,0.1,50,2,tis,300,2.010813298749883e-07,1.1496977547470681e-07,-1.43100540561103e-05,1.827899900207085
2,0.1,50,2,tis_no_cov,300,2.010813298749883e-07,1.1496977547470681e-07,-1.43100540561103e-05,1.827899900207085
2,0.1,50,2,uniform,300,1.1000675138294365e-07,6.265141330924733e-08,-2.598342344399818e-06,1.0
2,0.1,50,3,learned_mean,300,2.0121071933258598e-05,1.4207951737075827e-06,0.0007635523233094399,0.02704787453104062
2,0.1,50,3,learned_occupancy,300,2.8610811797109737e-05,2.5347896717090637e-06,-0.00030470820525166473,0.0384602594874832
2,0.1,50,3,oracle_no_cov,300,9.857531736741737e-06,8.216091647427969e-07,-0.0002005350831260048,0.013251047582630536
2,0.1,50,3,oracle_tail,300,9.857531736741737e-06,8.216091647427969e-07,-0.0002005350831260048,0.013251047582630536
2,0.1,50,3,tis,300,0.0009102358307467166,0.00029016810827954347,0.0002340206673418684,1.223590106201043
2,0.1,50,3,tis_no_cov,300,0.0009102358307467166,0.00029016810827954347,0.0002340206673418684,1.223590106201043
2,0.1,50,3,uniform,300,0.0007439058440679802,0.0001953022425757527,-1.4746209504487019e-05,1.0
2,0.1,50,4,learned_mean,300,0.002276520440920106,0.0002624806405870129,-0.0017354227388173256,0.07193349253907642
2,0.1,50,4,learned_occupancy,300,0.0017897343209315863,0.0001454585000747374,-0.0035063772989373347,0.056552024795185854
2,0.1,50,4,oracle_no_cov,300,0.000760822875855428,6.725661974656226e-05,-0.0018867516945602668,0.02404048111326657
2,0.1,50,4,oracle_tail,300,0.000760822875855428,6.725661974656226e-05,-0.0018867516945602668,0.02404048111326657
2,0.1,50,4,tis,300,0.01017465958461995,0.0011430003232701053,0.0070492960491845835,0.3214988919766029
2,0.1,50,4,tis_no_cov,300,0.01017465958461995,0.0011430003232701053,0.0070492960491845835,0.3214988919766029
2,0.1,50,4,uniform,300,0.031647572786535176,0.0021320193817477486,0.0034045121798360507,1.0
2,0.1,50,5,learned_mean,300,0.0005287641657711526,0.00012752706367473332,0.0013740597155908715,0.06914306658015225
2,0.1,50,5,learned_occupancy,300,0.0003489838822420478,2.839428628073241e-05,-0.0004375719025592639,0.04563436285450786
2,0.1,50,5,oracle_no_cov,300,0.00012694168266680548,1.1174499305796934e-05,-0.000371098794948721,0.01659934198382537
2,0.1,50,5,oracle_tail,300,0.00012694168266680548,1.1174499305796934e-05,-0.000371098794948721,0.01659934198382537
2,0.1,50,5,tis,300,0.0007759601185833978,0.00015932470994876373,0.002565094408994473,0.10146728090869764
