horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,learned_mean-minus-tis,300,-0.0010795486891840864,6.105952252072959e-05
2,0.1,50,learned_occupancy-minus-tis,300,-0.001344190880703543,6.117645354702266e-05
2,0.1,50,oracle_no_cov-minus-tis,300,-0.0015238806398813244,6.116553834609893e-05
2,0.1,50,oracle_tail-minus-tis,300,-0.0015238806398813244,6.116553834609893e-05
2,0.1,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,50,uniform-minus-tis,300,0.0024690430798599582,9.591555556323968e-05
2,0.1,100,learned_mean-minus-tis,300,-0.0004108504412137243,2.3880412217458066e-05
2,0.1,100,learned_occupancy-minus-tis,300,-0.00043678992049146976,2.510402253419184e-05
2,0.1,100,oracle_no_cov-minus-tis,300,-0.0005088133663353919,2.552709669985057e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0005088133663353919,2.552709669985057e-05
2,0.1,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,100,uniform-minus-tis,300,0.0015078634055244189,4.4664504157043876e-05
2,0.1,200,learned_mean-minus-tis,300,-0.0001592611721598198,1.0706780358008181e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0001624095699647089,1.0628487547375612e-05
2,0.1,200,oracle_no_cov-minus-tis,300,-0.00019213632036080777,1.0612852513571162e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.00019213632036080777,1.0612852513571162e-05
2,0.1,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,200,uniform-minus-tis,300,0.0009024645619923063,2.3636348824511277e-05
2,0.1,400,learned_mean-minus-tis,300,-7.603893211381549e-05,5.153188138782893e-06
2,0.1,400,learned_occupancy-minus-tis,300,-7.399036940612537e-05,5.170105417207434e-06
2,0.1,400,oracle_no_cov-minus-tis,300,-8.57313576170166e-05,5.177581767355166e-06
2,0.1,400,oracle_tail-minus-tis,300,-8.57313576170166e-05,5.177581767355166e-06
2,0.1,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,400,uniform-minus-tis,300,0.000470962969522171,1.2902748759215352e-05
2,0.2,50,learned_mean-minus-tis,300,-0.0004017328095572775,2.3251926613461238e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.0005251722867467957,2.6598798668639733e-05
2,0.2,50,oracle_no_cov-minus-tis,300,-0.0006065068577035983,2.669207892758815e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.0006065068577035983,2.669207892758815e-05
2,0.2,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,50,uniform-minus-tis,300,0.0016940508598502254,4.930632257113047e-05
2,0.2,100,learned_mean-minus-tis,300,-0.00018625285453689703,1.0537878077641945e-05
2,0.2,100,learned_occupancy-minus-tis,300,-0.0002255222760002013,1.4139508291536797e-05
2,0.2,100,oracle_no_cov-minus-tis,300,-0.00025417881171620535,1.3997092871450568e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.00025417881171620535,1.3997092871450568e-05
2,0.2,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,100,uniform-minus-tis,300,0.0008548127394272313,2.6459499934659455e-05
2,0.2,200,learned_mean-minus-tis,300,-6.858640036133772e-05,7.823878960423469e-06
2,0.2,200,learned_occupancy-minus-tis,300,-7.413118616597029e-05,7.93596502263577e-06
2,0.2,200,oracle_no_cov-minus-tis,300,-8.60136636279329e-05,7.976493633975807e-06
2,0.2,200,oracle_tail-minus-tis,300,-8.60136636279329e-05,7.976493633975807e-06
2,0.2,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,200,uniform-minus-tis,300,0.0004624128236980879,1.3271262685830489e-05
2,0.2,400,learned_mean-minus-tis,300,-2.5155091378665406e-05,2.244283100477459e-06
2,0.2,400,learned_occupancy-minus-tis,300,-2.4539051681768667e-05,2.290928028057031e-06
2,0.2,400,oracle_no_cov-minus-tis,300,-2.941255854561705e-05,2.3020536963192443e-06
2,0.2,400,oracle_tail-minus-tis,300,-2.941255854561705e-05,2.3020536963192443e-06
2,0.2,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,400,uniform-minus-tis,300,0.00025981418249394934,5.9274104559995875e-06
4,0.1,50,learned_mean-minus-tis,300,-0.0012963516434496495,0.00012059724175754637
4,0.1,50,learned_occupancy-minus-tis,300,-0.001584076609106276,0.00012865447949146717
4,0.1,50,oracle_no_cov-minus-tis,300,-0.002447828590269084,0.00012800169172094686
4,0.1,50,oracle_tail-minus-tis,300,-0.002449168500376676,0.00012802475588200629
4,0.1,50,tis_no_cov-minus-tis,300,-3.4861960188465844e-05,1.4543045442243736e-05
4,0.1,50,uniform-minus-tis,300,0.00516536035801097,0.0001870551708365462
4,0.1,100,learned_mean-minus-tis,300,-0.0005635828908474513,5.5753040634752e-05
4,0.1,100,learned_occupancy-minus-tis,300,-0.000628313745712194,6.438285944427697e-05
4,0.1,100,oracle_no_cov-minus-tis,300,-0.0009632609352271186,6.518162147235544e-05
4,0.1,100,oracle_tail-minus-tis,300,-0.0009676276896584972,6.52112918082226e-05
4,0.1,100,tis_no_cov-minus-tis,300,-2.8496795023785322e-06,7.2996935407971804e-06
4,0.1,100,uniform-minus-tis,300,0.002803044768672569,9.607180689318411e-05
4,0.1,200,learned_mean-minus-tis,300,-0.0001641672030330208,1.940692401372338e-05
4,0.1,200,learned_occupancy-minus-tis,300,-0.00014281154836017624,1.982345760693107e-05
4,0.1,200,oracle_no_cov-minus-tis,300,-0.0002740283422897938,1.973915848869469e-05
4,0.1,200,oracle_tail-minus-tis,300,-0.0002750507162916056,1.9781441730075165e-05
4,0.1,200,tis_no_cov-minus-tis,300,2.5852866517197997e-06,3.5815779465730656e-06
4,0.1,200,uniform-minus-tis,300,0.0016447737708020908,4.5807088020255944e-05
4,0.1,400,learned_mean-minus-tis,300,-6.423723915354522e-05,1.1217403973484848e-05
4,0.1,400,learned_occupancy-minus-tis,300,-4.926770696160095e-05,1.2033219152579322e-05
4,0.1,400,oracle_no_cov-minus-tis,300,-0.00010403912947420912,1.1837204412158467e-05
4,0.1,400,oracle_tail-minus-tis,300,-0.00010434876191145951,1.1855135405430016e-05
4,0.1,400,tis_no_cov-minus-tis,300,5.579200367855453e-07,1.4525369407697702e-06
4,0.1,400,uniform-minus-tis,300,0.0009104750432589603,2.6801591450655694e-05
4,0.2,50,learned_mean-minus-tis,300,-0.0005079269774578604,5.913508462653676e-05
4,0.2,50,learned_occupancy-minus-tis,300,-0.0007259416926929332,6.215631381493582e-05
4,0.2,50,oracle_no_cov-minus-tis,300,-0.0011104883728658124,6.272363875465171e-05
4,0.2,50,oracle_tail-minus-tis,300,-0.00111343803583568,6.277228365704784e-05
4,0.2,50,tis_no_cov-minus-tis,300,3.2536032774451505e-06,1.0687521726191635e-05
4,0.2,50,uniform-minus-tis,300,0.0033312345364714044,0.0001028563518590103
4,0.2,100,learned_mean-minus-tis,300,-0.00016500863229863377,2.1250456700246924e-05
4,0.2,100,learned_occupancy-minus-tis,300,-0.0002347719990113592,2.7368990808906837e-05
4,0.2,100,oracle_no_cov-minus-tis,300,-0.0003767375537699459,2.6907642169274647e-05
4,0.2,100,oracle_tail-minus-tis,300,-0.00037671504758935673,2.691835692877906e-05
4,0.2,100,tis_no_cov-minus-tis,300,-2.2218468478072913e-07,4.546250426999766e-06
4,0.2,100,uniform-minus-tis,300,0.0019927091432687008,5.6739637897421984e-05
4,0.2,200,learned_mean-minus-tis,300,-3.531258768259165e-05,5.821384302476673e-06
4,0.2,200,learned_occupancy-minus-tis,300,-3.478140878807891e-05,6.3618547119119425e-06
4,0.2,200,oracle_no_cov-minus-tis,300,-9.106408500740905e-05,6.10398183967075e-06
4,0.2,200,oracle_tail-minus-tis,300,-9.177865642967529e-05,6.116748975875113e-06
4,0.2,200,tis_no_cov-minus-tis,300,-8.138226489935039e-07,1.519519953607335e-06
4,0.2,200,uniform-minus-tis,300,0.0010789910356841159,2.510712744617433e-05
4,0.2,400,learned_mean-minus-tis,300,-1.3649748033551987e-05,1.9175607997098253e-06
4,0.2,400,learned_occupancy-minus-tis,300,-4.369636511127896e-06,2.374930864281465e-06
4,0.2,400,oracle_no_cov-minus-tis,300,-3.0964605001738605e-05,2.286089195207502e-06
4,0.2,400,oracle_tail-minus-tis,300,-3.1503176786451106e-05,2.286635481303918e-06
4,0.2,400,tis_no_cov-minus-tis,300,7.021095582300502e-07,4.708783087747187e-07
4,0.2,400,uniform-minus-tis,300,0.0005569227794590834,1.30603977959008e-05
6,0.1,50,learned_mean-minus-tis,300,-0.0028092989524914212,0.0002667030347569188
6,0.1,50,learned_occupancy-minus-tis,300,-0.0033050328882260056,0.0003454499957523701
6,0.1,50,oracle_no_cov-minus-tis,300,-0.005444084060884755,0.0003414920126021732
6,0.1,50,oracle_tail-minus-tis,300,-0.0054507751088160705,0.0003411983465138335
6,0.1,50,tis_no_cov-minus-tis,300,-8.907867361098168e-05,5.125237515254373e-05
6,0.1,50,uniform-minus-tis,300,0.0066941737474214115,0.0004047096128353941
6,0.1,100,learned_mean-minus-tis,300,-0.0013412044670068624,0.0001529250268121077
6,0.1,100,learned_occupancy-minus-tis,300,-0.0013383055806579268,0.00015992337602591418
6,0.1,100,oracle_no_cov-minus-tis,300,-0.002183906223799117,0.0001598442989142757
6,0.1,100,oracle_tail-minus-tis,300,-0.0021894380066925204,0.00016011047645099819
6,0.1,100,tis_no_cov-minus-tis,300,-4.826192681426409e-06,1.7386243481185103e-05
6,0.1,100,uniform-minus-tis,300,0.0038487986572290954,0.00020581563362617443
6,0.1,200,learned_mean-minus-tis,300,-0.0003667408401774845,5.9946699602752356e-05
