horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_mean,0.0001781905735420889
2,0.1,50,0,learned_occupancy,0.0001496768732284638
2,0.1,50,0,oracle_no_cov,9.665116352756441e-05
2,0.1,50,0,oracle_tail,9.665116352756441e-05
2,0.1,50,0,tis,0.0010027394231820776
2,0.1,50,0,tis_no_cov,0.0010027394231820776
2,0.1,50,0,uniform,0.004910209809867556
2,0.1,50,1,learned_mean,0.0004650741809502027
2,0.1,50,1,learned_occupancy,0.00029180616380387143
2,0.1,50,1,oracle_no_cov,5.866862628349141e-05
2,0.1,50,1,oracle_tail,5.866862628349141e-05
2,0.1,50,1,tis,0.0015464410746038218
2,0.1,50,1,tis_no_cov,0.0015464410746038218
2,0.1,50,1,uniform,0.006810205758371403
2,0.1,50,2,learned_mean,0.00038251999323072
2,0.1,50,2,learned_occupancy,0.00030394815453740475
2,0.1,50,2,oracle_no_cov,6.650165015121656e-05
2,0.1,50,2,oracle_tail,6.650165015121656e-05
2,0.1,50,2,tis,0.002140796575706068
2,0.1,50,2,tis_no_cov,0.002140796575706068
2,0.1,50,2,uniform,0.0021789173614315707
2,0.1,50,3,learned_mean,0.0005443261742562428
2,0.1,50,3,learned_occupancy,0.00018982477406483312
2,0.1,50,3,oracle_no_cov,0.0001314678872442638
2,0.1,50,3,oracle_tail,0.0001314678872442638
2,0.1,50,3,tis,0.002275048081718328
2,0.1,50,3,tis_no_cov,0.002275048081718328
2,0.1,50,3,uniform,0.0023257264239408674
2,0.1,50,4,learned_mean,0.00035114176185882697
2,0.1,50,4,learned_occupancy,0.0001950383845023753
2,0.1,50,4,oracle_no_cov,3.34767725349924e-05
2,0.1,50,4,oracle_tail,3.34767725349924e-05
2,0.1,50,4,tis,0.0012220230605240522
2,0.1,50,4,tis_no_cov,0.0012220230605240522
2,0.1,50,4,uniform,0.004447850441422059
2,0.1,50,5,learned_mean,0.00040844133856365514
2,0.1,50,5,learned_occupancy,0.00041502302833601364
2,0.1,50,5,oracle_no_cov,0.00013042046212361988
2,0.1,50,5,oracle_tail,0.00013042046212361988
2,0.1,50,5,tis,0.0005931259154914803
2,0.1,50,5,tis_no_cov,0.0005931259154914803
2,0.1,50,5,uniform,0.006000103824684235
2,0.1,50,6,learned_mean,0.000279657276607006
2,0.1,50,6,learned_occupancy,0.00027474376502394527
2,0.1,50,6,oracle_no_cov,7.832616005056619e-05
2,0.1,50,6,oracle_tail,7.832616005056619e-05
2,0.1,50,6,tis,0.0017187883453326366
2,0.1,50,6,tis_no_cov,0.0017187883453326366
2,0.1,50,6,uniform,0.0045678465148805796
