horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,learned_mean,300,0.0005546696865254097,4.4477283769936024e-05,0.13517775860286538
2,0.1,50,learned_occupancy,300,0.0002900274950059532,6.563957183674046e-06,0.07068218736397897
2,0.1,50,oracle_no_cov,300,0.00011033773582817157,2.9764010704067535e-06,0.026890252308540454
2,0.1,50,oracle_tail,300,0.00011033773582817157,2.9764010704067535e-06,0.026890252308540454
2,0.1,50,tis,300,0.001634218375709496,6.097455657584762e-05,0.3982730307110537
2,0.1,50,tis_no_cov,300,0.001634218375709496,6.097455657584762e-05,0.3982730307110537
2,0.1,50,uniform,300,0.004103261455569454,7.935907530967966e-05,1.0
2,0.1,100,learned_mean,300,0.0001497377605128765,9.611116946009939e-06,0.07239123216031075
2,0.1,100,learned_occupancy,300,0.000123798281235131,3.34274816405435e-06,0.05985070223598772
2,0.1,100,oracle_no_cov,300,5.177483539120885e-05,1.3555231201889781e-06,0.02503072114895538
2,0.1,100,oracle_tail,300,5.177483539120885e-05,1.3555231201889781e-06,0.02503072114895538
2,0.1,100,tis,300,0.0005605882017266007,2.535518855692483e-05,0.271018282352578
2,0.1,100,tis_no_cov,300,0.0005605882017266007,2.535518855692483e-05,0.271018282352578
2,0.1,100,uniform,300,0.0020684516072510197,3.924569439672835e-05,1.0
2,0.1,200,learned_mean,300,5.7066543120550004e-05,2.098332934822294e-06,0.05100727300304875
2,0.1,200,learned_occupancy,300,5.391814531566091e-05,1.1350554843014222e-06,0.0481931690189168
2,0.1,200,oracle_no_cov,300,2.4191394919562045e-05,5.335498160799613e-07,0.02162277610508213
2,0.1,200,oracle_tail,300,2.4191394919562045e-05,5.335498160799613e-07,0.02162277610508213
2,0.1,200,tis,300,0.00021632771528036978,1.0658528826602585e-05,0.19335824859974932
2,0.1,200,tis_no_cov,300,0.00021632771528036978,1.0658528826602585e-05,0.19335824859974932
2,0.1,200,uniform,300,0.0011187922772726761,2.2157661330348053e-05,1.0
2,0.1,400,learned_mean,300,2.166535049129515e-05,4.6560350005824784e-07,0.03809846691584399
2,0.1,400,learned_occupancy,300,2.371391319898526e-05,5.065890832559512e-07,0.04170085952773927
2,0.1,400,oracle_no_cov,300,1.1972924988094015e-05,2.734858319128618e-07,0.02105435989729576
2,0.1,400,oracle_tail,300,1.1972924988094015e-05,2.734858319128618e-07,0.02105435989729576
2,0.1,400,tis,300,9.770428260511063e-05,5.172991878383821e-06,0.17181274680336617
2,0.1,400,tis_no_cov,300,9.770428260511063e-05,5.172991878383821e-06,0.17181274680336617
2,0.1,400,uniform,300,0.0005686672521272816,1.1870604519528767e-05,1.0
