horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_mean,0.0004499403145931487
2,0.1,50,0,learned_occupancy,0.00048817849114980103
2,0.1,50,0,oracle_no_cov,0.00013327358100116528
2,0.1,50,0,oracle_tail,0.00013327358100116528
2,0.1,50,0,tis,0.0030991611685271207
2,0.1,50,0,tis_no_cov,0.0030991611685271207
2,0.1,50,0,uniform,0.005983950728743916
2,0.1,50,1,learned_mean,0.0003669453528530877
2,0.1,50,1,learned_occupancy,0.0003295420406701165
2,0.1,50,1,oracle_no_cov,0.0001413551174034308
2,0.1,50,1,oracle_tail,0.0001413551174034308
2,0.1,50,1,tis,0.0008697894166787268
2,0.1,50,1,tis_no_cov,0.0008697894166787268
2,0.1,50,1,uniform,0.007491679802864735
2,0.1,50,2,learned_mean,0.0006555803641893248
2,0.1,50,2,learned_occupancy,0.0007676606187160385
2,0.1,50,2,oracle_no_cov,0.0003074975062391527
2,0.1,50,2,oracle_tail,0.0003074975062391527
2,0.1,50,2,tis,0.0011362459494411857
2,0.1,50,2,tis_no_cov,0.0011362459494411857
2,0.1,50,2,uniform,0.007501116859779881
2,0.1,50,3,learned_mean,0.0002528262048889797
2,0.1,50,3,learned_occupancy,0.00033367340189343
2,0.1,50,3,oracle_no_cov,0.00012074376573373074
2,0.1,50,3,oracle_tail,0.00012074376573373074
2,0.1,50,3,tis,0.000833550327401569
2,0.1,50,3,tis_no_cov,0.000833550327401569
2,0.1,50,3,uniform,0.006495929728471302
2,0.1,50,4,learned_mean,0.00035896159781461626
2,0.1,50,4,learned_occupancy,0.00036699660700652753
2,0.1,50,4,oracle_no_cov,0.00017806813059557123
2,0.1,50,4,oracle_tail,0.00017806813059557123
2,0.1,50,4,tis,0.0007815181965176647
2,0.1,50,4,tis_no_cov,0.0007815181965176647
2,0.1,50,4,uniform,0.007741029871572932
2,0.1,50,5,learned_mean,0.00037258398287541973
2,0.1,50,5,learned_occupancy,0.000354711796683436
2,0.1,50,5,oracle_no_cov,0.00015242165464915132
2,0.1,50,5,oracle_tail,0.00015242165464915132
2,0.1,50,5,tis,0.0010078098491735972
2,0.1,50,5,tis_no_cov,0.0010078098491735972
2,0.1,50,5,uniform,0.008097202919759953
2,0.1,50,6,learned_mean,0.0023848460312923462
2,0.1,50,6,learned_occupancy,0.0003601101776510494
2,0.1,50,6,oracle_no_cov,0.00017381315651614088
2,0.1,50,6,oracle_tail,0.00017381315651614088
2,0.1,50,6,tis,0.002938104531920701
2,0.1,50,6,tis_no_cov,0.002938104531920701
2,0.1,50,6,uniform,0.006074334124412326
2,0.1,50,7,learned_mean,0.00045435917341853874
2,0.1,50,7,learned_occupancy,0.000413465926316289
2,0.1,50,7,oracle_no_cov,0.00024185163800926178
2,0.1,50,7,oracle_tail,0.00024185163800926178
2,0.1,50,7,tis,0.0012583798987006142
2,0.1,50,7,tis_no_cov,0.0012583798987006142
2,0.1,50,7,uniform,0.007655292287688762
2,0.1,50,8,learned_mean,0.0007062915562386716
2,0.1,50,8,learned_occupancy,0.0006699969746210366
2,0.1,50,8,oracle_no_cov,0.0001471677869609268
2,0.1,50,8,oracle_tail,0.0001471677869609268
2,0.1,50,8,tis,0.0019085070454256288
2,0.1,50,8,tis_no_cov,0.0019085070454256288
2,0.1,50,8,uniform,0.006065901443330547
2,0.1,50,9,learned_mean,0.0005040566629987457
2,0.1,50,9,learned_occupancy,0.0004745814320266597
2,0.1,50,9,oracle_no_cov,0.00013867245107160016
2,0.1,50,9,oracle_tail,0.00013867245107160016
2,0.1,50,9,tis,0.002177686778147373
2,0.1,50,9,tis_no_cov,0.002177686778147373
2,0.1,50,9,uniform,0.0063319066624886585
2,0.1,50,10,learned_mean,0.00037769387538638086
2,0.1,50,10,learned_occupancy,0.00030222016412059625
2,0.1,50,10,oracle_no_cov,0.00012499932481368692
2,0.1,50,10,oracle_tail,0.00012499932481368692
2,0.1,50,10,tis,0.0006753048534172109
2,0.1,50,10,tis_no_cov,0.0006753048534172109
2,0.1,50,10,uniform,0.004781064875196219
2,0.1,50,11,learned_mean,0.0010017779987371096
2,0.1,50,11,learned_occupancy,0.0003739589400056282
2,0.1,50,11,oracle_no_cov,0.0001244672164923455
2,0.1,50,11,oracle_tail,0.0001244672164923455
2,0.1,50,11,tis,0.001759399121621784
2,0.1,50,11,tis_no_cov,0.001759399121621784
2,0.1,50,11,uniform,0.006895192647753543
2,0.1,50,12,learned_mean,0.0018434775902847196
2,0.1,50,12,learned_occupancy,0.0002899995807535713
2,0.1,50,12,oracle_no_cov,0.00013806171958581
2,0.1,50,12,oracle_tail,0.00013806171958581
2,0.1,50,12,tis,0.0025552813299182997
2,0.1,50,12,tis_no_cov,0.0025552813299182997
2,0.1,50,12,uniform,0.009050868971756996
2,0.1,50,13,learned_mean,0.00031577590179629537
2,0.1,50,13,learned_occupancy,0.00025737819727141286
2,0.1,50,13,oracle_no_cov,0.0002043875520408
2,0.1,50,13,oracle_tail,0.0002043875520408
2,0.1,50,13,tis,0.0005768511233122186
2,0.1,50,13,tis_no_cov,0.0005768511233122186
2,0.1,50,13,uniform,0.005014132377339184
2,0.1,50,14,learned_mean,0.00029659675592125744
2,0.1,50,14,learned_occupancy,0.00029605871511620717
2,0.1,50,14,oracle_no_cov,0.00010426435974331087
2,0.1,50,14,oracle_tail,0.00010426435974331087
2,0.1,50,14,tis,0.0008299390246009458
2,0.1,50,14,tis_no_cov,0.0008299390246009458
2,0.1,50,14,uniform,0.01789049969785419
2,0.1,50,15,learned_mean,0.000492679577155487
2,0.1,50,15,learned_occupancy,0.000500034680501933
2,0.1,50,15,oracle_no_cov,0.00011197555476060761
2,0.1,50,15,oracle_tail,0.00011197555476060761
2,0.1,50,15,tis,0.0012331378990087902
2,0.1,50,15,tis_no_cov,0.0012331378990087902
2,0.1,50,15,uniform,0.006816641488966012
2,0.1,50,16,learned_mean,0.00032876481549537647
2,0.1,50,16,learned_occupancy,0.0002778648023514858
2,0.1,50,16,oracle_no_cov,7.318999754902246e-05
2,0.1,50,16,oracle_tail,7.318999754902246e-05
2,0.1,50,16,tis,0.0006280938683768614
2,0.1,50,16,tis_no_cov,0.0006280938683768614
2,0.1,50,16,uniform,0.0060061549836648055
2,0.1,50,17,learned_mean,0.0005282986362040921
2,0.1,50,17,learned_occupancy,0.00030787466188975955
2,0.1,50,17,oracle_no_cov,0.00022065527047220967
2,0.1,50,17,oracle_tail,0.00022065527047220967
2,0.1,50,17,tis,0.0015291448158048795
2,0.1,50,17,tis_no_cov,0.0015291448158048795
2,0.1,50,17,uniform,0.006394759359314238
2,0.1,50,18,learned_mean,0.0004714976261699648
2,0.1,50,18,learned_occupancy,0.00045391413164863484
2,0.1,50,18,oracle_no_cov,0.00017015589177463665
2,0.1,50,18,oracle_tail,0.00017015589177463665
2,0.1,50,18,tis,0.0009460605432747738
2,0.1,50,18,tis_no_cov,0.0009460605432747738
2,0.1,50,18,uniform,0.00480891996131932
2,0.1,50,19,learned_mean,0.0002878679933460149
2,0.1,50,19,learned_occupancy,0.00030392477377781506
2,0.1,50,19,oracle_no_cov,0.00018226473129055674
2,0.1,50,19,oracle_tail,0.00018226473129055674
2,0.1,50,19,tis,0.0015022845651321793
2,0.1,50,19,tis_no_cov,0.0015022845651321793
2,0.1,50,19,uniform,0.00929830090898183
2,0.1,50,20,learned_mean,0.0002888841645255895
2,0.1,50,20,learned_occupancy,0.000338003091989868
2,0.1,50,20,oracle_no_cov,0.0002892258275879486
2,0.1,50,20,oracle_tail,0.0002892258275879486
2,0.1,50,20,tis,0.0010351428489259024
2,0.1,50,20,tis_no_cov,0.0010351428489259024
2,0.1,50,20,uniform,0.01096620198458541
2,0.1,50,21,learned_mean,0.00026335834323101354
2,0.1,50,21,learned_occupancy,0.0004163572862314579
2,0.1,50,21,oracle_no_cov,8.767216690893573e-05
2,0.1,50,21,oracle_tail,8.767216690893573e-05
2,0.1,50,21,tis,0.001433152433556656
2,0.1,50,21,tis_no_cov,0.001433152433556656
2,0.1,50,21,uniform,0.004264407611052881
2,0.1,50,22,learned_mean,0.0003461546908082806
2,0.1,50,22,learned_occupancy,0.00036388489863627507
2,0.1,50,22,oracle_no_cov,0.00027497215791588773
2,0.1,50,22,oracle_tail,0.00027497215791588773
2,0.1,50,22,tis,0.0013556527462031493
2,0.1,50,22,tis_no_cov,0.0013556527462031493
2,0.1,50,22,uniform,0.005028464731234513
2,0.1,50,23,learned_mean,0.0006119377025688019
2,0.1,50,23,learned_occupancy,0.0005379782727521618
2,0.1,50,23,oracle_no_cov,0.00016142013086279072
2,0.1,50,23,oracle_tail,0.00016142013086279072
2,0.1,50,23,tis,0.0010338858906453895
2,0.1,50,23,tis_no_cov,0.0010338858906453895
2,0.1,50,23,uniform,0.006596597366041814
2,0.1,50,24,learned_mean,0.0003173504075968928
2,0.1,50,24,learned_occupancy,0.00033866614400510504
2,0.1,50,24,oracle_no_cov,0.00044470882871163044
2,0.1,50,24,oracle_tail,0.00044470882871163044
2,0.1,50,24,tis,0.0018636224511327844
2,0.1,50,24,tis_no_cov,0.0018636224511327844
2,0.1,50,24,uniform,0.006811672487439779
2,0.1,50,25,learned_mean,0.00034507367738147854
2,0.1,50,25,learned_occupancy,0.0004314005861675361
2,0.1,50,25,oracle_no_cov,0.00023427924979301827
2,0.1,50,25,oracle_tail,0.00023427924979301827
2,0.1,50,25,tis,0.0008020395402142133
2,0.1,50,25,tis_no_cov,0.0008020395402142133
2,0.1,50,25,uniform,0.009147402891652376
2,0.1,50,26,learned_mean,0.00026008179447119386
2,0.1,50,26,learned_occupancy,0.00019424154731622104
2,0.1,50,26,oracle_no_cov,0.0001103245675222981
2,0.1,50,26,oracle_tail,0.0001103245675222981
2,0.1,50,26,tis,0.0007121305671900189
2,0.1,50,26,tis_no_cov,0.0007121305671900189
2,0.1,50,26,uniform,0.006108283379366883
2,0.1,50,27,learned_mean,0.00029429476089605033
2,0.1,50,27,learned_occupancy,0.00037931939631723855
2,0.1,50,27,oracle_no_cov,9.90798146919338e-05
2,0.1,50,27,oracle_tail,9.90798146919338e-05
2,0.1,50,27,tis,0.0009182070192004543
2,0.1,50,27,tis_no_cov,0.0009182070192004543
2,0.1,50,27,uniform,0.006063860306450253
2,0.1,50,28,learned_mean,0.0003603442851496337
2,0.1,50,28,learned_occupancy,0.00036474925685422006
2,0.1,50,28,oracle_no_cov,0.00013297723898135825
2,0.1,50,28,oracle_tail,0.00013297723898135825
2,0.1,50,28,tis,0.001071135646800728
2,0.1,50,28,tis_no_cov,0.001071135646800728
2,0.1,50,28,uniform,0.0060005960749579534
2,0.1,50,29,learned_mean,0.0006773229582351099
2,0.1,50,29,learned_occupancy,0.0005488761143236238
2,0.1,50,29,oracle_no_cov,0.00012201270758791405
2,0.1,50,29,oracle_tail,0.00012201270758791405
2,0.1,50,29,tis,0.002828256695690949
2,0.1,50,29,tis_no_cov,0.002828256695690949
2,0.1,50,29,uniform,0.00695025534827628
2,0.1,50,30,learned_mean,0.0005915319373320531
2,0.1,50,30,learned_occupancy,0.0006743194574544252
2,0.1,50,30,oracle_no_cov,0.0001887238234743369
2,0.1,50,30,oracle_tail,0.0001887238234743369
2,0.1,50,30,tis,0.002151908548458771
2,0.1,50,30,tis_no_cov,0.002151908548458771
2,0.1,50,30,uniform,0.004248889325337417
2,0.1,50,31,learned_mean,0.00044658548699328646
2,0.1,50,31,learned_occupancy,0.00037638240172013326
2,0.1,50,31,oracle_no_cov,0.00010165906833203046
2,0.1,50,31,oracle_tail,0.00010165906833203046
2,0.1,50,31,tis,0.0009516673416086834
2,0.1,50,31,tis_no_cov,0.0009516673416086834
2,0.1,50,31,uniform,0.010754408505191722
2,0.1,50,32,learned_mean,0.00030418939477797936
