horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,learned_mean-minus-tis,300,-0.00039202843237732957,0.00020222188998888466
2,0.1,50,learned_occupancy-minus-tis,300,-0.004616678182728382,0.0002095904494374711
2,0.1,50,oracle_no_cov-minus-tis,300,-0.004479533770461564,0.00020806120973693808
2,0.1,50,oracle_tail-minus-tis,300,-0.004479533770461564,0.00020806120973693808
2,0.1,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,50,uniform-minus-tis,300,0.0022399442990772315,0.00022762025624980384
2,0.1,100,learned_mean-minus-tis,300,0.0006971134825143292,0.00015461665736125926
2,0.1,100,learned_occupancy-minus-tis,300,-0.0020140639971084535,0.00011117147821398844
2,0.1,100,oracle_no_cov-minus-tis,300,-0.001995331400523137,0.000112707501900172
2,0.1,100,oracle_tail-minus-tis,300,-0.001995331400523137,0.000112707501900172
2,0.1,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,100,uniform-minus-tis,300,0.0016398128966612555,0.00013744207271921928
2,0.1,200,learned_mean-minus-tis,300,0.00020975297467521007,9.790159543701105e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0010142595603831104,7.442382184094622e-05
2,0.1,200,oracle_no_cov-minus-tis,300,-0.0010248186948959397,7.454677773924417e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.0010248186948959397,7.454677773924417e-05
2,0.1,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,200,uniform-minus-tis,300,0.0007597702454783918,8.649165206224382e-05
2,0.1,400,learned_mean-minus-tis,300,-1.1536476745167083e-05,4.554988315166616e-05
2,0.1,400,learned_occupancy-minus-tis,300,-0.0003717023450408022,3.141780090716031e-05
2,0.1,400,oracle_no_cov-minus-tis,300,-0.00038337185335466924,3.145117082113802e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.00038337185335466924,3.145117082113802e-05
2,0.1,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,400,uniform-minus-tis,300,0.0005228259540809048,3.9423919583629945e-05
2,0.2,50,learned_mean-minus-tis,300,-4.806490991594639e-05,0.0001450457696486674
2,0.2,50,learned_occupancy-minus-tis,300,-0.002633673271890779,0.00015968392396887435
2,0.2,50,oracle_no_cov-minus-tis,300,-0.002562855367337628,0.00016218543162406607
2,0.2,50,oracle_tail-minus-tis,300,-0.002562855367337628,0.00016218543162406607
2,0.2,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,50,uniform-minus-tis,300,0.002061941615770222,0.0001940509298391273
2,0.2,100,learned_mean-minus-tis,300,6.015453486010467e-05,7.641137985108006e-05
2,0.2,100,learned_occupancy-minus-tis,300,-0.0013063634767673956,9.130868997937526e-05
2,0.2,100,oracle_no_cov-minus-tis,300,-0.001243682982257411,9.330210161700048e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.001243682982257411,9.330210161700048e-05
2,0.2,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,100,uniform-minus-tis,300,0.0011374204849815817,9.853651109267628e-05
2,0.2,200,learned_mean-minus-tis,300,-2.2050927861378206e-05,4.199358747755173e-05
2,0.2,200,learned_occupancy-minus-tis,300,-0.0005715129827683335,4.678866931019995e-05
2,0.2,200,oracle_no_cov-minus-tis,300,-0.0005164795720884419,4.6995374800207444e-05
2,0.2,200,oracle_tail-minus-tis,300,-0.0005164795720884419,4.6995374800207444e-05
2,0.2,200,tis_no_cov-minus-tis,300,0.0,0.0
