horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,learned_mean,300,0.004666977651556118,0.0002218393374892391,0.6394039425749702
2,0.1,50,learned_occupancy,300,0.00044232790120506664,1.1786339121566178e-05,0.060601576664316856
2,0.1,50,oracle_no_cov,300,0.0005794723134718839,4.983701169875083e-05,0.07939118408321916
2,0.1,50,oracle_tail,300,0.0005794723134718839,4.983701169875083e-05,0.07939118408321916
2,0.1,50,tis,300,0.005059006083933448,0.00021116628610575277,0.6931141901867133
2,0.1,50,tis_no_cov,300,0.005059006083933448,0.00021116628610575277,0.6931141901867133
2,0.1,50,uniform,300,0.007298950383010681,0.00017135486794438458,1.0
2,0.1,100,learned_mean,300,0.002911065001553267,0.0001750203204141769,0.7553821893454671
2,0.1,100,learned_occupancy,300,0.00019988752193048447,5.413363718147805e-06,0.05186812175548274
2,0.1,100,oracle_no_cov,300,0.0002186201185158007,1.7086745466878018e-05,0.05672897845679013
2,0.1,100,oracle_tail,300,0.0002186201185158007,1.7086745466878018e-05,0.05672897845679013
2,0.1,100,tis,300,0.0022139515190389377,0.00011115496381529713,0.5744906227322365
2,0.1,100,tis_no_cov,300,0.0022139515190389377,0.00011115496381529713,0.5744906227322365
2,0.1,100,uniform,300,0.003853764415700194,9.733932695795347e-05,1.0
2,0.1,200,learned_mean,300,0.0013083681975508703,0.00011369977095745948,0.7040348839520765
2,0.1,200,learned_occupancy,300,8.435566249254982e-05,2.1246485657262645e-06,0.04539190815308222
2,0.1,200,oracle_no_cov,300,7.379652797972047e-05,5.530321864877173e-06,0.039710022079047516
2,0.1,200,oracle_tail,300,7.379652797972047e-05,5.530321864877173e-06,0.039710022079047516
2,0.1,200,tis,300,0.0010986152228756603,7.439507273497711e-05,0.5911664945640634
2,0.1,200,tis_no_cov,300,0.0010986152228756603,7.439507273497711e-05,0.5911664945640634
2,0.1,200,uniform,300,0.001858385468354052,4.340412269041874e-05,1.0
2,0.1,400,learned_mean,300,0.0003966966952279701,5.274896071455639e-05,0.4260703580762114
