horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,answer_entropy-minus-tis,300,0.0042718921119969605,0.00025807074725984894
2,0.1,50,learned_mean-minus-tis,300,-0.00035615159868045355,4.390952080645978e-05
2,0.1,50,learned_occupancy-minus-tis,300,-0.0010654566972666554,4.9099330514422816e-05
2,0.1,50,mean_influence-minus-tis,300,-0.0011178160898509633,4.950347008627283e-05
2,0.1,50,occupancy-minus-tis,300,-0.001118212782479866,4.9480453204604576e-05
2,0.1,50,oracle_no_cov-minus-tis,300,-0.0011336981047201456,4.9515887990794987e-05
2,0.1,50,oracle_tail-minus-tis,300,-0.0011336981047201456,4.9515887990794987e-05
2,0.1,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,50,uniform-minus-tis,300,4.9931273788644154e-05,4.876129621647683e-05
2,0.1,50,untied_tis-minus-tis,300,-9.673881592579152e-05,6.758987011740467e-05
2,0.1,100,answer_entropy-minus-tis,300,0.002755529141640044,0.00018595935235850086
2,0.1,100,learned_mean-minus-tis,300,-0.0001825081328084999,3.259179794494804e-05
2,0.1,100,learned_occupancy-minus-tis,300,-0.000509999169944775,3.6475411378846975e-05
2,0.1,100,mean_influence-minus-tis,300,-0.0005294978705056263,3.654173550481106e-05
2,0.1,100,occupancy-minus-tis,300,-0.0005287294987164251,3.65080592014082e-05
2,0.1,100,oracle_no_cov-minus-tis,300,-0.0005374883048134787,3.6539771901294406e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0005374883048134787,3.6539771901294406e-05
2,0.1,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,100,uniform-minus-tis,300,4.7603625377515064e-05,3.539331277775933e-05
2,0.1,100,untied_tis-minus-tis,300,4.880669449174601e-05,5.8955703515511235e-05
2,0.1,200,answer_entropy-minus-tis,300,0.0011139457676215337,8.045951261058709e-05
2,0.1,200,learned_mean-minus-tis,300,-0.00010086508071925657,1.5416125000281115e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0002584455462694044,1.7424810835728253e-05
2,0.1,200,mean_influence-minus-tis,300,-0.0002639655151920024,1.7457699385143456e-05
2,0.1,200,occupancy-minus-tis,300,-0.00026383354844266443,1.7444985834221925e-05
