horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,answer_entropy,0.006710148103266626
2,0.1,50,0,learned_mean,0.00040815915861460437
2,0.1,50,0,learned_occupancy,0.0001344656899760421
2,0.1,50,0,mean_influence,9.076569077211251e-05
2,0.1,50,0,occupancy,4.979039480353273e-05
2,0.1,50,0,oracle_no_cov,3.718264127810687e-05
2,0.1,50,0,oracle_tail,3.718264127810687e-05
2,0.1,50,0,tis,0.0005069553119034724
2,0.1,50,0,tis_no_cov,0.0005069553119034724
2,0.1,50,0,uniform,0.0013947066251246611
2,0.1,50,0,untied_tis,0.0025534106289720688
2,0.1,50,1,answer_entropy,0.008135753497851127
2,0.1,50,1,learned_mean,9.064280523110519e-05
2,0.1,50,1,learned_occupancy,4.5267916485148445e-05
2,0.1,50,1,mean_influence,2.3950808092076056e-05
2,0.1,50,1,occupancy,2.3199455704019305e-05
2,0.1,50,1,oracle_no_cov,2.4640450728262047e-05
2,0.1,50,1,oracle_tail,2.4640450728262047e-05
2,0.1,50,1,tis,0.0002833579391885553
2,0.1,50,1,tis_no_cov,0.0002833579391885553
2,0.1,50,1,uniform,0.0005578203092255782
2,0.1,50,1,untied_tis,0.000478397450490131
2,0.1,50,2,answer_entropy,0.002234655869602163
2,0.1,50,2,learned_mean,0.0001526912540904046
2,0.1,50,2,learned_occupancy,3.8601495049589685e-05
2,0.1,50,2,mean_influence,3.053493038502767e-05
2,0.1,50,2,occupancy,3.437386964280599e-05
2,0.1,50,2,oracle_no_cov,1.750007870207271e-05
2,0.1,50,2,oracle_tail,1.750007870207271e-05
2,0.1,50,2,tis,0.0006663159682413354
2,0.1,50,2,tis_no_cov,0.0006663159682413354
2,0.1,50,2,uniform,0.0007985071980101221
2,0.1,50,2,untied_tis,0.000731868199095171
2,0.1,50,3,answer_entropy,0.004693739967508608
2,0.1,50,3,learned_mean,0.0004943435633712637
2,0.1,50,3,learned_occupancy,0.0001653710220742318
2,0.1,50,3,mean_influence,3.53821653972105e-05
2,0.1,50,3,occupancy,3.7478709495176486e-05
2,0.1,50,3,oracle_no_cov,1.4142146780055188e-05
2,0.1,50,3,oracle_tail,1.4142146780055188e-05
2,0.1,50,3,tis,0.0019516617234702864
2,0.1,50,3,tis_no_cov,0.0019516617234702864
2,0.1,50,3,uniform,0.001189259919841712
