horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,answer_entropy,300,0.00032263375820693524,0.0003220955864257099,0.001037043474091052,322633758206.93524
2,0.1,50,0,learned_mean,300,4.1435664220554414e-17,2.845469245737738e-25,6.437054001680783e-09,0.04143566422055441
2,0.1,50,0,learned_occupancy,300,4.143566421102566e-17,2.845469245737738e-25,6.437054000940634e-09,0.04143566421102565
2,0.1,50,0,mean_influence,300,4.143566421102566e-17,2.845469245737738e-25,6.437054000940634e-09,0.04143566421102565
2,0.1,50,0,occupancy,300,4.143566421102566e-17,2.845469245737738e-25,6.437054000940634e-09,0.04143566421102565
2,0.1,50,0,oracle_no_cov,300,4.143566417767515e-17,1.1200078439918493e-25,6.437053998350114e-09,0.04143566417767515
2,0.1,50,0,oracle_tail,300,4.143566417767515e-17,1.1200078439918493e-25,6.437053998350114e-09,0.04143566417767515
2,0.1,50,0,tis,300,4.1435664220554414e-17,2.845469245737738e-25,6.437054001680783e-09,0.04143566422055441
2,0.1,50,0,tis_no_cov,300,4.1435664220554414e-17,2.845469245737738e-25,6.437054001680783e-09,0.04143566422055441
2,0.1,50,0,uniform,300,4.1435664130031257e-17,2.593885058531331e-25,6.4370539946493705e-09,0.041435664130031254
2,0.1,50,0,untied_tis,300,4.143566421102566e-17,2.845469245737738e-25,6.437054000940634e-09,0.04143566421102565
2,0.1,50,1,answer_entropy,300,0.004881551013535396,0.0004040388577302789,-0.0018045757301444723,0.8319461564440256
2,0.1,50,1,learned_mean,300,0.00332960797987875,0.00035724373174685667,-0.0013107793315423426,0.5674537772205536
2,0.1,50,1,learned_occupancy,300,0.0003001020220507271,2.3344076934769142e-05,-0.0001614701371298651,0.051145368161453146
2,0.1,50,1,mean_influence,300,0.00045544493315989446,3.4182760326136367e-05,0.0003926330052747836,0.07761993279670001
2,0.1,50,1,occupancy,300,0.00020867536202718437,1.4658141630716501e-05,-0.000453498726231167,0.03556383307307678
2,0.1,50,1,oracle_no_cov,300,0.00011588468069770842,8.351969812496525e-06,0.00015076661096098657,0.019749832467156416
2,0.1,50,1,oracle_tail,300,0.00011588468069770842,8.351969812496525e-06,0.00015076661096098657,0.019749832467156416
2,0.1,50,1,tis,300,0.00548303062335237,0.0007781171287479716,-0.0008033818957051773,0.9344542830986882
2,0.1,50,1,tis_no_cov,300,0.00548303062335237,0.0007781171287479716,-0.0008033818957051773,0.9344542830986882
2,0.1,50,1,uniform,300,0.005867628542693837,0.0004386984264351441,0.002336737240795812,1.0
2,0.1,50,1,untied_tis,300,0.006203488507337978,0.0008497725380515501,-0.001737132860663804,1.0572394728467163
2,0.1,50,2,answer_entropy,300,0.002806087035639939,0.0001050338424269379,0.01696756978616561,2.0688074135647816
2,0.1,50,2,learned_mean,300,0.0010207605294732319,9.339798911851499e-05,0.002754155848868618,0.7525628834840967
2,0.1,50,2,learned_occupancy,300,4.928717032884552e-05,3.9449820925517185e-06,0.000547908356047712,0.03633731316059913
2,0.1,50,2,mean_influence,300,4.7015248667055984e-05,3.899054812399041e-06,0.00041103477798044424,0.03466232292784723
2,0.1,50,2,occupancy,300,3.56506079016854e-05,3.108268333172969e-06,0.0003066698578118506,0.0262836615501764
2,0.1,50,2,oracle_no_cov,300,1.8138624274679532e-05,1.532010743553234e-06,0.00014011356102091959,0.013372828388683722
2,0.1,50,2,oracle_tail,300,1.8138624274679532e-05,1.532010743553234e-06,0.00014011356102091959,0.013372828388683722
2,0.1,50,2,tis,300,0.0011008724814681404,9.93766089429616e-05,-0.0008352082827307017,0.8116259838431403
2,0.1,50,2,tis_no_cov,300,0.0011008724814681404,9.93766089429616e-05,-0.0008352082827307017,0.8116259838431403
2,0.1,50,2,uniform,300,0.0013563790506747769,0.0001005316987662818,0.001381872413116844,1.0
2,0.1,50,2,untied_tis,300,0.00104532268846687,9.495957241752473e-05,0.0002826794012091834,0.7706715080469864
2,0.1,50,3,answer_entropy,300,4.849124816851671e-05,1.8579654420885994e-05,-6.654253309505531e-05,5.572548480181561
2,0.1,50,3,learned_mean,300,1.922074020642339e-06,2.6382082857970197e-07,-2.256597590299762e-05,0.22088213991326014
2,0.1,50,3,learned_occupancy,300,1.222599705890467e-06,1.5550721067304114e-07,3.066765236507063e-05,0.14049950022432567
2,0.1,50,3,mean_influence,300,9.153847196737953e-07,8.514508362406457e-08,-5.3544203721200836e-06,0.10519477062484668
2,0.1,50,3,occupancy,300,6.545383423993542e-07,5.209587798332688e-08,2.8666105498068214e-05,0.07521865868419139
2,0.1,50,3,oracle_no_cov,300,1.5309519287610623e-07,1.3541322965684552e-08,5.4636328207661546e-06,0.01759349195178584
2,0.1,50,3,oracle_tail,300,1.5309519287610623e-07,1.3541322965684552e-08,5.4636328207661546e-06,0.01759349195178584
2,0.1,50,3,tis,300,1.0897822081724212e-05,1.8143535153883741e-06,-0.00023617179750678156,1.2523629350137002
2,0.1,50,3,tis_no_cov,300,1.0897822081724212e-05,1.8143535153883741e-06,-0.00023617179750678156,1.2523629350137002
2,0.1,50,3,uniform,300,8.701808219519842e-06,1.224792654843897e-06,-0.00014057979115678003,1.0
2,0.1,50,3,untied_tis,300,9.185815887685352e-06,2.268207549343453e-06,0.0001777110787424167,1.0556215048591608
2,0.1,50,4,answer_entropy,300,0.0009477768102560204,0.00036703339151846945,0.002959134225833155,21.211037945875614
2,0.1,50,4,learned_mean,300,1.06614792600386e-06,1.238755715904643e-07,4.7437371346420824e-05,0.02386015765491854
2,0.1,50,4,learned_occupancy,300,1.4770519813832091e-06,1.4411883870685483e-07,6.252701761559935e-05,0.03305610064112771
2,0.1,50,4,mean_influence,300,9.926345581403259e-07,1.245134815743459e-07,-1.9703098876310647e-05,0.022214944543129778
2,0.1,50,4,occupancy,300,1.189526504340182e-06,1.0274216851260422e-07,-4.278497682846938e-06,0.026621343282675135
2,0.1,50,4,oracle_no_cov,300,9.307633928983184e-07,1.0909767874321761e-07,7.780756146288e-07,0.020830281382454578
2,0.1,50,4,oracle_tail,300,9.307633928983184e-07,1.0909767874321761e-07,7.780756146288e-07,0.020830281382454578
2,0.1,50,4,tis,300,5.21010687252477e-05,1.6924926895927313e-05,6.43474672219361e-05,1.1660105351737609
2,0.1,50,4,tis_no_cov,300,5.21010687252477e-05,1.6924926895927313e-05,6.43474672219361e-05,1.1660105351737609
2,0.1,50,4,uniform,300,4.4683188662170636e-05,1.1355443469862958e-05,-8.11731094232863e-05,1.0
2,0.1,50,4,untied_tis,300,8.32550928393146e-05,3.188189980646485e-05,-0.00033037056826437167,1.8632307884016217
2,0.1,50,5,answer_entropy,300,0.0028118412700909525,0.0003199702069760329,0.028994612530032913,9.644805068319334
2,0.1,50,5,learned_mean,300,6.149222066209917e-06,2.1052279391810025e-06,0.00025861871724993583,0.021092246131121088
2,0.1,50,5,learned_occupancy,300,5.485502769070834e-06,1.5399895726432685e-06,0.0005382448646684109,0.01881564420871552
2,0.1,50,5,mean_influence,300,1.5925698668117805e-06,2.7455220160228603e-07,0.00015174308211447828,0.00546262197886514
2,0.1,50,5,occupancy,300,2.5350070459071485e-06,4.645624493043722e-07,0.00026703601759126114,0.008695245021352018
2,0.1,50,5,oracle_no_cov,300,1.99047712911657e-06,3.617269782828449e-07,0.0003208921945781007,0.006827470706643493
2,0.1,50,5,oracle_tail,300,1.99047712911657e-06,3.617269782828449e-07,0.0003208921945781007,0.006827470706643493
2,0.1,50,5,tis,300,0.00022348355762646656,3.9802051590918206e-05,0.00532432391060876,0.7665636649582499
2,0.1,50,5,tis_no_cov,300,0.00022348355762646656,3.9802051590918206e-05,0.00532432391060876,0.7665636649582499
2,0.1,50,5,uniform,300,0.00029153946089870874,4.475544968808921e-05,0.007829169643725402,1.0
2,0.1,50,5,untied_tis,300,0.0002097356383676036,4.3403520075059953e-05,0.004465403051209965,0.7194073753208774
2,0.1,50,6,answer_entropy,300,0.002526774460188499,0.00035951269955272416,0.01103231755589809,2.3716290334602554
2,0.1,50,6,learned_mean,300,0.00017240848278686437,3.240631913518943e-05,0.003136303850936514,0.1618225013093004
2,0.1,50,6,learned_occupancy,300,4.689241859732149e-05,5.63422609456928e-06,0.000654492436020377,0.044013196724444814
2,0.1,50,6,mean_influence,300,2.5514224103116486e-05,2.0261834896212236e-06,0.00029811729170500567,0.023947635850588893
2,0.1,50,6,occupancy,300,2.955616387181702e-05,2.202523901529087e-06,0.0002511039013961917,0.027741398158219903
2,0.1,50,6,oracle_no_cov,300,2.1328673523049988e-05,3.846684718095862e-06,0.0007856749014209893,0.020019080519235104
2,0.1,50,6,oracle_tail,300,2.1328673523049988e-05,3.846684718095862e-06,0.0007856749014209893,0.020019080519235104
2,0.1,50,6,tis,300,0.003128030856905766,0.000448174210088505,0.004651206500511406,2.9359679364670517
2,0.1,50,6,tis_no_cov,300,0.003128030856905766,0.000448174210088505,0.004651206500511406,2.9359679364670517
2,0.1,50,6,uniform,300,0.0010654172404450132,9.961310382962332e-05,0.0024396041102112552,1.0
2,0.1,50,6,untied_tis,300,0.0023791030428541846,0.00036626165187457184,0.010365123689832325,2.233024727345748
2,0.1,50,7,answer_entropy,300,0.0735392832906247,0.010212273810435534,0.09930097954802365,117.365739891216
2,0.1,50,7,learned_mean,300,0.0005810835286488305,6.623715473548972e-05,-0.001586968957493828,0.9273859524704277
2,0.1,50,7,learned_occupancy,300,9.275407926850447e-05,1.0309777761987324e-05,-4.3230834941721716e-05,0.14803178184719087
2,0.1,50,7,mean_influence,300,0.00011688681150282767,1.0570587754743208e-05,-0.0011192740003124909,0.18654665236999116
2,0.1,50,7,occupancy,300,4.405636294908186e-05,4.165064295965588e-06,-0.00046677867856718643,0.0703121842240492
2,0.1,50,7,oracle_no_cov,300,1.1016298163157281e-05,8.719188018799395e-07,-0.00018884753359830678,0.017581569018990297
2,0.1,50,7,oracle_tail,300,1.1016298163157281e-05,8.719188018799395e-07,-0.00018884753359830678,0.017581569018990297
2,0.1,50,7,tis,300,0.0003960294003059273,6.36586790338844e-05,9.80089369144658e-06,0.632047002714063
2,0.1,50,7,tis_no_cov,300,0.0003960294003059273,6.36586790338844e-05,9.80089369144658e-06,0.632047002714063
2,0.1,50,7,uniform,300,0.0006265821981677687,7.124105973590947e-05,-0.0027469688395809215,1.0
2,0.1,50,7,untied_tis,300,0.0008612277082774291,0.0004081499431381678,0.0029337575656594107,1.37448480150857
2,0.1,50,8,answer_entropy,300,0.00022095971437576545,2.7541836432206692e-05,0.0011721778723748973,0.9199892888296478
2,0.1,50,8,learned_mean,300,7.662035895918659e-06,1.17632827553835e-06,0.0003056294110380779,0.03190170196765318
2,0.1,50,8,learned_occupancy,300,9.007773222029194e-06,6.98405462943537e-07,3.3825214668958454e-05,0.03750482255955657
2,0.1,50,8,mean_influence,300,5.546152850113496e-06,4.34257460664745e-07,-9.989689150496435e-05,0.023091997700717806
2,0.1,50,8,occupancy,300,6.352716527317342e-06,5.241766408846897e-07,-0.00020639074539340106,0.026450211418014218
2,0.1,50,8,oracle_no_cov,300,5.09271041567528e-06,3.7203765462826144e-07,-5.0305574489712956e-05,0.021204041862421554
2,0.1,50,8,oracle_tail,300,5.09271041567528e-06,3.7203765462826144e-07,-5.0305574489712956e-05,0.021204041862421554
2,0.1,50,8,tis,300,0.0004904410338933745,0.0001689005538051695,0.002656587193502893,2.0420034451037012
2,0.1,50,8,tis_no_cov,300,0.0004904410338933745,0.0001689005538051695,0.002656587193502893,2.0420034451037012
2,0.1,50,8,uniform,300,0.00024017639885444365,3.286806529336437e-05,0.000848728545461989,1.0
2,0.1,50,8,untied_tis,300,0.00040066034408408994,8.191118266564755e-05,0.0022378821287482725,1.668191987202314
2,0.1,50,9,answer_entropy,300,0.0015568746380995979,0.0001577177785989297,0.010953796044997358,1.8719830531117128
2,0.1,50,9,learned_mean,300,0.0002710466742276463,5.9423289041613726e-05,0.0036187433888046436,0.32590599675757936
2,0.1,50,9,learned_occupancy,300,3.958051308340705e-05,3.247202660570525e-06,-0.00024138895985013065,0.04759153236386937
2,0.1,50,9,mean_influence,300,2.6736724150788297e-05,2.2825597114203126e-06,9.60124560672515e-06,0.032148185397311645
2,0.1,50,9,occupancy,300,2.8347450508329184e-05,2.386907019749907e-06,0.0001523879060675241,0.03408491965370461
2,0.1,50,9,oracle_no_cov,300,2.335703512716056e-05,1.8272667752296738e-06,0.00020461219967710776,0.028084453853234645
2,0.1,50,9,oracle_tail,300,2.335703512716056e-05,1.8272667752296738e-06,0.00020461219967710776,0.028084453853234645
2,0.1,50,9,tis,300,0.0006146346905721685,7.33932252089586e-05,0.001999169433794588,0.7390355629468829
2,0.1,50,9,tis_no_cov,300,0.0006146346905721685,7.33932252089586e-05,0.001999169433794588,0.7390355629468829
2,0.1,50,9,uniform,300,0.0008316713313786017,5.9136765099935356e-05,0.003081299186871381,1.0
2,0.1,50,9,untied_tis,300,0.00112011581136192,0.0002967307505803729,0.0002585859331840553,1.3468250847425325
2,0.1,50,10,answer_entropy,300,0.028859088024784672,0.003937540191733946,0.0672522045855379,1171.5011852436671
2,0.1,50,10,learned_mean,300,0.0,0.0,0.0,0.0
2,0.1,50,10,learned_occupancy,300,0.0,0.0,0.0,0.0
2,0.1,50,10,mean_influence,300,0.0,0.0,0.0,0.0
2,0.1,50,10,occupancy,300,0.0,0.0,0.0,0.0
2,0.1,50,10,oracle_no_cov,300,2.4634279835390955e-05,2.4396589034549064e-05,0.0003110370370370372,1.0
2,0.1,50,10,oracle_tail,300,2.4634279835390955e-05,2.4396589034549064e-05,0.0003110370370370372,1.0
2,0.1,50,10,tis,300,0.0005928342380597043,0.00035792250895286097,0.0026263560858155446,24.0654178657176
2,0.1,50,10,tis_no_cov,300,0.0005928342380597043,0.00035792250895286097,0.0026263560858155446,24.0654178657176
2,0.1,50,10,uniform,300,2.4634279835390955e-05,2.4396589034549064e-05,0.0003110370370370372,1.0
