horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,learned_occupancy,0.0001344656899760421
2,0.1,50,0,oracle_tail,3.718264127810687e-05
2,0.1,50,0,tis,0.0005069553119034724
2,0.1,50,0,tis_anchored,0.00021194864351703642
2,0.1,50,0,uniform,0.0013947066251246611
2,0.1,50,1,learned_occupancy,4.5267916485148445e-05
2,0.1,50,1,oracle_tail,2.4640450728262047e-05
2,0.1,50,1,tis,0.0002833579391885553
2,0.1,50,1,tis_anchored,5.4278490636066386e-05
2,0.1,50,1,uniform,0.0005578203092255782
2,0.1,50,2,learned_occupancy,3.8601495049589685e-05
2,0.1,50,2,oracle_tail,1.750007870207271e-05
2,0.1,50,2,tis,0.0006663159682413354
2,0.1,50,2,tis_anchored,5.050856937441142e-05
2,0.1,50,2,uniform,0.0007985071980101221
2,0.1,50,3,learned_occupancy,0.0001653710220742318
2,0.1,50,3,oracle_tail,1.4142146780055188e-05
2,0.1,50,3,tis,0.0019516617234702864
2,0.1,50,3,tis_anchored,0.00022066644078455537
2,0.1,50,3,uniform,0.001189259919841712
2,0.1,50,4,learned_occupancy,7.266643991236413e-05
2,0.1,50,4,oracle_tail,2.5535475759531674e-05
2,0.1,50,4,tis,0.0016758998347290517
2,0.1,50,4,tis_anchored,5.602393885988088e-05
2,0.1,50,4,uniform,0.0012534751135815432
2,0.1,50,5,learned_occupancy,0.00010830024501230998
2,0.1,50,5,oracle_tail,2.9140872607376607e-05
2,0.1,50,5,tis,0.00047233910612167677
2,0.1,50,5,tis_anchored,7.542872695594921e-05
2,0.1,50,5,uniform,0.0011864768585482487
2,0.1,50,6,learned_occupancy,3.64906521118445e-05
2,0.1,50,6,oracle_tail,1.5862589919700676e-05
2,0.1,50,6,tis,0.0009821058055828771
2,0.1,50,6,tis_anchored,4.1506725254053636e-05
2,0.1,50,6,uniform,0.001215420004229868
2,0.1,50,7,learned_occupancy,0.00022029086968818873
2,0.1,50,7,oracle_tail,2.778903790750506e-05
2,0.1,50,7,tis,0.0006148373917870056
2,0.1,50,7,tis_anchored,0.0002123116020772794
2,0.1,50,7,uniform,0.0007423030444905275
2,0.1,50,8,learned_occupancy,0.00023642347437993164
2,0.1,50,8,oracle_tail,2.470137323605597e-05
2,0.1,50,8,tis,0.0005689706662034041
2,0.1,50,8,tis_anchored,0.00024655282784425407
2,0.1,50,8,uniform,0.0026458929634250103
2,0.1,50,9,learned_occupancy,9.065682739425721e-05
2,0.1,50,9,oracle_tail,3.949201845263454e-05
2,0.1,50,9,tis,0.00032660488728775133
2,0.1,50,9,tis_anchored,0.00011965953834936606
2,0.1,50,9,uniform,0.0010449758570060471
2,0.1,50,10,learned_occupancy,0.0001607954835904637
2,0.1,50,10,oracle_tail,1.9608545139257157e-05
2,0.1,50,10,tis,0.0010173972279319936
2,0.1,50,10,tis_anchored,0.0002055467665553981
2,0.1,50,10,uniform,0.0008864846640035854
2,0.1,50,11,learned_occupancy,7.002442497871593e-05
2,0.1,50,11,oracle_tail,2.971326385012566e-05
2,0.1,50,11,tis,0.0006149792491850681
2,0.1,50,11,tis_anchored,0.00010114870221463553
2,0.1,50,11,uniform,0.00103927313989327
