horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
2,0.1,50,learned_occupancy,300,9.441620781703059e-05,3.275125994892817e-06,0.07804255388259347
2,0.1,50,oracle_tail,300,2.6174800363540895e-05,8.257109683401178e-07,0.021635567822173227
2,0.1,50,tis,300,0.0011598729050836861,4.9462903807315734e-05,0.9587278051600171
2,0.1,50,tis_anchored,300,9.457884975445349e-05,3.2583976542833344e-06,0.07817699046354039
2,0.1,50,uniform,300,0.0012098041788723304,3.450592707827869e-05,1.0
2,0.1,100,learned_occupancy,300,3.998379799521497e-05,1.718779543383857e-06,0.06690879354110793
2,0.1,100,oracle_tail,300,1.2494663126511235e-05,3.2152185370782036e-07,0.020908539894021128
2,0.1,100,tis,300,0.00054998296793999,3.6516762456683904e-05,0.9203402052357913
2,0.1,100,tis_anchored,300,3.76320652726737e-05,1.6322873316558984e-06,0.0629734095334353
2,0.1,100,uniform,300,0.000597586593317505,1.6473066659213407e-05,1.0
2,0.1,200,learned_occupancy,300,1.551257491167849e-05,5.456513952621513e-07,0.05435310041523921
2,0.1,200,oracle_tail,300,6.095589417015971e-06,1.4729096094646525e-07,0.021357781384424575
2,0.1,200,tis,300,0.00027395812118108284,1.7456243075298015e-05,0.9598969452141385
2,0.1,200,tis_anchored,300,1.4785019790860699e-05,5.943133867797125e-07,0.05180388619615686
2,0.1,200,uniform,300,0.00028540368062111805,7.533120532831044e-06,1.0
2,0.1,400,learned_occupancy,300,6.446986071437996e-06,1.7656552546309728e-07,0.04313222466515021
2,0.1,400,oracle_tail,300,3.0196062981183665e-06,8.101631903875301e-08,0.020202050354623066
2,0.1,400,tis,300,0.000143309428810674,1.3071326288915504e-05,0.9587820435165942
2,0.1,400,tis_anchored,300,5.781688728185954e-06,1.6894980393144472e-07,0.03868119062221888
2,0.1,400,uniform,300,0.00014947028866440557,3.909756912169839e-06,1.0
2,0.2,50,learned_occupancy,300,5.827126289883716e-05,3.2694667294683555e-06,0.07892127338199106
2,0.2,50,oracle_tail,300,4.90871462888241e-05,6.219578902727664e-06,0.06648251469214997
2,0.2,50,tis,300,0.0005008191541658151,3.5069709903985666e-05,0.6782980737774018
2,0.2,50,tis_anchored,300,5.423161910786173e-05,2.9834324178386993e-06,0.07345007169297127
2,0.2,50,uniform,300,0.0007383467144124159,2.8036849402969013e-05,1.0
2,0.2,100,learned_occupancy,300,2.04974850531149e-05,6.719480848882804e-07,0.05438633165816982
