horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,answer_entropy-minus-tis,300,0.014284862305002382,0.00040253020528501366
2,0.1,50,learned_mean-minus-tis,300,-0.0027343896474951506,0.00016302282206828145
2,0.1,50,learned_occupancy-minus-tis,300,-0.005261254352255677,0.00020403357105209686
2,0.1,50,mean_influence-minus-tis,300,-0.0057004804912724446,0.00020399171675396832
2,0.1,50,occupancy-minus-tis,300,-0.005555265232866162,0.00020410201304108414
2,0.1,50,oracle_no_cov-minus-tis,300,-0.004767267508211687,0.00018715390026729158
2,0.1,50,oracle_tail-minus-tis,300,-0.004767267508211687,0.00018715390026729158
2,0.1,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,50,uniform-minus-tis,300,0.00659274226537097,0.00022710957477767505
2,0.1,50,untied_tis-minus-tis,300,0.0002517344536419236,0.00030149576126452054
2,0.1,100,answer_entropy-minus-tis,300,0.010815400794003439,0.0002706604132230056
2,0.1,100,learned_mean-minus-tis,300,-0.0005531307325885888,0.00011978610264614616
2,0.1,100,learned_occupancy-minus-tis,300,-0.001570175028013189,9.52172533303833e-05
2,0.1,100,mean_influence-minus-tis,300,-0.0017381081062162443,9.461288455481486e-05
2,0.1,100,occupancy-minus-tis,300,-0.00167229152925483,9.475082716378003e-05
2,0.1,100,oracle_no_cov-minus-tis,300,-0.0013340843744544637,8.876035448077637e-05
2,0.1,100,oracle_tail-minus-tis,300,-0.0013340843744544637,8.876035448077637e-05
2,0.1,100,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,100,uniform-minus-tis,300,0.004606395739450395,0.00012538579613817477
2,0.1,100,untied_tis-minus-tis,300,-0.00011029562122067603,0.00013060585262017593
2,0.1,200,answer_entropy-minus-tis,300,0.006078811435115488,0.00017996512165397945
2,0.1,200,learned_mean-minus-tis,300,-0.0003413848462014151,3.591520327221053e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0005663088389268222,5.393560169364014e-05
2,0.1,200,mean_influence-minus-tis,300,-0.0006383346773515604,5.385937233404634e-05
2,0.1,200,occupancy-minus-tis,300,-0.0006051689462518444,5.390300422313933e-05
2,0.1,200,oracle_no_cov-minus-tis,300,-0.0005044329582105648,5.125659219913595e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.0005044329582105648,5.125659219913595e-05
2,0.1,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,200,uniform-minus-tis,300,0.0025740771238529484,7.29095388648967e-05
2,0.1,200,untied_tis-minus-tis,300,-0.00015512322160164864,6.263601402573819e-05
2,0.1,400,answer_entropy-minus-tis,300,0.00393257607162317,0.00013874649918224955
2,0.1,400,learned_mean-minus-tis,300,-0.00011034502156738376,1.247517436315215e-05
2,0.1,400,learned_occupancy-minus-tis,300,-0.00015197441241126769,1.5612607767953676e-05
2,0.1,400,mean_influence-minus-tis,300,-0.0001828199401398827,1.5582017975442777e-05
2,0.1,400,occupancy-minus-tis,300,-0.0001660955575072757,1.561368294409496e-05
2,0.1,400,oracle_no_cov-minus-tis,300,-0.00013838462602771388,1.538202402240562e-05
2,0.1,400,oracle_tail-minus-tis,300,-0.00013838462602771388,1.538202402240562e-05
2,0.1,400,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,400,uniform-minus-tis,300,0.0015213489596709528,3.632208771724646e-05
2,0.1,400,untied_tis-minus-tis,300,-3.687830217825618e-05,2.1280723808825606e-05
2,0.2,50,answer_entropy-minus-tis,300,0.007969451899222135,0.00024176450315873803
2,0.2,50,learned_mean-minus-tis,300,-0.00044194659264008997,5.962586452561499e-05
2,0.2,50,learned_occupancy-minus-tis,300,-0.001302407881493722,7.566340816810997e-05
2,0.2,50,mean_influence-minus-tis,300,-0.0014673525837743142,7.614055068555575e-05
2,0.2,50,occupancy-minus-tis,300,-0.0014046909280570005,7.605807349170581e-05
2,0.2,50,oracle_no_cov-minus-tis,300,-0.0013187835429347553,7.889598717867008e-05
2,0.2,50,oracle_tail-minus-tis,300,-0.0013187835429347553,7.889598717867008e-05
2,0.2,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.2,50,uniform-minus-tis,300,0.0037918201217434634,0.00012113171094837099
2,0.2,50,untied_tis-minus-tis,300,0.0002566736220039842,0.0001296811162892484
2,0.2,100,answer_entropy-minus-tis,300,0.005067650581623986,0.00018025607649618645
2,0.2,100,learned_mean-minus-tis,300,-2.961664654867308e-05,4.3122994146545554e-05
2,0.2,100,learned_occupancy-minus-tis,300,-0.000380982286695309,3.582176034365106e-05
2,0.2,100,mean_influence-minus-tis,300,-0.0004477005969148984,3.564467053710421e-05
2,0.2,100,occupancy-minus-tis,300,-0.0004169148196920684,3.5657686778916845e-05
2,0.2,100,oracle_no_cov-minus-tis,300,-0.00042692164035386854,3.529334141755283e-05
2,0.2,100,oracle_tail-minus-tis,300,-0.00042692164035386854,3.529334141755283e-05
