horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,answer_entropy,0.014408183813529842
2,0.1,50,0,learned_mean,0.0006374179829458641
2,0.1,50,0,learned_occupancy,0.0003748778625643486
2,0.1,50,0,mean_influence,9.363771110305852e-05
2,0.1,50,0,occupancy,0.00025180420153318825
2,0.1,50,0,oracle_no_cov,0.00010883160892730222
2,0.1,50,0,oracle_tail,0.00010883160892730222
2,0.1,50,0,tis,0.0034852975435547967
2,0.1,50,0,tis_no_cov,0.0034852975435547967
2,0.1,50,0,uniform,0.012645219625991464
2,0.1,50,0,untied_tis,0.0024350243476291365
2,0.1,50,1,answer_entropy,0.017986175140918017
2,0.1,50,1,learned_mean,0.0020758158433026312
2,0.1,50,1,learned_occupancy,0.0006396077498942738
2,0.1,50,1,mean_influence,0.00021621638171857353
2,0.1,50,1,occupancy,0.0005134184970551387
2,0.1,50,1,oracle_no_cov,0.00022227516964592241
2,0.1,50,1,oracle_tail,0.00022227516964592241
2,0.1,50,1,tis,0.003807037418363571
2,0.1,50,1,tis_no_cov,0.003807037418363571
2,0.1,50,1,uniform,0.012355541549288826
2,0.1,50,1,untied_tis,0.004641315885463951
2,0.1,50,2,answer_entropy,0.03432755203324579
2,0.1,50,2,learned_mean,0.007007565592890134
2,0.1,50,2,learned_occupancy,0.0007775331192818334
2,0.1,50,2,mean_influence,0.0001574439164451993
2,0.1,50,2,occupancy,0.00022538467704199
2,0.1,50,2,oracle_no_cov,0.00016658050675349726
2,0.1,50,2,oracle_tail,0.00016658050675349726
2,0.1,50,2,tis,0.009468752391439813
2,0.1,50,2,tis_no_cov,0.009468752391439813
2,0.1,50,2,uniform,0.010511517815930245
2,0.1,50,2,untied_tis,0.012617316798461124
2,0.1,50,3,answer_entropy,0.0199809025161442
2,0.1,50,3,learned_mean,0.001386232815828942
2,0.1,50,3,learned_occupancy,0.00038435923573286007
2,0.1,50,3,mean_influence,0.0001490483479756505
2,0.1,50,3,occupancy,0.0002246148129775751
2,0.1,50,3,oracle_no_cov,0.0018178341135566187
2,0.1,50,3,oracle_tail,0.0018178341135566187
2,0.1,50,3,tis,0.007565793192039837
2,0.1,50,3,tis_no_cov,0.007565793192039837
2,0.1,50,3,uniform,0.0165600453217994
2,0.1,50,3,untied_tis,0.003569574163925261
2,0.1,50,4,answer_entropy,0.03305039655292863
2,0.1,50,4,learned_mean,0.0029705216010527578
2,0.1,50,4,learned_occupancy,0.0007795307482117667
2,0.1,50,4,mean_influence,0.00026919254460211944
2,0.1,50,4,occupancy,0.0003348697773815
2,0.1,50,4,oracle_no_cov,0.00027619861029166113
2,0.1,50,4,oracle_tail,0.00027619861029166113
2,0.1,50,4,tis,0.006505734716440516
2,0.1,50,4,tis_no_cov,0.006505734716440516
2,0.1,50,4,uniform,0.010238301849690575
2,0.1,50,4,untied_tis,0.004793544793358779
2,0.1,50,5,answer_entropy,0.021110357582900342
2,0.1,50,5,learned_mean,0.002420196621312649
2,0.1,50,5,learned_occupancy,0.0008050942670796003
2,0.1,50,5,mean_influence,0.00025310950119636913
2,0.1,50,5,occupancy,0.0003599475398246453
2,0.1,50,5,oracle_no_cov,0.002093780032066443
2,0.1,50,5,oracle_tail,0.002093780032066443
2,0.1,50,5,tis,0.004161063809233872
2,0.1,50,5,tis_no_cov,0.004161063809233872
2,0.1,50,5,uniform,0.016581992137720738
2,0.1,50,5,untied_tis,0.011687451184070245
2,0.1,50,6,answer_entropy,0.022475186109818746
