horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
2,0.1,50,answer_entropy-minus-tis,300,0.008990374383779792,0.00034432742847442593
2,0.1,50,learned_mean-minus-tis,300,-0.0024758603324062647,0.00022188075685152477
2,0.1,50,learned_occupancy-minus-tis,300,-0.007080208374030764,0.00021636889605071178
2,0.1,50,mean_influence-minus-tis,300,-0.007321562197844145,0.00021576654646130754
2,0.1,50,occupancy-minus-tis,300,-0.007264659878559093,0.00021576606082445625
2,0.1,50,oracle_no_cov-minus-tis,300,-0.006283484222860135,0.00021876024604487024
2,0.1,50,oracle_tail-minus-tis,300,-0.006283484222860135,0.00021876024604487024
2,0.1,50,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,50,uniform-minus-tis,300,0.0011284971278455716,0.00022170992635740496
2,0.1,50,untied_tis-minus-tis,300,-0.00016095742210707063,0.0002963252759427384
2,0.1,100,answer_entropy-minus-tis,300,0.0060299902160829075,0.0002377574365588532
2,0.1,100,learned_mean-minus-tis,300,-0.0010386911295000205,0.00013181388128483996
2,0.1,100,learned_occupancy-minus-tis,300,-0.00367063229302995,0.0001383359081418589
2,0.1,100,mean_influence-minus-tis,300,-0.0037618176773496236,0.0001380993860573672
2,0.1,100,occupancy-minus-tis,300,-0.0037299764401071012,0.00013808519892538696
2,0.1,100,oracle_no_cov-minus-tis,300,-0.0031644497749615964,0.00014233852223330789
2,0.1,100,oracle_tail-minus-tis,300,-0.0031644497749615964,0.00014233852223330789
2,0.1,100,tis_no_cov-minus-tis,300,1.0717758711781266e-12,1.0717758711781268e-12
2,0.1,100,uniform-minus-tis,300,0.000710595668306788,0.00015260909403666068
2,0.1,100,untied_tis-minus-tis,300,-3.723809084611996e-05,0.00019336555297289022
2,0.1,200,answer_entropy-minus-tis,300,0.0034497961834818397,0.00015509681046171957
2,0.1,200,learned_mean-minus-tis,300,-0.0004808706049365839,7.412596805194714e-05
2,0.1,200,learned_occupancy-minus-tis,300,-0.0016978619440834268,7.983594814372253e-05
2,0.1,200,mean_influence-minus-tis,300,-0.0017346560407478454,7.985429183227838e-05
2,0.1,200,occupancy-minus-tis,300,-0.001719408133481671,7.987285860918243e-05
2,0.1,200,oracle_no_cov-minus-tis,300,-0.0014005445803469223,8.188442717554338e-05
2,0.1,200,oracle_tail-minus-tis,300,-0.0014005445803469223,8.188442717554338e-05
2,0.1,200,tis_no_cov-minus-tis,300,0.0,0.0
2,0.1,200,uniform-minus-tis,300,0.000562152193334301,8.411416242805446e-05
