horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
2,0.1,50,0,answer_entropy,0.019469054856633916
2,0.1,50,0,learned_mean,0.006241895518866615
2,0.1,50,0,learned_occupancy,0.0003528914530705671
2,0.1,50,0,mean_influence,0.0002815392850986141
2,0.1,50,0,occupancy,0.00033368928515963296
2,0.1,50,0,oracle_no_cov,0.0027790550536546522
2,0.1,50,0,oracle_tail,0.0027790550536546522
2,0.1,50,0,tis,0.008964613368825024
2,0.1,50,0,tis_no_cov,0.008964613368825024
2,0.1,50,0,uniform,0.007154059162375207
2,0.1,50,0,untied_tis,0.00763750269208327
2,0.1,50,1,answer_entropy,0.016840223423128
2,0.1,50,1,learned_mean,0.0017818886637698892
2,0.1,50,1,learned_occupancy,0.0004143826507981234
2,0.1,50,1,mean_influence,0.00023192396064897167
2,0.1,50,1,occupancy,0.0002801373281433202
2,0.1,50,1,oracle_no_cov,0.0012059298574059044
2,0.1,50,1,oracle_tail,0.0012059298574059044
2,0.1,50,1,tis,0.009505001296476938
2,0.1,50,1,tis_no_cov,0.009505001296476938
2,0.1,50,1,uniform,0.015093560281778088
2,0.1,50,1,untied_tis,0.011231231655989932
2,0.1,50,2,answer_entropy,0.01776836358697205
2,0.1,50,2,learned_mean,0.004157967584013638
2,0.1,50,2,learned_occupancy,0.0005950057856863076
2,0.1,50,2,mean_influence,0.00037971233755325004
2,0.1,50,2,occupancy,0.0005688664814453834
2,0.1,50,2,oracle_no_cov,0.00033775224906200553
2,0.1,50,2,oracle_tail,0.00033775224906200553
2,0.1,50,2,tis,0.007391866362573391
2,0.1,50,2,tis_no_cov,0.007391866362573391
2,0.1,50,2,uniform,0.007001745787394857
2,0.1,50,2,untied_tis,0.019347593730540815
2,0.1,50,3,answer_entropy,0.016413951748515516
2,0.1,50,3,learned_mean,0.005531643180493117
2,0.1,50,3,learned_occupancy,0.0006180775254251976
2,0.1,50,3,mean_influence,0.00021786226698169693
2,0.1,50,3,occupancy,0.00029774069765330606
2,0.1,50,3,oracle_no_cov,0.0013745391820898845
2,0.1,50,3,oracle_tail,0.0013745391820898845
2,0.1,50,3,tis,0.003568939586023309
2,0.1,50,3,tis_no_cov,0.003568939586023309
2,0.1,50,3,uniform,0.010970872382815014
2,0.1,50,3,untied_tis,0.004502649866230881
2,0.1,50,4,answer_entropy,0.02603123133207766
2,0.1,50,4,learned_mean,0.006666739685758761
2,0.1,50,4,learned_occupancy,0.0004649576080869765
2,0.1,50,4,mean_influence,0.0002565065313951992
2,0.1,50,4,occupancy,0.0003639727245666236
2,0.1,50,4,oracle_no_cov,0.0012817136103656051
2,0.1,50,4,oracle_tail,0.0012817136103656051
2,0.1,50,4,tis,0.00814988863597349
2,0.1,50,4,tis_no_cov,0.00814988863597349
2,0.1,50,4,uniform,0.007404469482745086
2,0.1,50,4,untied_tis,0.005575762214616886
2,0.1,50,5,answer_entropy,0.018100881771745223
2,0.1,50,5,learned_mean,0.002694708122513909
2,0.1,50,5,learned_occupancy,0.0005966064535756173
2,0.1,50,5,mean_influence,0.00020452650153082798
2,0.1,50,5,occupancy,0.00026898964409174285
2,0.1,50,5,oracle_no_cov,0.0019312574148766125
2,0.1,50,5,oracle_tail,0.0019312574148766125
2,0.1,50,5,tis,0.011035793939563476
2,0.1,50,5,tis_no_cov,0.011035793939563476
2,0.1,50,5,uniform,0.00740547754493331
2,0.1,50,5,untied_tis,0.009142670520057098
2,0.1,50,6,answer_entropy,0.016949176472162732
2,0.1,50,6,learned_mean,0.0018384064855519648
2,0.1,50,6,learned_occupancy,0.0005317749537782811
2,0.1,50,6,mean_influence,0.0003228696291017056
2,0.1,50,6,occupancy,0.000439499611428395
2,0.1,50,6,oracle_no_cov,0.00032669748741881097
2,0.1,50,6,oracle_tail,0.00032669748741881097
2,0.1,50,6,tis,0.009358498299591438
2,0.1,50,6,tis_no_cov,0.009358498299591438
2,0.1,50,6,uniform,0.011347420627695802
2,0.1,50,6,untied_tis,0.0028011205007961427
2,0.1,50,7,answer_entropy,0.00976560167836344
2,0.1,50,7,learned_mean,0.0039847938737609945
2,0.1,50,7,learned_occupancy,0.00038489103454626255
2,0.1,50,7,mean_influence,0.00025029384864025893
2,0.1,50,7,occupancy,0.000303547665825014
2,0.1,50,7,oracle_no_cov,0.00019326470412604503
2,0.1,50,7,oracle_tail,0.00019326470412604503
2,0.1,50,7,tis,0.006014241114834266
2,0.1,50,7,tis_no_cov,0.006014241114834266
2,0.1,50,7,uniform,0.00928522757065996
2,0.1,50,7,untied_tis,0.006763859619711899
2,0.1,50,8,answer_entropy,0.01624559937330063
2,0.1,50,8,learned_mean,0.0066091162861828655
2,0.1,50,8,learned_occupancy,0.0006963789901677891
2,0.1,50,8,mean_influence,0.0002485633065741034
2,0.1,50,8,occupancy,0.00038331583710168936
2,0.1,50,8,oracle_no_cov,0.0024836439212570067
2,0.1,50,8,oracle_tail,0.0024836439212570067
2,0.1,50,8,tis,0.011753922238443102
2,0.1,50,8,tis_no_cov,0.011753922238443102
2,0.1,50,8,uniform,0.0115602196723499
2,0.1,50,8,untied_tis,0.004708831254502364
2,0.1,50,9,answer_entropy,0.027111309922577206
2,0.1,50,9,learned_mean,0.003655884616670276
2,0.1,50,9,learned_occupancy,0.00030210084251820106
2,0.1,50,9,mean_influence,0.00012936964431895122
2,0.1,50,9,occupancy,0.0001415311372936827
2,0.1,50,9,oracle_no_cov,0.0024757782916851297
2,0.1,50,9,oracle_tail,0.0024757782916851297
2,0.1,50,9,tis,0.0086406457624529
2,0.1,50,9,tis_no_cov,0.0086406457624529
2,0.1,50,9,uniform,0.009616568545905995
2,0.1,50,9,untied_tis,0.007250105974606028
2,0.1,50,10,answer_entropy,0.009897509235412202
2,0.1,50,10,learned_mean,0.00602195701467395
2,0.1,50,10,learned_occupancy,0.00044612826072750833
2,0.1,50,10,mean_influence,0.00023546004879379447
